,price
2021-03-24,12.7
2021-03-25,12.2
2021-03-26,11.35
2021-03-29,11.0
2021-03-30,11.75
2021-03-31,12.55
2021-04-01,13.4
2021-04-02,13.0
2021-04-05,12.6
2021-04-06,13.45
2021-04-07,13.5
2021-04-08,13.2
2021-04-09,14.1
2021-04-12,15.05
2021-04-13,15.65
2021-04-14,15.55
2021-04-15,15.9
2021-04-16,16.5
2021-04-19,16.2
2021-04-20,16.8
2021-04-22,16.0
2021-04-23,17.1
2021-04-26,16.8
2021-04-27,16.8
2021-04-28,16.9
2021-04-29,16.75
2021-05-04,16.5
2021-05-05,17.65
2021-05-06,18.6
2021-05-07,18.2
2021-05-10,18.0
2021-05-11,18.2
2021-05-12,18.1
2021-05-13,19.35
2021-05-14,20.35
2021-05-17,19.8
2021-05-18,19.6
2021-05-19,20.75
2021-05-20,21.5
2021-05-21,21.0
2021-05-24,20.75
2021-05-25,20.65
2021-05-26,20.25
2021-05-27,19.5
2021-05-28,19.8
2021-05-31,19.5
2021-06-01,19.5
2021-06-02,19.3
2021-06-03,19.5
2021-06-04,19.45
2021-06-07,19.6
2021-06-08,19.8
2021-06-09,19.95
2021-06-10,19.85
2021-06-11,20.8
2021-06-14,20.6
2021-06-15,20.7
2021-06-16,20.5
2021-06-17,20.4
2021-06-18,20.5
2021-06-21,20.25
2021-06-22,20.3
2021-06-23,20.2
2021-06-24,20.1
2021-06-25,20.25
2021-06-28,19.95
2021-06-29,19.95
2021-06-30,19.75
2021-07-01,19.85
2021-07-02,19.8
2021-07-05,19.7
2021-07-06,19.35
2021-07-07,19.0
2021-07-08,18.6
2021-07-09,18.6
2021-07-12,17.8
2021-07-13,17.5
2021-07-14,16.8
2021-07-15,16.5
2021-07-16,16.85
2021-07-19,16.6
2021-07-20,17.6
2021-07-21,18.0
2021-07-22,18.1
2021-07-23,17.8
2021-07-26,17.5
2021-07-27,17.7
2021-07-28,17.6
2021-07-29,17.6
2021-07-30,17.6
2021-08-02,17.9
2021-08-03,17.9
2021-08-04,17.8
2021-08-05,18.8
2021-08-06,18.5
2021-08-09,18.5
2021-08-10,18.2
2021-08-11,19.35
2021-08-12,19.25
2021-08-13,19.6
2021-08-16,19.8
2021-08-17,19.8
2021-08-18,19.5
2021-08-19,19.8
