,price
2020-03-18,12.95
2020-03-19,13.85
2020-03-20,14.8
2020-03-23,15.8
2020-03-24,16.9
2020-03-25,18.05
2020-03-26,19.3
2020-03-27,20.65
2020-03-30,22.05
2020-03-31,23.55
2020-04-01,25.15
2020-04-03,26.9
2020-04-06,28.75
2020-04-07,30.75
2020-04-08,32.9
2020-04-09,35.2
2020-04-10,32.75
2020-04-13,30.5
2020-04-14,28.4
2020-04-15,26.45
2020-04-16,24.6
2020-04-17,22.9
2020-04-20,21.3
2020-04-21,19.85
2020-04-22,18.5
2020-04-23,17.25
2020-04-24,18.45
2020-04-27,19.2
2020-04-28,17.9
2020-04-29,16.65
2020-05-04,15.5
2020-05-05,14.9
2020-05-06,15.9
2020-05-07,15.3
2020-05-08,15.3
2020-05-11,14.9
2020-05-12,15.45
2020-05-13,15.0
2020-05-14,14.55
2020-05-15,14.7
2020-05-18,14.4
2020-05-19,14.5
2020-05-20,13.85
2020-05-21,14.0
2020-05-22,14.2
2020-05-25,14.2
2020-05-26,14.25
2020-05-27,13.85
2020-05-28,13.9
2020-05-29,14.0
2020-06-01,14.05
2020-06-02,14.1
2020-06-03,14.2
2020-06-04,14.3
2020-06-05,14.35
2020-06-08,14.4
2020-06-09,14.45
2020-06-10,13.95
2020-06-11,13.3
2020-06-12,12.4
2020-06-15,11.55
2020-06-16,11.5
2020-06-18,11.4
2020-06-19,11.5
2020-06-22,11.65
2020-06-23,12.45
2020-06-24,13.3
2020-06-25,13.9
2020-06-26,12.95
2020-06-29,12.05
2020-06-30,11.25
2020-07-01,11.6
2020-07-02,12.2
2020-07-03,12.3
2020-07-06,12.4
2020-07-07,12.45
2020-07-08,12.1
2020-07-09,12.2
2020-07-10,11.9
2020-07-13,12.0
2020-07-14,12.2
2020-07-15,12.3
2020-07-16,12.25
2020-07-17,12.25
2020-07-20,12.0
2020-07-21,12.0
2020-07-22,12.1
2020-07-23,12.1
2020-07-24,11.8
2020-07-27,11.0
2020-07-28,11.5
2020-07-29,10.9
2020-07-30,10.95
2020-07-31,11.0
2020-08-03,11.1
2020-08-04,11.2
2020-08-05,11.2
2020-08-06,11.75
2020-08-07,11.5
2020-08-10,11.3
2020-08-11,11.2
2020-08-12,11.2
2020-08-13,11.35
2020-08-14,11.5
2020-08-17,11.6
2020-08-18,11.6
2020-08-19,11.4
2020-08-20,11.4
2020-08-21,11.95
2020-08-24,12.75
2020-08-25,13.6
2020-08-26,13.2
2020-08-27,13.45
2020-08-28,14.0
2020-08-31,13.8
2020-09-01,13.8
2020-09-03,11.8
2020-09-04,11.6
2020-09-07,11.2
2020-09-08,11.25
2020-09-09,11.15
2020-09-10,11.4
2020-09-11,11.45
2020-09-14,11.5
2020-09-15,11.55
2020-09-16,11.5
2020-09-17,11.5
2020-09-18,11.35
2020-09-21,11.3
2020-09-22,11.3
2020-09-23,11.8
2020-09-24,12.0
2020-09-25,12.1
2020-09-28,12.1
2020-09-29,11.5
2020-09-30,11.55
2020-10-01,11.5
2020-10-02,11.45
2020-10-05,11.4
2020-10-06,11.4
2020-10-07,11.4
2020-10-08,11.35
2020-10-09,11.35
2020-10-12,11.3
2020-10-13,11.25
2020-10-14,11.2
2020-10-15,11.1
2020-10-16,10.7
2020-10-19,10.4
2020-10-20,10.5
2020-10-21,10.6
2020-10-22,10.7
2020-10-23,10.75
2020-10-26,10.8
2020-10-27,10.7
2020-10-28,10.65
2020-10-29,10.65
2020-10-30,10.65
2020-11-02,10.6
2020-11-03,10.55
2020-11-04,10.55
2020-11-05,10.55
2020-11-06,10.7
2020-11-09,10.7
2020-11-10,11.0
2020-11-11,11.2
2020-11-12,11.4
2020-11-13,11.35
2020-11-16,11.3
2020-11-17,11.3
2020-11-18,11.3
2020-11-19,11.3
2020-11-20,11.3
2020-11-23,11.3
2020-11-25,12.75
2020-11-26,12.95
2020-11-27,13.1
2020-11-30,13.3
2020-12-01,13.4
2020-12-02,14.3
2020-12-03,15.3
2020-12-04,16.35
2020-12-07,16.35
2020-12-08,16.0
2020-12-09,16.75
2020-12-10,16.3
2020-12-11,16.5
2020-12-14,17.5
2020-12-15,18.0
2020-12-16,17.7
2020-12-17,18.2
2020-12-18,18.3
2020-12-21,18.35
2020-12-22,18.25
2020-12-23,18.5
2020-12-24,18.65
2020-12-25,19.0
2020-12-28,19.7
2020-12-29,20.0
2020-12-30,20.1
2020-12-31,20.4
2021-01-04,20.55
2021-01-05,21.3
2021-01-06,21.5
2021-01-07,22.0
2021-01-08,23.5
2021-01-11,25.0
2021-01-12,25.0
2021-01-13,25.1
2021-01-14,25.4
2021-01-15,26.8
2021-01-18,28.5
2021-01-19,28.7
2021-01-20,28.8
2021-01-21,30.0
2021-01-22,29.8
2021-01-25,30.3
2021-01-26,29.95
2021-01-27,30.0
2021-01-28,29.9
2021-01-29,30.0
2021-02-01,28.0
2021-02-02,29.0
2021-02-03,29.3
2021-02-04,29.5
2021-02-05,29.7
2021-02-09,31.0
2021-02-17,31.3
2021-02-18,31.5
2021-02-19,31.0
2021-02-22,32.0
2021-02-23,32.0
2021-02-24,32.1
2021-02-25,32.75
2021-02-26,33.2
2021-03-01,33.8
2021-03-02,34.9
2021-03-03,35.4
2021-03-04,36.4
2021-03-05,36.5
2021-03-08,37.0
2021-03-09,37.0
2021-03-10,37.0
2021-03-11,37.4
2021-03-12,37.5
2021-03-15,38.2
2021-03-16,39.0
2021-03-17,41.7
2021-03-18,43.0
2021-03-19,43.5
2021-03-22,43.9
2021-03-23,43.8
2021-03-24,42.5
2021-03-25,43.0
2021-03-26,43.5
2021-03-29,44.2
2021-03-30,44.95
2021-03-31,46.0
2021-04-01,48.0
2021-04-02,49.3
2021-04-05,50.0
2021-04-06,50.7
2021-04-07,52.0
2021-04-08,53.8
2021-04-09,54.9
2021-04-12,55.5
2021-04-13,56.8
2021-04-14,58.8
2021-04-15,60.8
2021-04-16,62.5
2021-04-19,66.8
2021-04-20,70.4
2021-04-22,72.5
2021-04-23,73.9
2021-04-26,75.8
2021-04-27,75.0
2021-04-28,69.8
2021-04-29,65.0
2021-05-04,60.5
2021-05-05,56.3
2021-05-06,52.4
2021-05-07,48.75
2021-05-10,45.35
2021-05-11,42.2
2021-05-12,44.5
2021-05-13,41.9
2021-05-14,41.95
2021-05-17,39.05
2021-05-18,36.95
2021-05-19,34.4
2021-05-20,32.0
2021-05-21,31.0
2021-05-24,33.15
2021-05-25,35.45
2021-05-26,37.9
2021-05-27,40.55
2021-05-28,43.35
2021-05-31,44.0
2021-06-01,44.0
2021-06-02,45.0
2021-06-03,45.8
2021-06-04,46.2
2021-06-07,43.8
2021-06-08,41.5
2021-06-09,38.6
2021-06-10,35.9
2021-06-11,35.0
2021-06-14,33.1
2021-06-15,35.4
2021-06-16,35.9
2021-06-17,33.8
2021-06-18,32.9
2021-06-21,33.2
