,price
2020-01-02,23.0
2020-01-03,23.0
2020-01-06,22.5
2020-01-07,22.5
2020-01-08,22.1
2020-01-09,22.4
2020-01-10,22.7
2020-01-13,22.9
2020-01-14,23.5
2020-01-15,23.3
2020-01-16,23.9
2020-01-17,23.8
2020-01-20,24.3
2020-01-21,24.5
2020-01-22,24.5
2020-01-30,23.6
2020-01-31,23.0
2020-02-03,22.6
2020-02-04,23.2
2020-02-05,23.0
2020-02-06,24.0
2020-02-07,23.8
2020-02-10,23.6
2020-02-11,23.7
2020-02-12,25.6
2020-02-13,25.5
2020-02-14,26.4
2020-02-17,26.4
2020-02-18,26.6
2020-02-19,26.3
2020-02-20,26.4
2020-02-21,25.7
2020-02-24,24.0
2020-02-25,25.1
2020-02-26,24.6
2020-02-27,25.5
2020-02-28,25.2
2020-03-02,25.2
2020-03-03,25.6
2020-03-04,25.8
2020-03-05,25.6
2020-03-06,25.3
2020-03-09,23.3
2020-03-10,24.2
2020-03-11,23.4
2020-03-12,22.1
2020-03-13,22.0
2020-03-16,20.9
2020-03-17,21.1
2020-03-18,21.2
2020-03-19,21.1
2020-03-20,21.4
2020-03-23,19.3
2020-03-24,19.6
2020-03-25,20.5
2020-03-26,19.7
2020-03-27,19.7
2020-03-30,18.2
2020-03-31,17.8
2020-04-01,18.6
2020-04-03,19.1
2020-04-06,20.6
2020-04-07,20.3
2020-04-08,20.2
2020-04-09,20.0
2020-04-10,19.8
2020-04-13,20.0
2020-04-14,20.0
2020-04-15,20.2
2020-04-16,20.4
2020-04-17,21.0
2020-04-20,20.7
2020-04-21,19.8
2020-04-22,20.4
2020-04-23,20.3
2020-04-24,20.3
2020-04-27,20.1
2020-04-28,20.3
2020-04-29,20.5
2020-05-04,20.3
2020-05-05,20.3
2020-05-06,20.8
2020-05-07,21.2
2020-05-08,21.4
2020-05-11,21.7
2020-05-12,21.8
2020-05-13,21.7
2020-05-14,21.4
2020-05-15,21.7
2020-05-18,21.8
2020-05-19,22.2
2020-05-20,22.2
2020-05-21,22.4
2020-05-22,22.4
2020-05-25,22.6
2020-05-26,23.3
2020-05-27,22.8
2020-05-28,22.9
2020-05-29,22.9
2020-06-01,25.1
2020-06-02,24.8
2020-06-03,25.5
2020-06-04,25.3
2020-06-05,25.2
2020-06-08,25.4
2020-06-09,25.5
2020-06-10,25.6
2020-06-11,24.5
2020-06-12,24.5
2020-06-15,23.3
2020-06-16,23.8
2020-06-17,23.7
2020-06-18,23.8
2020-06-19,24.4
2020-06-22,24.1
2020-06-23,24.0
2020-06-24,23.8
2020-06-25,23.7
2020-06-26,23.6
2020-06-29,22.9
2020-06-30,22.8
2020-07-01,23.2
2020-07-02,23.1
2020-07-03,23.0
2020-07-06,23.6
2020-07-07,23.7
2020-07-08,23.9
2020-07-09,24.3
2020-07-10,24.0
2020-07-13,23.9
2020-07-14,24.0
2020-07-15,24.0
2020-07-16,24.0
2020-07-17,24.8
2020-07-20,24.5
2020-07-21,24.6
2020-07-22,24.4
2020-07-23,24.2
2020-07-24,23.2
2020-07-27,21.8
2020-07-28,22.9
2020-07-29,22.2
2020-07-30,22.6
2020-07-31,22.5
2020-08-03,23.2
2020-08-04,23.7
2020-08-05,24.0
2020-08-06,23.8
2020-08-07,23.7
2020-08-10,23.8
2020-08-11,25.4
2020-08-12,25.4
2020-08-13,25.5
2020-08-14,25.3
2020-08-17,25.8
2020-08-18,25.6
2020-08-19,25.6
2020-08-20,20.8
2020-08-21,21.2
2020-08-24,21.0
2020-08-25,21.1
2020-08-26,21.2
2020-08-27,21.5
2020-08-28,21.4
2020-08-31,21.2
2020-09-01,21.1
2020-09-03,21.2
2020-09-04,21.1
2020-09-07,20.8
2020-09-08,20.6
2020-09-09,20.9
2020-09-10,20.9
2020-09-11,20.8
2020-09-14,21.2
2020-09-15,21.3
2020-09-16,21.2
2020-09-17,21.5
2020-09-18,21.7
2020-09-21,22.0
2020-09-22,22.3
2020-09-23,22.5
2020-09-24,22.2
2020-09-25,22.2
2020-09-28,22.6
2020-09-29,22.4
2020-09-30,22.5
2020-10-01,22.5
2020-10-02,23.0
2020-10-05,23.6
2020-10-06,24.0
2020-10-07,23.4
2020-10-08,23.2
2020-10-09,23.5
2020-10-12,23.3
2020-10-13,23.4
2020-10-14,24.0
2020-10-15,24.5
2020-10-16,24.7
2020-10-19,25.3
2020-10-20,25.3
2020-10-21,25.2
2020-10-22,25.6
2020-10-23,25.6
2020-10-26,24.8
2020-10-27,24.4
2020-10-28,23.8
2020-10-29,23.9
2020-10-30,24.1
2020-11-02,24.5
2020-11-03,25.0
2020-11-04,25.5
2020-11-05,24.9
2020-11-06,25.1
2020-11-09,25.4
2020-11-10,25.3
2020-11-11,25.4
2020-11-12,26.4
2020-11-13,26.5
2020-11-16,26.2
2020-11-17,27.2
2020-11-18,27.2
2020-11-19,27.2
2020-11-20,27.3
2020-11-23,27.3
2020-11-24,27.3
2020-11-25,27.3
2020-11-26,27.4
2020-11-27,27.2
2020-11-30,27.2
2020-12-01,27.3
2020-12-09,28.55
2020-12-10,27.95
2020-12-11,28.2
2020-12-14,28.2
2020-12-15,28.0
2020-12-16,28.25
2020-12-17,28.3
2020-12-18,28.4
2020-12-21,28.95
2020-12-22,28.75
2020-12-23,28.1
2020-12-24,27.3
2020-12-25,27.95
2020-12-28,27.8
2020-12-29,27.7
2020-12-30,27.8
2020-12-31,28.1
2021-01-04,28.65
2021-01-05,29.35
2021-01-06,29.9
2021-01-07,29.9
2021-01-08,30.2
2021-01-11,30.35
2021-01-12,30.1
2021-01-13,29.85
2021-01-14,29.85
2021-01-15,30.25
2021-01-18,29.95
2021-01-19,27.9
2021-01-20,28.3
2021-01-21,28.95
2021-01-22,28.65
2021-01-25,28.1
2021-01-26,27.8
2021-01-27,27.5
2021-01-28,25.6
2021-01-29,26.8
2021-02-01,26.65
2021-02-02,27.35
2021-02-03,28.1
2021-02-04,28.2
2021-02-05,28.5
2021-02-08,27.5
2021-02-09,28.55
2021-02-17,29.4
2021-02-18,29.15
2021-02-19,31.1
2021-02-22,31.6
2021-02-23,31.7
2021-02-24,31.2
2021-02-25,32.4
2021-02-26,33.05
2021-03-01,33.25
2021-03-02,33.0
2021-03-03,33.25
