,price
2020-01-02,23.2
2020-01-03,23.0
2020-01-06,22.75
2020-01-07,22.6
2020-01-08,22.4
2020-01-09,22.3
2020-01-10,22.6
2020-01-13,22.6
2020-01-14,22.4
2020-01-15,21.0
2020-01-16,21.2
2020-01-17,21.2
2020-01-20,21.3
2020-01-21,21.95
2020-01-22,22.9
2020-01-30,22.5
2020-01-31,22.5
2020-02-03,20.95
2020-02-04,20.1
2020-02-05,21.0
2020-02-06,21.2
2020-02-07,21.8
2020-02-10,21.5
2020-02-11,21.5
2020-02-12,21.4
2020-02-13,21.45
2020-02-14,21.4
2020-02-17,21.3
2020-02-18,21.1
2020-02-19,21.4
2020-02-20,21.3
2020-02-21,21.3
2020-02-24,20.55
2020-02-25,20.4
2020-02-26,20.3
2020-02-27,20.0
2020-02-28,19.9
2020-03-02,18.6
2020-03-03,19.5
2020-03-04,19.35
2020-03-05,19.3
2020-03-06,20.15
2020-03-09,19.2
2020-03-10,18.3
2020-03-12,18.0
2020-03-13,18.0
2020-03-16,18.4
2020-03-17,18.15
2020-03-18,18.15
2020-03-19,18.2
2020-03-20,18.1
2020-03-23,17.85
2020-03-24,17.8
2020-03-25,17.3
2020-03-26,17.5
2020-03-27,17.6
2020-03-30,17.75
2020-03-31,17.5
2020-04-01,17.5
2020-04-03,17.5
2020-04-06,18.0
2020-04-07,18.0
2020-04-08,19.25
2020-04-09,19.7
2020-04-10,19.0
2020-04-13,17.9
2020-04-14,18.5
2020-04-15,18.7
2020-04-16,19.6
2020-04-17,20.0
2020-04-20,20.1
2020-04-21,19.2
2020-04-22,19.4
2020-04-23,19.2
2020-04-24,18.9
2020-04-27,19.0
2020-04-28,18.6
2020-04-29,18.4
2020-05-04,18.0
2020-05-05,18.0
2020-05-06,17.55
2020-05-07,17.4
2020-05-08,18.5
2020-05-11,19.75
2020-05-12,21.1
2020-05-13,22.55
2020-05-14,22.55
2020-05-15,21.1
2020-05-18,20.65
2020-05-19,21.5
2020-05-20,23.0
2020-05-21,24.6
2020-05-22,25.5
2020-05-25,25.0
2020-05-26,25.1
2020-05-27,24.7
2020-05-28,24.8
2020-05-29,24.6
2020-06-01,25.2
2020-06-02,24.95
2020-06-03,24.7
2020-06-04,24.4
2020-06-05,25.45
2020-06-08,26.0
2020-06-09,25.8
2020-06-10,25.4
2020-06-11,24.8
2020-06-12,23.3
2020-06-15,22.5
2020-06-16,23.3
2020-06-17,23.2
2020-06-18,22.8
2020-06-19,23.45
2020-06-22,23.8
2020-06-23,23.7
2020-06-24,23.05
2020-06-25,22.8
2020-06-26,22.8
2020-06-29,21.55
2020-06-30,21.7
2020-07-01,22.0
2020-07-02,22.5
2020-07-03,22.2
2020-07-06,22.1
2020-07-07,22.3
2020-07-08,22.65
2020-07-09,23.8
2020-07-10,24.95
2020-07-13,25.55
2020-07-14,27.3
2020-07-15,29.2
2020-07-16,31.2
2020-07-17,32.0
2020-07-20,29.8
2020-07-21,28.7
2020-07-22,28.55
2020-07-23,27.9
2020-07-24,27.6
2020-07-27,25.7
2020-07-28,27.45
2020-07-29,27.0
2020-07-30,27.0
2020-07-31,26.8
2020-08-03,28.65
2020-08-04,29.15
2020-08-05,14.15
2020-08-06,15.1
2020-08-07,16.15
2020-08-10,17.25
2020-08-11,16.05
2020-08-12,15.5
2020-08-13,16.05
2020-08-14,16.15
2020-08-17,15.5
2020-08-18,15.65
2020-08-19,15.55
2020-08-20,15.0
2020-08-21,15.2
2020-08-24,15.05
2020-08-25,15.05
2020-08-26,15.6
2020-08-27,16.2
2020-08-28,16.0
2020-08-31,15.6
2020-09-01,15.4
2020-09-03,15.4
2020-09-04,15.2
2020-09-07,15.5
2020-09-08,15.35
2020-09-09,15.4
2020-09-10,15.35
2020-09-11,15.6
2020-09-14,15.8
2020-09-15,15.8
2020-09-16,15.7
2020-09-17,15.5
2020-09-18,15.45
2020-09-21,15.55
2020-09-22,15.4
2020-09-23,15.3
2020-09-24,15.25
2020-09-25,15.2
2020-09-28,15.0
2020-09-29,15.0
2020-09-30,14.15
2020-10-01,14.65
2020-10-02,14.1
2020-10-05,14.15
2020-10-06,14.35
2020-10-07,14.15
2020-10-08,14.0
2020-10-09,14.2
2020-10-12,13.95
2020-10-13,13.85
2020-10-14,13.4
2020-10-15,12.9
2020-10-16,12.4
2020-10-19,12.35
2020-10-20,12.35
2020-10-21,13.2
2020-10-22,13.65
2020-10-23,13.45
2020-10-26,13.1
2020-10-27,12.7
2020-10-28,12.3
2020-10-29,12.4
2020-10-30,12.4
2020-11-02,12.3
2020-11-03,12.5
2020-11-04,13.1
2020-11-05,12.8
2020-11-06,12.75
2020-11-09,12.9
2020-11-10,12.95
2020-11-11,12.8
2020-11-12,12.85
2020-11-13,12.85
2020-11-16,12.6
2020-11-17,12.55
2020-11-18,12.75
2020-11-19,13.1
2020-11-20,12.95
2020-11-23,12.9
2020-11-25,12.65
2020-11-26,12.75
2020-11-27,12.7
2020-11-30,13.0
2020-12-01,13.0
2020-12-02,12.7
2020-12-03,12.75
2020-12-04,12.8
2020-12-07,12.75
2020-12-08,12.65
2020-12-09,12.9
2020-12-10,12.75
2020-12-11,12.8
2020-12-14,12.95
2020-12-15,12.75
2020-12-16,12.8
2020-12-17,12.75
2020-12-18,12.85
2020-12-21,13.7
2020-12-22,13.9
2020-12-23,14.0
2020-12-24,13.45
2020-12-25,13.6
2020-12-28,13.4
2020-12-29,13.7
2020-12-30,13.7
2020-12-31,14.65
2021-01-04,14.95
2021-01-05,15.1
2021-01-06,15.0
2021-01-07,15.2
2021-01-08,15.1
2021-01-11,15.3
2021-01-12,15.7
2021-01-13,15.1
2021-01-14,15.2
2021-01-15,15.0
2021-01-18,15.1
2021-01-19,14.2
2021-01-20,13.95
2021-01-21,13.8
2021-01-22,14.0
2021-01-25,14.0
2021-01-26,13.6
2021-01-27,12.75
2021-01-28,11.9
2021-01-29,12.2
2021-02-01,11.6
2021-02-02,12.0
2021-02-03,12.3
2021-02-04,12.35
2021-02-05,12.4
2021-02-08,11.8
2021-02-09,12.25
2021-02-17,12.35
2021-02-18,13.2
2021-02-19,13.9
2021-02-22,13.9
2021-02-23,13.75
2021-02-24,13.3
2021-02-25,13.75
2021-02-26,13.75
2021-03-01,13.7
2021-03-02,13.6
2021-03-03,14.25
2021-03-04,14.2
2021-03-05,14.1
2021-03-08,14.0
2021-03-09,13.95
2021-03-10,14.0
2021-03-11,13.8
2021-03-12,13.8
2021-03-15,13.9
2021-03-16,14.2
2021-03-17,14.2
2021-03-18,14.35
2021-03-19,14.3
2021-03-22,14.0
2021-03-23,13.9
2021-03-24,13.5
2021-03-25,13.6
2021-03-26,13.2
2021-03-29,13.55
2021-03-30,13.45
2021-03-31,13.2
2021-04-01,13.1
2021-04-02,13.2
2021-04-05,13.4
2021-04-06,13.3
2021-04-07,13.2
2021-04-08,13.15
2021-04-09,13.25
2021-04-12,13.35
2021-04-13,13.35
2021-04-14,13.4
2021-04-15,13.45
2021-04-16,13.0
2021-04-19,12.95
2021-04-20,13.0
2021-04-22,12.7
2021-04-23,12.7
2021-04-26,12.8
2021-04-27,12.9
2021-04-28,12.8
2021-04-29,12.8
2021-05-04,12.65
2021-05-05,12.7
2021-05-06,12.6
2021-05-07,12.5
2021-05-10,12.2
2021-05-11,11.95
2021-05-12,12.4
2021-05-13,12.3
2021-05-14,12.2
2021-05-17,12.0
2021-05-18,12.0
2021-05-19,11.8
2021-05-20,11.5
2021-05-21,12.25
2021-05-24,12.25
2021-05-25,12.0
2021-05-26,11.9
2021-05-27,11.7
2021-05-28,11.7
2021-05-31,11.7
2021-06-01,11.8
2021-06-02,11.8
2021-06-03,12.4
2021-06-04,12.3
2021-06-07,12.8
2021-06-08,12.65
2021-06-09,12.45
2021-06-10,13.3
2021-06-11,12.9
2021-06-14,12.9
2021-06-15,13.0
2021-06-16,12.9
2021-06-17,13.55
2021-06-18,13.45
2021-06-21,13.15
2021-06-22,13.1
2021-06-23,13.1
2021-06-24,12.9
2021-06-25,13.1
2021-06-28,13.0
2021-06-29,13.15
2021-06-30,13.0
2021-07-01,12.8
2021-07-02,12.7
2021-07-05,12.6
2021-07-06,12.1
2021-07-07,12.0
2021-07-08,11.85
2021-07-09,11.55
2021-07-12,11.0
2021-07-13,11.5
2021-07-14,11.45
2021-07-15,11.55
2021-07-16,11.55
2021-07-19,11.15
2021-07-20,11.3
2021-07-21,11.35
2021-07-22,11.65
2021-07-23,11.55
2021-07-26,11.4
2021-07-27,11.6
2021-07-28,11.6
2021-07-29,11.5
2021-07-30,11.55
2021-08-02,11.4
2021-08-03,11.4
2021-08-04,11.4
2021-08-05,11.6
2021-08-06,11.6
2021-08-09,11.6
2021-08-10,11.8
2021-08-11,12.4
2021-08-12,12.15
2021-08-13,12.1
2021-08-16,12.65
2021-08-17,12.8
2021-08-18,12.6
2021-08-19,12.75
2021-08-20,12.4
2021-08-23,12.0
2021-08-24,11.9
2021-08-25,11.85
2021-08-26,11.9
2021-08-27,12.05
2021-08-30,12.85
2021-08-31,12.95
2021-09-01,12.8
2021-09-06,13.65
2021-09-07,13.25
2021-09-08,13.1
2021-09-09,13.2
2021-09-10,13.1
2021-09-13,12.95
2021-09-14,12.8
2021-09-15,12.9
2021-09-16,12.85
2021-09-17,12.9
2021-09-20,12.95
2021-09-21,12.8
2021-09-22,13.5
2021-09-23,13.5
2021-09-24,13.1
2021-09-27,12.75
2021-09-28,12.85
2021-09-29,12.65
2021-09-30,12.65
2021-10-01,12.8
2021-10-04,13.1
2021-10-05,13.2
2021-10-06,13.05
2021-10-07,13.15
2021-10-08,13.35
2021-10-11,13.45
2021-10-12,13.3
2021-10-13,13.3
2021-10-14,13.15
2021-10-15,13.1
2021-10-18,13.05
2021-10-19,13.0
2021-10-20,13.0
2021-10-21,13.45
2021-10-22,13.4
2021-10-25,13.7
2021-10-26,13.55
2021-10-27,14.45
2021-10-28,15.05
2021-10-29,15.2
2021-11-01,15.2
2021-11-02,16.0
2021-11-03,15.1
2021-11-04,16.15
2021-11-05,17.1
2021-11-08,17.15
2021-11-09,16.9
2021-11-10,16.9
2021-11-11,17.2
2021-11-12,18.15
2021-11-15,17.8
2021-11-16,17.35
2021-11-17,17.5
2021-11-18,17.15
2021-11-19,16.4
2021-11-22,15.3
2021-11-23,16.1
2021-11-24,17.0
2021-11-25,16.8
2021-11-26,17.0
2021-11-29,16.95
2021-11-30,17.4
2021-12-01,17.4
2021-12-02,17.7
2021-12-03,16.7
2021-12-06,15.7
2021-12-07,16.5
2021-12-08,16.6
2021-12-09,16.9
2021-12-10,17.0
2021-12-13,17.2
2021-12-14,17.3
2021-12-15,17.2
2021-12-16,17.2
2021-12-17,17.2
2021-12-20,18.4
2021-12-21,18.6
2021-12-22,19.5
2021-12-23,18.35
2021-12-24,18.15
2021-12-27,18.4
2021-12-28,18.1
2021-12-29,18.0
2021-12-30,18.0
2021-12-31,18.05
2022-01-04,17.95
2022-01-05,18.5
2022-01-06,18.65
2022-01-07,18.25
2022-01-10,18.25
2022-01-11,18.35
2022-01-12,18.3
2022-01-13,17.85
2022-01-14,17.7
2022-01-17,16.5
2022-01-18,16.6
2022-01-19,16.9
2022-01-20,17.3
2022-01-21,17.25
2022-01-24,16.1
2022-01-25,16.35
2022-01-26,16.35
2022-01-27,16.1
2022-01-28,16.35
2022-02-07,16.8
2022-02-08,17.25
2022-02-09,17.3
2022-02-10,16.7
2022-02-11,16.85
2022-02-14,17.8
2022-02-15,17.85
2022-02-16,18.05
2022-02-17,18.65
2022-02-18,19.3
2022-02-21,20.0
2022-02-22,19.7
2022-02-23,19.8
2022-02-24,19.15
2022-02-25,19.15
2022-02-28,19.8
2022-03-01,21.15
2022-03-02,22.1
2022-03-03,22.1
2022-03-04,22.0
2022-03-07,23.0
2022-03-08,21.4
2022-03-09,22.4
2022-03-10,23.85
2022-03-11,23.0
2022-03-14,23.0
2022-03-15,23.1
2022-03-16,23.0
2022-03-17,22.9
2022-03-18,22.45
2022-03-21,22.8
2022-03-22,22.8
2022-03-23,23.45
2022-03-24,23.7
2022-03-25,23.55
2022-03-28,25.15
2022-03-29,25.9
2022-03-30,26.2
2022-03-31,25.8
2022-04-01,26.7
2022-04-04,25.9
2022-04-05,26.3
2022-04-06,25.45
2022-04-07,24.5
2022-04-08,22.8
2022-04-12,24.35
2022-04-13,25.3
2022-04-14,25.3
2022-04-15,26.0
2022-04-18,27.8
2022-04-19,29.0
2022-04-20,31.0
2022-04-21,33.15
2022-04-22,30.85
2022-04-25,28.7
2022-04-26,26.7
2022-04-27,28.55
2022-04-28,28.7
2022-04-29,30.7
2022-05-04,32.2
2022-05-05,29.95
2022-05-06,30.65
2022-05-09,28.55
2022-05-10,28.5
2022-05-11,27.7
2022-05-12,25.8
2022-05-13,24.0
2022-05-16,22.35
2022-05-17,23.5
2022-05-18,23.7
2022-05-19,23.2
2022-05-20,22.85
2022-05-23,23.5
2022-05-24,24.2
