,price
2020-01-02,11.55
2020-01-03,12.0
2020-01-06,11.8
2020-01-07,11.55
2020-01-08,11.4
2020-01-09,11.35
2020-01-10,11.25
2020-01-13,11.2
2020-01-14,11.05
2020-01-15,11.0
2020-01-16,10.6
2020-01-17,10.45
2020-01-20,10.15
2020-01-21,10.0
2020-01-22,10.0
2020-01-30,9.85
2020-01-31,10.25
2020-02-03,10.0
2020-02-04,10.0
2020-02-05,9.65
2020-02-06,9.15
2020-02-07,9.63
2020-02-10,9.63
2020-02-11,9.5
2020-02-12,10.15
2020-02-13,10.15
2020-02-14,10.15
2020-02-17,10.15
2020-02-18,10.15
2020-02-19,10.2
2020-02-20,10.1
2020-02-21,10.3
2020-02-24,10.9
2020-02-25,10.7
2020-02-26,10.7
2020-02-27,10.05
2020-02-28,10.6
2020-03-02,10.7
2020-03-03,10.6
2020-03-04,10.0
2020-03-05,10.4
2020-03-06,10.4
2020-03-09,10.0
2020-03-10,10.2
2020-03-11,10.1
2020-03-12,10.3
2020-03-13,10.0
2020-03-16,10.3
2020-03-17,10.35
2020-03-18,11.0
2020-03-19,10.95
2020-03-20,10.35
2020-03-23,9.65
2020-03-24,10.1
2020-03-25,10.45
2020-03-26,10.95
2020-03-27,10.35
2020-03-30,9.63
2020-03-31,10.1
2020-04-01,9.42
2020-04-03,9.95
2020-04-06,9.95
2020-04-07,10.6
2020-04-08,10.55
2020-04-09,10.45
2020-04-10,10.45
2020-04-13,10.45
2020-04-14,10.4
2020-04-15,10.1
2020-04-16,9.46
2020-04-17,10.0
2020-04-20,10.6
2020-04-21,10.45
2020-04-22,10.1
2020-04-23,10.0
2020-04-24,10.0
2020-04-27,10.3
2020-04-28,10.25
2020-04-29,10.0
2020-05-04,10.3
2020-05-05,10.0
2020-05-06,9.94
2020-05-07,9.9
2020-05-08,9.69
2020-05-11,9.85
2020-05-12,10.05
2020-05-13,10.2
2020-05-14,10.25
2020-05-15,9.66
2020-05-18,10.0
2020-05-19,10.0
2020-05-20,10.1
2020-05-21,10.05
2020-05-22,10.15
2020-05-25,10.0
2020-05-26,10.1
2020-05-27,10.05
2020-05-28,10.0
2020-05-29,10.0
2020-06-01,9.94
2020-06-02,9.9
2020-06-03,9.87
2020-06-04,9.9
2020-06-05,9.8
2020-06-08,9.85
2020-06-09,9.9
2020-06-10,9.91
2020-06-11,9.89
2020-06-12,9.5
2020-06-15,9.9
2020-06-16,9.89
2020-06-17,9.95
2020-06-18,9.95
2020-06-19,9.98
2020-06-22,9.45
2020-06-23,9.89
2020-06-24,9.86
2020-06-25,9.76
2020-06-26,9.77
2020-06-29,9.79
2020-06-30,9.79
2020-07-01,9.74
2020-07-02,9.69
2020-07-03,9.69
2020-07-06,9.73
2020-07-07,9.69
2020-07-08,9.7
2020-07-09,9.86
2020-07-10,9.8
2020-07-13,9.9
2020-07-14,9.89
2020-07-15,10.55
2020-07-16,11.25
2020-07-17,11.6
2020-07-20,11.6
2020-07-21,11.5
2020-07-22,10.8
2020-07-23,10.05
2020-07-24,9.85
2020-07-27,9.17
2020-07-28,9.4
2020-07-29,9.45
2020-07-30,9.28
2020-07-31,9.25
2020-08-03,9.25
2020-08-04,9.3
2020-08-05,9.13
2020-08-06,9.01
2020-08-07,9.2
2020-08-10,9.2
2020-08-11,9.19
2020-08-12,9.38
2020-08-13,9.3
2020-08-14,9.27
2020-08-17,9.65
2020-08-18,9.6
2020-08-19,9.25
2020-08-20,9.27
2020-08-21,9.0
2020-08-24,8.9
2020-08-25,9.18
2020-08-26,9.18
2020-08-27,8.96
2020-08-28,9.0
2020-08-31,8.93
2020-09-01,8.95
2020-09-03,9.05
2020-09-04,9.03
2020-09-07,8.96
2020-09-08,8.7
2020-09-09,8.88
2020-09-10,8.6
2020-09-11,8.68
2020-09-14,8.9
2020-09-15,8.98
2020-09-16,8.82
2020-09-17,9.0
2020-09-18,9.02
2020-09-21,9.0
2020-09-22,8.95
2020-09-23,8.99
2020-09-24,8.99
2020-09-25,9.0
2020-09-28,9.02
2020-09-29,9.02
2020-09-30,9.01
2020-10-01,9.01
2020-10-02,9.0
2020-10-05,9.0
2020-10-06,9.1
2020-10-07,9.13
2020-10-08,9.13
2020-10-09,9.13
2020-10-12,9.1
2020-10-13,9.2
2020-10-14,9.2
2020-10-15,9.19
2020-10-16,9.25
2020-10-19,9.2
2020-10-20,9.25
2020-10-21,9.29
2020-10-22,9.29
2020-10-23,9.35
2020-10-26,9.35
2020-10-27,9.35
2020-10-28,9.3
2020-10-29,9.32
2020-10-30,9.38
2020-11-02,9.36
2020-11-03,9.37
2020-11-04,9.45
2020-11-05,9.4
2020-11-06,9.42
2020-11-09,9.4
2020-11-10,9.42
2020-11-11,9.5
2020-11-12,9.5
2020-11-13,9.7
2020-11-16,9.75
2020-11-17,10.0
2020-11-18,10.2
2020-11-19,10.4
2020-11-20,10.5
2020-11-23,10.3
2020-11-25,10.0
2020-11-26,10.05
2020-11-27,9.81
2020-11-30,10.0
2020-12-01,10.0
2020-12-02,10.05
2020-12-03,10.0
2020-12-04,10.1
2020-12-07,10.0
2020-12-08,9.95
2020-12-09,9.95
2020-12-10,9.8
2020-12-11,9.9
2020-12-14,10.55
