,price
2020-01-02,10.15
2020-01-03,10.3
2020-01-06,10.25
2020-01-07,10.25
2020-01-08,10.2
2020-01-09,10.3
2020-01-10,10.3
2020-01-13,10.0
2020-01-14,10.3
2020-01-15,10.3
2020-01-16,10.3
2020-01-17,10.35
2020-01-20,10.2
2020-01-21,10.35
2020-01-22,10.4
2020-01-30,10.2
2020-01-31,9.9
2020-02-03,9.9
2020-02-04,9.9
2020-02-05,9.9
2020-02-06,10.0
2020-02-07,10.0
2020-02-10,10.1
2020-02-11,10.1
2020-02-12,10.3
2020-02-13,10.1
2020-02-14,10.3
2020-02-17,10.35
2020-02-18,10.35
2020-02-19,9.7
2020-02-20,10.15
2020-02-21,10.15
2020-02-24,10.15
2020-02-25,10.1
2020-02-26,10.05
2020-02-27,10.2
2020-02-28,10.15
2020-03-02,9.8
2020-03-03,9.9
2020-03-04,10.1
2020-03-05,10.15
2020-03-06,10.1
2020-03-09,10.2
2020-03-10,10.1
2020-03-11,10.0
2020-03-12,9.9
2020-03-13,9.8
2020-03-16,9.9
2020-03-17,9.9
2020-03-18,9.9
2020-03-19,9.9
2020-03-20,9.9
2020-03-23,10.0
2020-03-24,10.0
2020-03-25,10.0
2020-03-26,10.0
2020-03-27,10.0
2020-03-30,10.0
2020-03-31,10.0
2020-04-01,10.0
2020-04-03,10.05
2020-04-06,10.75
2020-04-07,11.5
2020-04-08,11.5
2020-04-09,10.95
2020-04-10,10.7
2020-04-13,11.2
2020-04-14,11.4
2020-04-15,12.15
2020-04-16,13.0
2020-04-17,13.9
2020-04-20,13.5
2020-04-21,12.6
2020-04-22,11.75
2020-04-23,11.45
2020-04-24,12.1
2020-04-27,12.0
2020-04-28,12.05
2020-04-29,12.85
2020-05-04,12.4
2020-05-05,12.25
2020-05-06,12.1
2020-05-07,12.05
2020-05-08,12.2
2020-05-11,12.2
2020-05-12,13.0
2020-05-13,12.8
2020-05-14,12.8
2020-05-15,12.7
2020-05-18,12.9
2020-05-19,12.9
2020-05-20,12.9
2020-05-21,12.9
