,price
2020-01-02,20.0
2020-01-03,20.2
2020-01-06,20.2
2020-01-07,20.2
2020-01-08,20.0
2020-01-09,19.9
2020-01-10,19.8
2020-01-13,19.4
2020-01-14,19.55
2020-01-15,19.15
2020-01-16,19.0
2020-01-17,19.95
2020-01-20,19.95
2020-01-21,19.9
2020-01-22,20.1
2020-01-30,19.3
2020-01-31,20.0
2020-02-03,18.6
2020-02-04,18.8
2020-02-05,19.0
2020-02-06,19.0
2020-02-07,18.95
2020-02-10,18.9
2020-02-11,18.6
2020-02-12,18.85
2020-02-13,18.7
2020-02-14,18.6
2020-02-17,18.5
2020-02-18,18.55
2020-02-19,18.7
2020-02-20,18.8
2020-02-21,18.8
2020-02-24,18.5
2020-02-25,18.0
2020-02-26,18.0
2020-02-27,17.8
2020-02-28,17.8
2020-03-02,17.75
2020-03-03,17.7
2020-03-04,17.95
2020-03-05,18.4
2020-03-06,18.1
2020-03-09,16.85
2020-03-10,16.85
2020-03-11,15.9
2020-03-12,15.0
2020-03-13,14.9
2020-03-16,14.9
2020-03-17,15.0
2020-03-18,15.0
2020-03-19,14.65
2020-03-20,14.6
2020-03-23,13.6
2020-03-24,13.6
2020-03-25,13.85
2020-03-26,13.8
2020-03-27,13.8
2020-03-30,13.5
2020-03-31,13.0
2020-04-01,13.6
2020-04-03,13.6
2020-04-06,13.7
2020-04-07,14.4
2020-04-08,15.3
2020-04-09,15.3
2020-04-10,15.0
2020-04-13,14.9
2020-04-14,14.9
2020-04-15,14.5
2020-04-16,13.5
2020-04-17,14.4
2020-04-20,15.4
2020-04-21,16.45
2020-04-22,16.55
2020-04-23,16.6
2020-04-24,16.9
2020-04-27,16.5
2020-04-28,16.1
2020-04-29,16.5
2020-05-04,17.0
2020-05-05,17.2
2020-05-06,17.9
2020-05-07,18.0
2020-05-08,18.0
2020-05-11,17.7
2020-05-12,17.7
2020-05-13,17.2
2020-05-14,17.9
2020-05-15,17.55
2020-05-18,18.15
2020-05-19,17.9
2020-05-20,17.9
2020-05-21,17.7
2020-05-22,17.65
2020-05-25,17.7
2020-05-26,18.0
2020-05-27,17.8
2020-05-28,18.0
2020-05-29,17.95
2020-06-01,17.6
2020-06-02,17.4
2020-06-03,17.8
2020-06-04,18.2
2020-06-05,19.45
2020-06-08,20.8
2020-06-09,22.25
2020-06-10,23.8
2020-06-11,23.8
2020-06-12,22.8
2020-06-15,21.3
2020-06-16,21.8
2020-06-17,21.45
2020-06-18,20.75
2020-06-19,21.5
2020-06-22,21.0
2020-06-23,21.4
2020-06-24,20.5
2020-06-25,20.2
2020-06-26,19.9
2020-06-29,18.55
2020-06-30,18.0
2020-07-01,17.9
2020-07-02,17.7
2020-07-03,18.0
2020-07-06,19.25
2020-07-07,20.55
2020-07-08,20.4
2020-07-09,19.8
2020-07-10,19.4
2020-07-13,19.5
2020-07-14,19.7
2020-07-15,21.05
2020-07-16,21.15
2020-07-17,21.15
2020-07-20,20.2
2020-07-21,19.7
2020-07-22,19.6
2020-07-23,19.8
2020-07-24,18.45
2020-07-27,17.2
2020-07-28,18.0
2020-07-29,17.4
2020-07-30,17.65
2020-07-31,17.65
2020-08-03,18.2
2020-08-04,18.2
2020-08-05,18.2
2020-08-06,18.0
2020-08-07,18.3
2020-08-10,18.35
2020-08-11,18.5
2020-08-12,18.75
2020-08-13,19.3
2020-08-14,19.0
2020-08-17,18.9
2020-08-18,18.6
2020-08-19,18.9
2020-08-20,18.85
2020-08-21,18.85
2020-08-24,19.4
2020-08-25,19.7
2020-08-26,19.55
2020-08-27,19.3
2020-08-28,19.8
2020-08-31,20.8
2020-09-01,20.7
2020-09-03,20.7
2020-09-04,19.7
2020-09-07,19.8
2020-09-08,20.0
2020-09-09,19.8
2020-09-10,20.0
2020-09-11,20.0
2020-09-14,21.4
2020-09-15,21.7
2020-09-16,21.7
2020-09-17,21.4
2020-09-18,21.5
2020-09-21,21.55
2020-09-22,21.0
2020-09-23,21.3
2020-09-24,21.3
2020-09-25,21.4
2020-09-28,21.3
2020-09-29,20.25
2020-09-30,20.85
2020-10-01,21.0
2020-10-02,21.0
2020-10-05,21.0
2020-10-06,22.45
2020-10-07,22.5
2020-10-08,22.6
2020-10-09,22.2
2020-10-12,21.1
2020-10-13,21.95
2020-10-14,21.4
2020-10-15,21.0
2020-10-16,20.8
2020-10-19,20.8
2020-10-20,21.0
2020-10-21,20.75
2020-10-22,20.95
2020-10-23,20.7
2020-10-26,20.55
2020-10-27,20.2
2020-10-28,19.35
2020-10-29,19.0
2020-10-30,19.0
2020-11-02,19.15
2020-11-03,19.35
2020-11-04,20.15
2020-11-05,19.6
2020-11-06,19.75
2020-11-09,19.95
2020-11-10,19.6
2020-11-11,19.7
2020-11-12,19.75
2020-11-13,19.8
2020-11-16,19.65
2020-11-17,19.7
2020-11-18,20.25
2020-11-19,20.0
2020-11-20,20.0
2020-11-23,20.3
2020-11-24,20.2
2020-11-25,21.45
2020-11-26,21.55
2020-11-27,21.6
2020-11-30,23.1
2020-12-01,23.5
2020-12-02,23.3
2020-12-03,23.0
2020-12-04,22.8
2020-12-07,22.3
2020-12-08,22.4
2020-12-09,22.9
2020-12-10,22.0
2020-12-11,22.1
2020-12-14,22.5
2020-12-15,22.15
2020-12-16,23.0
2020-12-17,22.4
2020-12-18,22.85
2020-12-21,24.4
2020-12-22,25.3
2020-12-23,24.6
2020-12-24,23.35
2020-12-25,23.9
2020-12-28,23.65
2020-12-29,23.65
2020-12-30,24.0
2020-12-31,24.3
2021-01-04,24.3
2021-01-05,25.95
2021-01-06,26.0
2021-01-07,25.8
2021-01-08,26.3
2021-01-11,27.55
2021-01-12,29.0
2021-01-13,28.1
2021-01-14,28.6
2021-01-15,28.4
2021-01-18,29.0
2021-01-19,27.0
2021-01-20,26.0
2021-01-21,26.5
2021-01-22,25.0
2021-01-25,24.8
2021-01-26,23.3
2021-01-27,22.4
2021-01-28,20.85
2021-01-29,20.5
2021-02-01,20.5
2021-02-02,20.2
2021-02-03,21.3
2021-02-04,21.5
2021-02-05,21.8
2021-02-08,20.4
2021-02-09,21.1
2021-02-17,22.2
2021-02-18,22.1
2021-02-19,22.5
2021-02-22,22.7
2021-02-23,23.4
2021-02-24,22.6
2021-02-25,22.3
2021-02-26,22.8
2021-03-01,22.9
2021-03-02,22.85
2021-03-03,23.8
2021-03-04,22.8
2021-03-05,23.0
2021-03-08,23.1
2021-03-09,24.7
2021-03-10,24.7
2021-03-11,24.4
2021-03-12,24.3
2021-03-15,25.4
2021-03-16,25.0
2021-03-17,25.1
2021-03-18,25.1
2021-03-19,24.7
2021-03-22,24.6
2021-03-23,24.35
2021-03-24,23.2
2021-03-25,23.25
2021-03-26,23.0
2021-03-29,23.5
2021-03-30,24.3
2021-03-31,24.5
2021-04-01,24.9
2021-04-02,24.3
2021-04-05,24.0
2021-04-06,23.9
2021-04-07,24.3
2021-04-08,23.8
2021-04-09,24.35
2021-04-12,25.3
2021-04-13,24.5
2021-04-14,24.3
2021-04-15,23.5
2021-04-16,23.2
2021-04-19,23.4
2021-04-20,23.05
2021-04-22,22.7
2021-04-23,22.6
2021-04-26,22.2
2021-04-27,22.2
2021-04-28,22.35
2021-04-29,22.35
2021-05-04,22.3
2021-05-05,22.3
2021-05-06,22.55
2021-05-07,23.0
2021-05-10,22.75
2021-05-11,22.55
2021-05-12,22.6
2021-05-13,22.35
2021-05-14,22.3
2021-05-17,22.1
2021-05-18,22.0
2021-05-19,21.7
2021-05-20,21.5
2021-05-21,21.65
2021-05-24,21.95
2021-05-25,21.6
2021-05-26,21.5
2021-05-27,21.4
2021-05-28,21.3
2021-05-31,20.9
2021-06-01,20.7
2021-06-02,21.0
2021-06-03,21.5
2021-06-04,21.4
2021-06-07,21.3
2021-06-08,21.3
2021-06-09,21.0
2021-06-10,21.3
2021-06-11,21.2
2021-06-14,21.25
2021-06-15,22.0
2021-06-16,22.0
2021-06-17,22.9
2021-06-18,23.0
2021-06-21,24.3
2021-06-22,23.5
2021-06-23,23.4
2021-06-24,22.6
2021-06-25,23.1
2021-06-28,22.95
2021-06-29,23.25
2021-06-30,22.0
2021-07-01,22.8
2021-07-02,22.8
2021-07-05,22.6
2021-07-06,21.35
2021-07-07,22.3
2021-07-08,22.3
2021-07-09,21.95
2021-07-12,20.6
2021-07-13,21.3
2021-07-14,21.4
2021-07-15,21.45
2021-07-16,21.3
2021-07-19,20.8
2021-07-20,20.5
2021-07-21,20.45
2021-07-22,20.8
2021-07-23,20.6
2021-07-26,20.5
2021-07-27,20.65
2021-07-28,21.0
2021-07-29,21.0
2021-07-30,20.4
2021-08-02,20.75
2021-08-03,20.7
2021-08-04,20.5
2021-08-05,20.55
2021-08-06,20.7
2021-08-09,20.5
2021-08-10,20.5
2021-08-11,20.8
2021-08-12,20.5
2021-08-13,20.3
2021-08-16,20.7
2021-08-17,20.55
2021-08-18,20.35
2021-08-19,21.75
2021-08-20,22.25
2021-08-23,21.5
2021-08-24,20.75
2021-08-25,20.8
2021-08-26,20.65
2021-08-27,20.75
2021-08-30,21.25
2021-08-31,21.4
2021-09-01,21.0
2021-09-06,21.35
2021-09-07,21.05
2021-09-08,21.0
2021-09-09,20.95
2021-09-10,21.4
2021-09-13,22.0
2021-09-14,22.0
2021-09-15,22.35
2021-09-16,22.8
2021-09-17,22.8
2021-09-20,22.35
2021-09-21,21.9
2021-09-22,22.7
2021-09-23,23.2
2021-09-24,23.65
2021-09-27,22.8
2021-09-28,22.7
2021-09-29,22.95
2021-09-30,23.35
2021-10-01,23.2
2021-10-04,23.0
2021-10-05,23.0
2021-10-06,22.85
2021-10-07,22.95
2021-10-08,22.8
2021-10-11,23.2
2021-10-12,23.25
2021-10-13,22.9
2021-10-14,23.0
2021-10-15,23.0
2021-10-18,22.6
2021-10-19,22.9
2021-10-20,22.35
2021-10-21,22.2
2021-10-22,22.2
2021-10-25,22.5
2021-10-26,22.5
2021-10-27,22.45
2021-10-28,22.6
2021-10-29,22.6
2021-11-01,22.7
2021-11-02,24.25
2021-11-03,24.0
2021-11-04,23.6
2021-11-05,24.3
2021-11-08,25.0
2021-11-09,25.1
2021-11-10,26.85
2021-11-11,28.7
2021-11-12,28.9
2021-11-15,29.9
2021-11-16,28.5
2021-11-17,28.5
2021-11-18,28.2
2021-11-19,26.8
2021-11-22,24.95
2021-11-23,26.4
2021-11-24,26.2
2021-11-25,25.85
2021-11-26,25.25
2021-11-29,27.0
2021-11-30,27.0
2021-12-01,27.0
2021-12-02,27.0
2021-12-03,26.2
2021-12-06,25.0
2021-12-07,25.0
2021-12-08,24.9
2021-12-09,25.5
2021-12-10,25.5
2021-12-13,25.5
2021-12-14,25.5
2021-12-15,26.0
2021-12-16,26.0
2021-12-17,25.45
2021-12-20,25.25
2021-12-21,26.0
2021-12-22,26.15
2021-12-23,25.9
2021-12-24,25.9
2021-12-27,25.85
2021-12-28,25.8
2021-12-29,25.6
2021-12-30,25.6
2021-12-31,25.6
2022-01-04,27.35
2022-01-05,29.25
2022-01-06,29.65
2022-01-07,29.45
2022-01-10,28.0
2022-01-11,29.95
2022-01-12,30.75
2022-01-13,30.0
2022-01-14,29.4
2022-01-17,28.0
2022-01-18,26.75
2022-01-19,26.75
2022-01-20,27.75
2022-01-21,26.9
2022-01-24,26.0
2022-01-25,24.7
2022-01-26,24.65
2022-01-27,24.1
2022-01-28,24.4
2022-02-07,25.25
2022-02-08,25.9
2022-02-09,25.75
2022-02-10,25.95
2022-02-11,25.85
2022-02-14,24.9
2022-02-15,25.1
2022-02-16,25.4
2022-02-17,25.55
2022-02-18,25.35
2022-02-21,25.1
2022-02-22,25.15
2022-02-23,26.1
2022-02-24,25.6
2022-02-25,25.75
2022-02-28,25.4
2022-03-01,26.0
