,price
2020-07-28,49.8
2020-07-29,53.2
2020-07-30,56.9
2020-07-31,60.3
2020-08-03,57.0
2020-08-04,60.9
2020-08-05,65.0
2020-08-06,67.9
2020-08-07,68.5
2020-08-10,64.5
2020-08-11,65.1
2020-08-12,66.6
2020-08-13,68.7
2020-08-14,70.7
2020-08-17,68.0
2020-08-18,70.0
2020-08-19,72.5
2020-08-20,72.5
2020-08-21,74.6
2020-08-24,74.7
2020-08-25,74.5
2020-08-26,73.6
2020-08-27,74.0
2020-08-28,73.6
2020-08-31,73.3
2020-09-01,73.8
2020-09-03,74.0
2020-09-04,73.4
2020-09-07,73.6
2020-09-08,73.7
2020-09-09,73.0
2020-09-10,73.0
2020-09-11,74.1
2020-09-14,75.4
2020-09-15,75.1
2020-09-16,75.0
2020-09-17,75.0
2020-09-18,74.8
2020-09-21,74.9
2020-09-22,75.0
2020-09-23,75.2
2020-09-24,75.0
2020-09-25,74.6
2020-09-28,74.9
2020-09-29,74.2
2020-09-30,74.4
2020-10-01,74.7
2020-10-02,74.1
2020-10-05,74.2
2020-10-06,74.3
2020-10-07,74.0
2020-10-08,73.8
2020-10-09,73.5
2020-10-12,72.8
2020-10-13,72.2
2020-10-14,72.8
2020-10-15,72.0
2020-10-16,71.9
2020-10-19,72.8
2020-10-20,72.5
2020-10-21,72.1
2020-10-22,72.7
2020-10-23,73.5
2020-10-26,73.6
2020-10-27,72.6
2020-10-28,71.9
2020-10-29,70.6
2020-10-30,74.5
2020-11-02,75.2
2020-11-03,74.6
2020-11-04,74.1
2020-11-05,74.0
2020-11-06,74.2
2020-11-09,75.1
2020-11-10,75.0
2020-11-11,80.2
2020-11-12,81.8
2020-11-13,81.5
2020-11-16,81.1
2020-11-17,80.4
2020-11-18,81.3
2020-11-19,86.6
2020-11-20,86.2
2020-11-23,86.2
2020-11-24,85.3
2020-11-25,86.8
2020-11-26,86.9
2020-11-27,92.4
2020-11-30,90.6
2020-12-01,89.1
2020-12-02,90.2
2020-12-03,89.8
2020-12-04,89.9
2020-12-07,90.1
2020-12-08,89.9
2020-12-09,89.8
2020-12-10,89.0
2020-12-11,88.0
2020-12-14,89.4
2020-12-15,88.8
2020-12-16,85.3
2020-12-17,81.9
2020-12-18,76.2
2020-12-21,79.7
2020-12-22,77.7
2020-12-23,75.4
2020-12-24,73.8
2020-12-25,76.3
2020-12-28,75.9
2020-12-29,74.5
2020-12-30,74.4
2020-12-31,74.8
2021-01-04,73.3
2021-01-05,72.5
2021-01-06,72.3
2021-01-07,72.5
2021-01-08,71.0
2021-01-11,68.2
2021-01-12,69.4
2021-01-13,70.4
2021-01-14,70.3
2021-01-15,69.7
2021-01-18,68.3
2021-01-19,65.0
2021-01-20,63.0
2021-01-21,65.5
2021-01-22,65.5
2021-01-25,65.2
2021-01-26,63.9
2021-01-27,60.3
2021-01-28,56.1
2021-01-29,56.8
2021-02-01,55.7
2021-02-02,57.3
2021-02-03,60.3
2021-02-04,62.5
2021-02-05,62.6
2021-02-08,62.7
2021-02-09,66.8
2021-02-17,68.0
2021-02-18,67.8
2021-02-19,67.0
2021-02-22,66.6
2021-02-23,69.6
2021-02-24,68.6
2021-02-25,68.5
2021-02-26,68.5
2021-03-01,67.8
2021-03-02,66.6
2021-03-03,52.4
2021-03-04,50.2
2021-03-05,50.0
2021-03-08,50.1
2021-03-09,49.4
2021-03-10,50.4
2021-03-11,50.5
2021-03-12,49.9
2021-03-15,49.3
2021-03-16,49.3
2021-03-17,49.5
2021-03-18,49.5
2021-03-19,49.3
2021-03-22,49.1
2021-03-23,48.9
2021-03-24,48.8
2021-03-25,48.5
2021-03-26,48.5
2021-03-29,48.75
2021-03-30,48.7
2021-03-31,48.7
2021-04-01,48.45
2021-04-02,48.6
2021-04-05,48.7
2021-04-06,48.7
2021-04-07,51.1
2021-04-08,50.7
2021-04-09,50.7
2021-04-12,50.0
2021-04-13,49.5
2021-04-14,49.6
2021-04-15,49.6
2021-04-16,49.7
2021-04-19,49.5
2021-04-20,50.4
2021-04-22,49.2
2021-04-23,50.9
2021-04-26,52.9
2021-04-27,54.3
2021-04-28,54.4
2021-04-29,53.6
2021-05-04,54.2
2021-05-05,53.6
2021-05-06,53.6
2021-05-07,54.0
2021-05-10,56.8
2021-05-11,57.3
2021-05-12,57.0
2021-05-13,57.1
2021-05-14,57.0
2021-05-17,57.4
2021-05-18,56.3
2021-05-19,56.7
2021-05-20,59.0
2021-05-21,58.8
2021-05-24,61.5
2021-05-25,62.9
2021-05-26,63.4
2021-05-27,67.8
2021-05-28,70.5
2021-05-31,73.3
2021-06-01,68.3
2021-06-02,63.6
2021-06-03,62.4
2021-06-04,62.4
2021-06-07,62.0
2021-06-08,60.2
2021-06-09,60.2
2021-06-10,63.0
2021-06-11,62.7
2021-06-14,62.7
2021-06-15,62.5
2021-06-16,62.5
2021-06-17,62.8
2021-06-18,66.8
2021-06-21,63.0
2021-06-22,61.6
2021-06-23,61.0
2021-06-24,58.8
2021-06-25,59.6
2021-06-28,58.9
2021-06-29,59.3
2021-06-30,58.6
2021-07-01,58.5
2021-07-02,57.0
2021-07-05,55.3
2021-07-06,55.2
2021-07-07,55.2
2021-07-08,56.5
2021-07-09,54.3
2021-07-12,50.5
2021-07-13,49.9
2021-07-14,50.0
2021-07-15,51.0
2021-07-16,51.0
2021-07-19,47.9
2021-07-20,45.2
2021-07-21,45.5
2021-07-22,46.2
2021-07-23,45.4
2021-07-26,43.9
2021-07-27,44.3
2021-07-28,44.4
2021-07-29,45.4
2021-07-30,45.75
2021-08-02,46.2
2021-08-03,45.2
2021-08-04,45.0
2021-08-05,45.0
2021-08-06,46.9
2021-08-09,49.6
2021-08-10,48.4
2021-08-11,47.5
2021-08-12,45.8
2021-08-13,46.8
2021-08-16,48.8
2021-08-17,47.5
2021-08-18,47.2
2021-08-19,50.5
2021-08-20,51.5
2021-08-23,50.9
2021-08-24,48.9
2021-08-25,47.5
2021-08-26,47.0
2021-08-27,50.2
2021-08-30,53.7
2021-08-31,53.7
2021-09-01,53.0
2021-09-06,55.2
2021-09-07,51.4
2021-09-08,51.9
2021-09-09,51.2
2021-09-10,50.5
2021-09-13,50.0
2021-09-14,47.0
2021-09-15,48.0
2021-09-16,46.3
2021-09-17,43.2
2021-09-20,44.4
2021-09-21,44.6
2021-09-22,44.2
2021-09-23,44.4
2021-09-24,44.2
2021-09-27,42.0
2021-09-28,41.45
2021-09-29,40.6
2021-09-30,40.6
2021-10-01,40.3
2021-10-04,41.6
2021-10-05,42.45
2021-10-06,42.2
2021-10-07,41.2
2021-10-08,41.0
2021-10-11,41.2
2021-10-12,42.45
2021-10-13,41.8
2021-10-14,41.85
2021-10-15,42.0
2021-10-18,41.9
2021-10-19,41.4
2021-10-20,41.0
2021-10-21,40.55
2021-10-22,41.1
2021-10-25,42.2
2021-10-26,42.0
2021-10-27,42.0
2021-10-28,42.0
2021-10-29,42.0
2021-11-01,42.9
2021-11-02,43.9
2021-11-03,42.0
2021-11-04,41.4
2021-11-05,42.2
2021-11-08,42.3
2021-11-09,42.0
2021-11-10,43.5
2021-11-11,44.95
