,price
2020-01-02,6.68
2020-01-03,6.64
2020-01-06,6.51
2020-01-07,6.64
2020-01-08,6.5
2020-01-09,6.5
2020-01-10,6.4
2020-01-13,6.19
2020-01-14,6.23
2020-01-15,6.23
2020-01-16,6.23
2020-01-17,6.2
2020-01-20,6.2
2020-01-21,6.34
2020-01-22,6.5
2020-01-30,6.38
2020-01-31,5.94
2020-02-03,5.63
2020-02-04,5.66
2020-02-05,5.66
2020-02-06,5.86
2020-02-07,5.81
2020-02-10,5.7
2020-02-11,5.7
2020-02-12,5.75
2020-02-13,5.84
2020-02-14,5.8
2020-02-17,5.75
2020-02-18,5.79
2020-02-19,5.87
2020-02-20,5.98
2020-02-21,5.85
2020-02-24,5.5
2020-02-25,5.52
2020-02-26,5.45
2020-02-27,5.6
2020-02-28,5.8
2020-03-02,5.74
2020-03-03,5.82
2020-03-04,5.77
2020-03-05,5.68
2020-03-06,5.94
2020-03-09,5.53
2020-03-10,5.61
2020-03-11,5.55
2020-03-12,5.2
2020-03-13,5.2
2020-03-16,5.1
2020-03-17,5.13
2020-03-18,5.14
2020-03-19,4.95
2020-03-20,4.95
2020-03-23,4.61
2020-03-24,4.4
2020-03-25,4.52
2020-03-26,4.23
2020-03-27,3.94
2020-03-30,3.67
2020-03-31,3.42
2020-04-01,3.4
2020-04-03,3.63
2020-04-06,3.88
2020-04-07,4.15
2020-04-08,4.3
2020-04-09,4.38
2020-04-10,4.25
2020-04-13,4.26
2020-04-14,4.55
2020-04-15,4.78
2020-04-16,4.8
2020-04-17,4.76
2020-04-20,4.75
2020-04-21,4.42
2020-04-22,4.57
2020-04-23,4.51
2020-04-24,4.51
2020-04-27,4.59
2020-04-28,4.64
2020-04-29,4.64
2020-05-04,4.96
2020-05-05,5.0
2020-05-06,5.0
2020-05-07,5.12
2020-05-08,5.07
2020-05-11,5.19
2020-05-12,5.2
2020-05-13,5.38
2020-05-14,5.63
2020-05-15,5.39
2020-05-18,5.43
2020-05-19,5.38
2020-05-20,5.38
2020-05-21,5.41
2020-05-22,5.35
2020-05-25,5.44
2020-05-26,5.55
2020-05-27,5.42
2020-05-28,5.41
2020-05-29,5.37
2020-06-01,5.74
2020-06-02,5.83
2020-06-03,5.85
2020-06-04,5.88
2020-06-05,6.22
2020-06-08,6.65
2020-06-09,6.59
2020-06-10,6.65
2020-06-11,6.2
2020-06-12,5.88
