,price
2020-01-02,85.0
2020-01-03,84.2
2020-01-06,89.0
2020-01-07,88.0
2020-01-08,83.9
2020-01-09,84.5
2020-01-10,83.0
2020-01-13,82.5
2020-01-14,84.7
2020-01-15,85.0
2020-01-16,84.6
2020-01-17,84.8
2020-01-20,85.5
2020-01-21,86.3
2020-01-22,87.0
2020-01-30,84.0
2020-01-31,81.5
2020-02-03,82.0
2020-02-04,79.0
2020-02-05,79.0
2020-02-06,78.0
2020-02-07,77.3
2020-02-10,75.8
2020-02-11,76.5
2020-02-12,77.0
2020-02-13,77.8
2020-02-14,78.9
2020-02-17,77.9
2020-02-18,75.4
2020-02-19,72.9
2020-02-20,72.5
2020-02-21,69.5
2020-02-24,67.0
2020-02-25,62.8
2020-02-26,59.3
2020-02-27,55.2
2020-02-28,59.0
2020-03-02,62.0
2020-03-03,63.0
2020-03-04,61.0
2020-03-05,62.3
2020-03-06,60.0
2020-03-09,55.8
2020-03-10,55.0
2020-03-11,54.0
2020-03-12,50.8
2020-03-13,50.8
2020-03-16,48.9
2020-03-17,47.5
2020-03-18,48.5
2020-03-19,46.45
2020-03-20,46.2
2020-03-23,43.0
2020-03-24,43.0
2020-03-25,45.95
2020-03-26,42.75
2020-03-27,43.0
2020-03-30,41.0
2020-03-31,41.0
2020-04-01,41.5
2020-04-03,43.5
2020-04-06,46.5
2020-04-07,44.9
2020-04-08,43.0
2020-04-09,45.0
2020-04-10,47.25
2020-04-13,50.3
2020-04-14,47.5
2020-04-15,49.0
2020-04-16,51.0
2020-04-17,53.0
2020-04-20,56.3
2020-04-21,54.2
2020-04-22,54.5
2020-04-23,54.9
2020-04-24,53.8
2020-04-27,51.0
2020-04-28,51.7
2020-04-29,53.6
2020-05-04,52.5
2020-05-05,51.8
2020-05-06,51.0
2020-05-07,51.7
2020-05-08,52.3
2020-05-11,51.8
2020-05-12,55.0
2020-05-13,56.4
2020-05-14,56.0
2020-05-15,53.9
2020-05-18,53.8
2020-05-19,55.0
2020-05-20,55.2
2020-05-21,54.3
2020-05-22,53.0
2020-05-25,53.8
2020-05-26,53.8
2020-05-27,54.6
2020-05-28,54.0
2020-05-29,54.1
2020-06-01,54.2
2020-06-02,54.8
2020-06-03,53.8
2020-06-04,55.5
2020-06-05,55.2
2020-06-08,58.0
2020-06-09,58.5
2020-06-10,57.6
2020-06-11,53.6
2020-06-12,53.0
2020-06-15,51.1
2020-06-16,52.0
2020-06-17,52.3
2020-06-18,52.3
2020-06-19,52.5
2020-06-22,51.8
2020-06-23,52.1
2020-06-24,51.5
2020-06-25,51.1
2020-06-26,51.2
2020-06-29,50.4
2020-06-30,49.3
2020-07-01,50.0
2020-07-02,49.9
2020-07-03,50.2
2020-07-06,51.9
2020-07-07,51.3
2020-07-08,50.7
2020-07-09,51.0
2020-07-10,50.9
2020-07-13,51.0
2020-07-14,51.0
2020-07-15,51.0
2020-07-16,50.9
2020-07-17,50.8
2020-07-20,50.6
2020-07-21,50.5
2020-07-22,49.8
2020-07-23,49.8
2020-07-24,46.5
2020-07-27,43.25
2020-07-28,45.95
2020-07-29,43.0
2020-07-30,41.95
2020-07-31,41.5
2020-08-03,43.4
2020-08-04,43.5
2020-08-05,44.5
2020-08-06,43.7
2020-08-07,42.8
2020-08-10,42.9
2020-08-11,43.75
2020-08-12,44.2
2020-08-13,45.65
2020-08-14,46.6
2020-08-17,45.5
2020-08-18,45.4
2020-08-19,44.9
2020-08-20,45.0
2020-08-21,45.3
2020-08-24,46.5
2020-08-25,46.1
2020-08-26,45.4
2020-08-27,45.65
2020-08-28,45.7
2020-08-31,47.5
2020-09-01,49.2
2020-09-03,48.6
2020-09-04,49.0
2020-09-07,49.1
2020-09-08,49.0
2020-09-09,49.0
2020-09-10,48.8
2020-09-11,48.3
2020-09-14,49.5
2020-09-15,49.2
2020-09-16,51.3
2020-09-17,51.2
2020-09-18,50.9
2020-09-21,52.0
2020-09-22,52.7
2020-09-23,52.9
2020-09-24,51.5
2020-09-25,51.5
2020-09-28,51.4
2020-09-29,50.6
2020-09-30,50.6
2020-10-01,50.9
2020-10-02,50.2
2020-10-05,50.9
2020-10-06,50.9
2020-10-07,50.5
2020-10-08,50.3
2020-10-09,49.7
2020-10-12,49.7
2020-10-13,49.6
2020-10-14,49.7
2020-10-15,50.5
2020-10-16,50.7
2020-10-19,50.0
2020-10-20,49.6
2020-10-21,49.5
2020-10-22,49.6
2020-10-23,49.7
2020-10-26,49.55
2020-10-27,48.2
2020-10-28,45.2
2020-10-29,46.8
2020-10-30,46.6
2020-11-02,46.9
2020-11-03,47.2
2020-11-04,47.45
2020-11-05,47.5
2020-11-06,47.5
2020-11-09,48.0
2020-11-10,51.3
2020-11-11,51.7
2020-11-12,51.2
2020-11-13,51.3
2020-11-16,50.7
2020-11-17,51.2
2020-11-18,50.8
2020-11-19,51.9
2020-11-20,54.0
2020-11-23,54.4
2020-11-24,53.0
2020-11-25,53.0
2020-11-26,53.0
2020-11-27,53.2
2020-11-30,53.3
2020-12-01,54.5
2020-12-02,54.0
2020-12-03,54.1
2020-12-04,54.0
2020-12-07,54.7
2020-12-08,55.3
2020-12-09,56.2
2020-12-10,55.4
2020-12-11,55.8
2020-12-14,55.9
2020-12-15,56.3
2020-12-16,56.6
2020-12-17,55.6
2020-12-18,55.8
2020-12-21,55.3
2020-12-22,55.3
2020-12-23,55.0
2020-12-24,55.0
2020-12-25,55.3
2020-12-28,55.2
2020-12-29,56.3
2020-12-30,57.5
2020-12-31,57.4
2021-01-04,57.3
2021-01-05,57.2
2021-01-06,57.2
2021-01-07,57.0
2021-01-08,57.2
2021-01-11,57.8
2021-01-12,59.7
2021-01-13,58.6
2021-01-14,60.0
2021-01-15,59.3
2021-01-18,59.5
2021-01-19,59.4
2021-01-20,62.9
2021-01-21,62.5
2021-01-22,64.0
2021-01-25,63.4
2021-01-26,61.4
2021-01-27,61.0
2021-01-28,56.8
2021-01-29,58.5
2021-02-01,56.0
2021-02-02,56.7
2021-02-03,57.0
2021-02-04,58.0
2021-02-05,58.6
2021-02-08,57.5
2021-02-09,58.5
2021-02-17,59.5
2021-02-18,60.2
2021-02-19,60.4
2021-02-22,61.5
2021-02-23,63.3
2021-02-24,62.0
2021-02-25,63.0
2021-02-26,63.9
2021-03-01,63.9
2021-03-02,64.0
2021-03-03,65.2
2021-03-04,65.6
2021-03-05,64.6
2021-03-08,64.1
2021-03-09,63.5
2021-03-10,63.6
2021-03-11,63.1
2021-03-12,62.7
2021-03-15,62.1
2021-03-16,62.4
2021-03-17,62.3
2021-03-18,62.3
2021-03-19,62.0
2021-03-22,62.0
2021-03-23,61.0
2021-03-24,60.8
2021-03-25,60.0
2021-03-26,59.3
2021-03-29,60.0
2021-03-30,61.6
2021-03-31,61.5
2021-04-01,62.0
2021-04-02,62.2
2021-04-05,60.5
2021-04-06,60.5
2021-04-07,61.5
2021-04-08,61.8
2021-04-09,61.7
2021-04-12,60.4
2021-04-13,59.9
2021-04-14,59.6
2021-04-15,58.9
2021-04-16,57.5
2021-04-19,57.0
2021-04-20,57.2
2021-04-22,55.5
2021-04-23,56.0
2021-04-26,54.6
2021-04-27,54.0
2021-04-28,54.0
2021-04-29,55.4
2021-05-04,55.0
2021-05-05,54.2
2021-05-06,53.5
2021-05-07,51.9
2021-05-10,50.6
2021-05-11,51.0
2021-05-12,51.8
2021-05-13,51.2
2021-05-14,51.0
2021-05-17,48.2
2021-05-18,46.0
2021-05-19,48.5
2021-05-20,49.9
2021-05-21,49.9
2021-05-24,50.0
2021-05-25,48.6
2021-05-26,47.9
2021-05-27,46.5
2021-05-28,47.0
2021-05-31,46.65
2021-06-01,46.35
2021-06-02,46.2
2021-06-03,47.35
2021-06-04,47.5
2021-06-07,47.2
2021-06-08,47.15
2021-06-09,49.0
2021-06-10,50.9
2021-06-11,50.3
2021-06-14,51.2
2021-06-15,51.0
2021-06-16,51.4
2021-06-17,51.2
2021-06-18,51.5
2021-06-21,52.2
2021-06-22,52.4
2021-06-23,51.9
2021-06-24,51.2
