,price
2020-01-02,58.4
2020-01-03,58.4
2020-01-06,59.3
2020-01-07,59.4
2020-01-08,59.4
2020-01-09,59.4
2020-01-10,58.2
2020-01-13,56.6
2020-01-14,59.8
2020-01-15,59.8
2020-01-16,56.5
2020-01-17,55.1
2020-01-20,55.1
2020-01-21,57.8
2020-01-22,59.9
2020-01-30,58.7
2020-01-31,58.3
2020-02-03,56.4
2020-02-04,53.0
2020-02-05,56.5
2020-02-06,56.5
2020-02-07,55.2
2020-02-10,56.9
2020-02-11,56.4
2020-02-12,56.4
2020-02-13,55.6
2020-02-14,55.1
2020-02-17,55.1
2020-02-18,55.1
2020-02-19,55.1
2020-02-20,54.1
2020-02-21,54.4
2020-02-24,54.4
2020-02-25,51.0
2020-02-26,53.9
2020-02-27,53.9
2020-02-28,53.8
2020-03-02,53.8
2020-03-03,52.5
2020-03-04,51.0
2020-03-05,50.9
2020-03-06,48.8
2020-03-09,48.5
2020-03-10,48.2
2020-03-11,48.1
2020-03-12,47.6
2020-03-13,47.5
2020-03-16,45.8
2020-03-17,45.5
2020-03-18,48.3
2020-03-19,48.2
2020-03-20,47.0
2020-03-23,43.75
2020-03-24,46.8
2020-03-25,44.0
2020-03-26,42.05
2020-03-27,44.6
2020-03-30,42.0
2020-03-31,44.0
2020-04-01,45.05
2020-04-03,46.5
2020-04-06,47.0
2020-04-07,45.0
2020-04-08,45.0
2020-04-09,45.05
2020-04-10,45.0
2020-04-13,44.9
2020-04-14,43.6
2020-04-15,42.2
2020-04-16,44.9
2020-04-17,44.0
2020-04-20,44.5
2020-04-21,44.2
2020-04-22,44.3
2020-04-23,44.0
2020-04-24,44.0
2020-04-27,43.9
2020-04-28,43.75
2020-04-29,43.8
2020-05-04,43.2
2020-05-05,43.2
2020-05-06,43.4
2020-05-07,43.4
2020-05-08,44.0
2020-05-11,43.8
2020-05-12,42.7
2020-05-13,43.1
2020-05-14,43.0
2020-05-15,44.0
2020-05-18,43.1
2020-05-19,43.9
2020-05-20,44.0
2020-05-21,44.25
2020-05-22,45.5
2020-05-25,48.65
2020-05-26,50.2
2020-05-27,51.0
2020-05-28,51.0
2020-05-29,51.0
2020-06-01,49.0
2020-06-02,45.6
2020-06-03,48.75
2020-06-04,50.0
2020-06-05,50.7
2020-06-08,51.9
2020-06-09,50.7
2020-06-10,50.7
2020-06-11,49.7
2020-06-12,48.0
2020-06-15,47.95
2020-06-16,47.55
2020-06-17,47.5
2020-06-18,49.0
2020-06-19,49.0
2020-06-22,49.9
2020-06-23,50.0
2020-06-24,50.0
2020-06-25,50.0
2020-06-26,49.5
2020-06-29,49.5
2020-06-30,48.5
2020-07-01,49.4
2020-07-02,49.4
2020-07-03,49.0
2020-07-06,48.7
2020-07-07,48.4
2020-07-08,48.4
2020-07-09,48.45
2020-07-10,48.0
2020-07-13,48.5
2020-07-14,48.4
2020-07-15,48.3
2020-07-16,47.8
2020-07-17,47.8
2020-07-20,47.5
2020-07-21,47.5
2020-07-22,47.5
2020-07-23,47.5
2020-07-24,47.2
2020-07-27,45.0
2020-07-28,45.8
2020-07-29,42.6
2020-07-30,43.9
2020-07-31,43.9
2020-08-03,43.8
2020-08-04,43.8
2020-08-05,44.3
2020-08-06,44.2
2020-08-07,44.3
2020-08-10,44.5
2020-08-11,44.5
2020-08-12,45.0
2020-08-13,45.2
2020-08-14,45.2
2020-08-17,45.5
2020-08-18,45.5
2020-08-19,45.6
2020-08-20,45.3
2020-08-21,46.0
2020-08-24,49.0
2020-08-25,50.5
2020-08-26,51.1
2020-08-27,49.05
2020-08-28,50.0
2020-08-31,49.3
2020-09-01,50.0
2020-09-03,50.0
2020-09-04,50.0
2020-09-07,49.1
2020-09-08,50.7
2020-09-09,50.9
2020-09-10,49.95
2020-09-11,49.95
2020-09-14,50.3
2020-09-15,50.3
2020-09-16,47.2
2020-09-17,49.5
2020-09-18,50.2
2020-09-21,50.0
2020-09-22,49.0
2020-09-23,49.3
2020-09-24,49.0
2020-09-25,49.3
2020-09-28,49.5
2020-09-29,49.5
2020-09-30,49.0
2020-10-01,49.0
2020-10-02,49.0
2020-10-05,49.0
2020-10-06,49.4
2020-10-07,49.75
2020-10-08,49.95
2020-10-09,50.0
2020-10-12,50.0
2020-10-13,50.0
2020-10-14,50.0
2020-10-15,49.55
2020-10-16,50.0
2020-10-19,50.0
2020-10-20,50.0
2020-10-21,50.0
2020-10-22,50.0
2020-10-23,50.5
2020-10-26,50.5
2020-10-27,48.2
2020-10-28,49.95
2020-10-29,51.2
2020-10-30,51.2
2020-11-02,48.1
2020-11-03,50.5
2020-11-04,50.2
2020-11-05,50.2
2020-11-06,48.0
2020-11-09,49.8
2020-11-10,49.8
2020-11-11,49.8
2020-11-12,49.9
2020-11-13,49.9
2020-11-16,50.3
2020-11-17,50.3
2020-11-18,48.5
2020-11-19,50.0
2020-11-20,50.0
2020-11-23,49.1
2020-11-24,49.1
2020-11-25,49.1
2020-11-26,49.1
2020-11-27,50.0
2020-11-30,49.0
2020-12-01,50.0
2020-12-02,49.25
2020-12-03,51.0
2020-12-04,50.5
2020-12-07,50.4
2020-12-08,53.9
2020-12-09,57.6
2020-12-10,59.5
2020-12-11,61.1
2020-12-14,63.0
2020-12-15,63.0
2020-12-16,60.5
2020-12-17,60.0
2020-12-18,60.5
2020-12-21,58.2
2020-12-22,59.0
2020-12-23,58.9
2020-12-24,58.0
2020-12-25,62.0
