,price
2020-01-02,7.72
2020-01-03,7.45
2020-01-06,6.93
2020-01-07,6.45
2020-01-08,6.89
2020-01-09,6.69
2020-01-10,6.23
2020-01-13,6.15
2020-01-14,6.16
2020-01-15,6.2
2020-01-16,6.21
2020-01-17,6.21
2020-01-20,6.23
2020-01-21,6.23
2020-01-22,6.5
2020-01-30,6.35
2020-01-31,6.2
2020-02-03,6.1
2020-02-04,6.2
2020-02-05,6.25
2020-02-06,6.59
2020-02-07,6.28
2020-02-10,6.15
2020-02-11,6.15
2020-02-12,6.24
2020-02-13,6.2
2020-02-14,6.15
2020-02-17,6.08
2020-02-18,6.04
2020-02-19,6.26
2020-02-20,6.29
2020-02-21,6.31
2020-02-24,6.07
2020-02-25,6.14
2020-02-26,6.19
2020-02-27,6.13
2020-02-28,6.08
2020-03-02,6.08
2020-03-03,6.11
2020-03-04,6.2
2020-03-05,6.63
2020-03-06,6.73
2020-03-09,6.26
2020-03-10,6.15
2020-03-11,6.1
2020-03-12,6.0
2020-03-13,5.6
2020-03-16,5.6
2020-03-17,5.8
2020-03-18,5.84
2020-03-19,5.44
2020-03-20,5.7
2020-03-23,5.31
2020-03-24,5.1
2020-03-25,5.06
2020-03-26,5.01
2020-03-27,4.83
2020-03-30,4.5
2020-03-31,4.19
2020-04-01,4.48
2020-04-03,4.62
2020-04-06,4.94
2020-04-07,5.1
2020-04-08,5.09
2020-04-09,5.13
2020-04-10,4.95
2020-04-13,5.1
2020-04-14,5.07
2020-04-15,5.0
2020-04-16,5.06
2020-04-17,5.39
2020-04-20,5.38
2020-04-21,5.01
2020-04-22,5.05
2020-04-23,4.9
2020-04-24,5.06
2020-04-27,4.99
2020-04-28,5.02
2020-04-29,5.02
2020-05-04,4.9
2020-05-05,4.99
2020-05-06,5.03
2020-05-07,5.36
2020-05-08,5.6
2020-05-11,5.74
2020-05-12,5.65
2020-05-13,5.65
2020-05-14,6.0
2020-05-15,5.82
2020-05-18,5.68
2020-05-19,5.72
2020-05-20,5.69
2020-05-21,5.72
2020-05-22,5.68
2020-05-25,5.96
2020-05-26,6.35
2020-05-27,6.3
2020-05-28,6.2
2020-05-29,6.4
2020-06-01,6.6
2020-06-02,6.3
2020-06-03,6.3
2020-06-04,6.39
2020-06-05,6.37
2020-06-08,6.7
2020-06-09,6.5
2020-06-10,6.48
2020-06-11,6.2
2020-06-12,6.19
2020-06-15,5.91
2020-06-16,5.95
2020-06-17,6.05
2020-06-18,6.21
2020-06-19,6.23
2020-06-22,6.25
2020-06-23,6.25
2020-06-24,6.18
2020-06-25,6.17
2020-06-26,6.16
2020-06-29,6.59
2020-06-30,6.13
2020-07-01,6.55
2020-07-02,6.77
2020-07-03,6.6
2020-07-06,7.06
2020-07-07,7.35
2020-07-08,7.65
2020-07-09,7.42
2020-07-10,7.6
2020-07-13,7.51
2020-07-14,7.52
2020-07-15,7.58
2020-07-16,7.57
2020-07-17,7.4
2020-07-20,7.4
2020-07-21,7.33
2020-07-22,7.3
2020-07-23,6.75
2020-07-24,6.37
2020-07-27,5.93
2020-07-28,5.96
2020-07-29,5.65
2020-07-30,5.71
2020-07-31,5.76
2020-08-03,6.0
2020-08-04,6.26
2020-08-05,6.34
2020-08-06,6.5
2020-08-07,6.54
2020-08-10,6.99
2020-08-11,7.36
2020-08-12,7.25
2020-08-13,7.16
2020-08-14,6.88
2020-08-17,6.92
2020-08-18,7.21
2020-08-19,7.16
2020-08-20,7.0
2020-08-21,7.1
2020-08-24,7.48
2020-08-25,7.4
2020-08-26,7.8
2020-08-27,7.51
2020-08-28,7.48
2020-08-31,7.4
2020-09-01,7.3
2020-09-03,7.2
2020-09-04,7.19
2020-09-07,7.05
2020-09-08,7.2
2020-09-09,7.24
2020-09-10,7.38
2020-09-11,7.29
2020-09-14,7.37
2020-09-15,7.25
2020-09-16,7.38
2020-09-17,7.89
2020-09-18,8.24
2020-09-21,8.08
2020-09-22,8.07
2020-09-23,8.1
2020-09-24,8.1
2020-09-25,7.96
2020-09-28,8.01
2020-09-29,8.0
2020-09-30,7.99
2020-10-01,8.15
2020-10-02,8.6
2020-10-05,8.7
2020-10-06,8.65
2020-10-07,8.58
2020-10-08,8.44
2020-10-09,8.72
2020-10-12,8.4
2020-10-13,8.43
2020-10-14,8.4
2020-10-15,8.28
2020-10-16,8.18
2020-10-19,8.13
2020-10-20,8.0
2020-10-21,8.09
2020-10-22,8.11
2020-10-23,8.1
2020-10-26,8.03
2020-10-27,7.9
2020-10-28,7.65
2020-10-29,7.39
2020-10-30,7.36
2020-11-02,7.5
2020-11-03,7.55
2020-11-04,7.84
2020-11-05,7.89
2020-11-06,7.8
2020-11-09,7.8
2020-11-10,7.85
2020-11-11,7.79
2020-11-12,7.72
2020-11-13,7.84
2020-11-16,8.08
2020-11-17,8.3
2020-11-18,8.2
2020-11-19,8.13
2020-11-20,8.38
2020-11-23,8.45
2020-11-24,8.4
2020-11-25,8.5
2020-11-26,8.4
2020-11-27,8.36
2020-11-30,8.39
2020-12-01,8.27
2020-12-02,8.11
2020-12-03,8.25
2020-12-04,8.2
2020-12-07,8.77
2020-12-08,9.3
2020-12-09,9.18
2020-12-10,9.01
2020-12-11,9.21
2020-12-14,9.25
2020-12-15,9.39
2020-12-16,9.65
2020-12-17,9.85
2020-12-18,9.96
2020-12-21,10.65
2020-12-22,11.35
2020-12-23,12.1
2020-12-24,12.25
2020-12-25,12.8
2020-12-28,13.65
2020-12-29,13.9
2020-12-30,13.3
2020-12-31,13.25
2021-01-04,14.15
2021-01-05,15.1
2021-01-06,15.65
2021-01-07,15.6
2021-01-08,15.5
2021-01-11,14.85
2021-01-12,14.35
2021-01-13,13.9
2021-01-14,14.85
2021-01-15,14.85
2021-01-18,14.4
2021-01-19,13.45
2021-01-20,13.3
2021-01-21,13.05
2021-01-22,13.4
2021-01-25,13.95
2021-01-26,14.1
2021-01-27,13.15
2021-01-28,12.25
2021-01-29,11.9
2021-02-01,11.85
2021-02-02,11.9
2021-02-03,12.65
2021-02-04,13.35
2021-02-05,13.4
2021-02-08,12.75
2021-02-09,12.8
2021-02-17,13.1
2021-02-18,12.9
2021-02-19,13.75
2021-02-22,14.2
2021-02-23,14.7
2021-02-24,14.4
2021-02-25,13.85
2021-02-26,14.8
2021-03-01,15.7
2021-03-02,15.65
2021-03-03,15.8
2021-03-04,15.0
2021-03-05,14.5
2021-03-08,15.45
2021-03-09,15.35
2021-03-10,15.3
2021-03-11,15.15
2021-03-12,14.95
2021-03-15,15.15
2021-03-16,15.25
2021-03-17,15.15
2021-03-18,15.1
2021-03-19,15.2
2021-03-22,16.0
2021-03-23,16.2
2021-03-24,15.25
2021-03-25,14.7
2021-03-26,14.3
2021-03-29,14.9
2021-03-30,14.9
2021-03-31,14.8
2021-04-01,14.8
2021-04-02,14.95
2021-04-05,14.95
2021-04-06,14.75
2021-04-07,14.6
2021-04-08,14.75
2021-04-09,14.75
2021-04-12,15.3
2021-04-13,14.9
2021-04-14,14.75
2021-04-15,14.35
2021-04-16,13.7
2021-04-19,13.8
2021-04-20,13.8
2021-04-22,12.85
2021-04-23,12.85
2021-04-26,12.5
2021-04-27,12.3
2021-04-28,12.4
2021-04-29,13.25
2021-05-04,13.6
2021-05-05,13.65
2021-05-06,13.15
2021-05-07,12.8
2021-05-10,13.1
2021-05-11,13.0
2021-05-12,13.1
2021-05-13,12.85
2021-05-14,12.95
2021-05-17,12.6
2021-05-18,12.5
2021-05-19,12.2
2021-05-20,11.85
2021-05-21,12.35
2021-05-24,12.85
2021-05-25,12.6
2021-05-26,12.4
2021-05-27,12.4
2021-05-28,12.5
2021-05-31,12.45
2021-06-01,12.5
2021-06-02,12.8
2021-06-03,13.65
2021-06-04,13.9
2021-06-07,13.35
2021-06-08,12.75
2021-06-09,12.75
2021-06-10,13.05
2021-06-11,13.15
2021-06-14,13.3
2021-06-15,13.25
2021-06-16,13.95
2021-06-17,14.25
2021-06-18,14.1
2021-06-21,14.2
2021-06-22,14.15
2021-06-23,13.1
2021-06-24,12.8
2021-06-25,12.7
2021-06-28,13.05
2021-06-29,12.8
2021-06-30,12.65
2021-07-01,12.75
2021-07-02,12.85
2021-07-05,12.75
2021-07-06,12.7
2021-07-07,12.6
2021-07-08,12.6
2021-07-09,12.05
2021-07-12,11.25
2021-07-13,11.3
2021-07-14,11.65
2021-07-15,11.75
2021-07-16,11.8
2021-07-19,11.05
2021-07-20,11.35
2021-07-21,11.25
2021-07-22,12.0
2021-07-23,12.1
2021-07-26,12.15
2021-07-27,12.0
2021-07-28,11.85
2021-07-29,12.25
2021-07-30,12.3
2021-08-02,13.15
2021-08-03,13.75
2021-08-04,14.1
2021-08-05,14.1
2021-08-06,13.95
2021-08-09,14.55
2021-08-10,15.55
2021-08-11,16.6
2021-08-12,16.25
2021-08-13,16.4
2021-08-16,16.75
2021-08-17,16.1
2021-08-18,16.05
2021-08-19,17.15
2021-08-20,17.1
2021-08-23,17.0
2021-08-24,15.9
2021-08-25,16.0
2021-08-26,15.85
2021-08-27,16.95
2021-08-30,17.8
2021-08-31,17.65
2021-09-01,18.85
2021-09-06,19.85
2021-09-07,18.5
2021-09-08,18.5
2021-09-09,18.65
2021-09-10,18.6
2021-09-13,17.9
2021-09-14,17.9
2021-09-15,18.6
2021-09-16,18.45
2021-09-17,18.6
2021-09-20,18.3
2021-09-21,18.5
2021-09-22,18.6
2021-09-23,18.5
2021-09-24,18.15
2021-09-27,17.5
2021-09-28,17.8
2021-09-29,17.9
