,price
2020-01-02,11.6
2020-01-03,11.55
2020-01-06,11.5
2020-01-07,11.6
2020-01-08,11.35
2020-01-09,11.35
2020-01-10,11.4
2020-01-13,11.45
2020-01-14,11.55
2020-01-15,11.5
2020-01-16,11.7
2020-01-17,11.75
2020-01-20,11.85
2020-01-21,11.95
2020-01-22,12.1
2020-01-30,11.9
2020-01-31,11.4
2020-02-03,10.65
2020-02-04,10.2
2020-02-05,10.0
2020-02-06,10.5
2020-02-07,10.4
2020-02-10,10.4
2020-02-11,10.65
2020-02-12,11.0
2020-02-13,11.2
2020-02-14,11.45
2020-02-17,11.75
2020-02-18,12.0
2020-02-19,11.8
2020-02-20,12.0
2020-02-21,12.0
2020-02-24,11.7
2020-02-25,12.0
2020-02-26,12.0
2020-02-27,12.15
2020-02-28,12.1
2020-03-02,12.1
2020-03-03,11.95
2020-03-04,12.0
2020-03-05,12.05
2020-03-06,12.25
2020-03-09,11.8
2020-03-10,12.0
2020-03-11,11.7
2020-03-12,11.4
2020-03-13,11.4
2020-03-16,11.2
2020-03-17,11.15
2020-03-18,11.2
2020-03-19,11.2
2020-03-20,11.2
2020-03-23,10.45
2020-03-24,10.2
2020-03-25,10.7
2020-03-26,10.5
2020-03-27,10.2
2020-03-30,9.99
2020-03-31,10.0
2020-04-01,10.2
2020-04-03,10.3
2020-04-06,10.7
2020-04-07,10.9
2020-04-08,10.7
2020-04-09,10.8
2020-04-10,10.65
2020-04-13,10.2
2020-04-14,10.9
2020-04-15,11.2
2020-04-16,11.95
2020-04-17,12.25
2020-04-20,13.0
2020-04-21,12.1
2020-04-22,12.5
2020-04-23,12.1
2020-04-24,11.95
2020-04-27,12.25
2020-04-28,12.9
2020-04-29,12.6
2020-05-04,11.8
2020-05-05,11.8
2020-05-06,12.0
2020-05-07,11.75
2020-05-08,11.55
2020-05-11,11.55
2020-05-12,11.95
2020-05-13,11.95
2020-05-14,12.0
2020-05-15,11.7
2020-05-18,11.65
2020-05-19,11.65
2020-05-20,12.45
2020-05-21,12.7
2020-05-22,12.55
2020-05-25,13.4
2020-05-26,13.3
2020-05-27,12.7
2020-05-28,13.25
2020-05-29,13.2
2020-06-01,13.85
2020-06-02,13.1
2020-06-03,13.4
2020-06-04,13.3
2020-06-05,13.5
2020-06-08,13.55
2020-06-09,13.7
2020-06-10,13.6
2020-06-11,12.65
2020-06-12,12.4
2020-06-15,11.9
2020-06-16,12.3
2020-06-17,12.45
2020-06-18,12.35
2020-06-19,12.65
2020-06-22,13.45
2020-06-23,13.1
2020-06-24,12.7
2020-06-25,12.5
2020-06-26,12.15
2020-06-29,11.7
2020-06-30,11.5
2020-07-01,11.8
2020-07-02,11.65
2020-07-03,11.7
2020-07-06,11.9
2020-07-07,11.65
2020-07-08,11.75
2020-07-09,11.85
2020-07-10,11.8
2020-07-13,11.75
2020-07-14,11.85
2020-07-15,12.0
2020-07-16,11.95
2020-07-17,12.5
2020-07-20,12.3
2020-07-21,12.45
2020-07-22,12.35
2020-07-23,12.1
2020-07-24,11.5
2020-07-27,10.75
2020-07-28,11.5
2020-07-29,11.3
2020-07-30,11.4
2020-07-31,11.3
2020-08-03,11.85
2020-08-04,12.2
2020-08-05,12.2
2020-08-06,12.2
2020-08-07,12.6
2020-08-10,13.3
2020-08-11,13.6
2020-08-12,13.4
2020-08-13,13.6
2020-08-14,13.3
2020-08-17,13.35
2020-08-18,13.85
2020-08-19,14.3
2020-08-20,14.1
2020-08-21,14.6
2020-08-24,15.6
2020-08-25,15.45
2020-08-26,15.75
2020-08-27,15.55
2020-08-28,15.25
2020-08-31,15.8
2020-09-01,15.65
2020-09-03,15.65
2020-09-04,15.2
2020-09-07,14.8
2020-09-08,15.0
2020-09-09,15.95
2020-09-10,15.95
2020-09-11,16.85
2020-09-14,16.95
2020-09-15,16.85
2020-09-16,16.7
2020-09-17,16.95
2020-09-18,16.8
2020-09-21,16.25
2020-09-22,16.35
2020-09-23,16.3
2020-09-24,16.45
2020-09-25,16.3
2020-09-28,17.2
2020-09-29,16.8
2020-09-30,17.0
2020-10-01,17.4
2020-10-02,17.0
2020-10-05,17.0
2020-10-06,16.85
2020-10-07,16.65
2020-10-08,17.15
2020-10-09,17.1
2020-10-12,16.6
2020-10-13,16.3
2020-10-14,16.25
2020-10-15,16.45
2020-10-16,16.5
2020-10-19,16.5
2020-10-20,16.7
2020-10-21,16.5
2020-10-22,16.75
2020-10-23,16.8
2020-10-26,16.3
