,price
2020-01-02,25.5
2020-01-03,25.5
2020-01-06,25.5
2020-01-07,25.45
2020-01-08,25.4
2020-01-09,25.4
2020-01-10,25.15
2020-01-13,25.0
2020-01-14,25.0
2020-01-15,25.0
2020-01-16,25.5
2020-01-17,25.8
2020-01-20,26.5
2020-01-21,27.6
2020-01-22,28.0
2020-01-30,28.0
2020-01-31,28.0
2020-02-03,26.2
2020-02-04,28.0
2020-02-05,27.9
2020-02-06,26.5
2020-02-07,26.5
2020-02-10,26.5
2020-02-11,25.0
2020-02-12,26.2
2020-02-13,26.2
2020-02-14,26.2
2020-02-17,26.05
2020-02-18,26.0
2020-02-19,26.2
2020-02-20,26.2
2020-02-21,26.2
2020-02-24,26.2
2020-02-25,26.1
2020-02-26,26.1
2020-02-27,26.0
2020-02-28,25.9
2020-03-02,25.9
2020-03-03,25.4
2020-03-04,25.3
2020-03-05,25.3
2020-03-06,25.2
2020-03-09,25.0
2020-03-10,25.75
2020-03-11,26.0
2020-03-12,25.8
2020-03-13,25.8
2020-03-16,24.6
2020-03-17,25.2
2020-03-18,25.9
2020-03-19,25.25
2020-03-20,25.0
2020-03-23,24.8
2020-03-24,24.8
2020-03-25,25.4
2020-03-26,25.2
2020-03-27,25.0
2020-03-30,25.0
2020-03-31,25.0
2020-04-01,25.0
2020-04-03,25.0
2020-04-06,25.0
2020-04-07,25.0
2020-04-08,25.0
2020-04-09,26.0
2020-04-10,25.0
2020-04-13,25.0
2020-04-14,25.0
2020-04-15,25.0
2020-04-16,25.0
2020-04-17,24.9
2020-04-20,24.9
2020-04-21,26.5
2020-04-22,25.0
2020-04-23,25.0
2020-04-24,24.8
2020-04-27,25.0
2020-04-28,24.9
2020-04-29,24.8
2020-05-04,25.0
2020-05-05,24.8
2020-05-06,24.2
2020-05-07,24.3
2020-05-08,24.2
2020-05-11,24.1
2020-05-12,24.1
2020-05-13,23.9
2020-05-14,23.5
2020-05-15,23.6
2020-05-18,23.1
2020-05-19,23.1
2020-05-20,23.5
2020-05-21,23.4
2020-05-22,23.0
2020-05-25,22.3
2020-05-26,22.7
2020-05-27,21.9
2020-05-28,21.8
2020-05-29,21.75
2020-06-01,21.5
2020-06-02,22.0
2020-06-03,21.9
2020-06-04,21.4
2020-06-05,21.5
2020-06-08,21.3
2020-06-09,21.1
2020-06-10,21.3
2020-06-11,22.4
2020-06-12,22.0
2020-06-15,20.9
2020-06-16,21.3
2020-06-17,21.1
2020-06-18,20.9
2020-06-19,20.7
2020-06-22,20.3
2020-06-23,20.9
2020-06-24,20.7
2020-06-25,20.5
2020-06-26,20.45
2020-06-29,19.8
2020-06-30,19.9
2020-07-01,19.9
2020-07-02,19.9
2020-07-03,19.75
2020-07-06,19.7
2020-07-07,19.5
2020-07-08,19.45
2020-07-09,19.45
2020-07-10,19.25
2020-07-13,19.4
2020-07-14,19.5
2020-07-15,19.3
2020-07-16,19.3
2020-07-17,19.0
2020-07-20,18.75
2020-07-21,18.75
2020-07-22,18.6
2020-07-23,18.45
2020-07-24,17.5
2020-07-27,16.3
2020-07-28,16.75
2020-07-29,16.85
2020-07-30,16.8
2020-07-31,16.5
2020-08-03,16.8
2020-08-04,17.4
2020-08-05,17.45
2020-08-06,18.0
2020-08-07,18.35
2020-08-10,18.4
2020-08-11,18.2
2020-08-12,17.95
2020-08-13,17.85
2020-08-14,17.7
2020-08-17,17.5
2020-08-18,17.45
2020-08-19,17.45
2020-08-20,17.5
2020-08-21,18.2
2020-08-24,18.65
2020-08-25,19.15
2020-08-26,19.05
2020-08-27,19.2
2020-08-28,19.6
2020-08-31,19.9
2020-09-01,19.85
2020-09-03,19.75
2020-09-04,19.65
2020-09-07,19.65
2020-09-08,19.45
2020-09-09,19.5
2020-09-10,19.65
2020-09-11,19.65
2020-09-14,19.6
2020-09-15,19.6
2020-09-16,19.55
2020-09-17,20.25
2020-09-18,20.25
2020-09-21,20.25
2020-09-22,20.0
2020-09-23,20.0
2020-09-24,19.95
2020-09-25,19.75
2020-09-28,19.7
2020-09-29,19.15
2020-09-30,19.0
2020-10-01,19.3
2020-10-02,18.8
2020-10-05,19.4
2020-10-06,19.45
2020-10-07,19.2
2020-10-08,19.3
2020-10-09,19.45
2020-10-12,20.0
2020-10-13,21.4
2020-10-14,22.1
2020-10-15,21.5
2020-10-16,20.8
2020-10-19,21.0
2020-10-20,21.0
2020-10-21,20.7
2020-10-22,20.7
2020-10-23,20.7
2020-10-26,20.15
2020-10-27,20.4
2020-10-28,19.3
2020-10-29,19.25
2020-10-30,19.15
2020-11-02,19.25
2020-11-03,19.25
2020-11-04,19.25
2020-11-05,19.3
2020-11-06,19.2
2020-11-09,19.0
2020-11-10,19.05
2020-11-11,19.0
2020-11-12,19.0
2020-11-13,19.0
2020-11-16,19.4
2020-11-17,19.7
2020-11-18,20.05
2020-11-19,20.4
2020-11-20,20.4
2020-11-23,19.9
2020-11-24,19.7
2020-11-25,19.7
2020-11-26,19.55
2020-11-27,19.8
2020-11-30,19.7
2020-12-01,19.7
2020-12-02,19.7
2020-12-03,19.5
2020-12-04,20.2
2020-12-07,20.1
2020-12-08,19.8
2020-12-09,20.35
2020-12-10,20.35
2020-12-11,20.4
2020-12-14,20.7
2020-12-15,20.5
2020-12-16,21.25
2020-12-17,20.9
2020-12-18,21.15
2020-12-21,21.25
2020-12-22,21.0
2020-12-23,21.0
2020-12-24,21.0
2020-12-25,21.5
2020-12-28,22.0
2020-12-29,22.7
2020-12-30,23.2
2020-12-31,23.2
2021-01-04,23.0
2021-01-05,22.95
2021-01-06,23.35
2021-01-07,23.4
2021-01-08,23.2
2021-01-11,22.75
2021-01-12,23.2
2021-01-13,22.8
2021-01-14,22.9
2021-01-15,23.0
2021-01-18,23.0
2021-01-19,21.5
2021-01-20,22.0
2021-01-21,22.4
2021-01-22,22.2
2021-01-25,22.5
2021-01-26,22.0
2021-01-27,22.05
2021-01-28,20.55
2021-01-29,20.45
2021-02-01,19.6
2021-02-02,19.9
2021-02-03,20.4
2021-02-04,20.6
2021-02-05,20.7
2021-02-08,19.6
2021-02-09,20.0
2021-02-17,20.4
2021-02-18,20.35
2021-02-19,20.9
2021-02-22,21.15
2021-02-23,21.2
2021-02-24,20.85
2021-02-25,20.7
2021-02-26,20.65
2021-03-01,21.0
2021-03-02,21.05
2021-03-03,21.0
2021-03-04,20.5
2021-03-05,20.6
2021-03-08,20.85
2021-03-09,21.0
2021-03-10,22.45
2021-03-11,22.2
2021-03-12,22.65
2021-03-15,22.85
2021-03-16,22.5
2021-03-17,22.45
2021-03-18,22.45
2021-03-19,22.5
2021-03-22,22.5
2021-03-23,22.2
2021-03-24,21.2
2021-03-25,21.5
2021-03-26,21.3
2021-03-29,22.2
2021-03-30,21.8
2021-03-31,21.5
2021-04-01,21.6
2021-04-02,21.9
2021-04-05,21.85
2021-04-06,22.4
2021-04-07,22.5
2021-04-08,22.0
2021-04-09,21.95
2021-04-12,22.35
2021-04-13,22.0
2021-04-14,22.0
2021-04-15,21.75
2021-04-16,21.5
2021-04-19,21.4
2021-04-20,21.0
2021-04-22,20.9
