,price
2020-12-31,13.2
2021-01-04,14.1
2021-01-05,15.05
2021-01-06,16.1
2021-01-07,17.1
2021-01-08,16.5
2021-01-11,15.35
2021-01-12,14.3
2021-01-13,13.8
2021-01-14,13.4
2021-01-15,13.6
2021-01-18,12.8
2021-01-19,12.3
2021-01-20,11.95
2021-01-21,12.3
2021-01-22,12.1
2021-01-25,11.9
2021-01-26,11.8
2021-01-27,11.8
2021-01-28,11.6
2021-01-29,12.1
2021-02-01,12.3
2021-02-02,12.1
2021-02-03,12.2
2021-02-04,11.95
2021-02-05,11.8
2021-02-08,11.5
2021-02-09,11.6
2021-02-17,11.7
2021-02-18,11.6
2021-02-19,11.5
2021-02-22,11.6
2021-02-23,11.7
2021-02-24,11.65
2021-02-25,11.55
2021-02-26,11.45
2021-03-01,11.55
2021-03-02,11.55
2021-03-03,11.7
2021-03-04,12.05
2021-03-05,12.2
2021-03-08,12.1
2021-03-09,11.8
2021-03-10,11.7
2021-03-11,11.5
2021-03-12,11.35
2021-03-15,11.35
2021-03-16,11.25
2021-03-17,11.05
2021-03-18,11.2
2021-03-19,11.1
2021-03-22,11.0
2021-03-23,11.25
2021-03-24,11.05
2021-03-25,10.95
2021-03-26,10.95
2021-03-29,11.1
2021-03-30,11.7
2021-03-31,11.7
2021-04-01,11.2
2021-04-02,11.2
2021-04-05,11.1
2021-04-06,11.0
2021-04-07,11.0
2021-04-08,11.1
2021-04-09,11.35
2021-04-12,11.3
2021-04-13,10.95
2021-04-14,11.1
2021-04-15,11.0
2021-04-16,10.95
2021-04-19,11.0
2021-04-20,10.95
2021-04-22,10.6
2021-04-23,10.5
2021-04-26,10.0
2021-04-27,10.05
2021-04-28,10.1
2021-04-29,10.0
2021-05-04,10.05
2021-05-05,10.05
2021-05-06,10.05
2021-05-07,10.0
2021-05-10,10.0
2021-05-11,10.2
2021-05-12,10.0
2021-05-13,10.1
2021-05-14,10.05
2021-05-17,10.05
2021-05-18,10.0
2021-05-19,10.05
2021-05-20,10.5
2021-05-21,10.75
2021-05-24,10.75
2021-05-25,10.75
2021-05-26,11.05
2021-05-27,11.05
2021-05-28,11.1
2021-05-31,10.9
2021-06-01,10.65
2021-06-02,11.05
2021-06-03,11.5
2021-06-04,11.6
2021-06-07,11.6
2021-06-08,11.3
2021-06-09,11.15
2021-06-10,10.9
2021-06-11,11.2
2021-06-14,11.2
2021-06-15,11.95
2021-06-16,12.3
2021-06-17,11.85
2021-06-18,11.5
2021-06-21,11.1
2021-06-22,11.5
2021-06-23,11.2
2021-06-24,11.2
2021-06-25,11.15
2021-06-28,10.9
2021-06-29,11.3
2021-06-30,10.95
2021-07-01,10.7
2021-07-02,10.2
2021-07-05,10.35
2021-07-06,10.0
2021-07-07,10.0
2021-07-08,10.0
2021-07-09,10.0
2021-07-12,10.1
2021-07-13,10.0
2021-07-14,10.0
2021-07-15,10.2
2021-07-16,10.0
2021-07-19,10.0
