,price
2020-01-02,25.15
2020-01-03,25.65
2020-01-06,25.5
2020-01-07,25.45
2020-01-08,25.4
2020-01-09,24.7
2020-01-10,24.8
2020-01-13,25.8
2020-01-14,25.75
2020-01-15,25.6
2020-01-16,25.5
2020-01-17,25.7
2020-01-20,25.5
2020-01-21,25.4
2020-01-22,26.0
2020-01-30,24.9
2020-01-31,25.3
2020-02-03,24.85
2020-02-04,24.7
2020-02-05,24.6
2020-02-06,23.9
2020-02-07,24.0
2020-02-10,24.3
2020-02-11,24.1
2020-02-12,23.9
2020-02-13,23.8
2020-02-14,23.55
2020-02-17,23.25
2020-02-18,23.8
2020-02-19,23.8
2020-02-20,23.8
2020-02-21,23.65
2020-02-24,22.65
2020-02-25,22.3
2020-02-26,22.3
2020-02-27,22.7
2020-02-28,22.2
2020-03-02,22.3
2020-03-03,22.15
2020-03-04,21.95
2020-03-05,22.5
2020-03-06,22.7
2020-03-09,21.15
2020-03-10,21.2
2020-03-11,20.0
2020-03-12,18.6
2020-03-13,18.4
2020-03-16,18.2
2020-03-17,18.0
2020-03-18,17.6
2020-03-19,17.0
2020-03-20,17.0
2020-03-23,15.85
2020-03-24,14.75
2020-03-25,15.0
2020-03-26,14.85
2020-03-27,15.7
2020-03-30,15.45
2020-03-31,15.2
2020-04-01,15.15
2020-04-03,15.5
2020-04-06,16.55
2020-04-07,16.95
2020-04-08,16.5
2020-04-09,16.4
2020-04-10,16.1
2020-04-13,17.2
2020-04-14,18.4
2020-04-15,18.4
2020-04-16,19.65
2020-04-17,21.0
2020-04-20,22.0
2020-04-21,20.5
2020-04-22,21.0
2020-04-23,20.2
2020-04-24,20.5
2020-04-27,21.2
2020-04-28,21.25
2020-04-29,22.6
2020-05-04,21.6
2020-05-05,22.4
2020-05-06,22.4
2020-05-07,22.4
2020-05-08,22.4
2020-05-11,22.95
2020-05-12,23.0
2020-05-13,23.4
2020-05-14,21.5
2020-05-15,21.5
2020-05-18,21.7
2020-05-19,21.85
2020-05-20,21.75
2020-05-21,21.4
2020-05-22,21.1
2020-05-25,21.4
2020-05-26,21.65
2020-05-27,21.7
2020-05-28,21.7
2020-05-29,21.75
2020-06-01,21.8
2020-06-02,21.7
2020-06-03,21.45
2020-06-04,21.2
2020-06-05,21.5
2020-06-08,21.4
2020-06-09,22.85
2020-06-10,24.0
2020-06-11,22.8
2020-06-12,22.45
2020-06-15,21.3
2020-06-16,21.9
2020-06-17,21.8
2020-06-18,21.9
2020-06-19,22.0
2020-06-22,22.0
2020-06-23,21.6
2020-06-24,21.55
2020-06-25,21.3
2020-06-26,21.45
2020-06-29,21.45
2020-06-30,21.4
2020-07-01,21.75
2020-07-02,21.8
2020-07-03,21.75
2020-07-06,21.8
2020-07-07,22.8
2020-07-08,22.7
2020-07-09,22.7
2020-07-10,22.45
2020-07-13,22.1
2020-07-14,22.0
2020-07-15,21.95
2020-07-16,21.8
2020-07-17,21.55
2020-07-20,21.45
2020-07-21,21.75
2020-07-22,21.6
2020-07-23,21.6
2020-07-24,20.95
2020-07-27,19.95
2020-07-28,20.8
2020-07-29,20.5
2020-07-30,20.5
2020-07-31,20.0
2020-08-03,20.45
2020-08-04,20.45
2020-08-05,20.8
2020-08-06,22.0
2020-08-07,21.65
2020-08-10,21.35
2020-08-11,21.4
2020-08-12,21.45
2020-08-13,21.6
2020-08-14,22.45
2020-08-17,22.15
2020-08-18,21.95
2020-08-19,21.8
2020-08-20,22.2
2020-08-21,22.6
2020-08-24,22.65
2020-08-25,24.2
