,price
2020-01-02,10.3
2020-01-03,10.3
2020-01-06,10.3
2020-01-07,10.3
2020-01-08,10.1
2020-01-09,10.1
2020-01-10,10.1
2020-01-13,10.1
2020-01-14,10.2
2020-01-15,10.2
2020-01-16,10.2
2020-01-17,10.2
2020-01-20,10.2
2020-01-21,10.2
2020-01-22,10.9
2020-01-30,10.9
2020-01-31,10.9
2020-02-03,10.9
2020-02-04,10.9
2020-02-05,10.2
2020-02-06,10.2
2020-02-07,9.49
2020-02-10,9.49
2020-02-11,9.49
2020-02-12,9.5
2020-02-13,9.01
2020-02-14,9.0
2020-02-17,9.63
2020-02-18,9.63
2020-02-19,9.0
2020-02-20,9.0
2020-02-21,9.63
2020-02-24,9.06
2020-02-25,9.69
2020-02-26,10.35
2020-02-27,10.85
2020-02-28,10.85
2020-03-02,10.85
2020-03-03,10.85
2020-03-04,10.85
2020-03-05,10.85
2020-03-06,10.85
2020-03-09,10.85
2020-03-10,10.85
2020-03-11,10.85
2020-03-12,10.1
2020-03-13,10.1
2020-03-16,10.1
2020-03-17,10.5
2020-03-18,10.5
2020-03-19,10.5
2020-03-20,10.5
2020-03-23,10.5
2020-03-24,10.5
2020-03-25,10.5
2020-03-26,10.5
2020-03-27,10.5
2020-03-30,10.5
2020-03-31,10.5
2020-04-01,10.5
2020-04-03,11.2
2020-04-06,11.95
2020-04-07,11.95
2020-04-08,11.95
2020-04-09,11.95
2020-04-10,11.95
2020-04-13,11.95
2020-04-14,11.95
2020-04-15,11.95
2020-04-16,11.15
2020-04-17,11.15
2020-04-20,11.15
2020-04-21,11.15
2020-04-22,11.15
2020-04-23,10.5
2020-04-24,10.5
2020-04-27,10.5
2020-04-28,10.5
2020-04-29,10.5
2020-05-04,10.5
2020-05-05,11.0
2020-05-06,11.0
2020-05-07,11.0
2020-05-08,11.0
2020-05-11,11.0
2020-05-12,10.25
2020-05-13,10.25
2020-05-14,10.25
2020-05-15,10.25
2020-05-18,10.9
2020-05-19,10.25
2020-05-20,10.95
2020-05-21,10.95
2020-05-22,11.0
2020-05-25,10.3
2020-05-26,10.0
2020-05-27,10.45
2020-05-28,10.45
2020-05-29,10.45
2020-06-01,10.45
2020-06-02,10.45
2020-06-03,10.45
2020-06-04,10.5
2020-06-05,10.5
2020-06-08,10.0
2020-06-09,10.6
2020-06-10,10.6
2020-06-11,10.05
2020-06-12,10.05
2020-06-15,10.05
2020-06-16,10.05
2020-06-17,10.05
2020-06-18,10.05
2020-06-19,10.05
2020-06-22,10.05
2020-06-23,10.05
2020-06-24,10.05
2020-06-25,10.05
2020-06-26,10.05
2020-06-29,10.75
2020-06-30,10.75
2020-07-01,10.75
2020-07-02,10.75
2020-07-03,10.75
2020-07-06,10.75
2020-07-07,11.0
2020-07-08,11.0
2020-07-09,11.0
2020-07-10,11.0
2020-07-13,10.9
2020-07-14,10.9
2020-07-15,10.9
2020-07-16,10.9
2020-07-17,10.9
2020-07-20,10.9
2020-07-21,10.15
2020-07-22,10.15
2020-07-23,10.2
2020-07-24,10.2
2020-07-27,10.2
2020-07-28,10.2
2020-07-29,10.1
2020-07-30,10.4
2020-07-31,10.4
2020-08-03,9.7
2020-08-04,10.0
2020-08-05,10.2
2020-08-06,10.0
2020-08-07,10.0
2020-08-10,10.4
2020-08-11,10.4
2020-08-12,10.4
2020-08-13,10.4
2020-08-14,10.25
2020-08-17,9.81
2020-08-18,10.0
2020-08-19,10.7
2020-08-20,10.7
2020-08-21,11.4
2020-08-24,10.65
2020-08-25,10.95
2020-08-26,10.8
2020-08-27,10.8
2020-08-28,10.8
2020-08-31,11.0
2020-09-01,10.8
2020-09-03,11.0
2020-09-04,11.0
2020-09-07,11.0
2020-09-08,11.0
2020-09-09,11.0
2020-09-10,10.5
2020-09-11,10.5
2020-09-14,10.5
2020-09-15,10.5
2020-09-16,10.9
2020-09-17,10.9
2020-09-18,10.55
2020-09-21,10.6
2020-09-22,10.6
2020-09-23,10.6
2020-09-24,10.6
2020-09-25,10.6
2020-09-28,10.5
2020-09-29,10.5
2020-09-30,10.5
2020-10-01,11.1
2020-10-02,10.4
2020-10-05,10.4
2020-10-06,10.4
2020-10-07,10.4
2020-10-08,10.4
2020-10-09,10.4
2020-10-12,10.4
2020-10-13,10.4
2020-10-14,10.2
2020-10-15,10.5
2020-10-16,11.1
2020-10-19,10.8
2020-10-20,11.0
2020-10-21,10.6
2020-10-22,10.5
2020-10-23,10.5
2020-10-26,10.3
2020-10-27,10.3
2020-10-28,10.3
2020-10-29,10.3
2020-10-30,10.3
2020-11-02,10.3
2020-11-03,10.3
2020-11-04,10.3
2020-11-05,10.3
2020-11-06,10.3
2020-11-09,10.2
2020-11-10,10.3
2020-11-11,10.3
2020-11-12,10.3
2020-11-13,10.3
2020-11-16,10.3
2020-11-17,10.35
2020-11-18,10.4
2020-11-19,10.85
2020-11-20,10.7
2020-11-23,10.7
2020-11-24,10.8
2020-11-25,10.85
2020-11-26,11.0
2020-11-27,10.9
2020-11-30,10.9
2020-12-01,11.6
2020-12-02,11.2
2020-12-03,11.2
2020-12-04,11.2
2020-12-07,11.0
2020-12-08,11.0
2020-12-09,11.5
2020-12-10,11.45
2020-12-11,11.2
2020-12-14,11.2
2020-12-15,11.2
2020-12-16,11.2
2020-12-17,10.8
2020-12-18,11.5
2020-12-21,11.45
2020-12-22,11.4
2020-12-23,11.6
2020-12-24,11.6
2020-12-25,11.6
2020-12-28,11.6
2020-12-29,11.1
2020-12-30,11.1
2020-12-31,11.8
2021-01-04,11.8
2021-01-05,11.8
2021-01-06,11.5
2021-01-07,11.55
2021-01-08,11.55
2021-01-11,11.95
2021-01-12,11.95
2021-01-13,11.95
2021-01-14,12.0
2021-01-15,12.1
2021-01-18,12.25
2021-01-19,12.25
2021-01-20,12.2
2021-01-21,12.35
2021-01-22,12.4
2021-01-25,12.5
2021-01-26,12.3
2021-01-27,12.1
2021-01-28,11.7
2021-01-29,11.7
2021-02-01,11.8
2021-02-02,11.4
2021-02-03,11.3
2021-02-04,11.3
2021-02-05,12.0
2021-02-08,12.0
2021-02-09,12.0
2021-02-17,12.0
2021-02-18,11.8
2021-02-19,11.9
2021-02-22,12.0
