,price
2020-01-02,12.3
2020-01-03,12.4
2020-01-06,12.3
2020-01-07,12.3
2020-01-08,12.3
2020-01-09,12.0
2020-01-10,12.25
2020-01-13,12.2
2020-01-14,12.0
2020-01-15,11.9
2020-01-16,11.9
2020-01-17,12.05
2020-01-20,12.0
2020-01-21,12.8
2020-01-22,12.85
2020-01-30,13.1
2020-01-31,13.0
2020-02-03,13.0
2020-02-04,13.2
2020-02-05,13.0
2020-02-06,13.3
2020-02-07,13.5
2020-02-10,13.85
2020-02-11,13.8
2020-02-12,13.7
2020-02-13,13.65
2020-02-14,13.7
2020-02-17,13.75
2020-02-18,13.6
2020-02-19,13.75
2020-02-20,13.7
2020-02-21,13.5
2020-02-24,13.4
2020-02-25,13.25
2020-02-26,13.3
2020-02-27,13.65
2020-02-28,13.4
2020-03-02,13.45
2020-03-03,13.5
2020-03-04,13.5
2020-03-05,13.5
2020-03-06,13.45
2020-03-09,12.55
2020-03-10,13.0
2020-03-11,12.5
2020-03-12,11.7
2020-03-13,12.35
2020-03-16,12.3
2020-03-17,12.65
2020-03-18,12.2
2020-03-19,12.2
2020-03-20,12.3
2020-03-23,11.8
2020-03-24,11.9
2020-03-25,12.0
2020-03-26,11.8
2020-03-27,11.9
2020-03-30,11.65
2020-03-31,11.0
2020-04-01,11.75
2020-04-03,12.0
2020-04-06,12.2
2020-04-07,12.7
2020-04-08,13.55
2020-04-09,14.45
2020-04-10,15.0
2020-04-13,15.05
2020-04-14,15.15
2020-04-15,15.2
2020-04-16,15.1
2020-04-17,14.8
2020-04-20,15.8
2020-04-21,16.0
2020-04-22,16.6
2020-04-23,16.3
2020-04-24,16.1
2020-04-27,16.15
2020-04-28,15.4
2020-04-29,15.8
2020-05-04,15.0
2020-05-05,15.0
2020-05-06,15.7
2020-05-07,15.3
2020-05-08,15.3
2020-05-11,15.1
2020-05-12,15.55
2020-05-13,15.4
2020-05-14,15.25
2020-05-15,14.9
2020-05-18,15.0
2020-05-19,14.8
2020-05-20,14.8
2020-05-21,14.8
2020-05-22,14.8
2020-05-25,14.7
2020-05-26,15.7
2020-05-27,15.5
2020-05-28,15.1
2020-05-29,14.85
2020-06-01,14.85
2020-06-02,14.9
2020-06-03,14.8
2020-06-04,14.9
2020-06-05,15.0
2020-06-08,15.05
2020-06-09,15.2
2020-06-10,15.1
2020-06-11,14.95
2020-06-12,14.6
2020-06-15,14.2
2020-06-16,14.6
2020-06-17,14.6
2020-06-18,14.5
2020-06-19,14.7
2020-06-22,14.9
2020-06-23,14.8
2020-06-24,15.05
2020-06-25,15.05
2020-06-26,14.8
2020-06-29,14.55
2020-06-30,14.55
2020-07-01,14.95
2020-07-02,14.7
2020-07-03,14.8
2020-07-06,14.8
2020-07-07,15.4
2020-07-08,15.25
2020-07-09,15.15
2020-07-10,15.5
2020-07-13,15.6
2020-07-14,15.8
2020-07-15,15.3
2020-07-16,14.7
2020-07-17,14.7
2020-07-20,14.6
2020-07-21,14.65
2020-07-22,14.7
2020-07-23,14.85
2020-07-24,14.5
2020-07-27,14.3
2020-07-28,14.45
2020-07-29,14.35
2020-07-30,14.5
2020-07-31,14.4
2020-08-03,14.55
2020-08-04,14.65
2020-08-05,14.8
2020-08-06,14.8
2020-08-07,14.7
2020-08-10,14.85
2020-08-11,14.85
2020-08-12,14.7
2020-08-13,14.95
2020-08-14,15.0
2020-08-17,15.0
