,price
2020-01-02,7.95
2020-01-03,7.94
2020-01-06,7.7
2020-01-07,7.72
2020-01-08,7.5
2020-01-09,7.36
2020-01-10,7.33
2020-01-13,7.12
2020-01-14,7.3
2020-01-15,7.23
2020-01-16,7.23
2020-01-17,7.4
2020-01-20,7.3
2020-01-21,7.1
2020-01-22,7.1
2020-01-30,7.0
2020-01-31,6.6
2020-02-03,6.15
2020-02-04,5.9
2020-02-05,6.09
2020-02-06,6.17
2020-02-07,6.19
2020-02-10,6.0
2020-02-11,5.95
2020-02-12,5.95
2020-02-13,5.94
2020-02-14,5.94
2020-02-17,5.89
2020-02-18,5.72
2020-02-19,6.12
2020-02-20,6.54
2020-02-21,6.32
2020-02-24,5.88
2020-02-25,5.98
2020-02-26,5.84
2020-02-27,5.94
2020-02-28,5.8
2020-03-02,6.03
2020-03-03,6.09
2020-03-04,6.07
2020-03-05,6.31
2020-03-06,6.4
2020-03-09,5.96
2020-03-10,5.97
2020-03-11,5.56
2020-03-12,5.18
2020-03-13,4.86
2020-03-16,5.1
2020-03-17,5.05
2020-03-18,5.19
2020-03-19,5.09
2020-03-20,5.09
2020-03-23,4.74
2020-03-24,4.7
2020-03-25,4.8
2020-03-26,4.5
2020-03-27,4.25
2020-03-30,3.98
2020-03-31,3.93
2020-04-01,4.1
2020-04-03,4.38
2020-04-06,4.68
2020-04-07,5.0
2020-04-08,5.35
2020-04-09,5.55
2020-04-10,5.4
2020-04-13,5.4
2020-04-14,5.46
2020-04-15,5.84
2020-04-16,5.95
2020-04-17,5.6
2020-04-20,5.95
2020-04-21,5.78
2020-04-22,5.9
2020-04-23,5.95
2020-04-24,6.01
2020-04-27,6.01
2020-04-28,6.18
2020-04-29,6.61
2020-05-04,7.0
2020-05-05,6.97
2020-05-06,7.38
2020-05-07,7.39
2020-05-08,7.3
2020-05-11,7.45
2020-05-12,7.41
2020-05-13,7.58
2020-05-14,7.38
2020-05-15,7.3
2020-05-18,7.18
2020-05-19,7.0
2020-05-20,7.19
2020-05-21,7.24
2020-05-22,7.02
2020-05-25,7.1
2020-05-26,7.59
2020-05-27,7.45
2020-05-28,7.45
2020-05-29,7.4
2020-06-01,7.6
2020-06-02,7.11
2020-06-03,7.11
2020-06-04,7.11
2020-06-05,7.1
2020-06-08,7.15
2020-06-09,7.1
2020-06-10,7.3
2020-06-11,7.0
2020-06-12,6.71
2020-06-15,6.71
2020-06-16,6.8
2020-06-17,6.75
2020-06-18,6.7
2020-06-19,7.05
2020-06-22,6.92
2020-06-23,6.91
2020-06-24,6.9
2020-06-25,6.9
2020-06-26,6.92
2020-06-29,6.79
2020-06-30,6.72
2020-07-01,6.8
2020-07-02,6.79
2020-07-03,7.26
2020-07-06,7.73
2020-07-07,7.7
2020-07-08,7.58
2020-07-09,7.85
2020-07-10,8.0
2020-07-13,8.29
2020-07-14,8.39
2020-07-15,8.28
2020-07-16,8.15
2020-07-17,7.95
2020-07-20,8.14
2020-07-21,8.01
2020-07-22,7.85
2020-07-23,7.74
2020-07-24,7.2
2020-07-27,6.7
2020-07-28,6.94
2020-07-29,6.6
2020-07-30,6.7
2020-07-31,6.6
2020-08-03,6.84
2020-08-04,6.8
2020-08-05,6.83
2020-08-06,6.77
2020-08-07,6.75
2020-08-10,6.87
2020-08-11,7.35
2020-08-12,7.45
2020-08-13,7.33
2020-08-14,7.06
2020-08-17,7.2
2020-08-18,7.2
2020-08-19,7.21
2020-08-20,7.23
2020-08-21,7.28
2020-08-24,7.31
2020-08-25,7.45
2020-08-26,7.55
2020-08-27,7.88
2020-08-28,7.7
2020-08-31,7.55
2020-09-01,7.6
2020-09-03,7.4
2020-09-04,7.4
2020-09-07,7.32
2020-09-08,7.48
2020-09-09,7.4
2020-09-10,7.47
2020-09-11,7.47
2020-09-14,7.57
2020-09-15,7.71
2020-09-16,8.2
2020-09-17,7.9
2020-09-18,7.85
2020-09-21,7.88
2020-09-22,8.01
2020-09-23,8.23
2020-09-24,8.2
2020-09-25,8.5
2020-09-28,8.49
2020-09-29,8.28
2020-09-30,8.37
2020-10-01,8.43
2020-10-02,8.35
2020-10-05,8.65
2020-10-06,8.6
2020-10-07,8.6
2020-10-08,8.41
2020-10-09,8.41
2020-10-12,8.35
2020-10-13,8.48
2020-10-14,7.73
2020-10-15,7.47
2020-10-16,7.47
2020-10-19,7.64
2020-10-20,7.65
2020-10-21,7.7
2020-10-22,7.66
2020-10-23,8.19
2020-10-26,8.19
2020-10-27,7.86
2020-10-28,7.32
2020-10-29,7.32
2020-10-30,7.22
2020-11-02,7.27
2020-11-03,7.3
2020-11-04,7.48
2020-11-05,7.29
2020-11-06,7.35
2020-11-09,7.3
2020-11-10,7.37
2020-11-11,7.32
2020-11-12,7.31
2020-11-13,7.6
2020-11-16,7.41
2020-11-17,7.55
2020-11-18,7.52
2020-11-19,7.7
2020-11-20,7.66
2020-11-23,7.76
2020-11-24,7.79
2020-11-25,7.69
2020-11-26,7.69
2020-11-27,7.78
2020-11-30,7.7
2020-12-01,7.53
2020-12-02,7.5
2020-12-03,7.51
2020-12-04,7.69
2020-12-07,7.8
2020-12-08,7.7
2020-12-09,7.6
2020-12-10,7.6
2020-12-11,7.72
2020-12-14,7.75
2020-12-15,7.75
2020-12-16,7.8
2020-12-17,8.05
2020-12-18,8.46
2020-12-21,9.03
2020-12-22,8.91
2020-12-23,8.4
2020-12-24,8.0
2020-12-25,8.56
2020-12-28,9.15
2020-12-29,9.79
2020-12-30,9.6
2020-12-31,9.7
2021-01-04,10.2
2021-01-05,10.2
2021-01-06,10.0
2021-01-07,10.3
2021-01-08,10.25
2021-01-11,10.25
2021-01-12,10.2
2021-01-13,10.3
2021-01-14,10.45
2021-01-15,11.15
2021-01-18,11.2
2021-01-19,10.45
2021-01-20,9.95
2021-01-21,10.6
2021-01-22,10.2
2021-01-25,10.9
2021-01-26,10.7
2021-01-27,10.6
2021-01-28,9.86
2021-01-29,10.3
2021-02-01,9.58
2021-02-02,9.6
2021-02-03,10.0
2021-02-04,9.99
2021-02-05,9.9
2021-02-08,10.2
2021-02-09,10.9
2021-02-17,11.65
2021-02-18,12.4
2021-02-19,12.5
2021-02-22,12.35
2021-02-23,13.2
2021-02-24,13.0
2021-02-25,13.2
2021-02-26,13.8
2021-03-01,13.7
2021-03-02,13.45
2021-03-03,13.3
2021-03-04,13.1
2021-03-05,13.1
2021-03-08,14.0
2021-03-09,14.95
2021-03-10,14.5
2021-03-11,14.75
2021-03-12,14.35
2021-03-15,14.85
2021-03-16,14.7
2021-03-17,15.15
2021-03-18,15.1
2021-03-19,15.2
2021-03-22,15.1
2021-03-23,14.6
2021-03-24,13.95
2021-03-25,13.3
2021-03-26,13.6
2021-03-29,14.2
2021-03-30,13.85
2021-03-31,14.2
2021-04-01,14.2
2021-04-02,14.3
2021-04-05,14.6
2021-04-06,15.6
2021-04-07,15.8
2021-04-08,15.3
2021-04-09,15.35
2021-04-12,15.35
2021-04-13,14.8
2021-04-14,14.75
2021-04-15,14.25
2021-04-16,13.75
2021-04-19,13.8
2021-04-20,13.55
2021-04-22,12.75
2021-04-23,13.6
2021-04-26,13.0
2021-04-27,12.95
2021-04-28,13.2
2021-04-29,13.0
2021-05-04,12.9
2021-05-05,13.1
2021-05-06,13.05
2021-05-07,12.7
2021-05-10,12.8
2021-05-11,12.7
2021-05-12,12.95
2021-05-13,12.95
2021-05-14,13.35
2021-05-17,13.25
2021-05-18,12.9
2021-05-19,12.65
2021-05-20,12.45
2021-05-21,12.35
2021-05-24,12.8
2021-05-25,12.85
2021-05-26,13.15
2021-05-27,12.95
2021-05-28,12.8
2021-05-31,12.7
2021-06-01,12.5
2021-06-02,12.45
2021-06-03,12.75
2021-06-04,13.6
2021-06-07,14.2
2021-06-08,13.3
2021-06-09,13.1
2021-06-10,13.35
2021-06-11,13.35
2021-06-14,13.15
2021-06-15,13.2
2021-06-16,14.05
2021-06-17,13.95
2021-06-18,13.95
2021-06-21,13.95
2021-06-22,13.55
2021-06-23,13.4
2021-06-24,13.2
2021-06-25,13.05
2021-06-28,13.15
2021-06-29,13.25
2021-06-30,13.2
2021-07-01,13.3
2021-07-02,13.05
2021-07-05,12.7
2021-07-06,12.0
2021-07-07,12.0
2021-07-08,12.05
2021-07-09,11.6
2021-07-12,11.0
2021-07-13,10.8
2021-07-14,10.7
2021-07-15,11.0
2021-07-16,11.35
2021-07-19,10.8
2021-07-20,11.3
2021-07-21,11.35
2021-07-22,12.1
2021-07-23,11.85
2021-07-26,12.1
2021-07-27,12.0
2021-07-28,11.7
2021-07-29,11.7
2021-07-30,12.0
2021-08-02,11.9
2021-08-03,12.1
2021-08-04,12.3
2021-08-05,12.35
2021-08-06,12.35
2021-08-09,12.7
2021-08-10,12.7
2021-08-11,13.6
2021-08-12,13.65
2021-08-13,13.5
2021-08-16,14.3
2021-08-17,13.8
2021-08-18,13.95
2021-08-19,14.1
2021-08-20,13.5
2021-08-23,12.6
2021-08-24,12.35
2021-08-25,12.4
2021-08-26,12.3
2021-08-27,12.7
2021-08-30,13.55
2021-08-31,13.35
2021-09-01,14.25
2021-09-06,15.2
2021-09-07,14.3
2021-09-08,14.0
2021-09-09,14.95
2021-09-10,15.0
2021-09-13,14.5
2021-09-14,13.8
2021-09-15,14.2
2021-09-16,14.25
2021-09-17,14.55
2021-09-20,14.4
2021-09-21,14.3
2021-09-22,15.3
2021-09-23,14.8
2021-09-24,14.7
2021-09-27,13.7
2021-09-28,14.0
2021-09-29,14.2
2021-09-30,14.0
2021-10-01,13.7
2021-10-04,14.2
2021-10-05,14.2
2021-10-06,14.8
2021-10-07,14.75
2021-10-08,14.7
2021-10-11,14.65
2021-10-12,14.6
2021-10-13,14.8
2021-10-14,15.45
2021-10-15,15.5
2021-10-18,15.3
2021-10-19,16.35
2021-10-20,17.1
2021-10-21,17.3
2021-10-22,16.5
2021-10-25,17.25
2021-10-26,17.3
2021-10-27,17.2
2021-10-28,17.1
2021-10-29,17.0
2021-11-01,16.95
2021-11-02,18.1
2021-11-03,16.85
2021-11-04,17.6
2021-11-05,17.25
2021-11-08,17.4
2021-11-09,18.2
2021-11-10,19.45
2021-11-11,20.1
2021-11-12,19.75
2021-11-15,20.0
2021-11-16,19.1
2021-11-17,18.8
2021-11-18,19.35
2021-11-19,18.0
2021-11-22,16.75
2021-11-23,16.7
2021-11-24,16.0
2021-11-25,16.65
2021-11-26,16.95
2021-11-29,17.5
2021-11-30,17.6
2021-12-01,17.15
2021-12-02,17.7
2021-12-03,16.95
2021-12-06,16.15
2021-12-07,16.9
2021-12-08,16.8
2021-12-09,17.3
2021-12-10,17.0
2021-12-13,18.15
2021-12-14,18.05
2021-12-15,18.25
2021-12-16,18.75
2021-12-17,18.2
2021-12-20,17.75
2021-12-21,18.0
2021-12-22,19.25
2021-12-23,19.95
2021-12-24,19.15
2021-12-27,18.65
2021-12-28,18.95
2021-12-29,18.35
2021-12-30,18.05
2021-12-31,17.4
2022-01-04,17.85
2022-01-05,18.25
2022-01-06,18.7
2022-01-07,19.3
2022-01-10,18.3
2022-01-11,18.0
2022-01-12,16.85
2022-01-13,15.7
2022-01-14,16.25
2022-01-17,15.15
2022-01-18,14.4
2022-01-19,15.4
2022-01-20,16.25
2022-01-21,15.9
2022-01-24,14.8
2022-01-25,14.9
2022-01-26,14.6
2022-01-27,14.2
2022-01-28,13.7
2022-02-07,14.65
2022-02-08,14.95
2022-02-09,15.2
2022-02-10,15.2
2022-02-11,15.15
2022-02-14,15.0
2022-02-15,15.0
2022-02-16,15.5
2022-02-17,15.5
2022-02-18,15.9
2022-02-21,16.0
2022-02-22,15.55
2022-02-23,15.65
2022-02-24,15.1
2022-02-25,15.3
2022-02-28,15.15
2022-03-01,15.55
2022-03-02,16.6
2022-03-03,17.1
2022-03-04,17.0
2022-03-07,16.4
2022-03-08,16.2
2022-03-09,16.25
