,price
2020-01-02,2.34
2020-01-03,2.32
2020-01-06,2.31
2020-01-07,2.15
2020-01-08,2.2
2020-01-09,2.2
2020-01-10,2.2
2020-01-13,2.1
2020-01-14,2.1
2020-01-15,2.1
2020-01-16,1.96
2020-01-17,2.09
2020-01-20,2.23
2020-01-21,2.23
2020-01-22,2.14
2020-01-30,2.0
2020-01-31,2.14
2020-02-03,2.09
2020-02-04,2.09
2020-02-05,1.95
2020-02-06,2.08
2020-02-07,2.1
2020-02-10,2.2
2020-02-11,2.19
2020-02-12,2.1
2020-02-13,1.96
2020-02-14,1.96
2020-02-17,1.84
2020-02-18,1.93
2020-02-19,2.0
2020-02-20,1.99
2020-02-21,1.86
2020-02-24,1.85
2020-02-25,1.83
2020-02-26,1.73
2020-02-27,1.85
2020-02-28,1.92
2020-03-02,2.0
2020-03-03,1.86
2020-03-04,1.86
2020-03-05,1.95
2020-03-06,1.95
2020-03-09,1.82
2020-03-10,1.74
2020-03-11,1.76
2020-03-12,1.7
2020-03-13,1.69
2020-03-16,1.74
2020-03-17,1.86
2020-03-18,1.99
2020-03-19,1.86
2020-03-20,1.86
2020-03-23,1.98
2020-03-24,1.98
2020-03-25,1.99
2020-03-26,1.87
2020-03-27,1.87
2020-03-30,1.86
2020-03-31,1.74
2020-04-01,1.74
2020-04-03,1.8
2020-04-06,1.72
2020-04-07,1.72
2020-04-08,1.61
2020-04-09,1.72
2020-04-10,1.84
2020-04-13,1.72
2020-04-14,1.81
2020-04-15,1.81
2020-04-16,1.81
2020-04-17,1.81
2020-04-20,1.9
2020-04-21,1.99
2020-04-22,1.99
2020-04-23,1.88
2020-04-24,1.88
2020-04-27,1.8
2020-04-28,1.8
2020-04-29,1.69
2020-05-04,1.71
2020-05-05,1.82
2020-05-06,1.8
2020-05-07,1.8
2020-05-08,1.68
2020-05-11,1.75
2020-05-12,1.8
2020-05-13,1.8
2020-05-14,1.8
2020-05-15,1.8
2020-05-18,1.83
2020-05-19,1.71
2020-05-20,1.77
2020-05-21,1.65
2020-05-22,1.65
2020-05-25,1.65
2020-05-26,1.6
2020-05-27,1.65
2020-05-28,1.6
2020-05-29,1.6
2020-06-01,1.56
2020-06-02,1.55
2020-06-03,1.5
2020-06-04,1.5
2020-06-05,1.6
2020-06-08,1.71
2020-06-09,1.82
2020-06-10,1.94
2020-06-11,2.07
2020-06-12,2.04
2020-06-15,2.18
2020-06-16,2.33
2020-06-17,2.49
2020-06-18,2.66
2020-06-19,2.49
2020-06-22,2.63
2020-06-23,2.46
2020-06-24,2.29
2020-06-25,2.44
2020-06-26,2.27
2020-06-29,2.12
2020-06-30,1.98
2020-07-01,2.1
2020-07-02,1.96
2020-07-03,1.9
2020-07-06,1.9
2020-07-07,1.9
2020-07-08,2.03
2020-07-09,2.16
2020-07-10,2.01
2020-07-13,2.0
2020-07-14,1.95
2020-07-15,2.0
2020-07-16,2.1
2020-07-17,1.96
2020-07-20,2.07
2020-07-21,1.93
2020-07-22,1.8
2020-07-23,1.92
2020-07-24,1.79
2020-07-27,1.67
2020-07-28,1.78
2020-07-29,1.9
2020-07-30,1.9
2020-07-31,1.89
2020-08-03,1.89
2020-08-04,1.99
2020-08-05,1.99
2020-08-06,1.86
2020-08-07,1.95
2020-08-10,1.99
2020-08-11,2.09
2020-08-12,1.95
2020-08-13,1.9
2020-08-14,1.82
2020-08-17,1.81
2020-08-18,1.81
2020-08-19,1.93
2020-08-20,2.0
2020-08-21,1.9
2020-08-24,1.86
2020-08-25,1.99
2020-08-26,1.87
2020-08-27,1.8
2020-08-28,1.92
2020-08-31,1.9
2020-09-01,1.9
2020-09-03,1.9
2020-09-04,1.9
2020-09-07,1.9
2020-09-08,1.9
2020-09-09,1.82
2020-09-10,1.9
2020-09-11,1.8
2020-09-14,1.85
2020-09-15,1.88
2020-09-16,1.87
2020-09-17,1.88
2020-09-18,1.85
2020-09-21,1.9
2020-09-22,1.83
2020-09-23,1.81
2020-09-24,1.83
2020-09-25,1.8
2020-09-28,1.75
2020-09-29,1.75
2020-09-30,1.73
2020-10-01,1.7
2020-10-02,1.8
2020-10-05,1.8
2020-10-06,1.82
2020-10-07,1.89
2020-10-08,1.89
2020-10-09,1.9
2020-10-12,2.03
2020-10-13,1.9
2020-10-14,2.0
2020-10-15,1.87
2020-10-16,1.85
2020-10-19,1.87
2020-10-20,1.82
2020-10-21,1.85
2020-10-22,1.8
2020-10-23,1.82
2020-10-26,1.77
2020-10-27,1.85
2020-10-28,1.75
2020-10-29,1.8
2020-10-30,1.78
2020-11-02,1.85
2020-11-03,1.85
2020-11-04,1.73
2020-11-05,1.76
2020-11-06,1.79
2020-11-09,1.71
2020-11-10,1.72
2020-11-11,1.71
2020-11-12,1.65
2020-11-13,1.66
2020-11-16,1.66
2020-11-17,1.6
2020-11-18,1.68
2020-11-19,1.68
2020-11-20,1.72
2020-11-23,1.72
2020-11-24,1.71
2020-11-25,1.68
2020-11-26,1.66
2020-11-27,1.66
2020-11-30,1.68
2020-12-01,1.64
2020-12-02,1.61
2020-12-03,1.69
2020-12-04,1.75
2020-12-07,1.76
2020-12-08,1.72
2020-12-09,1.84
2020-12-10,1.96
2020-12-11,2.07
2020-12-14,2.02
2020-12-15,1.96
2020-12-16,1.96
2020-12-17,1.97
2020-12-18,1.86
2020-12-21,1.9
2020-12-22,1.9
2020-12-23,1.86
2020-12-24,1.93
2020-12-25,1.89
2020-12-28,1.82
2020-12-29,1.93
2020-12-30,1.95
2020-12-31,1.95
2021-01-04,1.95
2021-01-05,1.82
2021-01-06,1.94
2021-01-07,2.07
2021-01-08,2.21
2021-01-11,2.36
2021-01-12,2.52
2021-01-13,2.69
2021-01-14,2.87
2021-01-15,3.07
2021-01-18,3.28
2021-01-19,3.28
2021-01-20,3.4
2021-01-21,3.62
2021-01-22,3.87
2021-01-25,4.14
2021-01-26,4.15
2021-01-27,3.86
2021-01-28,3.59
2021-01-29,3.34
2021-02-01,3.11
2021-02-02,2.9
2021-02-03,2.7
2021-02-04,2.88
2021-02-05,3.08
2021-02-08,2.87
2021-02-09,3.0
2021-02-17,3.21
2021-02-18,3.43
2021-02-19,3.66
2021-02-22,3.9
2021-02-23,3.8
2021-02-24,3.54
2021-02-25,3.35
2021-02-26,3.34
2021-03-01,3.57
2021-03-02,3.79
2021-03-03,3.7
2021-03-04,3.75
2021-03-05,3.68
2021-03-08,3.68
2021-03-09,3.93
2021-03-10,4.2
2021-03-11,4.49
2021-03-12,4.8
2021-03-15,5.13
2021-03-16,4.8
2021-03-17,5.13
2021-03-18,5.48
2021-03-19,5.86
2021-03-22,6.27
2021-03-23,6.7
2021-03-24,7.16
2021-03-25,7.16
2021-03-26,6.66
2021-03-29,7.12
2021-03-30,7.49
2021-03-31,7.01
2021-04-01,7.18
2021-04-02,7.2
2021-04-05,7.1
2021-04-06,7.1
2021-04-07,7.1
2021-04-08,7.15
2021-04-09,7.65
2021-04-12,8.18
2021-04-13,8.75
2021-04-14,9.12
2021-04-15,9.0
2021-04-16,9.1
2021-04-19,9.3
2021-04-20,9.3
2021-04-22,8.66
2021-04-23,8.22
2021-04-26,8.79
2021-04-27,9.2
2021-04-28,8.56
2021-04-29,9.0
2021-05-04,8.85
2021-05-05,8.4
2021-05-06,8.0
2021-05-07,7.8
2021-05-10,7.5
2021-05-11,6.98
2021-05-12,7.45
2021-05-13,7.35
2021-05-14,7.3
2021-05-17,6.95
2021-05-18,6.47
2021-05-19,6.47
2021-05-20,6.2
2021-05-21,6.2
2021-05-24,6.2
2021-05-25,6.2
2021-05-26,6.6
2021-05-27,6.6
2021-05-28,6.5
2021-05-31,6.5
2021-06-01,6.2
2021-06-02,6.2
2021-06-03,6.3
2021-06-04,6.4
2021-06-07,6.3
2021-06-08,6.15
2021-06-09,6.1
2021-06-10,5.69
2021-06-11,6.08
2021-06-14,6.2
2021-06-15,6.1
2021-06-16,6.46
2021-06-17,6.01
2021-06-18,6.4
2021-06-21,6.4
2021-06-22,6.4
2021-06-23,6.29
2021-06-24,6.2
2021-06-25,6.0
2021-06-28,6.2
2021-06-29,6.1
2021-06-30,6.1
2021-07-01,5.9
2021-07-02,5.7
2021-07-05,5.78
2021-07-06,6.18
2021-07-07,6.61
2021-07-08,7.07
2021-07-09,7.56
2021-07-12,7.05
2021-07-13,7.04
2021-07-14,7.25
2021-07-15,6.75
2021-07-16,6.75
2021-07-19,6.7
2021-07-20,6.3
2021-07-21,5.86
2021-07-22,6.2
2021-07-23,6.63
2021-07-26,6.5
2021-07-27,6.69
2021-07-28,6.79
2021-07-29,7.15
2021-07-30,7.19
2021-08-02,7.15
2021-08-03,7.14
2021-08-04,7.13
2021-08-05,7.35
2021-08-06,7.25
2021-08-09,7.3
2021-08-10,7.0
2021-08-11,7.1
2021-08-12,7.12
2021-08-13,7.2
2021-08-16,7.3
2021-08-17,7.3
2021-08-18,7.81
2021-08-19,8.25
2021-08-20,8.25
2021-08-23,8.2
2021-08-24,8.2
2021-08-25,8.0
2021-08-26,7.6
2021-08-27,7.6
2021-08-30,7.8
2021-08-31,7.6
2021-09-01,7.6
2021-09-06,7.5
2021-09-07,7.79
2021-09-08,7.6
2021-09-09,7.6
2021-09-10,7.57
2021-09-13,7.3
2021-09-14,7.5
2021-09-15,7.45
2021-09-16,7.4
2021-09-17,7.49
2021-09-20,7.06
2021-09-21,7.2
2021-09-22,7.7
2021-09-23,8.23
2021-09-24,8.0
2021-09-27,7.52
2021-09-28,7.1
2021-09-29,7.39
2021-09-30,7.08
2021-10-01,7.2
2021-10-04,7.04
2021-10-05,7.41
2021-10-06,7.48
2021-10-07,7.55
2021-10-08,7.59
2021-10-11,7.4
2021-10-12,7.31
2021-10-13,7.16
2021-10-14,7.3
2021-10-15,7.48
2021-10-18,7.25
2021-10-19,7.23
2021-10-20,7.29
2021-10-21,7.29
2021-10-22,7.69
2021-10-25,8.22
2021-10-26,8.79
2021-10-27,9.4
2021-10-28,10.05
2021-10-29,10.75
2021-11-01,11.5
2021-11-02,12.3
2021-11-03,11.5
2021-11-04,10.7
2021-11-05,11.4
2021-11-08,11.7
2021-11-09,11.0
2021-11-10,11.5
2021-11-11,11.4
2021-11-12,11.3
2021-11-15,12.0
2021-11-16,11.3
2021-11-17,11.4
2021-11-18,11.5
2021-11-19,11.6
2021-11-22,11.2
2021-11-23,10.8
2021-11-24,10.85
2021-11-25,10.75
2021-11-26,10.75
2021-11-29,10.9
2021-11-30,10.75
2021-12-01,11.5
2021-12-02,12.3
2021-12-03,13.15
2021-12-06,12.25
2021-12-07,12.05
2021-12-08,12.85
2021-12-09,13.7
2021-12-10,14.2
2021-12-13,13.55
2021-12-14,14.45
2021-12-15,15.45
2021-12-16,15.95
2021-12-17,15.2
2021-12-20,14.15
2021-12-21,15.1
2021-12-22,14.1
2021-12-23,13.3
2021-12-24,13.3
2021-12-27,13.5
2021-12-28,13.5
2021-12-29,13.9
2021-12-30,13.7
2021-12-31,13.7
2022-01-04,13.7
2022-01-05,13.5
2022-01-06,14.3
2022-01-07,14.1
2022-01-10,14.95
2022-01-11,14.0
2022-01-12,13.6
2022-01-13,12.65
2022-01-14,11.8
2022-01-17,11.0
2022-01-18,10.25
2022-01-19,9.54
2022-01-20,10.0
2022-01-21,10.0
2022-01-24,9.3
2022-01-25,9.1
2022-01-26,8.97
2022-01-27,8.35
2022-01-28,8.6
2022-02-07,9.2
2022-02-08,9.4
2022-02-09,9.79
2022-02-10,10.4
2022-02-11,11.1
2022-02-14,11.85
2022-02-15,11.45
2022-02-16,11.1
2022-02-17,11.45
2022-02-18,12.0
2022-02-21,12.1
2022-02-22,11.95
2022-02-23,12.55
2022-02-24,12.5
2022-02-25,12.85
2022-02-28,13.1
2022-03-01,13.25
2022-03-02,14.0
2022-03-03,14.15
2022-03-04,13.6
2022-03-07,12.7
2022-03-08,12.5
2022-03-09,12.45
2022-03-10,12.8
2022-03-11,12.65
2022-03-14,12.65
2022-03-15,12.65
2022-03-16,12.85
2022-03-17,13.1
2022-03-18,13.1
2022-03-21,14.0
2022-03-22,13.7
2022-03-23,14.0
2022-03-24,13.65
2022-03-25,14.6
2022-03-28,15.6
2022-03-29,16.65
2022-03-30,17.1
2022-03-31,15.95
2022-04-01,16.0
2022-04-04,17.1
2022-04-05,17.0
2022-04-06,15.85
2022-04-07,14.75
2022-04-08,13.75
2022-04-12,12.8
2022-04-13,13.35
2022-04-14,13.0
2022-04-15,12.1
2022-04-18,11.3
2022-04-19,10.55
2022-04-20,10.15
2022-04-21,9.44
2022-04-22,9.4
2022-04-25,8.89
2022-04-26,9.0
2022-04-27,9.63
2022-04-28,10.3
2022-04-29,11.0
2022-05-04,11.6
2022-05-05,11.05
2022-05-06,10.3
2022-05-09,9.58
2022-05-10,10.0
2022-05-11,10.2
2022-05-12,9.49
2022-05-13,8.89
2022-05-16,9.0
2022-05-17,9.45
2022-05-18,9.4
2022-05-19,9.15
2022-05-20,9.05
2022-05-23,8.89
2022-05-24,8.6
