,price
2020-03-25,8.8
2020-03-26,8.8
2020-03-27,9.0
2020-03-30,8.37
2020-03-31,7.79
2020-04-01,7.99
2020-04-03,7.62
2020-04-06,8.15
2020-04-07,8.6
2020-04-08,8.6
2020-04-09,8.57
2020-04-10,8.0
2020-04-13,8.3
2020-04-14,8.1
2020-04-15,8.15
2020-04-16,8.23
2020-04-17,8.22
2020-04-20,8.22
2020-04-21,8.15
2020-04-22,8.1
2020-04-23,8.2
2020-04-24,8.0
2020-04-27,8.0
2020-04-28,8.1
2020-04-29,8.1
2020-05-04,7.8
2020-05-05,8.0
2020-05-06,7.9
2020-05-07,8.0
2020-05-08,8.15
2020-05-11,8.26
2020-05-12,8.3
2020-05-13,8.3
2020-05-14,8.2
2020-05-15,8.25
2020-05-18,8.25
2020-05-19,8.82
2020-05-20,9.43
2020-05-21,10.05
2020-05-22,10.75
2020-05-25,10.0
2020-05-26,9.95
2020-05-27,9.75
2020-05-28,9.76
2020-05-29,9.76
2020-06-01,9.51
2020-06-02,9.65
2020-06-03,10.0
2020-06-04,10.0
2020-06-05,9.99
2020-06-08,9.78
2020-06-09,9.82
2020-06-10,10.05
2020-06-11,10.7
2020-06-12,10.0
2020-06-15,9.99
2020-06-16,10.15
2020-06-17,10.5
2020-06-18,11.2
2020-06-19,11.95
2020-06-22,12.0
2020-06-23,12.5
2020-06-24,12.8
2020-06-25,12.65
2020-06-26,12.45
2020-06-29,10.65
2020-06-30,10.4
2020-07-01,11.05
2020-07-02,10.8
2020-07-03,10.7
2020-07-06,10.85
2020-07-07,10.8
2020-07-08,11.0
2020-07-09,11.75
2020-07-10,11.75
2020-07-13,11.65
2020-07-14,11.6
2020-07-15,11.65
2020-07-16,11.45
2020-07-17,11.3
2020-07-20,11.1
2020-07-21,10.9
2020-07-22,10.8
2020-07-23,10.9
2020-07-24,10.1
2020-07-27,9.4
2020-07-28,9.6
2020-07-29,9.1
2020-07-30,9.25
2020-07-31,9.5
2020-08-03,9.9
2020-08-04,9.9
2020-08-05,10.2
2020-08-06,10.15
2020-08-07,10.0
2020-08-10,9.96
2020-08-11,9.83
2020-08-12,9.89
2020-08-13,10.2
2020-08-14,10.2
2020-08-17,10.5
2020-08-18,10.5
2020-08-19,10.4
2020-08-20,10.3
2020-08-21,10.2
2020-08-24,10.3
2020-08-25,10.4
2020-08-26,10.6
2020-08-27,11.05
2020-08-28,10.8
2020-08-31,10.45
2020-09-01,10.5
2020-09-03,10.3
