,price
2020-01-02,25.6
2020-01-03,25.6
2020-01-06,25.7
2020-01-07,25.7
2020-01-08,25.7
2020-01-09,25.8
2020-01-10,26.9
2020-01-13,25.8
2020-01-14,25.8
2020-01-15,25.8
2020-01-16,26.0
2020-01-17,26.0
2020-01-20,26.0
2020-01-21,26.0
2020-01-22,26.2
2020-01-30,25.0
2020-01-31,25.0
2020-02-03,25.0
2020-02-04,26.75
2020-02-05,28.5
2020-02-06,30.3
2020-02-07,30.2
2020-02-10,30.0
2020-02-11,30.0
2020-02-12,30.0
2020-02-13,29.5
2020-02-14,29.5
2020-02-17,27.45
2020-02-18,27.45
2020-02-19,26.0
2020-02-20,26.2
2020-02-21,26.3
2020-02-24,26.2
2020-02-25,26.1
2020-02-26,26.1
2020-02-27,27.2
2020-02-28,26.8
2020-03-02,27.0
2020-03-03,27.5
2020-03-04,27.5
2020-03-05,27.5
2020-03-06,27.7
2020-03-09,27.7
2020-03-10,27.7
2020-03-11,27.7
2020-03-12,29.0
2020-03-13,29.0
2020-03-16,29.0
2020-03-17,29.0
2020-03-18,29.0
2020-03-19,29.0
2020-03-20,29.0
2020-03-23,29.0
2020-03-24,29.0
2020-03-25,29.0
2020-03-26,29.0
2020-03-27,29.0
2020-03-30,29.0
2020-03-31,29.0
2020-04-01,29.0
2020-04-03,28.6
2020-04-06,27.0
2020-04-07,27.05
2020-04-08,28.6
2020-04-09,28.6
2020-04-10,27.9
2020-04-13,27.5
2020-04-14,27.2
2020-04-15,25.9
2020-04-16,24.5
2020-04-17,26.2
2020-04-20,28.0
2020-04-21,28.0
2020-04-22,29.0
2020-04-23,28.0
2020-04-24,29.0
2020-04-27,29.0
2020-04-28,27.0
2020-04-29,28.75
2020-05-04,28.5
2020-05-05,28.5
2020-05-06,27.0
2020-05-07,27.0
2020-05-08,28.0
2020-05-11,28.5
2020-05-12,28.5
2020-05-13,27.2
2020-05-14,29.1
2020-05-15,28.9
2020-05-18,28.9
2020-05-19,28.8
2020-05-20,28.5
2020-05-21,29.4
2020-05-22,27.6
2020-05-25,27.5
2020-05-26,29.0
2020-05-27,28.8
2020-05-28,28.0
2020-05-29,27.2
2020-06-01,28.0
2020-06-02,28.0
2020-06-03,28.0
2020-06-04,28.0
2020-06-05,27.9
2020-06-08,28.5
2020-06-09,28.5
2020-06-10,28.5
2020-06-11,28.1
2020-06-12,28.1
2020-06-15,28.0
2020-06-16,28.2
2020-06-17,28.2
2020-06-18,28.2
2020-06-19,30.0
2020-06-22,30.0
2020-06-23,29.5
2020-06-24,28.0
2020-06-25,28.0
2020-06-26,28.0
2020-06-29,27.6
2020-06-30,27.6
2020-07-01,28.0
2020-07-02,28.0
2020-07-03,29.3
2020-07-06,29.0
2020-07-07,29.0
2020-07-08,28.0
2020-07-09,29.5
2020-07-10,30.3
2020-07-13,29.5
