,price
2020-01-02,35.9
2020-01-03,35.8
2020-01-06,36.0
2020-01-07,36.0
2020-01-08,35.8
2020-01-09,35.0
2020-01-10,35.0
2020-01-13,34.85
2020-01-14,34.6
2020-01-15,34.8
2020-01-16,34.6
2020-01-17,34.5
2020-01-20,34.5
2020-01-21,33.6
2020-01-22,34.4
2020-01-30,33.4
2020-01-31,32.0
2020-02-03,29.9
2020-02-04,30.85
2020-02-05,30.05
2020-02-06,31.0
2020-02-07,31.2
2020-02-10,30.7
2020-02-11,30.6
2020-02-12,30.4
2020-02-13,30.0
2020-02-14,31.8
2020-02-17,31.5
2020-02-18,31.7
2020-02-19,32.1
2020-02-20,33.0
2020-02-21,33.0
2020-02-24,30.7
2020-02-25,30.7
2020-02-26,30.0
2020-02-27,30.7
2020-02-28,30.4
2020-03-02,30.4
2020-03-03,31.1
2020-03-04,31.0
2020-03-05,30.9
2020-03-06,30.8
2020-03-09,28.65
2020-03-10,29.3
2020-03-11,27.25
2020-03-12,25.35
2020-03-13,23.8
2020-03-16,23.75
2020-03-17,23.3
2020-03-18,23.2
2020-03-19,23.2
2020-03-20,23.1
2020-03-23,21.5
2020-03-24,21.5
2020-03-25,22.9
2020-03-26,23.2
2020-03-27,23.2
2020-03-30,23.0
2020-03-31,22.5
2020-04-01,22.8
2020-04-03,24.0
2020-04-06,25.5
2020-04-07,26.9
2020-04-08,25.75
2020-04-09,26.5
2020-04-10,26.5
2020-04-13,26.5
2020-04-14,26.9
2020-04-15,27.7
2020-04-16,28.75
2020-04-17,29.5
2020-04-20,29.7
2020-04-21,27.65
2020-04-22,28.0
2020-04-23,28.7
2020-04-24,29.2
2020-04-27,28.7
2020-04-28,28.5
2020-04-29,28.65
2020-05-04,28.3
2020-05-05,28.25
2020-05-06,28.25
2020-05-07,28.9
2020-05-08,28.6
2020-05-11,28.45
2020-05-12,29.0
2020-05-13,29.4
2020-05-14,28.9
2020-05-15,29.0
2020-05-18,28.5
2020-05-19,28.5
2020-05-20,28.25
2020-05-21,28.25
2020-05-22,28.0
2020-05-25,28.2
2020-05-26,28.1
2020-05-27,27.85
2020-05-28,27.9
2020-05-29,27.85
2020-06-01,27.85
2020-06-02,27.75
2020-06-03,27.9
2020-06-04,28.2
2020-06-05,28.2
2020-06-08,30.15
2020-06-09,31.5
2020-06-10,30.4
2020-06-11,28.3
2020-06-12,29.0
2020-06-15,28.5
2020-06-16,28.6
2020-06-17,28.85
2020-06-18,29.9
2020-06-19,30.7
2020-06-22,30.7
2020-06-23,31.0
2020-06-24,30.7
2020-06-25,30.2
2020-06-26,31.1
2020-06-29,30.8
2020-06-30,31.05
2020-07-01,31.0
2020-07-02,31.15
2020-07-03,30.2
2020-07-06,30.25
2020-07-07,30.2
2020-07-08,29.3
2020-07-09,29.7
2020-07-10,29.7
2020-07-13,29.5
2020-07-14,29.5
2020-07-15,29.65
2020-07-16,29.5
2020-07-17,30.1
2020-07-20,31.1
2020-07-21,30.6
2020-07-22,30.6
2020-07-23,30.3
2020-07-24,28.5
2020-07-27,27.3
2020-07-28,29.0
2020-07-29,28.5
2020-07-30,29.0
2020-07-31,28.6
2020-08-03,29.0
2020-08-04,30.4
2020-08-05,30.6
2020-08-06,30.5
2020-08-07,30.5
2020-08-10,31.3
2020-08-11,31.1
2020-08-12,31.1
2020-08-13,30.9
2020-08-14,30.7
2020-08-17,30.4
2020-08-18,30.3
2020-08-19,31.2
2020-08-20,32.5
2020-08-21,33.1
2020-08-24,33.5
2020-08-25,32.6
2020-08-26,33.8
2020-08-27,36.15
2020-08-28,35.3
2020-08-31,35.0
2020-09-01,35.6
2020-09-03,35.8
2020-09-04,34.9
2020-09-07,35.0
2020-09-08,35.5
2020-09-09,35.5
2020-09-10,35.1
2020-09-11,36.2
2020-09-14,36.5
2020-09-15,36.4
2020-09-16,35.85
2020-09-17,35.2
2020-09-18,35.1
2020-09-21,35.7
2020-09-22,35.7
2020-09-23,36.2
2020-09-24,36.2
2020-09-25,35.7
2020-09-28,35.7
2020-09-29,34.6
2020-09-30,34.7
2020-10-01,35.0
2020-10-02,35.0
2020-10-05,34.6
2020-10-06,34.6
2020-10-07,34.65
2020-10-08,34.6
2020-10-09,34.6
2020-10-12,33.8
2020-10-13,34.0
2020-10-14,33.7
2020-10-15,34.05
2020-10-16,34.0
2020-10-19,34.3
2020-10-20,34.3
2020-10-21,34.2
2020-10-22,34.0
2020-10-23,33.95
2020-10-26,33.8
2020-10-27,33.5
2020-10-28,33.1
2020-10-29,32.9
2020-10-30,32.9
2020-11-02,33.45
2020-11-03,33.55
2020-11-04,33.65
2020-11-05,33.65
2020-11-06,33.7
2020-11-09,33.95
2020-11-10,34.25
2020-11-11,34.2
2020-11-12,34.4
2020-11-13,34.25
2020-11-16,33.8
2020-11-17,33.75
2020-11-18,33.45
2020-11-19,33.75
2020-11-20,34.1
2020-11-23,33.6
2020-11-24,33.6
2020-11-25,33.4
2020-11-26,33.2
2020-11-27,33.1
2020-11-30,32.9
2020-12-01,32.65
2020-12-02,32.2
