,price
2020-01-02,14.4
2020-01-03,14.65
2020-01-06,14.4
2020-01-07,13.5
2020-01-08,13.2
2020-01-09,12.65
2020-01-10,11.9
2020-01-13,11.8
2020-01-14,11.55
2020-01-15,11.1
2020-01-16,10.95
2020-01-17,11.0
2020-01-20,11.0
2020-01-21,11.75
2020-01-22,12.55
2020-01-30,13.4
2020-01-31,14.3
2020-02-03,15.3
2020-02-04,16.35
2020-02-05,17.45
2020-02-06,16.25
2020-02-07,15.2
2020-02-10,15.5
2020-02-11,13.6
2020-02-12,14.25
2020-02-13,13.9
2020-02-14,13.5
2020-02-17,13.6
2020-02-18,13.6
2020-02-19,13.3
2020-02-20,13.3
2020-02-21,13.3
2020-02-24,12.9
2020-02-25,12.45
2020-02-26,12.0
2020-02-27,12.45
2020-02-28,12.25
2020-03-02,11.8
2020-03-03,12.6
2020-03-04,12.6
2020-03-05,12.75
2020-03-06,13.6
2020-03-09,12.65
2020-03-10,12.75
2020-03-11,11.9
2020-03-12,11.1
2020-03-13,11.3
2020-03-16,10.75
2020-03-17,10.9
2020-03-18,10.7
2020-03-19,10.6
2020-03-20,10.75
2020-03-23,10.0
2020-03-24,10.3
2020-03-25,10.8
2020-03-26,10.7
2020-03-27,10.7
2020-03-30,10.35
2020-03-31,10.5
2020-04-01,10.7
2020-04-03,10.4
2020-04-06,10.7
2020-04-07,10.7
2020-04-08,10.35
2020-04-09,10.4
2020-04-10,10.4
2020-04-13,11.1
2020-04-14,11.7
2020-04-15,12.1
2020-04-16,12.0
2020-04-17,12.15
2020-04-20,12.0
2020-04-21,11.2
2020-04-22,10.9
2020-04-23,11.65
2020-04-24,12.45
2020-04-27,13.3
2020-04-28,13.7
2020-04-29,13.0
2020-05-04,12.5
2020-05-05,12.7
2020-05-06,12.4
2020-05-07,13.25
2020-05-08,14.15
2020-05-11,15.1
2020-05-12,16.15
2020-05-13,17.25
2020-05-14,18.1
2020-05-15,16.85
2020-05-18,15.9
2020-05-19,16.85
2020-05-20,16.55
2020-05-21,16.3
2020-05-22,16.65
2020-05-25,16.5
2020-05-26,17.05
2020-05-27,16.3
2020-05-28,16.35
2020-05-29,16.2
2020-06-01,16.6
2020-06-02,16.35
2020-06-03,16.35
2020-06-04,17.25
2020-06-05,18.45
2020-06-08,19.7
2020-06-09,19.3
2020-06-10,19.6
2020-06-11,18.25
2020-06-12,17.2
2020-06-15,16.0
2020-06-16,16.8
2020-06-17,16.7
2020-06-18,16.5
2020-06-19,17.2
2020-06-22,17.05
2020-06-23,16.65
2020-06-24,16.2
2020-06-25,16.45
2020-06-26,16.45
2020-06-29,15.3
2020-06-30,14.4
2020-07-01,15.4
2020-07-02,15.35
2020-07-03,15.05
2020-07-06,15.2
2020-07-07,15.1
2020-07-08,15.1
2020-07-09,15.65
2020-07-10,16.7
2020-07-13,16.75
2020-07-14,16.7
2020-07-15,16.6
2020-07-16,16.4
2020-07-17,16.6
2020-07-20,16.95
2020-07-21,15.8
2020-07-22,15.8
2020-07-23,15.45
2020-07-24,14.4
2020-07-27,13.5
2020-07-28,14.4
2020-07-29,14.7
2020-07-30,14.9
2020-07-31,14.85
2020-08-03,15.0
2020-08-04,15.0
2020-08-05,15.2
2020-08-06,15.05
2020-08-07,14.9
2020-08-10,15.5
2020-08-11,15.4
2020-08-12,15.1
2020-08-13,15.25
2020-08-14,15.2
2020-08-17,15.2
2020-08-18,15.95
2020-08-19,16.15
2020-08-20,15.85
2020-08-21,16.1
2020-08-24,16.1
2020-08-25,15.85
2020-08-26,15.35
2020-08-27,15.45
2020-08-28,15.35
2020-08-31,14.9
2020-09-01,15.05
2020-09-03,15.3
2020-09-04,15.2
2020-09-07,16.25
2020-09-08,16.25
2020-09-09,16.25
2020-09-10,16.15
2020-09-11,17.05
2020-09-14,17.1
2020-09-15,16.8
2020-09-16,16.8
2020-09-17,16.65
2020-09-18,16.65
2020-09-21,16.85
2020-09-22,17.2
2020-09-23,17.0
2020-09-24,16.8
2020-09-25,16.9
2020-09-28,16.75
2020-09-29,16.15
2020-09-30,16.35
2020-10-01,16.45
2020-10-02,16.35
2020-10-05,16.6
2020-10-06,17.35
2020-10-07,17.15
2020-10-08,16.8
2020-10-09,16.7
2020-10-12,16.4
2020-10-13,16.45
2020-10-14,16.2
2020-10-15,15.65
2020-10-16,15.1
2020-10-19,15.4
2020-10-20,15.3
2020-10-21,14.65
2020-10-22,14.6
2020-10-23,14.7
2020-10-26,14.3
2020-10-27,13.6
2020-10-28,13.65
2020-10-29,14.55
2020-10-30,14.25
2020-11-02,14.3
2020-11-03,14.2
2020-11-04,14.7
2020-11-05,14.35
2020-11-06,14.35
2020-11-09,14.7
2020-11-10,14.7
2020-11-11,14.65
2020-11-12,14.6
2020-11-13,14.8
2020-11-16,15.1
2020-11-17,15.15
2020-11-18,15.45
2020-11-19,15.3
2020-11-20,15.2
2020-11-23,15.3
2020-11-24,15.4
2020-11-25,15.2
2020-11-26,15.9
2020-11-27,16.35
2020-11-30,16.05
2020-12-01,15.85
2020-12-02,15.7
2020-12-03,15.9
2020-12-04,15.9
2020-12-07,15.9
2020-12-08,15.75
2020-12-09,15.85
2020-12-10,15.7
2020-12-11,15.7
2020-12-14,15.75
2020-12-15,16.55
2020-12-16,16.6
2020-12-17,16.2
2020-12-18,15.9
2020-12-21,15.55
2020-12-22,15.9
2020-12-23,15.95
2020-12-24,15.5
2020-12-25,16.05
2020-12-28,16.1
2020-12-29,16.2
2020-12-30,16.75
2020-12-31,17.9
2021-01-04,18.15
2021-01-05,18.8
2021-01-06,18.25
2021-01-07,19.1
2021-01-08,18.7
2021-01-11,18.8
2021-01-12,19.25
2021-01-13,19.2
2021-01-14,19.2
2021-01-15,18.9
2021-01-18,18.5
2021-01-19,17.25
2021-01-20,16.5
2021-01-21,17.4
2021-01-22,16.95
2021-01-25,16.9
