,price
2020-01-02,49.9
2020-01-03,53.0
2020-01-06,49.4
2020-01-07,52.0
2020-01-08,52.0
2020-01-09,52.0
2020-01-10,52.0
2020-01-13,52.0
2020-01-14,52.0
2020-01-15,52.8
2020-01-16,49.15
2020-01-17,49.15
2020-01-20,49.15
2020-01-21,49.95
2020-01-22,49.95
2020-01-30,49.95
2020-01-31,51.5
2020-02-03,51.0
2020-02-04,52.0
2020-02-05,52.0
2020-02-06,48.4
2020-02-07,49.0
2020-02-10,50.0
2020-02-11,50.0
2020-02-12,49.0
2020-02-13,49.0
2020-02-14,50.1
2020-02-17,46.6
2020-02-18,49.0
2020-02-19,49.0
2020-02-20,49.0
2020-02-21,49.9
2020-02-24,50.0
2020-02-25,50.0
2020-02-26,50.0
2020-02-27,50.0
2020-02-28,49.5
2020-03-02,49.0
2020-03-03,49.9
2020-03-04,49.9
2020-03-05,49.5
2020-03-06,49.5
2020-03-09,49.5
2020-03-10,47.0
2020-03-11,47.0
2020-03-12,43.75
2020-03-13,42.0
2020-03-16,44.9
2020-03-17,44.9
2020-03-18,47.5
2020-03-19,45.0
2020-03-20,48.15
2020-03-23,49.5
2020-03-24,48.5
2020-03-25,49.0
2020-03-26,45.7
2020-03-27,43.2
2020-03-30,46.2
2020-03-31,46.3
2020-04-01,43.55
2020-04-03,43.55
2020-04-06,43.6
2020-04-07,43.6
2020-04-08,45.0
2020-04-09,47.0
2020-04-10,47.0
2020-04-13,47.0
2020-04-14,45.05
2020-04-15,45.05
2020-04-16,45.05
2020-04-17,44.95
2020-04-20,45.0
2020-04-21,45.0
2020-04-22,45.0
2020-04-23,45.0
2020-04-24,41.85
2020-04-27,44.75
2020-04-28,44.75
2020-04-29,44.0
2020-05-04,44.0
2020-05-05,44.0
2020-05-06,44.0
2020-05-07,44.0
2020-05-08,44.0
2020-05-11,43.5
2020-05-12,43.0
2020-05-13,43.5
2020-05-14,43.5
2020-05-15,43.5
2020-05-18,43.5
2020-05-19,43.5
2020-05-20,45.0
2020-05-21,45.0
2020-05-22,45.6
2020-05-25,45.6
2020-05-26,45.6
2020-05-27,45.6
2020-05-28,45.6
2020-05-29,45.6
2020-06-01,42.45
2020-06-02,42.45
2020-06-03,42.45
2020-06-04,42.6
2020-06-05,42.6
2020-06-08,42.6
2020-06-09,42.6
2020-06-10,43.0
2020-06-11,43.0
2020-06-12,44.0
2020-06-15,42.0
2020-06-16,43.7
2020-06-17,41.0
2020-06-18,41.0
2020-06-19,41.0
2020-06-22,42.8
2020-06-23,42.85
2020-06-24,42.85
2020-06-25,45.45
2020-06-26,45.45
2020-06-29,44.8
2020-06-30,45.9
2020-07-01,43.0
2020-07-02,43.5
2020-07-03,40.65
2020-07-06,42.45
2020-07-07,42.45
2020-07-08,42.5
2020-07-09,42.5
2020-07-10,42.5
2020-07-13,42.55
2020-07-14,43.0
2020-07-15,43.0
2020-07-16,45.0
2020-07-17,45.0
2020-07-20,45.0
2020-07-21,41.85
2020-07-22,41.9
2020-07-23,41.9
2020-07-24,43.0
2020-07-27,43.0
2020-07-28,44.7
2020-07-29,44.9
2020-07-30,46.0
2020-07-31,47.85
2020-08-03,49.95
2020-08-04,50.0
2020-08-05,50.0
2020-08-06,51.0
2020-08-07,47.45
2020-08-10,47.5
2020-08-11,47.5
2020-08-12,49.0
2020-08-13,49.0
2020-08-14,49.0
2020-08-17,50.0
2020-08-18,50.0
2020-08-19,50.0
2020-08-20,50.0
2020-08-21,49.0
2020-08-24,50.0
2020-08-25,50.0
2020-08-26,46.7
2020-08-27,49.9
2020-08-28,49.9
2020-08-31,49.9
2020-09-01,49.9
2020-09-03,47.0
2020-09-04,49.5
2020-09-07,49.95
2020-09-08,49.5
2020-09-09,46.25
2020-09-10,47.9
2020-09-11,47.1
2020-09-14,49.5
2020-09-15,49.5
2020-09-16,50.0
2020-09-17,50.0
2020-09-18,47.2
2020-09-21,49.9
2020-09-22,49.9
2020-09-23,47.0
2020-09-24,47.2
2020-09-25,44.2
2020-09-28,44.25
2020-09-29,46.9
2020-09-30,47.0
2020-10-01,47.0
2020-10-02,44.05
2020-10-05,46.0
2020-10-06,48.35
2020-10-07,48.0
2020-10-08,47.9
2020-10-09,47.9
2020-10-12,45.1
2020-10-13,48.0
2020-10-14,48.0
2020-10-15,48.0
2020-10-16,48.0
