,price
2020-01-02,24.6
2020-01-03,25.0
2020-01-06,24.7
2020-01-07,24.8
2020-01-08,24.6
2020-01-09,24.75
2020-01-10,24.8
2020-01-13,24.8
2020-01-14,24.6
2020-01-15,24.7
2020-01-16,24.5
2020-01-17,24.1
2020-01-20,23.9
2020-01-21,23.8
2020-01-22,24.1
2020-01-30,23.7
2020-01-31,23.5
2020-02-03,23.4
2020-02-04,23.2
2020-02-05,23.0
2020-02-06,22.8
2020-02-07,22.75
2020-02-10,22.75
2020-02-11,22.7
2020-02-12,22.8
2020-02-13,22.75
2020-02-14,22.7
2020-02-17,22.5
2020-02-18,22.5
2020-02-19,22.4
2020-02-20,22.5
2020-02-21,22.45
2020-02-24,22.3
2020-02-25,22.5
2020-02-26,22.3
2020-02-27,22.4
2020-02-28,22.7
2020-03-02,22.5
2020-03-03,22.65
2020-03-04,22.55
2020-03-05,22.4
2020-03-06,22.3
2020-03-09,21.5
2020-03-10,21.6
2020-03-11,21.2
2020-03-12,20.8
2020-03-13,19.35
2020-03-16,18.0
2020-03-17,16.75
2020-03-18,15.6
2020-03-19,16.0
2020-03-20,16.0
2020-03-23,15.8
2020-03-24,15.8
2020-03-25,15.9
2020-03-26,15.75
2020-03-27,15.6
2020-03-30,15.5
2020-03-31,15.0
2020-04-01,15.0
2020-04-03,14.8
2020-04-06,14.95
2020-04-07,15.0
2020-04-08,15.0
2020-04-09,14.8
2020-04-10,15.8
2020-04-13,16.7
2020-04-14,16.2
2020-04-15,15.9
2020-04-16,15.45
2020-04-17,16.2
2020-04-20,15.9
2020-04-21,15.3
2020-04-22,14.85
2020-04-23,15.3
2020-04-24,15.6
2020-04-27,15.3
2020-04-28,15.4
2020-04-29,15.3
2020-05-04,15.0
2020-05-05,15.0
2020-05-06,15.2
2020-05-07,15.2
2020-05-08,15.2
2020-05-11,15.4
2020-05-12,15.7
2020-05-13,15.7
2020-05-14,15.55
2020-05-15,15.3
2020-05-18,15.2
2020-05-19,15.2
2020-05-20,15.2
2020-05-21,15.35
2020-05-22,15.3
2020-05-25,15.45
2020-05-26,16.5
2020-05-27,16.75
2020-05-28,16.3
2020-05-29,16.1
2020-06-01,16.25
2020-06-02,16.85
2020-06-03,16.9
2020-06-04,16.5
2020-06-05,16.55
2020-06-08,17.45
2020-06-09,18.35
2020-06-10,18.65
2020-06-11,17.5
2020-06-12,18.4
2020-06-15,18.0
2020-06-16,18.3
2020-06-17,18.3
2020-06-18,18.0
2020-06-19,18.3
2020-06-22,19.2
2020-06-23,19.15
2020-06-24,18.45
2020-06-25,18.3
2020-06-26,18.1
2020-06-29,17.9
2020-06-30,18.05
2020-07-01,18.2
2020-07-02,18.0
2020-07-03,17.85
2020-07-06,18.4
2020-07-07,18.65
2020-07-08,18.7
2020-07-09,19.3
2020-07-10,19.0
2020-07-13,19.0
2020-07-14,18.95
2020-07-15,19.15
2020-07-16,19.05
2020-07-17,19.15
2020-07-20,18.95
2020-07-21,18.95
2020-07-22,18.85
2020-07-23,18.9
2020-07-24,18.8
2020-07-27,18.3
2020-07-28,18.4
2020-07-29,18.7
