,price
2020-01-02,21.5
2020-01-03,21.5
2020-01-06,21.4
2020-01-07,21.8
2020-01-08,21.5
2020-01-09,21.3
2020-01-10,21.0
2020-01-13,20.7
2020-01-14,20.95
2020-01-15,20.7
2020-01-16,20.7
2020-01-17,21.2
2020-01-20,21.45
2020-01-21,21.1
2020-01-22,21.25
2020-01-30,21.15
2020-01-31,20.5
2020-02-03,20.2
2020-02-04,20.1
2020-02-05,20.65
2020-02-06,21.05
2020-02-07,21.0
2020-02-10,20.8
2020-02-11,21.15
2020-02-12,22.1
2020-02-13,22.1
2020-02-14,22.2
2020-02-17,21.7
2020-02-18,21.65
2020-02-19,21.7
2020-02-20,21.6
2020-02-21,21.4
2020-02-24,20.5
2020-02-25,21.0
2020-02-26,20.9
2020-02-27,21.0
2020-02-28,20.85
2020-03-02,20.95
2020-03-03,20.95
2020-03-04,21.0
2020-03-05,20.95
2020-03-06,21.25
2020-03-09,19.9
2020-03-10,20.6
2020-03-11,20.35
2020-03-12,19.25
2020-03-13,18.5
2020-03-16,19.0
2020-03-17,19.3
2020-03-18,19.35
2020-03-19,19.15
2020-03-20,18.9
2020-03-23,18.2
2020-03-24,18.35
2020-03-25,18.55
2020-03-26,18.25
2020-03-27,18.25
2020-03-30,17.7
2020-03-31,17.7
2020-04-01,18.2
2020-04-03,18.4
2020-04-06,18.9
2020-04-07,18.95
2020-04-08,18.4
2020-04-09,18.7
2020-04-10,18.3
2020-04-13,18.25
2020-04-14,18.7
2020-04-15,20.0
2020-04-16,21.4
2020-04-17,21.5
2020-04-20,21.0
2020-04-21,20.2
2020-04-22,20.95
2020-04-23,20.9
2020-04-24,21.0
2020-04-27,20.3
2020-04-28,20.75
2020-04-29,20.6
2020-05-04,20.2
2020-05-05,20.15
2020-05-06,20.8
2020-05-07,20.7
2020-05-08,20.6
2020-05-11,20.6
2020-05-12,21.2
2020-05-13,21.15
2020-05-14,21.3
2020-05-15,21.8
2020-05-18,22.0
2020-05-19,21.8
2020-05-20,22.5
2020-05-21,22.15
2020-05-22,21.75
2020-05-25,21.75
2020-05-26,21.8
2020-05-27,21.9
2020-05-28,22.25
2020-05-29,22.5
2020-06-01,24.05
2020-06-02,23.2
2020-06-03,23.5
2020-06-04,23.4
2020-06-05,23.8
2020-06-08,23.8
2020-06-09,23.6
2020-06-10,23.75
2020-06-11,22.5
2020-06-12,22.1
2020-06-15,21.8
2020-06-16,21.85
2020-06-17,22.1
2020-06-18,22.35
2020-06-19,22.6
2020-06-22,22.3
2020-06-23,22.6
2020-06-24,22.45
2020-06-25,22.3
2020-06-26,22.15
2020-06-29,21.2
2020-06-30,21.0
2020-07-01,21.3
2020-07-02,21.2
2020-07-03,21.15
2020-07-06,21.3
2020-07-07,21.4
2020-07-08,21.4
2020-07-09,21.45
2020-07-10,21.7
2020-07-13,21.55
2020-07-14,22.0
2020-07-15,22.15
2020-07-16,22.05
2020-07-17,21.9
2020-07-20,21.85
2020-07-21,21.9
2020-07-22,21.9
2020-07-23,21.85
2020-07-24,21.1
2020-07-27,19.8
2020-07-28,20.75
2020-07-29,19.9
2020-07-30,20.1
2020-07-31,20.1
2020-08-03,20.7
2020-08-04,20.7
2020-08-05,21.05
2020-08-06,21.05
2020-08-07,21.0
2020-08-10,21.6
2020-08-11,21.6
2020-08-12,21.55
2020-08-13,21.7
2020-08-14,21.95
2020-08-17,22.1
2020-08-18,21.9
2020-08-19,22.1
2020-08-20,22.15
2020-08-21,22.15
2020-08-24,22.4
2020-08-25,23.0
2020-08-26,23.05
2020-08-27,24.05
2020-08-28,23.85
2020-08-31,23.85
2020-09-01,23.6
2020-09-03,23.5
2020-09-04,23.2
2020-09-07,23.65
2020-09-08,23.8
2020-09-09,25.4
2020-09-10,26.5
2020-09-11,26.45
2020-09-14,27.0
2020-09-15,26.6
2020-09-16,26.85
2020-09-17,26.6
2020-09-18,26.8
2020-09-21,27.2
2020-09-22,27.3
2020-09-23,27.5
2020-09-24,27.45
2020-09-25,27.3
2020-09-28,27.3
2020-09-29,27.25
2020-09-30,27.1
2020-10-01,27.1
2020-10-02,27.0
2020-10-05,27.3
2020-10-06,28.9
2020-10-07,28.8
2020-10-08,28.5
2020-10-09,28.4
2020-10-12,28.0
2020-10-13,27.55
2020-10-14,28.0
2020-10-15,27.3
2020-10-16,27.45
2020-10-19,27.0
2020-10-20,27.2
2020-10-21,29.1
2020-10-22,31.1
2020-10-23,30.9
2020-10-26,28.75
2020-10-27,27.7
2020-10-28,26.0
2020-10-29,27.8
2020-10-30,27.1
2020-11-02,27.75
2020-11-03,28.0
2020-11-04,27.9
2020-11-05,27.9
2020-11-06,27.0
2020-11-09,27.6
2020-11-10,27.5
2020-11-11,27.1
2020-11-12,27.0
2020-11-13,27.05
2020-11-16,26.7
2020-11-17,27.0
2020-11-18,27.0
2020-11-19,27.0
2020-11-20,27.3
