,price
2020-01-02,23.5
2020-01-03,22.25
2020-01-06,22.25
2020-01-07,21.7
2020-01-08,22.5
2020-01-09,22.6
2020-01-10,22.9
2020-01-13,22.95
2020-01-14,23.15
2020-01-15,22.8
2020-01-16,22.85
2020-01-17,22.75
2020-01-20,22.9
2020-01-21,22.8
2020-01-22,23.2
2020-01-30,22.85
2020-01-31,22.75
2020-02-03,23.1
2020-02-04,22.6
2020-02-05,23.5
2020-02-06,23.55
2020-02-07,22.45
2020-02-10,22.8
2020-02-11,22.3
2020-02-12,22.2
2020-02-13,23.0
2020-02-14,22.2
2020-02-17,21.85
2020-02-18,22.7
2020-02-19,23.3
2020-02-20,22.5
2020-02-21,22.7
2020-02-24,22.0
2020-02-25,22.6
2020-02-26,22.6
2020-02-27,22.6
2020-02-28,22.7
2020-03-02,22.7
2020-03-03,22.6
2020-03-04,22.65
2020-03-05,22.05
2020-03-06,21.8
2020-03-09,22.7
2020-03-10,22.3
2020-03-11,22.3
2020-03-12,21.75
2020-03-13,20.75
2020-03-16,21.2
2020-03-17,21.5
2020-03-18,21.6
2020-03-19,21.9
2020-03-20,22.2
2020-03-23,22.2
2020-03-24,22.35
2020-03-25,22.55
2020-03-26,22.55
2020-03-27,22.0
2020-03-30,21.85
2020-03-31,21.85
2020-04-01,22.0
2020-04-03,22.0
2020-04-06,22.3
2020-04-07,22.4
2020-04-08,22.0
2020-04-09,22.05
2020-04-10,22.5
2020-04-13,22.5
2020-04-14,22.7
2020-04-15,21.75
2020-04-16,22.0
2020-04-17,21.7
2020-04-20,21.4
2020-04-21,22.6
2020-04-22,22.6
2020-04-23,22.5
2020-04-24,22.7
2020-04-27,22.2
2020-04-28,22.15
2020-04-29,22.4
2020-05-04,22.8
2020-05-05,22.4
2020-05-06,21.85
2020-05-07,22.5
2020-05-08,22.25
2020-05-11,21.3
2020-05-12,20.8
2020-05-13,20.75
2020-05-14,21.15
2020-05-15,21.5
2020-05-18,21.35
2020-05-19,21.25
2020-05-20,21.3
2020-05-21,21.3
2020-05-22,21.0
2020-05-25,21.25
2020-05-26,21.3
2020-05-27,21.2
2020-05-28,21.25
2020-05-29,21.25
2020-06-01,21.25
2020-06-02,21.3
2020-06-03,21.25
2020-06-04,21.25
2020-06-05,21.3
2020-06-08,21.4
2020-06-09,21.3
2020-06-10,21.4
2020-06-11,20.75
2020-06-12,21.0
2020-06-15,20.4
2020-06-16,20.7
2020-06-17,20.5
2020-06-18,21.1
2020-06-19,21.15
2020-06-22,21.25
2020-06-23,21.4
2020-06-24,21.4
2020-06-25,21.35
2020-06-26,21.25
2020-06-29,21.05
2020-06-30,21.0
2020-07-01,21.0
2020-07-02,21.0
2020-07-03,21.0
2020-07-06,21.05
2020-07-07,20.7
2020-07-08,21.0
2020-07-09,21.5
2020-07-10,21.35
2020-07-13,21.5
2020-07-14,21.3
2020-07-15,21.35
2020-07-16,21.5
2020-07-17,21.45
2020-07-20,21.25
2020-07-21,21.35
2020-07-22,21.2
2020-07-23,21.35
2020-07-24,21.05
2020-07-27,21.05
2020-07-28,21.35
2020-07-29,21.2
2020-07-30,21.4
2020-07-31,21.45
2020-08-03,21.5
2020-08-04,21.4
2020-08-05,21.6
2020-08-06,21.75
2020-08-07,21.8
2020-08-10,22.2
2020-08-11,23.0
2020-08-12,21.8
2020-08-13,21.9
2020-08-14,21.3
2020-08-17,21.9
2020-08-18,21.55
2020-08-19,21.65
2020-08-20,21.2
2020-08-21,22.0
2020-08-24,21.05
2020-08-25,21.5
2020-08-26,21.5
2020-08-27,21.5
2020-08-28,21.4
2020-08-31,21.35
2020-09-01,21.3
2020-09-03,21.35
2020-09-04,21.25
2020-09-07,21.2
2020-09-08,21.25
2020-09-09,21.3
2020-09-10,21.5
2020-09-11,21.6
2020-09-14,21.1
2020-09-15,21.4
2020-09-16,21.45
2020-09-17,21.4
2020-09-18,21.35
2020-09-21,21.3
2020-09-22,21.35
2020-09-23,21.25
2020-09-24,21.3
2020-09-25,21.2
2020-09-28,21.1
2020-09-29,21.1
2020-09-30,21.1
2020-10-01,21.2
2020-10-02,21.1
2020-10-05,21.0
2020-10-06,21.0
2020-10-07,20.9
2020-10-08,22.0
2020-10-09,20.65
2020-10-12,20.7
2020-10-13,20.55
2020-10-14,21.1
2020-10-15,21.0
2020-10-16,21.05
2020-10-19,20.7
2020-10-20,20.8
2020-10-21,20.8
2020-10-22,20.8
2020-10-23,20.8
2020-10-26,20.8
2020-10-27,20.8
2020-10-28,20.8
2020-10-29,20.75
2020-10-30,20.75
2020-11-02,20.75
2020-11-03,20.75
2020-11-04,20.75
2020-11-05,20.65
2020-11-06,20.55
2020-11-09,20.55
2020-11-10,20.55
2020-11-11,20.55
2020-11-12,20.55
2020-11-13,20.55
2020-11-16,20.55
2020-11-17,20.5
2020-11-18,20.5
2020-11-19,20.5
2020-11-20,20.5
2020-11-23,20.5
2020-11-24,20.5
2020-11-25,20.5
2020-11-26,20.55
2020-11-27,20.5
2020-11-30,20.5
2020-12-01,20.5
2020-12-02,20.4
2020-12-03,20.4
2020-12-04,20.3
2020-12-07,20.1
2020-12-08,20.5
2020-12-09,21.0
2020-12-10,21.2
2020-12-11,21.3
2020-12-14,21.45
2020-12-15,21.45
2020-12-16,21.4
2020-12-17,21.85
2020-12-18,22.0
2020-12-21,21.65
2020-12-22,22.0
2020-12-23,22.0
2020-12-24,22.9
2020-12-25,19.9
2020-12-28,20.1
2020-12-29,20.0
2020-12-30,19.4
2020-12-31,19.8
2021-01-04,19.95
2021-01-05,19.65
2021-01-06,20.0
2021-01-07,20.0
2021-01-08,20.0
2021-01-11,20.0
2021-01-12,20.0
2021-01-13,20.1
2021-01-14,20.05
2021-01-15,20.0
2021-01-18,20.3
2021-01-19,20.1
2021-01-20,20.0
2021-01-21,20.0
2021-01-22,20.0
2021-01-25,20.0
2021-01-26,20.0
2021-01-27,20.0
2021-01-28,20.0
2021-01-29,20.0
2021-02-01,20.0
2021-02-02,20.0
2021-02-03,20.8
2021-02-04,21.0
2021-02-05,20.9
2021-02-08,20.2
2021-02-09,20.3
2021-02-17,20.25
2021-02-18,20.25
2021-02-19,20.1
2021-02-22,20.0
2021-02-23,20.45
2021-02-24,20.5
2021-02-25,20.9
2021-02-26,20.6
2021-03-01,20.45
2021-03-02,20.3
2021-03-03,20.4
2021-03-04,20.4
2021-03-05,20.4
2021-03-08,20.5
2021-03-09,21.0
2021-03-10,20.95
2021-03-11,20.45
2021-03-12,20.35
2021-03-15,20.4
2021-03-16,20.3
2021-03-17,20.2
2021-03-18,20.35
2021-03-19,20.35
2021-03-22,20.25
2021-03-23,19.8
2021-03-24,20.2
2021-03-25,20.1
2021-03-26,20.0
2021-03-29,19.9
2021-03-30,21.2
2021-03-31,20.5
2021-04-01,20.35
2021-04-02,20.1
2021-04-05,20.2
2021-04-06,20.2
2021-04-07,20.0
2021-04-08,19.9
2021-04-09,19.9
2021-04-12,19.9
2021-04-13,19.9
2021-04-14,19.9
2021-04-15,19.9
2021-04-16,19.9
2021-04-19,19.9
2021-04-20,20.0
2021-04-22,20.05
2021-04-23,20.0
2021-04-26,19.95
2021-04-27,19.8
2021-04-28,19.7
2021-04-29,20.0
2021-05-04,19.85
2021-05-05,19.85
2021-05-06,19.8
2021-05-07,19.75
2021-05-10,19.65
2021-05-11,19.05
2021-05-12,19.5
2021-05-13,19.7
2021-05-14,19.6
2021-05-17,19.5
2021-05-18,19.4
2021-05-19,20.0
2021-05-20,20.1
2021-05-21,20.1
2021-05-24,20.0
2021-05-25,20.0
2021-05-26,20.1
2021-05-27,19.95
2021-05-28,20.3
2021-05-31,20.3
2021-06-01,20.05
2021-06-02,20.1
2021-06-03,20.5
2021-06-04,20.5
2021-06-07,20.4
2021-06-08,20.4
2021-06-09,20.45
2021-06-10,20.45
2021-06-11,20.5
2021-06-14,20.5
2021-06-15,20.5
2021-06-16,20.4
2021-06-17,20.4
2021-06-18,20.5
2021-06-21,20.3
2021-06-22,20.4
2021-06-23,20.3
2021-06-24,20.75
2021-06-25,20.8
2021-06-28,20.9
2021-06-29,20.6
2021-06-30,20.45
2021-07-01,20.6
2021-07-02,20.6
2021-07-05,20.5
2021-07-06,20.45
2021-07-07,20.55
2021-07-08,20.4
2021-07-09,20.3
2021-07-12,20.25
2021-07-13,20.25
2021-07-14,20.2
2021-07-15,20.3
2021-07-16,20.4
2021-07-19,20.2
2021-07-20,20.25
2021-07-21,20.3
2021-07-22,20.25
2021-07-23,20.3
2021-07-26,20.4
2021-07-27,20.7
2021-07-28,20.7
2021-07-29,20.75
2021-07-30,20.35
2021-08-02,20.35
2021-08-03,20.3
2021-08-04,20.1
2021-08-05,20.1
2021-08-06,20.05
2021-08-09,20.05
2021-08-10,20.05
2021-08-11,20.0
2021-08-12,20.0
2021-08-13,20.0
2021-08-16,20.0
2021-08-17,20.1
2021-08-18,20.0
2021-08-19,20.1
2021-08-20,19.95
2021-08-23,20.1
2021-08-24,20.1
2021-08-25,20.05
2021-08-26,20.05
2021-08-27,20.1
2021-08-30,20.15
2021-08-31,20.1
2021-09-01,20.1
2021-09-06,20.2
2021-09-07,20.2
2021-09-08,20.1
2021-09-09,20.05
2021-09-10,20.05
2021-09-13,20.05
