,price
2020-01-02,23.2
2020-01-03,22.8
2020-01-06,22.5
2020-01-07,21.7
2020-01-08,21.9
2020-01-09,21.7
2020-01-10,21.3
2020-01-13,21.6
2020-01-14,21.4
2020-01-15,21.4
2020-01-16,21.2
2020-01-17,21.15
2020-01-20,21.9
2020-01-21,21.9
2020-01-22,22.9
2020-01-30,22.6
2020-01-31,21.7
2020-02-03,21.0
2020-02-04,21.0
2020-02-05,19.55
2020-02-06,20.8
2020-02-07,21.2
2020-02-10,22.2
2020-02-11,22.0
2020-02-12,21.9
2020-02-13,22.1
2020-02-14,22.3
2020-02-17,22.35
2020-02-18,22.65
2020-02-19,22.0
2020-02-20,22.2
2020-02-21,22.5
2020-02-24,22.2
2020-02-25,22.2
2020-02-26,22.1
2020-02-27,22.1
2020-02-28,22.0
2020-03-02,22.0
2020-03-03,21.9
2020-03-04,21.9
2020-03-05,21.9
2020-03-06,22.0
2020-03-09,21.95
2020-03-10,21.95
2020-03-11,21.85
2020-03-12,21.5
2020-03-13,21.0
2020-03-16,21.75
2020-03-17,21.8
2020-03-18,21.8
2020-03-19,21.7
2020-03-20,21.7
2020-03-23,21.5
2020-03-24,21.3
2020-03-25,21.75
2020-03-26,21.5
2020-03-27,21.45
2020-03-30,21.0
2020-03-31,21.2
2020-04-01,21.45
2020-04-03,21.3
2020-04-06,21.3
2020-04-07,21.1
2020-04-08,19.65
2020-04-09,19.9
2020-04-10,19.2
2020-04-13,19.3
2020-04-14,19.1
2020-04-15,19.1
2020-04-16,19.7
2020-04-17,19.5
2020-04-20,19.5
2020-04-21,19.4
2020-04-22,19.3
2020-04-23,19.3
2020-04-24,19.3
2020-04-27,19.0
2020-04-28,19.0
2020-04-29,19.0
2020-05-04,19.0
2020-05-05,19.0
2020-05-06,19.7
2020-05-07,19.75
2020-05-08,19.8
2020-05-11,19.0
2020-05-12,20.3
2020-05-13,20.0
2020-05-14,19.45
2020-05-15,19.5
2020-05-18,19.0
2020-05-19,19.0
2020-05-20,19.0
2020-05-21,18.9
2020-05-22,19.0
2020-05-25,18.95
2020-05-26,18.85
2020-05-27,19.05
