,price
2020-01-02,7.36
2020-01-03,7.34
2020-01-06,7.15
2020-01-07,7.15
2020-01-08,7.13
2020-01-09,7.2
2020-01-10,7.2
2020-01-13,7.3
2020-01-14,7.27
2020-01-15,7.23
2020-01-16,7.23
2020-01-17,7.1
2020-01-20,7.19
2020-01-21,7.2
2020-01-22,7.39
2020-01-30,7.2
2020-01-31,7.4
2020-02-03,7.15
2020-02-04,7.1
2020-02-05,7.05
2020-02-06,7.19
2020-02-07,6.94
2020-02-10,7.07
2020-02-11,7.01
2020-02-12,7.05
2020-02-13,7.05
2020-02-14,7.04
2020-02-17,7.0
2020-02-18,6.98
2020-02-19,7.0
2020-02-20,6.99
2020-02-21,6.97
2020-02-24,6.75
2020-02-25,6.79
2020-02-26,6.79
2020-02-27,6.84
2020-02-28,6.8
2020-03-02,6.8
2020-03-03,6.9
2020-03-04,6.9
2020-03-05,7.0
2020-03-06,6.98
2020-03-09,6.7
2020-03-10,6.86
2020-03-11,6.7
2020-03-12,6.48
2020-03-13,6.39
2020-03-16,6.3
2020-03-17,6.3
2020-03-18,6.74
2020-03-19,6.68
2020-03-20,6.48
2020-03-23,6.03
2020-03-24,5.8
2020-03-25,5.89
2020-03-26,5.83
2020-03-27,5.51
2020-03-30,5.2
2020-03-31,5.3
2020-04-01,5.66
2020-04-03,5.75
2020-04-06,6.02
2020-04-07,5.98
2020-04-08,5.94
2020-04-09,6.14
2020-04-10,6.14
2020-04-13,6.15
2020-04-14,6.13
2020-04-15,6.34
2020-04-16,6.29
2020-04-17,6.25
2020-04-20,6.2
2020-04-21,5.91
2020-04-22,5.91
2020-04-23,5.79
2020-04-24,5.8
2020-04-27,5.69
2020-04-28,5.69
2020-04-29,5.68
2020-05-04,5.45
2020-05-05,5.43
2020-05-06,5.57
2020-05-07,5.57
2020-05-08,5.65
2020-05-11,5.72
2020-05-12,6.05
2020-05-13,6.0
2020-05-14,6.1
2020-05-15,6.08
2020-05-18,6.08
2020-05-19,6.1
2020-05-20,6.15
2020-05-21,6.26
2020-05-22,6.27
2020-05-25,6.26
2020-05-26,6.45
2020-05-27,6.4
2020-05-28,6.45
2020-05-29,6.48
2020-06-01,6.85
2020-06-02,6.85
2020-06-03,6.85
2020-06-04,7.32
2020-06-05,7.6
2020-06-08,7.98
2020-06-09,7.75
2020-06-10,7.75
2020-06-11,7.4
2020-06-12,7.19
2020-06-15,6.8
2020-06-16,7.11
2020-06-17,7.05
2020-06-18,7.1
2020-06-19,7.15
2020-06-22,7.39
2020-06-23,7.55
2020-06-24,7.59
2020-06-25,7.69
2020-06-26,7.65
2020-06-29,7.3
2020-06-30,7.3
2020-07-01,7.4
2020-07-02,7.38
2020-07-03,7.37
2020-07-06,7.38
2020-07-07,7.38
2020-07-08,7.38
2020-07-09,7.4
2020-07-10,7.37
2020-07-13,7.37
2020-07-14,7.37
2020-07-15,7.39
2020-07-16,7.32
2020-07-17,7.35
2020-07-20,7.25
2020-07-21,7.26
2020-07-22,7.2
2020-07-23,7.19
2020-07-24,6.69
2020-07-27,6.23
2020-07-28,6.4
2020-07-29,6.28
2020-07-30,6.3
2020-07-31,6.28
2020-08-03,6.37
2020-08-04,6.35
2020-08-05,6.4
2020-08-06,6.41
2020-08-07,6.41
2020-08-10,6.44
2020-08-11,6.44
2020-08-12,6.4
2020-08-13,6.48
2020-08-14,6.38
2020-08-17,6.38
2020-08-18,6.37
2020-08-19,6.5
2020-08-20,6.52
2020-08-21,6.65
2020-08-24,6.75
2020-08-25,6.75
2020-08-26,6.77
2020-08-27,6.79
2020-08-28,6.8
2020-08-31,6.75
2020-09-01,6.8
2020-09-03,6.8
2020-09-04,7.27
2020-09-07,7.31
2020-09-08,7.3
2020-09-09,7.25
2020-09-10,7.26
2020-09-11,7.3
2020-09-14,7.35
2020-09-15,7.43
2020-09-16,7.39
2020-09-17,7.46
2020-09-18,7.68
2020-09-21,7.71
2020-09-22,7.57
2020-09-23,7.55
2020-09-24,7.55
2020-09-25,7.51
2020-09-28,7.53
2020-09-29,7.5
2020-09-30,7.48
2020-10-01,7.8
2020-10-02,7.88
2020-10-05,7.9
2020-10-06,7.88
2020-10-07,7.77
2020-10-08,7.76
2020-10-09,7.7
2020-10-12,7.56
2020-10-13,7.56
2020-10-14,7.6
2020-10-15,7.56
2020-10-16,7.6
2020-10-19,7.75
2020-10-20,7.74
2020-10-21,7.67
2020-10-22,7.6
2020-10-23,7.54
2020-10-26,7.41
2020-10-27,7.34
2020-10-28,7.1
2020-10-29,7.15
2020-10-30,7.15
2020-11-02,7.15
2020-11-03,7.19
2020-11-04,7.25
2020-11-05,7.19
2020-11-06,7.17
2020-11-09,7.2
2020-11-10,7.3
2020-11-11,7.28
2020-11-12,7.27
2020-11-13,7.22
2020-11-16,7.36
2020-11-17,7.87
2020-11-18,8.42
2020-11-19,8.9
2020-11-20,8.58
2020-11-23,8.79
2020-11-24,8.5
2020-11-25,8.37
2020-11-26,8.65
2020-11-27,8.7
2020-11-30,8.56
2020-12-01,8.6
2020-12-02,9.2
2020-12-03,9.41
2020-12-04,9.25
2020-12-07,9.5
2020-12-08,9.76
2020-12-09,10.4
2020-12-10,9.9
2020-12-11,10.4
2020-12-14,11.1
2020-12-15,11.0
2020-12-16,11.0
2020-12-17,11.1
2020-12-18,11.65
2020-12-21,12.45
2020-12-22,13.3
2020-12-23,13.0
2020-12-24,13.25
2020-12-25,14.15
2020-12-28,15.1
2020-12-29,15.4
2020-12-30,14.8
2020-12-31,15.8
2021-01-04,16.9
2021-01-05,17.95
2021-01-06,17.8
2021-01-07,17.85
2021-01-08,17.5
2021-01-11,17.1
2021-01-12,17.05
2021-01-13,16.1
2021-01-14,17.2
2021-01-15,18.2
2021-01-18,17.85
2021-01-19,16.65
2021-01-20,16.0
2021-01-21,16.7
2021-01-22,16.0
2021-01-25,15.75
2021-01-26,14.65
2021-01-27,13.65
2021-01-28,12.7
2021-01-29,12.85
2021-02-01,12.0
2021-02-02,11.95
2021-02-03,12.75
2021-02-04,13.6
2021-02-05,14.55
2021-02-08,14.1
2021-02-09,14.6
2021-02-17,15.0
2021-02-18,14.5
2021-02-19,14.5
2021-02-22,14.5
2021-02-23,14.85
2021-02-24,15.2
2021-02-25,15.1
2021-02-26,14.95
2021-03-01,15.7
2021-03-02,15.45
2021-03-03,15.55
2021-03-04,14.75
2021-03-05,15.4
2021-03-08,15.75
2021-03-09,15.6
2021-03-10,15.6
2021-03-11,16.65
2021-03-12,16.8
2021-03-15,16.9
2021-03-16,16.4
2021-03-17,16.8
2021-03-18,17.2
2021-03-19,17.25
2021-03-22,16.85
2021-03-23,16.3
2021-03-24,15.55
2021-03-25,15.35
2021-03-26,15.65
2021-03-29,16.0
2021-03-30,16.25
2021-03-31,16.55
2021-04-01,17.2
2021-04-02,17.3
2021-04-05,17.55
2021-04-06,17.15
2021-04-07,17.25
2021-04-08,17.2
2021-04-09,17.0
2021-04-12,17.55
2021-04-13,17.2
2021-04-14,17.35
2021-04-15,17.1
2021-04-16,16.55
2021-04-19,16.75
2021-04-20,16.55
2021-04-22,15.4
2021-04-23,15.9
2021-04-26,15.0
2021-04-27,14.6
2021-04-28,14.6
2021-04-29,14.6
2021-05-04,14.45
2021-05-05,15.45
2021-05-06,15.15
2021-05-07,14.75
2021-05-10,15.5
2021-05-11,15.45
2021-05-12,15.5
2021-05-13,15.65
2021-05-14,15.75
2021-05-17,15.4
2021-05-18,15.05
2021-05-19,14.9
2021-05-20,15.9
2021-05-21,16.2
2021-05-24,16.55
2021-05-25,17.25
2021-05-26,17.4
2021-05-27,16.7
2021-05-28,17.85
2021-05-31,19.05
2021-06-01,20.35
2021-06-02,21.1
2021-06-03,22.55
2021-06-04,24.0
2021-06-07,22.35
2021-06-08,20.8
2021-06-09,22.2
2021-06-10,21.2
2021-06-11,21.5
2021-06-14,22.6
2021-06-15,22.85
2021-06-16,22.3
2021-06-17,22.0
2021-06-18,22.0
2021-06-21,21.9
2021-06-22,22.0
2021-06-23,22.3
2021-06-24,23.1
2021-06-25,23.9
2021-06-28,24.15
2021-06-29,24.0
2021-06-30,23.2
2021-07-01,24.8
2021-07-02,25.9
2021-07-05,25.1
2021-07-06,23.55
2021-07-07,23.8
2021-07-08,23.0
2021-07-09,21.4
2021-07-12,19.95
2021-07-13,20.3
2021-07-14,19.7
2021-07-15,21.05
2021-07-16,20.7
2021-07-19,19.3
2021-07-20,20.6
2021-07-21,20.0
2021-07-22,20.4
2021-07-23,20.2
2021-07-26,20.35
2021-07-27,20.6
2021-07-28,20.45
2021-07-29,21.2
2021-07-30,21.7
2021-08-02,21.5
2021-08-03,22.3
2021-08-04,22.35
2021-08-05,22.45
2021-08-06,21.9
2021-08-09,22.95
2021-08-10,23.0
2021-08-11,22.5
2021-08-12,22.5
2021-08-13,23.0
2021-08-16,24.6
2021-08-17,24.8
2021-08-18,25.1
2021-08-19,26.85
2021-08-20,28.4
2021-08-23,30.35
2021-08-24,28.25
2021-08-25,28.9
2021-08-26,28.6
2021-08-27,29.3
2021-08-30,29.75
2021-08-31,29.4
2021-09-01,30.35
2021-09-06,32.0
2021-09-07,31.6
2021-09-08,30.5
2021-09-09,30.7
2021-09-10,30.15
2021-09-13,29.1
2021-09-14,27.8
2021-09-15,28.45
2021-09-16,28.4
2021-09-17,29.6
2021-09-20,28.8
2021-09-21,28.0
2021-09-22,28.15
2021-09-23,28.15
2021-09-24,27.6
2021-09-27,26.3
2021-09-28,27.6
2021-09-29,27.0
2021-09-30,27.1
2021-10-01,26.4
2021-10-04,26.1
2021-10-05,27.9
2021-10-06,27.9
2021-10-07,28.45
2021-10-08,28.25
2021-10-11,28.7
2021-10-12,28.5
2021-10-13,28.2
2021-10-14,28.6
2021-10-15,28.5
2021-10-18,29.2
2021-10-19,29.6
2021-10-20,28.75
2021-10-21,28.3
2021-10-22,27.3
2021-10-25,27.3
2021-10-26,27.7
2021-10-27,28.0
2021-10-28,28.7
2021-10-29,28.85
2021-11-01,30.85
2021-11-02,31.7
2021-11-03,29.6
2021-11-04,31.65
2021-11-05,32.45
2021-11-08,34.7
2021-11-09,36.2
2021-11-10,36.25
2021-11-11,38.0
2021-11-12,40.65
2021-11-15,42.0
2021-11-16,43.0
2021-11-17,42.8
2021-11-18,45.75
2021-11-19,44.5
2021-11-22,42.6
2021-11-23,44.5
2021-11-24,45.0
2021-11-25,47.5
2021-11-26,47.0
2021-11-29,47.4
2021-11-30,46.0
2021-12-01,44.6
2021-12-02,43.9
2021-12-03,40.85
2021-12-06,38.0
2021-12-07,38.5
2021-12-08,39.5
2021-12-09,40.6
2021-12-10,39.6
2021-12-13,40.6
2021-12-14,40.75
2021-12-15,40.1
2021-12-16,39.1
2021-12-17,41.4
2021-12-20,42.65
2021-12-21,41.75
2021-12-22,40.8
