,price
2020-01-02,78.9
2020-01-03,73.4
2020-01-06,68.3
2020-01-07,69.4
2020-01-08,65.3
2020-01-09,67.9
2020-01-10,67.5
2020-01-13,66.6
2020-01-14,67.6
2020-01-15,68.6
2020-01-16,69.0
2020-01-17,66.9
2020-01-20,66.0
2020-01-21,66.0
2020-01-22,64.0
2020-01-30,59.6
2020-01-31,55.5
2020-02-03,51.7
2020-02-04,48.1
2020-02-05,51.4
2020-02-06,54.9
2020-02-07,54.3
2020-02-10,52.5
2020-02-11,53.9
2020-02-12,54.3
2020-02-13,53.4
2020-02-14,54.6
2020-02-17,57.0
2020-02-18,58.0
2020-02-19,62.0
2020-02-20,64.0
2020-02-21,64.0
2020-02-24,59.6
2020-02-25,61.5
2020-02-26,61.3
2020-02-27,61.4
2020-02-28,60.8
2020-03-02,61.5
2020-03-03,62.5
2020-03-04,61.8
2020-03-05,60.9
2020-03-06,61.0
2020-03-09,56.8
2020-03-10,55.0
2020-03-11,52.0
2020-03-12,48.4
2020-03-13,47.0
2020-03-16,46.0
2020-03-17,49.2
2020-03-18,50.5
2020-03-19,49.5
2020-03-20,50.4
2020-03-23,46.9
2020-03-24,46.2
2020-03-25,47.2
2020-03-26,45.5
2020-03-27,44.85
2020-03-30,42.3
2020-03-31,41.8
2020-04-01,43.5
2020-04-03,45.6
2020-04-06,47.6
2020-04-07,47.8
2020-04-08,47.8
2020-04-09,51.1
2020-04-10,51.0
2020-04-13,51.0
2020-04-14,51.7
2020-04-15,55.3
2020-04-16,55.2
2020-04-17,55.4
2020-04-20,54.7
2020-04-21,51.0
2020-04-22,53.0
2020-04-23,52.5
2020-04-24,52.4
2020-04-27,56.0
2020-04-28,56.8
2020-04-29,56.8
2020-05-04,53.8
2020-05-05,55.5
2020-05-06,57.0
2020-05-07,56.8
2020-05-08,56.0
2020-05-11,56.8
2020-05-12,59.2
2020-05-13,58.5
2020-05-14,58.0
2020-05-15,56.5
2020-05-18,57.4
2020-05-19,57.5
2020-05-20,57.0
2020-05-21,58.0
2020-05-22,58.6
2020-05-25,60.0
2020-05-26,59.6
2020-05-27,58.6
2020-05-28,58.1
2020-05-29,59.4
2020-06-01,63.5
2020-06-02,61.5
2020-06-03,62.9
2020-06-04,61.8
2020-06-05,62.0
2020-06-08,63.0
2020-06-09,62.7
2020-06-10,63.6
2020-06-11,59.2
2020-06-12,57.6
2020-06-15,53.9
2020-06-16,56.6
2020-06-17,57.3
2020-06-18,58.0
2020-06-19,58.1
2020-06-22,58.5
2020-06-23,58.3
2020-06-24,56.7
2020-06-25,56.3
2020-06-26,56.0
2020-06-29,54.2
2020-06-30,53.1
2020-07-01,55.4
2020-07-02,55.0
2020-07-03,54.9
2020-07-06,56.5
2020-07-07,55.0
2020-07-08,55.4
2020-07-09,56.9
2020-07-10,56.5
2020-07-13,56.2
2020-07-14,55.7
2020-07-15,56.1
2020-07-16,56.4
2020-07-17,59.5
2020-07-20,60.4
2020-07-21,59.9
2020-07-22,59.5
2020-07-23,59.6
2020-07-24,56.4
2020-07-27,52.5
2020-07-28,54.8
2020-07-29,52.7
2020-07-30,53.5
2020-07-31,52.5
2020-08-03,54.4
2020-08-04,54.5
2020-08-05,56.2
2020-08-06,55.7
2020-08-07,56.0
2020-08-10,58.0
2020-08-11,58.0
2020-08-12,57.5
2020-08-13,58.2
2020-08-14,57.3
2020-08-17,57.5
2020-08-18,58.7
2020-08-19,62.8
2020-08-20,64.5
2020-08-21,64.5
2020-08-24,64.7
2020-08-25,64.2
2020-08-26,68.6
2020-08-27,67.9
2020-08-28,67.7
2020-08-31,65.3
2020-09-01,66.2
2020-09-03,66.4
2020-09-04,69.3
2020-09-07,67.8
2020-09-08,68.2
2020-09-09,68.4
2020-09-10,70.6
2020-09-11,70.6
2020-09-14,70.2
2020-09-15,69.9
2020-09-16,69.8
2020-09-17,68.2
2020-09-18,67.7
2020-09-21,67.6
2020-09-22,66.9
2020-09-23,68.7
2020-09-24,68.6
2020-09-25,68.4
2020-09-28,68.5
2020-09-29,70.0
2020-09-30,73.0
2020-10-01,72.5
2020-10-02,71.3
2020-10-05,72.4
2020-10-06,72.4
2020-10-07,71.8
2020-10-08,71.8
2020-10-09,71.8
2020-10-12,70.9
2020-10-13,71.0
2020-10-14,71.0
2020-10-15,69.0
2020-10-16,68.0
2020-10-19,68.3
2020-10-20,68.0
2020-10-21,67.0
2020-10-22,66.3
2020-10-23,66.0
2020-10-26,65.0
2020-10-27,63.5
2020-10-28,61.9
2020-10-29,63.0
2020-10-30,64.0
2020-11-02,63.5
2020-11-03,65.5
2020-11-04,67.3
2020-11-05,65.3
2020-11-06,65.9
2020-11-09,66.7
2020-11-10,67.8
2020-11-11,67.9
2020-11-12,69.8
2020-11-13,72.7
2020-11-16,74.6
2020-11-17,74.3
2020-11-18,74.3
2020-11-19,74.5
2020-11-20,75.0
2020-11-23,77.4
2020-11-24,75.9
2020-11-25,75.9
2020-11-26,57.1
2020-11-27,58.0
2020-11-30,56.6
2020-12-01,57.1
2020-12-02,55.8
2020-12-03,55.9
2020-12-04,55.4
2020-12-07,55.1
2020-12-08,55.0
2020-12-09,56.5
2020-12-10,55.8
2020-12-11,56.0
2020-12-14,56.3
2020-12-15,57.9
2020-12-16,58.2
2020-12-17,57.5
2020-12-18,57.2
2020-12-21,58.4
2020-12-22,62.4
2020-12-23,62.0
2020-12-24,61.0
2020-12-25,62.8
2020-12-28,62.3
2020-12-29,62.4
2020-12-30,62.0
2020-12-31,62.2
2021-01-04,63.5
2021-01-05,63.8
2021-01-06,63.8
2021-01-07,63.4
2021-01-08,64.3
2021-01-11,64.4
2021-01-12,66.4
2021-01-13,65.3
2021-01-14,64.6
2021-01-15,63.8
2021-01-18,64.4
2021-01-19,59.9
2021-01-20,58.0
2021-01-21,59.9
2021-01-22,59.0
2021-01-25,58.2
2021-01-26,56.0
2021-01-27,53.3
2021-01-28,49.6
2021-01-29,52.0
2021-02-01,51.0
2021-02-02,52.0
2021-02-03,54.6
2021-02-04,54.0
2021-02-05,54.5
2021-02-08,53.1
