,price
2020-01-02,9.29
2020-01-03,9.45
2020-01-06,9.2
2020-01-07,9.0
2020-01-08,8.6
2020-01-09,8.88
2020-01-10,8.8
2020-01-13,8.23
2020-01-14,8.8
2020-01-15,8.2
2020-01-16,8.7
2020-01-17,8.8
2020-01-20,8.77
2020-01-21,8.5
2020-01-22,8.58
2020-01-30,8.52
2020-01-31,8.28
2020-02-03,8.15
2020-02-04,8.29
2020-02-05,8.35
2020-02-06,8.5
2020-02-07,8.5
2020-02-10,8.29
2020-02-11,8.5
2020-02-12,8.5
2020-02-13,8.52
2020-02-14,8.7
2020-02-17,8.86
2020-02-18,8.75
2020-02-19,8.7
2020-02-20,8.75
2020-02-21,8.63
2020-02-24,8.5
2020-02-25,8.55
2020-02-26,8.7
2020-02-27,8.64
2020-02-28,8.54
2020-03-02,8.44
2020-03-03,8.44
2020-03-04,8.48
2020-03-05,8.8
2020-03-06,8.7
2020-03-09,8.6
2020-03-10,8.85
2020-03-11,8.5
2020-03-12,8.5
2020-03-13,8.48
2020-03-16,8.46
2020-03-17,8.4
2020-03-18,8.37
2020-03-19,8.36
2020-03-20,8.18
2020-03-23,8.18
2020-03-24,7.89
2020-03-25,8.19
2020-03-26,8.7
2020-03-27,9.26
2020-03-30,9.0
2020-03-31,9.2
2020-04-01,9.84
2020-04-03,9.8
2020-04-06,10.0
2020-04-07,9.8
2020-04-08,9.7
2020-04-09,9.58
2020-04-10,9.7
2020-04-13,10.0
2020-04-14,9.95
2020-04-15,9.7
2020-04-16,9.7
2020-04-17,9.7
2020-04-20,9.8
2020-04-21,9.6
2020-04-22,9.8
2020-04-23,9.6
2020-04-24,9.59
2020-04-27,9.3
2020-04-28,9.6
2020-04-29,9.0
2020-05-04,9.5
2020-05-05,9.25
2020-05-06,9.17
2020-05-07,9.0
2020-05-08,9.0
2020-05-11,9.6
2020-05-12,9.38
2020-05-13,9.4
2020-05-14,10.0
2020-05-15,10.7
2020-05-18,11.4
2020-05-19,12.1
2020-05-20,12.5
2020-05-21,12.0
2020-05-22,12.2
2020-05-25,12.0
2020-05-26,11.7
2020-05-27,11.8
2020-05-28,11.9
2020-05-29,11.6
2020-06-01,11.95
2020-06-02,12.05
2020-06-03,11.8
2020-06-04,11.95
2020-06-05,12.3
2020-06-08,12.2
2020-06-09,12.25
2020-06-10,13.1
2020-06-11,14.0
2020-06-12,14.7
2020-06-15,15.7
2020-06-16,16.0
2020-06-17,15.5
2020-06-18,15.5
2020-06-19,15.8
2020-06-22,15.6
2020-06-23,15.5
2020-06-24,15.7
2020-06-25,15.6
2020-06-26,15.9
2020-06-29,15.8
2020-06-30,16.9
2020-07-01,18.05
2020-07-02,16.8
2020-07-03,15.65
2020-07-06,14.6
2020-07-07,13.6
2020-07-08,12.65
2020-07-09,11.8
2020-07-10,11.0
2020-07-13,11.45
2020-07-14,10.65
2020-07-15,9.91
2020-07-16,9.22
2020-07-17,9.86
2020-07-20,10.5
2020-07-21,9.77
2020-07-22,9.09
2020-07-23,8.46
2020-07-24,7.87
2020-07-27,7.32
2020-07-28,6.81
2020-07-29,6.34
2020-07-30,6.3
2020-07-31,5.86
2020-08-03,5.45
2020-08-04,5.07
2020-08-05,5.15
2020-08-06,4.85
2020-08-07,4.85
2020-08-10,5.18
2020-08-11,5.39
2020-08-12,5.02
2020-08-13,4.84
2020-08-14,4.95
2020-08-17,4.93
2020-08-18,4.84
2020-08-19,4.81
2020-08-20,4.7
2020-08-21,4.92
2020-08-24,5.0
2020-08-25,4.94
2020-08-26,4.94
2020-08-27,5.03
2020-08-28,5.0
2020-08-31,4.93
2020-09-01,4.9
2020-09-03,4.96
2020-09-04,4.92
2020-09-07,4.89
2020-09-08,4.89
2020-09-09,4.85
2020-09-10,4.86
2020-09-11,4.94
2020-09-14,5.28
2020-09-15,5.5
2020-09-16,5.12
2020-09-17,5.06
2020-09-18,5.05
2020-09-21,5.17
2020-09-22,5.13
2020-09-23,5.07
2020-09-24,5.07
2020-09-25,5.05
2020-09-28,5.04
2020-09-29,4.97
2020-09-30,4.99
2020-10-01,5.11
2020-10-02,5.02
2020-10-05,5.2
2020-10-06,5.12
2020-10-07,5.2
2020-10-08,5.13
2020-10-09,5.12
2020-10-12,5.07
2020-10-13,5.07
2020-10-14,5.06
2020-10-15,5.03
2020-10-16,5.03
2020-10-19,5.04
2020-10-20,5.06
2020-10-21,5.15
2020-10-22,5.22
2020-10-23,5.24
2020-10-26,5.2
2020-10-27,5.2
2020-10-28,4.9
2020-10-29,4.56
2020-10-30,4.25
2020-11-02,4.25
2020-11-03,4.24
2020-11-04,4.23
2020-11-05,4.23
2020-11-06,4.15
2020-11-09,4.1
2020-11-10,4.21
2020-11-11,4.13
2020-11-12,4.13
2020-11-13,4.08
2020-11-16,3.98
2020-11-17,4.0
2020-11-18,4.05
2020-11-19,4.0
2020-11-20,4.0
2020-11-23,3.91
2020-11-24,3.94
2020-11-25,3.94
2020-11-26,3.88
2020-11-27,3.75
2020-11-30,3.88
2020-12-01,3.89
2020-12-02,3.81
2020-12-03,3.81
2020-12-04,3.85
2020-12-07,3.85
2020-12-08,3.88
2020-12-09,3.85
2020-12-10,3.8
2020-12-11,3.81
2020-12-14,3.76
2020-12-15,3.76
2020-12-16,3.83
2020-12-17,3.84
2020-12-18,3.83
2020-12-21,3.83
2020-12-22,3.83
2020-12-23,4.09
2020-12-24,4.02
2020-12-25,3.98
2020-12-28,3.89
2020-12-29,3.86
2020-12-30,3.94
2020-12-31,3.95
2021-01-04,4.02
2021-01-05,4.2
2021-01-06,4.37
2021-01-07,4.26
2021-01-08,4.28
2021-01-11,4.23
2021-01-12,4.4
2021-01-13,4.47
2021-01-14,4.4
2021-01-15,4.46
2021-01-18,4.77
2021-01-19,4.48
2021-01-20,4.45
2021-01-21,4.68
2021-01-22,4.6
2021-01-25,4.41
2021-01-26,4.16
2021-01-27,4.08
2021-01-28,3.8
2021-01-29,3.79
2021-02-01,3.55
2021-02-02,3.59
2021-02-03,3.71
2021-02-04,3.77
2021-02-05,3.81
2021-02-08,3.66
2021-02-09,3.8
2021-02-17,3.91
2021-02-18,3.91
2021-02-19,3.89
2021-02-22,3.88
2021-02-23,4.15
2021-02-24,4.25
2021-02-25,4.2
2021-02-26,4.18
2021-03-01,4.21
2021-03-02,4.2
2021-03-03,4.4
2021-03-04,4.34
2021-03-05,4.36
2021-03-08,4.47
2021-03-09,4.65
2021-03-10,4.97
2021-03-11,5.22
2021-03-12,5.36
2021-03-15,5.73
2021-03-16,5.9
2021-03-17,5.64
2021-03-18,5.54
2021-03-19,5.49
2021-03-22,5.87
2021-03-23,6.28
2021-03-24,6.3
2021-03-25,6.18
2021-03-26,5.9
2021-03-29,6.31
2021-03-30,6.25
2021-03-31,6.1
2021-04-01,6.52
2021-04-02,6.97
2021-04-05,7.45
2021-04-06,7.96
2021-04-07,8.0
2021-04-08,7.44
2021-04-09,7.94
2021-04-12,8.49
2021-04-13,8.41
2021-04-14,8.99
2021-04-15,9.17
2021-04-16,8.56
2021-04-19,8.39
2021-04-20,8.35
2021-04-22,7.77
2021-04-23,8.29
2021-04-26,7.88
2021-04-27,7.7
2021-04-28,8.23
2021-04-29,8.23
2021-05-04,8.25
2021-05-05,8.3
2021-05-06,8.5
2021-05-07,8.7
2021-05-10,8.26
2021-05-11,8.69
2021-05-12,8.35
2021-05-13,8.4
2021-05-14,8.4
2021-05-17,8.3
2021-05-18,8.5
2021-05-19,8.46
2021-05-20,8.98
2021-05-21,9.25
2021-05-24,9.33
2021-05-25,9.3
2021-05-26,9.16
2021-05-27,9.39
2021-05-28,9.59
2021-05-31,9.58
2021-06-01,9.3
2021-06-02,9.02
2021-06-03,9.65
2021-06-04,10.3
2021-06-07,11.0
2021-06-08,11.4
2021-06-09,11.0
2021-06-10,10.25
2021-06-11,10.3
2021-06-14,10.5
2021-06-15,10.5
2021-06-16,10.6
2021-06-17,10.35
2021-06-18,10.35
2021-06-21,10.55
2021-06-22,11.25
2021-06-23,12.0
2021-06-24,12.8
2021-06-25,12.8
2021-06-28,12.7
2021-06-29,11.9
2021-06-30,11.1
2021-07-01,10.35
2021-07-02,9.63
2021-07-05,8.96
2021-07-06,8.34
2021-07-07,8.92
2021-07-08,8.3
2021-07-09,7.77
2021-07-12,7.23
2021-07-13,7.46
2021-07-14,7.78
2021-07-15,7.95
2021-07-16,7.8
2021-07-19,7.26
2021-07-20,6.82
2021-07-21,6.83
2021-07-22,7.3
2021-07-23,7.81
2021-07-26,7.81
2021-07-27,8.35
2021-07-28,8.92
2021-07-29,9.54
2021-07-30,9.38
2021-08-02,9.38
2021-08-03,10.0
2021-08-04,10.7
2021-08-05,11.4
2021-08-06,12.15
2021-08-09,13.0
2021-08-10,13.9
2021-08-11,12.95
2021-08-12,13.85
2021-08-13,13.6
2021-08-16,12.75
2021-08-17,12.55
2021-08-18,12.65
2021-08-19,12.8
2021-08-20,12.65
2021-08-23,12.6
2021-08-24,13.4
2021-08-25,13.2
2021-08-26,12.8
2021-08-27,12.35
2021-08-30,13.1
2021-08-31,12.2
2021-09-01,11.75
2021-09-06,10.95
2021-09-07,11.7
2021-09-08,10.9
2021-09-09,10.85
2021-09-10,10.85
2021-09-13,10.8
2021-09-14,11.45
2021-09-15,10.7
2021-09-16,11.1
2021-09-17,10.35
2021-09-20,10.1
2021-09-21,10.1
2021-09-22,10.55
2021-09-23,9.82
2021-09-24,9.14
2021-09-27,8.54
2021-09-28,8.6
2021-09-29,8.58
2021-09-30,8.88
2021-10-01,9.08
2021-10-04,8.85
2021-10-05,8.92
2021-10-06,9.05
2021-10-07,9.6
2021-10-08,9.6
2021-10-11,8.93
2021-10-12,9.0
2021-10-13,8.96
2021-10-14,9.02
2021-10-15,9.02
2021-10-18,8.97
2021-10-19,9.07
2021-10-20,9.19
2021-10-21,9.14
2021-10-22,9.14
2021-10-25,9.13
2021-10-26,9.1
2021-10-27,9.4
2021-10-28,9.38
2021-10-29,9.3
2021-11-01,9.62
2021-11-02,10.25
2021-11-03,10.25
2021-11-04,9.54
2021-11-05,9.91
2021-11-08,9.95
2021-11-09,9.99
2021-11-10,9.98
2021-11-11,10.05
2021-11-12,10.75
2021-11-15,10.65
2021-11-16,10.4
2021-11-17,10.45
2021-11-18,10.7
2021-11-19,11.2
2021-11-22,10.45
2021-11-23,10.4
2021-11-24,10.45
2021-11-25,10.4
2021-11-26,10.1
2021-11-29,10.05
2021-11-30,10.0
2021-12-01,10.7
2021-12-02,10.8
2021-12-03,10.35
2021-12-06,9.84
2021-12-07,10.05
2021-12-08,10.1
2021-12-09,10.05
2021-12-10,10.15
2021-12-13,10.35
2021-12-14,10.55
2021-12-15,10.4
2021-12-16,10.7
2021-12-17,11.1
2021-12-20,10.9
2021-12-21,10.75
2021-12-22,11.5
2021-12-23,12.3
2021-12-24,12.4
2021-12-27,11.95
2021-12-28,12.0
2021-12-29,11.6
2021-12-30,12.35
2021-12-31,11.95
2022-01-04,12.0
2022-01-05,11.85
2022-01-06,12.0
2022-01-07,12.8
2022-01-10,12.35
2022-01-11,11.7
2022-01-12,11.65
2022-01-13,10.85
2022-01-14,10.85
2022-01-17,10.1
2022-01-18,9.5
2022-01-19,9.6
2022-01-20,10.05
2022-01-21,10.15
2022-01-24,9.62
2022-01-25,9.91
2022-01-26,9.57
2022-01-27,9.61
2022-01-28,9.84
2022-02-07,10.5
2022-02-08,11.2
2022-02-09,10.85
2022-02-10,11.1
2022-02-11,11.05
2022-02-14,11.25
2022-02-15,11.0
2022-02-16,10.75
2022-02-17,11.5
2022-02-18,12.3
2022-02-21,12.6
2022-02-22,13.45
2022-02-23,13.3
2022-02-24,12.55
2022-02-25,13.4
2022-02-28,14.1
2022-03-01,13.7
2022-03-02,13.7
2022-03-03,13.4
2022-03-04,13.6
2022-03-07,12.9
2022-03-08,13.8
2022-03-09,13.55
2022-03-10,14.1
2022-03-11,14.2
2022-03-14,14.75
