,price
2020-01-02,25.0
2020-01-03,25.2
2020-01-06,24.7
2020-01-07,25.0
2020-01-08,23.7
2020-01-09,23.5
2020-01-10,23.05
2020-01-13,22.85
2020-01-14,22.85
2020-01-15,22.45
2020-01-16,22.0
2020-01-17,22.5
2020-01-20,22.45
2020-01-21,22.5
2020-01-22,22.9
2020-01-30,21.45
2020-01-31,20.2
2020-02-03,19.0
2020-02-04,19.65
2020-02-05,19.8
2020-02-06,20.45
2020-02-07,20.45
2020-02-10,19.7
2020-02-11,20.1
2020-02-12,20.55
2020-02-13,20.4
2020-02-14,20.2
2020-02-17,20.9
2020-02-18,21.9
2020-02-19,21.6
2020-02-20,21.2
2020-02-21,20.7
2020-02-24,19.75
2020-02-25,20.1
2020-02-26,19.7
2020-02-27,19.4
2020-02-28,18.8
2020-03-02,19.15
2020-03-03,19.55
2020-03-04,19.6
2020-03-05,19.35
2020-03-06,19.65
2020-03-09,19.0
2020-03-10,19.0
2020-03-11,18.7
2020-03-12,18.2
2020-03-13,17.9
2020-03-16,17.8
2020-03-17,17.45
2020-03-18,17.5
2020-03-19,18.6
2020-03-20,17.35
2020-03-23,16.15
2020-03-24,17.25
2020-03-25,18.2
2020-03-26,17.65
2020-03-27,17.65
2020-03-30,18.85
2020-03-31,18.8
2020-04-01,19.3
2020-04-03,19.15
2020-04-06,17.1
2020-04-07,18.2
2020-04-08,18.6
2020-04-09,19.8
2020-04-10,20.85
2020-04-13,22.0
2020-04-14,23.1
2020-04-15,24.5
2020-04-16,26.2
2020-04-17,28.0
2020-04-20,26.05
2020-04-21,24.25
2020-04-22,25.9
2020-04-23,25.0
2020-04-24,24.8
2020-04-27,26.5
2020-04-28,28.35
2020-04-29,27.7
2020-05-04,26.5
2020-05-05,27.25
2020-05-06,27.6
2020-05-07,27.8
2020-05-08,28.1
2020-05-11,30.05
2020-05-12,31.4
2020-05-13,32.1
2020-05-14,31.75
2020-05-15,30.05
2020-05-18,32.15
2020-05-19,32.8
2020-05-20,32.3
2020-05-21,34.4
2020-05-22,34.8
2020-05-25,37.2
2020-05-26,37.9
2020-05-27,36.5
2020-05-28,39.05
2020-05-29,41.3
2020-06-01,44.15
2020-06-02,44.9
2020-06-03,48.0
2020-06-04,51.3
2020-06-05,54.0
2020-06-08,56.6
2020-06-09,55.2
2020-06-10,51.4
2020-06-11,47.85
2020-06-12,44.55
2020-06-15,42.5
2020-06-16,45.45
2020-06-17,46.0
2020-06-18,46.5
2020-06-19,49.75
2020-06-22,53.2
2020-06-23,49.5
2020-06-24,47.5
2020-06-25,49.0
2020-06-26,48.95
2020-06-29,47.0
2020-06-30,44.4
2020-07-01,45.7
2020-07-02,47.9
2020-07-03,45.8
2020-07-06,46.0
2020-07-07,44.4
2020-07-08,44.5
2020-07-09,46.2
2020-07-10,46.4
2020-07-13,46.0
2020-07-14,45.6
2020-07-15,45.55
2020-07-16,48.7
2020-07-17,50.0
2020-07-20,50.0
2020-07-21,49.8
2020-07-22,51.5
2020-07-23,52.6
2020-07-24,49.3
2020-07-27,45.85
2020-07-28,48.7
2020-07-29,45.8
2020-07-30,45.9
2020-07-31,45.2
2020-08-03,47.7
2020-08-04,47.1
2020-08-05,47.8
2020-08-06,47.5
2020-08-07,49.0
2020-08-10,49.1
2020-08-11,48.9
2020-08-12,47.7
2020-08-13,47.7
2020-08-14,47.65
2020-08-17,46.9
2020-08-18,46.7
2020-08-19,47.1
2020-08-20,46.5
2020-08-21,48.15
2020-08-24,48.55
2020-08-25,47.7
2020-08-26,46.65
2020-08-27,47.0
2020-08-28,46.5
2020-08-31,45.3
2020-09-01,45.9
2020-09-03,48.4
2020-09-04,48.15
2020-09-07,47.05
2020-09-08,47.5
2020-09-09,48.0
2020-09-10,47.85
2020-09-11,49.9
2020-09-14,49.65
2020-09-15,48.85
2020-09-16,47.2
2020-09-17,46.4
2020-09-18,46.9
2020-09-21,46.35
2020-09-22,46.15
2020-09-23,46.35
2020-09-24,46.9
2020-09-25,46.75
2020-09-28,46.9
2020-09-29,47.0
2020-09-30,47.45
2020-10-01,48.7
2020-10-02,47.8
2020-10-05,48.05
2020-10-06,47.3
2020-10-07,46.6
2020-10-08,46.5
2020-10-09,46.5
2020-10-12,45.5
2020-10-13,44.75
2020-10-14,44.55
2020-10-15,41.45
2020-10-16,40.6
2020-10-19,41.5
2020-10-20,42.5
2020-10-21,42.05
2020-10-22,41.75
2020-10-23,41.75
2020-10-26,41.05
2020-10-27,41.2
2020-10-28,41.85
2020-10-29,42.5
2020-10-30,41.95
2020-11-02,41.5
2020-11-03,41.6
2020-11-04,41.85
2020-11-05,42.4
2020-11-06,42.4
2020-11-09,42.5
2020-11-10,41.9
2020-11-11,41.85
2020-11-12,41.55
2020-11-13,42.0
2020-11-16,41.45
2020-11-17,41.55
2020-11-18,41.35
2020-11-19,41.55
2020-11-20,44.0
2020-11-23,43.9
2020-11-24,43.25
2020-11-25,42.7
2020-11-26,42.7
2020-11-27,43.2
2020-11-30,42.4
2020-12-01,42.2
2020-12-02,42.5
2020-12-03,42.8
2020-12-04,42.2
2020-12-07,42.25
2020-12-08,42.15
2020-12-09,42.55
2020-12-10,43.15
2020-12-11,46.15
2020-12-14,47.5
2020-12-15,48.6
2020-12-16,48.85
2020-12-17,48.05
2020-12-18,50.0
2020-12-21,50.5
2020-12-22,51.4
2020-12-23,52.0
2020-12-24,50.5
2020-12-25,52.5
2020-12-28,54.0
2020-12-29,57.7
2020-12-30,57.4
2020-12-31,56.7
2021-01-04,58.5
2021-01-05,57.4
2021-01-06,58.0
2021-01-07,58.0
2021-01-08,59.4
2021-01-11,57.9
2021-01-12,57.5
2021-01-13,59.8
2021-01-14,63.0
2021-01-15,63.5
2021-01-18,61.2
2021-01-19,57.5
2021-01-20,57.8
2021-01-21,58.6
2021-01-22,58.0
2021-01-25,57.0
2021-01-26,53.1
2021-01-27,50.0
2021-01-28,46.5
2021-01-29,47.65
2021-02-01,45.0
2021-02-02,46.95
2021-02-03,49.0
2021-02-04,49.0
2021-02-05,51.9
2021-02-08,49.0
2021-02-09,50.0
2021-02-17,51.5
2021-02-18,53.8
2021-02-19,54.0
2021-02-22,53.5
2021-02-23,52.5
2021-02-24,51.4
2021-02-25,51.2
2021-02-26,52.2
2021-03-01,52.2
2021-03-02,52.8
2021-03-03,53.9
2021-03-04,55.5
2021-03-05,54.9
2021-03-08,56.1
2021-03-09,57.8
2021-03-10,58.0
2021-03-11,57.9
2021-03-12,58.0
2021-03-15,59.4
2021-03-16,61.8
2021-03-17,61.4
2021-03-18,60.9
2021-03-19,60.9
2021-03-22,60.5
2021-03-23,58.5
2021-03-24,58.4
2021-03-25,58.2
2021-03-26,58.4
2021-03-29,58.9
2021-03-30,58.6
2021-03-31,58.1
2021-04-01,61.0
2021-04-02,60.6
2021-04-05,59.7
2021-04-06,58.8
2021-04-07,59.4
2021-04-08,58.8
2021-04-09,58.1
2021-04-12,58.1
2021-04-13,56.9
2021-04-14,57.5
2021-04-15,56.2
2021-04-16,57.0
2021-04-19,58.0
2021-04-20,58.6
2021-04-22,56.2
2021-04-23,56.2
2021-04-26,53.8
2021-04-27,52.6
2021-04-28,53.7
2021-04-29,53.7
2021-05-04,53.2
2021-05-05,56.0
2021-05-06,57.2
2021-05-07,57.0
2021-05-10,56.9
2021-05-11,57.7
2021-05-12,57.9
2021-05-13,56.4
2021-05-14,55.5
2021-05-17,53.8
2021-05-18,53.9
2021-05-19,54.0
2021-05-20,53.4
2021-05-21,55.1
2021-05-24,56.0
2021-05-25,56.0
2021-05-26,55.4
2021-05-27,54.0
2021-05-28,57.7
2021-05-31,60.9
2021-06-01,61.4
2021-06-02,63.5
2021-06-03,64.6
2021-06-04,63.9
2021-06-07,64.1
2021-06-08,61.6
2021-06-09,62.9
2021-06-10,57.0
2021-06-11,56.1
2021-06-14,56.0
2021-06-15,56.0
2021-06-16,59.9
2021-06-17,61.2
2021-06-18,60.8
2021-06-21,62.2
2021-06-22,61.6
2021-06-23,60.2
2021-06-24,60.3
2021-06-25,63.3
2021-06-28,64.2
2021-06-29,63.6
2021-06-30,63.1
2021-07-01,63.4
2021-07-02,60.5
2021-07-05,57.7
2021-07-06,55.0
2021-07-07,55.4
2021-07-08,55.6
2021-07-09,55.3
2021-07-12,52.1
2021-07-13,52.6
2021-07-14,51.1
2021-07-15,53.2
2021-07-16,53.9
2021-07-19,50.8
2021-07-20,51.8
2021-07-21,51.0
2021-07-22,52.2
2021-07-23,51.5
2021-07-26,53.2
2021-07-27,54.3
2021-07-28,55.0
2021-07-29,55.1
2021-07-30,54.9
2021-08-02,54.0
2021-08-03,53.5
2021-08-04,53.7
2021-08-05,54.2
2021-08-06,55.5
2021-08-09,57.0
2021-08-10,57.0
2021-08-11,56.1
2021-08-12,56.1
2021-08-13,58.0
2021-08-16,59.2
2021-08-17,58.6
2021-08-18,59.4
2021-08-19,60.3
2021-08-20,58.5
2021-08-23,58.0
2021-08-24,57.1
2021-08-25,57.8
2021-08-26,58.5
2021-08-27,59.8
2021-08-30,63.2
2021-08-31,61.8
2021-09-01,63.6
2021-09-06,62.6
2021-09-07,61.5
2021-09-08,61.0
2021-09-09,61.5
2021-09-10,62.0
2021-09-13,61.2
2021-09-14,61.3
2021-09-15,62.9
2021-09-16,62.5
2021-09-17,64.7
2021-09-20,65.0
2021-09-21,64.0
2021-09-22,64.2
