,price
2020-01-02,27.9
2020-01-03,27.9
2020-01-06,27.5
2020-01-07,26.3
2020-01-08,25.0
2020-01-09,24.9
2020-01-10,24.6
2020-01-13,24.2
2020-01-14,24.5
2020-01-15,26.0
2020-01-16,24.7
2020-01-17,24.9
2020-01-20,24.5
2020-01-21,24.45
2020-01-22,25.0
2020-01-30,25.85
2020-01-31,26.0
2020-02-03,25.8
2020-02-04,25.0
2020-02-05,23.25
2020-02-06,21.65
2020-02-07,20.15
2020-02-10,20.9
2020-02-11,21.1
2020-02-12,21.85
2020-02-13,21.7
2020-02-14,23.2
2020-02-17,24.5
2020-02-18,24.65
2020-02-19,24.0
2020-02-20,23.85
2020-02-21,22.8
2020-02-24,21.25
2020-02-25,21.25
2020-02-26,19.9
2020-02-27,21.25
2020-02-28,21.0
2020-03-02,21.6
2020-03-03,21.6
2020-03-04,22.0
2020-03-05,21.7
2020-03-06,21.9
2020-03-09,20.4
2020-03-10,19.2
2020-03-11,19.2
2020-03-12,19.9
2020-03-13,19.9
2020-03-16,20.9
2020-03-17,21.3
2020-03-18,21.4
2020-03-19,21.4
2020-03-20,21.0
2020-03-23,19.55
2020-03-24,19.9
2020-03-25,20.0
2020-03-26,19.95
2020-03-27,19.05
2020-03-30,18.35
2020-03-31,18.0
2020-04-01,18.2
2020-04-03,18.0
2020-04-06,18.6
2020-04-07,19.1
2020-04-08,18.95
2020-04-09,18.95
2020-04-10,20.25
2020-04-13,21.2
2020-04-14,21.3
2020-04-15,20.6
2020-04-16,20.9
2020-04-17,22.35
2020-04-20,22.0
2020-04-21,21.1
2020-04-22,22.0
2020-04-23,22.0
2020-04-24,22.9
2020-04-27,22.9
2020-04-28,22.4
2020-04-29,21.65
2020-05-04,20.6
2020-05-05,20.7
2020-05-06,20.2
2020-05-07,20.65
2020-05-08,20.4
2020-05-11,20.5
2020-05-12,20.4
2020-05-13,20.3
2020-05-14,21.45
2020-05-15,21.2
2020-05-18,20.65
2020-05-19,20.55
2020-05-20,20.6
2020-05-21,20.35
2020-05-22,20.55
2020-05-25,20.3
2020-05-26,20.5
2020-05-27,20.5
2020-05-28,20.25
2020-05-29,20.4
2020-06-01,21.25
2020-06-02,21.35
2020-06-03,21.3
2020-06-04,21.2
2020-06-05,21.2
2020-06-08,21.7
2020-06-09,21.2
2020-06-10,21.5
2020-06-11,21.1
2020-06-12,21.45
2020-06-15,22.95
2020-06-16,23.0
2020-06-17,22.65
2020-06-18,21.4
2020-06-19,21.8
2020-06-22,21.7
2020-06-23,22.1
2020-06-24,22.45
2020-06-25,22.4
2020-06-26,22.35
2020-06-29,21.85
2020-06-30,20.55
2020-07-01,21.0
