,price
2020-01-02,24.7
2020-01-03,24.3
2020-01-06,23.8
2020-01-07,24.3
2020-01-08,23.1
2020-01-09,24.0
2020-01-10,24.0
2020-01-13,24.1
2020-01-14,24.6
2020-01-15,24.6
2020-01-16,24.5
2020-01-17,24.7
2020-01-20,24.8
2020-01-21,24.8
2020-01-22,25.2
2020-01-30,25.6
2020-01-31,24.6
2020-02-03,23.9
2020-02-04,24.1
2020-02-05,24.2
2020-02-06,24.2
2020-02-07,24.3
2020-02-10,24.3
2020-02-11,24.3
2020-02-12,24.8
2020-02-13,24.6
2020-02-14,24.5
2020-02-17,24.4
2020-02-18,25.0
2020-02-19,24.8
2020-02-20,24.7
2020-02-21,24.6
2020-02-24,24.0
2020-02-25,24.6
2020-02-26,24.4
2020-02-27,24.3
2020-02-28,24.4
2020-03-02,24.3
2020-03-03,24.3
2020-03-04,24.3
2020-03-05,24.4
2020-03-06,24.4
2020-03-09,22.7
2020-03-10,23.2
2020-03-11,22.9
2020-03-12,22.4
2020-03-13,22.6
2020-03-16,22.8
2020-03-17,22.5
2020-03-18,22.8
2020-03-19,22.5
2020-03-20,22.3
2020-03-23,21.5
2020-03-24,21.5
2020-03-25,21.4
2020-03-26,21.0
2020-03-27,21.0
2020-03-30,20.2
2020-03-31,19.4
2020-04-01,19.9
2020-04-03,19.9
2020-04-06,21.4
2020-04-07,21.5
2020-04-08,21.3
2020-04-09,22.5
2020-04-10,22.3
2020-04-13,22.8
2020-04-14,22.7
2020-04-15,22.6
2020-04-16,23.4
2020-04-17,24.4
2020-04-20,25.6
2020-04-21,25.4
2020-04-22,25.5
2020-04-23,25.9
2020-04-24,27.0
2020-04-27,26.9
2020-04-28,26.6
2020-04-29,26.7
2020-05-04,27.6
2020-05-05,28.7
2020-05-06,29.2
2020-05-07,28.9
2020-05-08,28.6
2020-05-11,29.0
2020-05-12,29.3
2020-05-13,30.4
2020-05-14,31.9
2020-05-15,31.2
2020-05-18,31.8
2020-05-19,31.7
2020-05-20,32.3
2020-05-21,32.3
2020-05-22,32.6
2020-05-25,33.0
2020-05-26,33.5
2020-05-27,35.5
2020-05-28,36.8
2020-05-29,36.8
2020-06-01,39.2
2020-06-02,38.9
2020-06-03,38.2
2020-06-04,40.0
2020-06-05,41.5
2020-06-08,41.6
2020-06-09,40.9
2020-06-10,40.0
2020-06-11,36.8
2020-06-12,38.5
2020-06-15,38.5
2020-06-16,38.6
2020-06-17,38.2
2020-06-18,38.0
2020-06-19,39.3
2020-06-22,38.8
2020-06-23,38.8
2020-06-24,38.4
2020-06-25,38.4
2020-06-26,39.6
2020-06-29,38.8
2020-06-30,39.5
2020-07-01,39.8
2020-07-02,39.5
2020-07-03,40.8
2020-07-06,40.8
2020-07-07,40.3
