,price
2020-01-02,31.95
2020-01-03,30.65
2020-01-06,31.0
2020-01-07,31.0
2020-01-08,31.95
2020-01-09,31.8
2020-01-10,31.4
2020-01-13,31.65
2020-01-14,31.45
2020-01-15,31.4
2020-01-16,30.75
2020-01-17,31.0
2020-01-20,31.5
2020-01-21,31.5
2020-01-22,32.35
2020-01-30,30.6
2020-01-31,32.0
2020-02-03,32.0
2020-02-04,32.0
2020-02-05,32.0
2020-02-06,32.0
2020-02-07,31.5
2020-02-10,32.4
2020-02-11,32.5
2020-02-12,32.5
2020-02-13,32.5
2020-02-14,32.5
2020-02-17,32.3
2020-02-18,32.3
2020-02-19,32.3
2020-02-20,31.1
2020-02-21,32.35
2020-02-24,31.5
2020-02-25,31.45
2020-02-26,31.0
2020-02-27,31.5
2020-02-28,32.45
2020-03-02,32.25
2020-03-03,31.8
2020-03-04,31.0
2020-03-05,32.2
2020-03-06,31.85
2020-03-09,32.45
2020-03-10,31.45
2020-03-11,31.8
2020-03-12,30.5
2020-03-13,29.0
2020-03-16,29.8
2020-03-17,28.1
2020-03-18,29.6
2020-03-19,29.3
2020-03-20,29.0
2020-03-23,27.9
2020-03-24,28.95
2020-03-25,29.0
2020-03-26,29.35
2020-03-27,27.5
2020-03-30,29.2
2020-03-31,29.25
2020-04-01,27.3
2020-04-03,28.65
2020-04-06,28.5
2020-04-07,28.0
2020-04-08,28.15
2020-04-09,27.85
2020-04-10,27.5
2020-04-13,27.75
2020-04-14,27.8
2020-04-15,27.9
2020-04-16,29.5
2020-04-17,29.5
2020-04-20,31.55
2020-04-21,31.95
2020-04-22,32.0
2020-04-23,33.0
2020-04-24,32.0
2020-04-27,32.0
2020-04-28,31.5
2020-04-29,33.0
2020-05-04,32.4
2020-05-05,33.0
2020-05-06,34.6
2020-05-07,34.7
2020-05-08,34.3
2020-05-11,35.0
2020-05-12,34.8
2020-05-13,33.6
2020-05-14,33.7
2020-05-15,33.9
2020-05-18,33.9
2020-05-19,34.0
2020-05-20,33.9
2020-05-21,31.9
2020-05-22,31.9
2020-05-25,31.75
2020-05-26,31.75
2020-05-27,32.0
2020-05-28,31.85
2020-05-29,31.65
2020-06-01,31.7
2020-06-02,31.5
2020-06-03,31.4
2020-06-04,31.4
2020-06-05,31.4
2020-06-08,32.0
2020-06-09,31.5
2020-06-10,31.5
2020-06-11,30.5
2020-06-12,29.7
2020-06-15,28.6
2020-06-16,28.7
2020-06-17,28.7
2020-06-18,29.0
2020-06-19,29.95
2020-06-22,29.8
2020-06-23,30.3
2020-06-24,30.5
2020-06-25,30.5
2020-06-26,29.8
2020-06-29,29.2
2020-06-30,29.0
2020-07-01,30.4
2020-07-02,30.7
2020-07-03,30.4
2020-07-06,29.8
2020-07-07,30.1
2020-07-08,29.6
2020-07-09,29.55
2020-07-10,30.7
2020-07-13,30.35
2020-07-14,30.15
2020-07-15,30.85
2020-07-16,30.5
2020-07-17,32.6
2020-07-20,32.5
2020-07-21,32.7
2020-07-22,32.6
2020-07-23,33.5
2020-07-24,32.8
2020-07-27,31.5
2020-07-28,32.0
2020-07-29,31.0
2020-07-30,31.2
2020-07-31,30.5
2020-08-03,31.35
2020-08-04,31.9
2020-08-05,32.7
2020-08-06,34.1
2020-08-07,34.9
2020-08-10,35.25
2020-08-11,34.95
2020-08-12,34.9
2020-08-13,35.0
2020-08-14,36.3
2020-08-17,37.8
2020-08-18,37.5
2020-08-19,37.2
2020-08-20,36.85
2020-08-21,37.5
2020-08-24,38.0
2020-08-25,38.0
2020-08-26,37.65
2020-08-27,38.7
2020-08-28,38.5
2020-08-31,37.6
2020-09-01,37.8
2020-09-03,38.0
2020-09-04,37.8
2020-09-07,37.7
2020-09-08,37.8
2020-09-09,39.0
2020-09-10,38.9
2020-09-11,38.5
2020-09-14,38.5
2020-09-15,38.6
