,price
2020-01-02,92.0
2020-01-03,91.2
2020-01-06,91.2
2020-01-07,89.2
2020-01-08,86.0
2020-01-09,89.0
2020-01-10,88.0
2020-01-13,87.1
2020-01-14,90.0
2020-01-15,89.0
2020-01-16,87.4
2020-01-17,88.0
2020-01-20,88.4
2020-01-21,88.3
2020-01-22,88.0
2020-01-30,93.0
2020-01-31,99.5
2020-02-03,102.6
2020-02-04,101.0
2020-02-05,96.5
2020-02-06,95.9
2020-02-07,97.4
2020-02-10,101.0
2020-02-11,99.0
2020-02-12,99.5
2020-02-13,96.0
2020-02-14,95.5
2020-02-17,97.0
2020-02-18,98.1
2020-02-19,97.0
2020-02-20,96.5
2020-02-21,96.8
2020-02-24,98.0
2020-02-25,98.0
2020-02-26,97.1
2020-02-27,98.5
2020-02-28,96.0
2020-03-02,95.0
2020-03-03,93.8
2020-03-04,93.8
2020-03-05,93.9
2020-03-06,95.0
2020-03-09,88.7
2020-03-10,89.5
2020-03-11,89.4
2020-03-12,84.9
2020-03-13,86.0
2020-03-16,82.0
2020-03-17,78.0
2020-03-18,79.3
2020-03-19,77.0
2020-03-20,78.0
2020-03-23,75.5
2020-03-24,75.6
2020-03-25,80.8
2020-03-26,82.5
2020-03-27,81.0
2020-03-30,78.9
2020-03-31,79.0
2020-04-01,79.0
2020-04-03,81.8
2020-04-06,84.0
2020-04-07,83.0
2020-04-08,83.5
2020-04-09,87.0
2020-04-10,89.2
2020-04-13,89.2
2020-04-14,87.8
2020-04-15,88.1
2020-04-16,89.0
2020-04-17,89.0
2020-04-20,90.1
2020-04-21,90.1
2020-04-22,91.0
2020-04-23,92.9
2020-04-24,91.7
2020-04-27,91.1
2020-04-28,93.9
2020-04-29,93.3
2020-05-04,94.1
2020-05-05,93.8
2020-05-06,95.1
2020-05-07,97.1
2020-05-08,96.0
2020-05-11,94.0
2020-05-12,93.6
2020-05-13,92.6
2020-05-14,92.0
2020-05-15,92.1
2020-05-18,91.6
2020-05-19,92.0
2020-05-20,92.1
2020-05-21,93.5
2020-05-22,92.9
2020-05-25,93.1
2020-05-26,93.0
2020-05-27,93.2
2020-05-28,92.8
2020-05-29,92.3
2020-06-01,92.8
2020-06-02,94.0
2020-06-03,93.0
2020-06-04,93.1
2020-06-05,92.7
2020-06-08,93.0
2020-06-09,94.0
2020-06-10,93.2
2020-06-11,92.0
2020-06-12,90.5
2020-06-15,90.2
2020-06-16,91.5
2020-06-17,92.0
2020-06-18,92.0
2020-06-19,92.1
2020-06-22,92.4
2020-06-23,91.4
2020-06-24,91.6
2020-06-25,90.5
2020-06-26,91.1
2020-06-29,89.8
2020-06-30,91.5
2020-07-01,90.5
2020-07-02,91.0
2020-07-03,92.0
2020-07-06,92.7
2020-07-07,93.4
2020-07-08,93.5
2020-07-09,94.2
2020-07-10,93.0
2020-07-13,93.9
2020-07-14,93.7
2020-07-15,93.2
2020-07-16,93.2
2020-07-17,93.0
2020-07-20,91.9
2020-07-21,92.8
2020-07-22,92.8
2020-07-23,92.8
2020-07-24,93.4
2020-07-27,91.0
2020-07-28,92.0
2020-07-29,92.8
2020-07-30,92.7
2020-07-31,91.1
2020-08-03,91.7
2020-08-04,97.0
2020-08-05,97.0
2020-08-06,96.9
2020-08-07,96.8
2020-08-10,96.7
2020-08-11,96.7
2020-08-12,96.6
2020-08-13,96.8
2020-08-14,96.0
2020-08-17,95.9
2020-08-18,95.7
2020-08-19,96.3
2020-08-20,97.0
2020-08-21,99.0
2020-08-24,104.8
2020-08-25,106.0
2020-08-26,105.4
2020-08-27,105.0
2020-08-28,106.0
2020-08-31,105.5
2020-09-01,104.8
2020-09-03,102.5
2020-09-04,102.1
2020-09-07,100.0
2020-09-08,105.0
2020-09-09,102.4
2020-09-10,102.9
2020-09-11,104.5
2020-09-14,102.1
2020-09-15,103.0
2020-09-16,104.4
2020-09-17,106.0
2020-09-18,105.6
2020-09-21,104.3
2020-09-22,106.0
2020-09-23,106.0
2020-09-24,106.2
2020-09-25,105.1
2020-09-28,106.0
2020-09-29,105.9
2020-09-30,105.5
2020-10-01,105.9
2020-10-02,105.9
2020-10-05,104.1
2020-10-06,104.8
2020-10-07,105.0
2020-10-08,105.0
2020-10-09,104.8
2020-10-12,105.6
2020-10-13,104.0
2020-10-14,105.5
2020-10-15,104.4
2020-10-16,104.0
2020-10-19,103.0
2020-10-20,103.0
2020-10-21,103.1
2020-10-22,103.7
2020-10-23,103.9
2020-10-26,103.0
2020-10-27,102.6
2020-10-28,102.0
2020-10-29,102.0
2020-10-30,102.0
2020-11-02,103.9
2020-11-03,104.0
2020-11-04,103.0
2020-11-05,103.0
2020-11-06,103.0
2020-11-09,104.0
2020-11-10,102.9
2020-11-11,104.0
2020-11-12,103.9
2020-11-13,102.5
2020-11-16,102.6
2020-11-17,102.5
2020-11-18,103.0
2020-11-19,102.9
2020-11-20,102.6
2020-11-23,102.6
2020-11-24,102.7
2020-11-25,103.3
2020-11-26,103.4
2020-11-27,103.4
2020-11-30,103.5
2020-12-01,103.5
2020-12-02,103.5
2020-12-03,103.0
2020-12-04,105.7
2020-12-07,106.4
2020-12-08,105.7
2020-12-09,106.5
2020-12-10,105.3
2020-12-11,105.2
2020-12-14,105.2
2020-12-15,105.5
2020-12-16,105.0
2020-12-17,104.3
2020-12-18,104.4
2020-12-21,104.1
2020-12-22,103.0
2020-12-23,104.0
2020-12-24,104.2
2020-12-25,104.6
2020-12-28,104.5
2020-12-29,103.7
2020-12-30,103.6
2020-12-31,104.0
2021-01-04,104.6
2021-01-05,104.6
2021-01-06,106.3
2021-01-07,108.3
2021-01-08,108.0
2021-01-11,108.0
2021-01-12,105.8
2021-01-13,109.0
2021-01-14,108.9
2021-01-15,108.0
2021-01-18,106.2
2021-01-19,103.0
2021-01-20,102.0
2021-01-21,105.4
2021-01-22,104.6
2021-01-25,103.4
2021-01-26,102.0
2021-01-27,101.0
2021-01-28,96.0
2021-01-29,101.0
2021-02-01,100.0
2021-02-02,98.1
2021-02-03,100.8
2021-02-04,99.8
2021-02-05,100.8
2021-02-08,99.8
2021-02-09,101.0
2021-02-17,101.0
2021-02-18,100.3
2021-02-19,100.3
2021-02-22,100.5
2021-02-23,101.9
2021-02-24,100.3
2021-02-25,101.0
2021-02-26,100.5
2021-03-01,100.8
2021-03-02,100.5
2021-03-03,100.1
2021-03-04,99.9
2021-03-05,99.0
2021-03-08,99.0
2021-03-09,98.6
2021-03-10,100.0
2021-03-11,101.5
2021-03-12,101.5
2021-03-15,101.2
2021-03-16,101.3
2021-03-17,101.2
2021-03-18,102.0
2021-03-19,100.5
2021-03-22,100.6
2021-03-23,100.4
2021-03-24,99.4
2021-03-25,100.0
2021-03-26,98.0
2021-03-29,99.8
2021-03-30,99.8
2021-03-31,99.7
2021-04-01,99.7
2021-04-02,99.9
2021-04-05,99.8
2021-04-06,99.6
2021-04-07,99.6
2021-04-08,99.1
2021-04-09,99.3
2021-04-12,99.0
2021-04-13,98.6
2021-04-14,98.5
2021-04-15,98.4
2021-04-16,97.5
2021-04-19,97.5
2021-04-20,97.0
2021-04-22,99.9
2021-04-23,99.5
2021-04-26,100.0
2021-04-27,100.0
2021-04-28,99.9
2021-04-29,99.8
2021-05-04,102.7
2021-05-05,103.0
2021-05-06,102.5
2021-05-07,97.5
2021-05-10,98.8
2021-05-11,98.2
2021-05-12,97.1
2021-05-13,94.5
2021-05-14,95.0
2021-05-17,96.0
2021-05-18,96.0
2021-05-19,96.0
2021-05-20,96.0
2021-05-21,94.5
2021-05-24,95.0
2021-05-25,95.2
2021-05-26,95.0
2021-05-27,95.0
2021-05-28,94.1
2021-05-31,94.1
2021-06-01,95.0
2021-06-02,95.0
2021-06-03,94.6
2021-06-04,94.3
2021-06-07,94.1
2021-06-08,96.4
2021-06-09,95.3
2021-06-10,94.5
2021-06-11,94.1
2021-06-14,96.0
2021-06-15,95.5
2021-06-16,95.0
2021-06-17,95.0
2021-06-18,95.9
2021-06-21,95.5
2021-06-22,95.8
2021-06-23,95.6
2021-06-24,96.0
2021-06-25,95.6
2021-06-28,95.6
2021-06-29,95.3
2021-06-30,95.6
2021-07-01,95.7
2021-07-02,94.1
2021-07-05,94.5
2021-07-06,94.8
2021-07-07,94.5
2021-07-08,93.9
2021-07-09,93.3
2021-07-12,92.0
2021-07-13,93.9
2021-07-14,92.1
2021-07-15,92.0
2021-07-16,92.0
2021-07-19,93.9
2021-07-20,93.0
2021-07-21,93.0
2021-07-22,93.5
2021-07-23,92.8
2021-07-26,94.9
2021-07-27,94.0
2021-07-28,93.5
2021-07-29,94.1
2021-07-30,93.6
2021-08-02,93.9
2021-08-03,93.8
2021-08-04,95.0
2021-08-05,94.9
2021-08-06,95.6
2021-08-09,94.3
2021-08-10,94.8
2021-08-11,94.2
2021-08-12,94.0
2021-08-13,93.6
2021-08-16,94.3
2021-08-17,93.2
2021-08-18,94.0
2021-08-19,97.5
2021-08-20,95.6
2021-08-23,95.1
2021-08-24,93.7
2021-08-25,93.5
2021-08-26,94.9
2021-08-27,101.5
2021-08-30,108.6
2021-08-31,111.5
2021-09-01,110.0
2021-09-06,105.0
2021-09-07,103.6
2021-09-08,102.5
2021-09-09,100.9
2021-09-10,100.2
2021-09-13,101.2
2021-09-14,102.7
2021-09-15,101.9
2021-09-16,99.0
2021-09-17,102.2
2021-09-20,101.0
2021-09-21,101.0
2021-09-22,101.8
2021-09-23,104.3
2021-09-24,103.0
2021-09-27,100.0
2021-09-28,98.8
2021-09-29,98.4
2021-09-30,99.9
2021-10-01,99.8
2021-10-04,99.6
2021-10-05,100.0
2021-10-06,99.6
2021-10-07,99.9
2021-10-08,99.7
2021-10-11,99.0
2021-10-12,98.3
2021-10-13,99.5
2021-10-14,99.0
2021-10-15,98.1
2021-10-18,97.9
2021-10-19,97.4
2021-10-20,98.7
2021-10-21,99.2
2021-10-22,98.3
2021-10-25,98.1
2021-10-26,98.8
2021-10-27,98.9
2021-10-28,101.7
2021-10-29,103.8
2021-11-01,102.3
2021-11-02,103.2
2021-11-03,102.0
2021-11-04,101.3
2021-11-05,101.2
2021-11-08,101.2
2021-11-09,102.0
2021-11-10,101.2
2021-11-11,100.9
2021-11-12,101.6
2021-11-15,103.2
2021-11-16,102.1
2021-11-17,102.1
2021-11-18,101.0
2021-11-19,99.8
2021-11-22,98.5
2021-11-23,98.7
2021-11-24,101.0
2021-11-25,99.6
2021-11-26,99.5
2021-11-29,103.9
2021-11-30,103.0
2021-12-01,102.0
2021-12-02,109.1
2021-12-03,116.7
2021-12-06,118.5
2021-12-07,122.0
2021-12-08,124.0
2021-12-09,126.4
2021-12-10,124.5
2021-12-13,133.2
2021-12-14,134.2
2021-12-15,135.8
2021-12-16,130.0
2021-12-17,123.6
2021-12-20,128.5
2021-12-21,130.0
2021-12-22,127.9
2021-12-23,123.3
2021-12-24,118.1
2021-12-27,115.6
2021-12-28,115.9
2021-12-29,113.4
2021-12-30,113.9
2021-12-31,113.0
2022-01-04,114.6
2022-01-05,115.0
2022-01-06,123.0
2022-01-07,114.6
2022-01-10,108.5
2022-01-11,106.9
2022-01-12,101.2
2022-01-13,102.5
2022-01-14,106.0
2022-01-17,102.0
2022-01-18,105.0
2022-01-19,103.2
2022-01-20,103.4
2022-01-21,102.1
2022-01-24,99.0
2022-01-25,98.5
2022-01-26,98.5
2022-01-27,99.5
2022-01-28,102.9
2022-02-07,102.9
2022-02-08,101.3
2022-02-09,101.0
2022-02-10,103.7
2022-02-11,101.5
2022-02-14,99.6
2022-02-15,101.2
2022-02-16,101.8
2022-02-17,101.9
2022-02-18,108.9
2022-02-21,115.0
2022-02-22,114.0
2022-02-23,115.0
2022-02-24,112.7
2022-02-25,113.8
2022-02-28,112.5
2022-03-01,112.1
2022-03-02,118.0
2022-03-03,117.9
2022-03-04,116.0
2022-03-07,116.7
2022-03-08,114.5
2022-03-09,114.5
2022-03-10,114.4
2022-03-11,111.9
2022-03-14,109.3
2022-03-15,108.7
2022-03-16,108.7
2022-03-17,109.0
2022-03-18,108.8
2022-03-21,110.1
2022-03-22,107.5
2022-03-23,110.4
2022-03-24,111.3
2022-03-25,111.3
2022-03-28,111.5
2022-03-29,112.0
2022-03-30,111.0
2022-03-31,111.2
2022-04-01,109.4
2022-04-04,110.3
2022-04-05,108.0
2022-04-06,106.8
2022-04-07,106.7
2022-04-08,106.2
2022-04-12,102.0
2022-04-13,102.8
2022-04-14,102.1
2022-04-15,101.9
2022-04-18,102.0
2022-04-19,102.0
2022-04-20,101.6
2022-04-21,101.6
2022-04-22,101.7
2022-04-25,96.0
2022-04-26,99.7
2022-04-27,99.3
2022-04-28,99.9
2022-04-29,101.1
2022-05-04,99.5
2022-05-05,99.0
2022-05-06,100.8
2022-05-09,97.4
2022-05-10,97.4
2022-05-11,98.0
2022-05-12,96.5
2022-05-13,94.0
2022-05-16,90.5
2022-05-17,92.0
2022-05-18,93.0
2022-05-19,91.4
2022-05-20,91.0
2022-05-23,90.5
2022-05-24,91.6
