,price
2020-01-02,13.8
2020-01-03,13.9
2020-01-06,13.7
2020-01-07,13.65
2020-01-08,12.95
2020-01-09,13.15
2020-01-10,13.15
2020-01-13,12.95
2020-01-14,13.0
2020-01-15,13.0
2020-01-16,12.95
2020-01-17,12.6
2020-01-20,12.7
2020-01-21,13.1
2020-01-22,13.0
2020-01-30,12.55
2020-01-31,12.1
2020-02-03,11.3
2020-02-04,11.35
2020-02-05,11.4
2020-02-06,11.5
2020-02-07,11.6
2020-02-10,11.7
2020-02-11,11.85
2020-02-12,12.65
2020-02-13,12.95
2020-02-14,13.0
2020-02-17,13.1
2020-02-18,13.3
2020-02-19,13.55
2020-02-20,13.5
2020-02-21,13.2
2020-02-24,12.6
2020-02-25,12.8
2020-02-26,12.65
2020-02-27,12.7
2020-02-28,12.55
2020-03-02,12.4
2020-03-03,13.0
2020-03-04,13.6
2020-03-05,13.25
2020-03-06,13.5
2020-03-09,12.6
2020-03-10,12.6
2020-03-11,12.6
2020-03-12,11.75
2020-03-13,11.65
2020-03-16,11.5
2020-03-17,11.5
2020-03-18,11.7
2020-03-19,11.6
2020-03-20,11.5
2020-03-23,10.7
2020-03-24,10.75
2020-03-25,11.0
2020-03-26,11.0
2020-03-27,11.0
2020-03-30,10.55
2020-03-31,10.35
2020-04-01,10.7
2020-04-03,10.8
2020-04-06,11.05
2020-04-07,10.9
2020-04-08,10.5
2020-04-09,11.2
2020-04-10,11.2
2020-04-13,10.95
2020-04-14,11.3
2020-04-15,11.35
2020-04-16,11.55
2020-04-17,11.55
2020-04-20,11.6
2020-04-21,11.4
2020-04-22,11.4
2020-04-23,11.2
2020-04-24,11.5
2020-04-27,11.4
2020-04-28,11.4
2020-04-29,11.3
2020-05-04,11.15
2020-05-05,11.3
2020-05-06,11.35
2020-05-07,11.4
2020-05-08,11.6
2020-05-11,11.9
2020-05-12,12.2
2020-05-13,12.0
2020-05-14,11.95
2020-05-15,11.95
2020-05-18,11.9
2020-05-19,11.9
2020-05-20,12.35
2020-05-21,12.2
2020-05-22,12.2
2020-05-25,12.1
2020-05-26,12.25
2020-05-27,12.0
2020-05-28,12.1
2020-05-29,12.1
2020-06-01,12.2
2020-06-02,12.4
2020-06-03,12.6
2020-06-04,12.7
2020-06-05,12.7
2020-06-08,12.85
2020-06-09,12.75
2020-06-10,13.25
2020-06-11,12.4
2020-06-12,12.3
2020-06-15,12.05
2020-06-16,12.15
2020-06-17,12.0
2020-06-18,12.0
2020-06-19,12.3
2020-06-22,12.35
2020-06-23,12.45
