,price
2020-01-02,12.95
2020-01-03,12.8
2020-01-06,12.7
2020-01-07,12.55
2020-01-08,12.5
2020-01-09,13.0
2020-01-10,12.75
2020-01-13,12.9
2020-01-14,12.8
2020-01-15,12.75
2020-01-16,12.5
2020-01-17,12.5
2020-01-20,12.6
2020-01-21,12.65
2020-01-22,12.6
2020-01-30,12.45
2020-01-31,11.6
2020-02-03,11.15
2020-02-04,11.55
2020-02-05,11.4
2020-02-06,11.7
2020-02-07,11.75
2020-02-10,11.65
2020-02-11,11.7
2020-02-12,12.05
2020-02-13,12.0
2020-02-14,11.9
2020-02-17,11.9
2020-02-18,12.0
2020-02-19,12.2
2020-02-20,12.65
2020-02-21,12.4
2020-02-24,11.85
2020-02-25,11.9
2020-02-26,11.95
2020-02-27,12.05
2020-02-28,11.85
2020-03-02,12.0
2020-03-03,12.4
2020-03-04,12.75
2020-03-05,12.6
2020-03-06,12.45
2020-03-09,11.6
2020-03-10,12.15
2020-03-11,11.8
2020-03-12,11.15
2020-03-13,11.35
2020-03-16,11.05
2020-03-17,11.6
2020-03-18,11.85
2020-03-19,12.05
2020-03-20,11.7
2020-03-23,11.05
2020-03-24,11.4
2020-03-25,11.6
2020-03-26,11.55
2020-03-27,11.65
2020-03-30,11.4
2020-03-31,11.45
2020-04-01,12.25
2020-04-03,12.4
2020-04-06,12.85
2020-04-07,12.5
2020-04-08,13.35
2020-04-09,13.7
2020-04-10,13.7
2020-04-13,13.85
2020-04-14,14.25
2020-04-15,14.15
2020-04-16,13.95
2020-04-17,13.9
2020-04-20,14.85
2020-04-21,14.8
2020-04-22,15.7
2020-04-23,15.3
2020-04-24,15.0
2020-04-27,13.9
2020-04-28,14.45
2020-04-29,14.3
2020-05-04,13.6
2020-05-05,13.4
2020-05-06,13.95
2020-05-07,13.9
2020-05-08,13.8
2020-05-11,13.85
2020-05-12,14.75
2020-05-13,14.5
2020-05-14,14.05
2020-05-15,13.65
2020-05-18,13.7
2020-05-19,13.65
2020-05-20,14.25
2020-05-21,14.1
2020-05-22,14.5
2020-05-25,15.3
2020-05-26,15.05
2020-05-27,14.9
2020-05-28,14.9
2020-05-29,14.8
2020-06-01,15.05
2020-06-02,14.4
2020-06-03,14.65
2020-06-04,14.6
2020-06-05,14.85
2020-06-08,14.75
2020-06-09,14.85
2020-06-10,14.95
2020-06-11,14.0
2020-06-12,14.25
2020-06-15,13.75
2020-06-16,14.3
2020-06-17,14.0
2020-06-18,14.1
2020-06-19,14.35
2020-06-22,15.35
2020-06-23,15.3
2020-06-24,15.0
2020-06-25,15.25
2020-06-26,14.8
2020-06-29,14.3
2020-06-30,14.0
2020-07-01,14.4
2020-07-02,14.3
2020-07-03,14.35
2020-07-06,14.55
2020-07-07,14.35
2020-07-08,14.45
2020-07-09,14.6
2020-07-10,14.65
2020-07-13,14.65
2020-07-14,14.9
2020-07-15,14.7
2020-07-16,14.75
2020-07-17,14.6
2020-07-20,14.4
2020-07-21,14.65
2020-07-22,14.95
2020-07-23,14.85
2020-07-24,14.25
2020-07-27,13.3
2020-07-28,14.1
2020-07-29,13.6
2020-07-30,13.7
2020-07-31,13.65
2020-08-03,14.15
2020-08-04,14.3
2020-08-05,13.8
2020-08-06,13.6
2020-08-07,13.55
2020-08-10,13.65
2020-08-11,14.05
2020-08-12,13.8
2020-08-13,14.35
2020-08-14,14.0
2020-08-17,14.05
2020-08-18,14.25
2020-08-19,14.35
2020-08-20,14.4
2020-08-21,15.4
2020-08-24,15.85
2020-08-25,15.6
2020-08-26,16.0
2020-08-27,16.0
2020-08-28,15.75
2020-08-31,16.5
2020-09-01,16.55
2020-09-03,16.2
2020-09-04,16.05
2020-09-07,16.05
2020-09-08,16.25
2020-09-09,16.95
2020-09-10,16.85
2020-09-11,16.85
2020-09-14,17.15
2020-09-15,17.1
2020-09-16,16.9
2020-09-17,16.85
2020-09-18,16.9
2020-09-21,16.4
2020-09-22,16.6
2020-09-23,16.65
2020-09-24,16.75
2020-09-25,16.75
2020-09-28,17.6
2020-09-29,17.25
2020-09-30,17.8
2020-10-01,17.8
2020-10-02,17.25
2020-10-05,17.3
2020-10-06,17.15
2020-10-07,17.05
2020-10-08,17.6
2020-10-09,17.4
2020-10-12,17.2
2020-10-13,17.1
2020-10-14,16.85
2020-10-15,17.1
2020-10-16,17.0
2020-10-19,16.85
2020-10-20,17.1
2020-10-21,16.95
2020-10-22,16.95
2020-10-23,17.2
2020-10-26,16.95
2020-10-27,16.8
2020-10-28,16.0
2020-10-29,15.9
2020-10-30,16.25
2020-11-02,17.15
2020-11-03,17.0
2020-11-04,17.0
2020-11-05,17.1
2020-11-06,17.15
2020-11-09,17.75
2020-11-10,17.45
2020-11-11,17.4
2020-11-12,17.65
2020-11-13,17.8
2020-11-16,17.5
2020-11-17,17.6
2020-11-18,17.35
2020-11-19,17.3
2020-11-20,17.2
2020-11-23,17.15
2020-11-25,17.4
2020-11-26,17.3
2020-11-27,17.4
2020-11-30,17.15
2020-12-01,17.15
2020-12-02,17.2
2020-12-03,17.3
2020-12-04,17.25
2020-12-07,17.35
2020-12-08,18.15
2020-12-09,17.95
2020-12-10,17.75
2020-12-11,17.85
2020-12-14,17.85
2020-12-15,18.0
2020-12-16,18.0
2020-12-17,17.8
2020-12-18,18.0
2020-12-21,18.3
2020-12-22,19.55
2020-12-23,18.75
2020-12-24,18.45
2020-12-25,18.7
2020-12-28,18.7
2020-12-29,18.7
2020-12-30,18.7
2020-12-31,18.8
2021-01-04,19.2
2021-01-05,19.05
2021-01-06,18.85
2021-01-07,19.1
2021-01-08,19.3
2021-01-11,19.5
2021-01-12,19.5
2021-01-13,19.5
2021-01-14,19.6
2021-01-15,19.65
2021-01-18,20.1
2021-01-19,18.7
2021-01-20,18.75
2021-01-21,19.25
2021-01-22,19.2
2021-01-25,18.5
2021-01-26,17.6
2021-01-27,16.6
2021-01-28,15.45
2021-01-29,15.85
2021-02-01,15.3
2021-02-02,15.1
2021-02-03,15.95
2021-02-04,15.95
2021-02-05,16.3
2021-02-08,15.9
2021-02-09,15.95
2021-02-17,16.35
2021-02-18,17.4
2021-02-19,17.45
2021-02-22,17.35
2021-02-23,17.25
2021-02-24,16.9
2021-02-25,16.9
2021-02-26,16.85
2021-03-01,17.5
2021-03-02,18.3
2021-03-03,18.45
2021-03-04,18.7
2021-03-05,19.2
2021-03-08,18.8
2021-03-09,19.0
2021-03-10,19.1
2021-03-11,19.2
2021-03-12,18.95
2021-03-15,18.8
2021-03-16,18.7
2021-03-17,19.65
