,price
2020-01-02,16.2
2020-01-03,16.3
2020-01-06,15.7
2020-01-07,15.7
2020-01-08,15.7
2020-01-09,15.9
2020-01-10,16.2
2020-01-13,16.0
2020-01-14,15.9
2020-01-15,15.9
2020-01-16,15.75
2020-01-17,15.7
2020-01-20,15.75
2020-01-21,15.75
2020-01-22,15.8
2020-01-30,15.2
2020-01-31,14.35
2020-02-03,13.95
2020-02-04,14.0
2020-02-05,14.25
2020-02-06,14.5
2020-02-07,14.7
2020-02-10,13.8
2020-02-11,14.0
2020-02-12,14.0
2020-02-13,14.0
2020-02-14,14.0
2020-02-17,14.0
2020-02-18,14.15
2020-02-19,14.15
2020-02-20,14.1
2020-02-21,14.1
2020-02-24,13.8
2020-02-25,14.0
2020-02-26,13.9
2020-02-27,14.5
2020-02-28,13.8
2020-03-02,14.0
2020-03-03,13.8
2020-03-04,13.8
2020-03-05,13.8
2020-03-06,14.0
2020-03-09,13.1
2020-03-10,13.05
2020-03-11,13.95
2020-03-12,13.8
2020-03-13,14.75
2020-03-16,15.75
2020-03-17,16.85
2020-03-18,17.0
2020-03-19,16.2
2020-03-20,16.0
2020-03-23,15.05
2020-03-24,15.3
2020-03-25,14.7
2020-03-26,15.1
2020-03-27,16.15
2020-03-30,16.15
2020-03-31,15.65
2020-04-01,15.7
2020-04-03,16.75
2020-04-06,16.9
2020-04-07,17.45
2020-04-08,17.6
2020-04-09,17.0
2020-04-10,17.45
2020-04-13,17.05
2020-04-14,17.05
2020-04-15,17.0
2020-04-16,17.1
2020-04-17,18.25
2020-04-20,17.2
2020-04-21,16.35
2020-04-22,16.4
2020-04-23,16.3
2020-04-24,16.35
2020-04-27,16.8
2020-04-28,16.7
2020-04-29,16.3
2020-05-04,16.1
2020-05-05,16.2
2020-05-06,16.5
2020-05-07,16.9
2020-05-08,18.05
2020-05-11,17.7
2020-05-12,17.55
2020-05-13,16.7
2020-05-14,16.7
2020-05-15,16.7
2020-05-18,16.65
2020-05-19,17.2
2020-05-20,17.75
2020-05-21,18.4
2020-05-22,17.6
2020-05-25,17.45
2020-05-26,17.5
2020-05-27,18.05
2020-05-28,17.95
2020-05-29,17.65
2020-06-01,18.2
2020-06-02,19.45
2020-06-03,19.45
2020-06-04,19.0
2020-06-05,19.35
2020-06-08,19.15
2020-06-09,18.9
2020-06-10,17.6
2020-06-11,17.0
2020-06-12,17.0
2020-06-15,16.4
2020-06-16,16.45
2020-06-17,16.45
2020-06-18,16.8
2020-06-19,16.6
2020-06-22,16.95
2020-06-23,16.8
2020-06-24,16.7
2020-06-25,16.5
2020-06-26,16.3
2020-06-29,16.6
2020-06-30,16.6
2020-07-01,16.5
2020-07-02,16.3
2020-07-03,16.3
2020-07-06,16.2
2020-07-07,16.2
2020-07-08,16.3
2020-07-09,16.3
2020-07-10,16.2
2020-07-13,16.2
2020-07-14,16.0
2020-07-15,16.15
2020-07-16,15.8
2020-07-17,15.85
2020-07-20,15.9
2020-07-21,15.9
2020-07-22,16.0
2020-07-23,16.0
2020-07-24,15.5
2020-07-27,14.95
2020-07-28,15.3
2020-07-29,14.9
2020-07-30,15.3
2020-07-31,15.0
2020-08-03,15.8
2020-08-04,15.95
2020-08-05,15.6
2020-08-06,16.1
2020-08-07,15.55
2020-08-10,16.15
2020-08-11,16.2
2020-08-12,16.25
2020-08-13,16.25
2020-08-14,16.2
2020-08-17,16.0
2020-08-18,16.05
2020-08-19,15.8
2020-08-20,16.0
2020-08-21,15.7
2020-08-24,15.95
2020-08-25,15.95
2020-08-26,15.95
2020-08-27,16.8
2020-08-28,16.05
2020-08-31,16.4
2020-09-01,16.0
2020-09-03,16.35
2020-09-04,16.25
2020-09-07,16.15
2020-09-08,16.15
2020-09-09,15.9
2020-09-10,16.25
2020-09-11,16.2
2020-09-14,16.1
2020-09-15,16.0
2020-09-16,16.0
2020-09-17,16.0
2020-09-18,16.5
2020-09-21,17.0
2020-09-22,16.9
2020-09-23,16.6
2020-09-24,16.7
2020-09-25,16.55
2020-09-28,16.7
2020-09-29,16.65
2020-09-30,16.55
2020-10-01,16.5
2020-10-02,16.05
2020-10-05,16.7
2020-10-06,16.6
2020-10-07,16.5
2020-10-08,16.6
2020-10-09,16.6
2020-10-12,16.35
2020-10-13,16.35
2020-10-14,16.5
2020-10-15,16.5
2020-10-16,16.0
2020-10-19,16.2
2020-10-20,16.0
2020-10-21,16.0
2020-10-22,16.2
2020-10-23,16.0
2020-10-26,16.5
2020-10-27,16.3
2020-10-28,16.15
2020-10-29,15.85
2020-10-30,16.3
2020-11-02,16.15
2020-11-03,15.9
2020-11-04,15.95
2020-11-05,15.8
2020-11-06,15.75
2020-11-09,15.35
2020-11-10,15.35
2020-11-11,15.35
2020-11-12,15.35
2020-11-13,14.8
2020-11-16,14.85
2020-11-17,15.1
2020-11-18,14.7
2020-11-19,14.75
2020-11-20,14.75
2020-11-23,15.0
2020-11-24,15.0
2020-11-25,15.0
2020-11-26,15.0
2020-11-27,15.2
2020-11-30,15.35
2020-12-01,15.45
2020-12-02,15.5
2020-12-03,15.4
2020-12-04,15.4
2020-12-07,15.6
2020-12-08,15.6
2020-12-09,16.0
2020-12-10,16.0
2020-12-11,16.0
2020-12-14,15.8
2020-12-15,15.7
2020-12-16,15.9
2020-12-17,15.6
2020-12-18,15.6
2020-12-21,15.75
2020-12-22,15.7
2020-12-23,16.1
2020-12-24,16.1
2020-12-25,16.0
2020-12-28,17.0
2020-12-29,18.15
2020-12-30,18.15
2020-12-31,17.8
2021-01-04,17.75
2021-01-05,18.75
2021-01-06,18.4
2021-01-07,18.35
2021-01-08,18.1
2021-01-11,18.2
2021-01-12,18.55
2021-01-13,19.0
2021-01-14,19.25
2021-01-15,19.45
2021-01-18,19.3
2021-01-19,18.0
2021-01-20,18.5
2021-01-21,18.75
2021-01-22,18.4
2021-01-25,18.5
2021-01-26,18.0
2021-01-27,18.0
2021-01-28,16.75
2021-01-29,16.8
2021-02-01,16.8
2021-02-02,17.3
2021-02-03,17.6
2021-02-04,17.9
2021-02-05,17.8
2021-02-08,17.65
2021-02-09,17.7
2021-02-17,18.5
2021-02-18,18.35
2021-02-19,18.2
2021-02-22,18.6
2021-02-23,18.6
2021-02-24,18.5
2021-02-25,18.3
2021-02-26,18.5
2021-03-01,19.75
2021-03-02,21.1
2021-03-03,22.55
2021-03-04,24.1
2021-03-05,24.9
2021-03-08,24.0
2021-03-09,23.6
2021-03-10,23.2
2021-03-11,23.2
2021-03-12,22.7
2021-03-15,24.25
2021-03-16,25.3
2021-03-17,24.8
2021-03-18,25.85
2021-03-19,25.0
2021-03-22,25.0
2021-03-23,24.1
2021-03-24,23.8
2021-03-25,24.0
2021-03-26,23.1
2021-03-29,24.4
2021-03-30,24.65
2021-03-31,24.25
2021-04-01,24.4
2021-04-02,24.5
2021-04-05,24.4
2021-04-06,24.35
2021-04-07,24.4
2021-04-08,24.35
2021-04-09,25.1
2021-04-12,25.3
2021-04-13,25.1
2021-04-14,24.7
2021-04-15,24.2
2021-04-16,24.7
2021-04-19,24.25
2021-04-20,24.2
2021-04-22,23.1
2021-04-23,23.1
2021-04-26,21.55
2021-04-27,21.2
2021-04-28,22.15
2021-04-29,22.0
2021-05-04,21.0
2021-05-05,21.9
2021-05-06,21.6
2021-05-07,21.7
2021-05-10,21.4
2021-05-11,21.5
2021-05-12,21.2
2021-05-13,21.0
2021-05-14,20.8
2021-05-17,20.45
2021-05-18,19.9
2021-05-19,19.1
2021-05-20,18.8
2021-05-21,20.0
2021-05-24,20.0
2021-05-25,20.85
2021-05-26,20.5
2021-05-27,20.0
2021-05-28,20.1
2021-05-31,19.8
2021-06-01,19.3
2021-06-02,19.5
2021-06-03,19.4
2021-06-04,19.9
2021-06-07,19.9
2021-06-08,19.6
2021-06-09,19.8
2021-06-10,19.75
2021-06-11,19.85
2021-06-14,20.25
2021-06-15,19.7
2021-06-16,19.8
2021-06-17,20.5
2021-06-18,20.3
2021-06-21,21.7
2021-06-22,21.95
2021-06-23,21.45
2021-06-24,21.0
2021-06-25,21.0
2021-06-28,20.8
2021-06-29,20.8
2021-06-30,20.5
2021-07-01,20.9
2021-07-02,20.55
2021-07-05,20.3
2021-07-06,19.8
2021-07-07,19.6
2021-07-08,19.6
2021-07-09,19.3
2021-07-12,18.5
2021-07-13,18.2
2021-07-14,18.1
2021-07-15,18.6
2021-07-16,18.4
2021-07-19,18.3
2021-07-20,18.2
2021-07-21,18.2
2021-07-22,18.35
2021-07-23,18.4
2021-07-26,18.35
2021-07-27,18.7
2021-07-28,18.55
2021-07-29,18.65
2021-07-30,18.7
2021-08-02,20.0
2021-08-03,20.15
2021-08-04,19.9
2021-08-05,19.8
2021-08-06,19.5
2021-08-09,19.5
2021-08-10,19.4
2021-08-11,19.8
2021-08-12,19.8
2021-08-13,21.15
2021-08-16,22.6
2021-08-17,24.15
2021-08-18,23.2
2021-08-19,22.9
2021-08-20,22.2
2021-08-23,21.1
2021-08-24,21.5
2021-08-25,21.3
2021-08-26,21.6
2021-08-27,21.5
2021-08-30,22.15
2021-08-31,22.25
2021-09-01,22.2
2021-09-06,22.7
2021-09-07,22.4
2021-09-08,22.65
2021-09-09,23.9
2021-09-10,23.45
2021-09-13,24.3
2021-09-14,24.0
2021-09-15,23.75
2021-09-16,23.6
2021-09-17,23.6
2021-09-20,23.05
2021-09-21,22.75
2021-09-22,23.25
2021-09-23,22.9
2021-09-24,22.8
2021-09-27,22.45
2021-09-28,22.6
2021-09-29,22.5
2021-09-30,22.85
2021-10-01,22.5
2021-10-04,22.5
2021-10-05,22.65
2021-10-06,23.1
2021-10-07,24.2
2021-10-08,23.85
2021-10-11,23.75
2021-10-12,23.25
2021-10-13,23.2
2021-10-14,23.45
2021-10-15,23.5
2021-10-18,23.45
2021-10-19,23.25
2021-10-20,23.2
2021-10-21,23.25
2021-10-22,23.85
2021-10-25,25.5
2021-10-26,26.2
2021-10-27,26.35
2021-10-28,26.4
2021-10-29,26.45
2021-11-01,25.95
2021-11-02,26.9
2021-11-03,25.4
2021-11-04,27.15
2021-11-05,29.05
2021-11-08,29.1
2021-11-09,28.3
2021-11-10,28.9
2021-11-11,28.35
2021-11-12,28.55
2021-11-15,28.35
2021-11-16,28.1
2021-11-17,28.1
2021-11-18,27.7
2021-11-19,26.4
2021-11-22,25.9
2021-11-23,25.4
2021-11-24,25.9
2021-11-25,26.2
2021-11-26,25.6
2021-11-29,26.2
2021-11-30,26.3
