,price
2020-01-02,3.71
2020-01-03,3.73
2020-01-06,3.5
2020-01-07,3.5
2020-01-08,3.32
2020-01-09,3.21
2020-01-10,3.22
2020-01-13,3.14
2020-01-14,3.16
2020-01-15,2.94
2020-01-16,2.78
2020-01-17,2.79
2020-01-20,2.98
2020-01-21,3.18
2020-01-22,3.4
2020-01-30,3.63
2020-01-31,3.38
2020-02-03,3.35
2020-02-04,3.31
2020-02-05,3.16
2020-02-06,3.38
2020-02-07,3.6
2020-02-10,3.57
2020-02-11,3.81
2020-02-12,3.98
2020-02-13,4.06
2020-02-14,3.84
2020-02-17,4.1
2020-02-18,4.38
2020-02-19,4.47
2020-02-20,4.78
2020-02-21,4.7
2020-02-24,4.59
2020-02-25,4.9
2020-02-26,5.22
2020-02-27,5.58
2020-02-28,5.75
2020-03-02,6.15
2020-03-03,6.58
2020-03-04,6.2
2020-03-05,6.63
2020-03-06,6.89
2020-03-09,6.41
2020-03-10,5.97
2020-03-11,5.56
2020-03-12,5.18
2020-03-13,4.82
2020-03-16,4.49
2020-03-17,4.18
2020-03-18,4.47
2020-03-19,4.77
2020-03-20,4.44
2020-03-23,4.13
2020-03-24,3.85
2020-03-25,3.59
2020-03-26,3.77
2020-03-27,3.51
2020-03-30,3.27
2020-03-31,3.05
2020-04-01,3.05
2020-04-03,3.26
2020-04-06,3.48
2020-04-07,3.44
2020-04-08,3.51
2020-04-09,3.75
2020-04-10,4.01
2020-04-13,4.29
2020-04-14,4.59
2020-04-15,4.68
2020-04-16,4.75
2020-04-17,5.08
2020-04-20,5.43
2020-04-21,5.05
2020-04-22,5.35
2020-04-23,4.98
2020-04-24,4.85
2020-04-27,4.85
2020-04-28,4.56
2020-04-29,4.6
2020-05-04,4.92
2020-05-05,5.26
2020-05-06,5.48
2020-05-07,5.86
2020-05-08,5.86
2020-05-11,6.24
2020-05-12,6.55
2020-05-13,6.5
2020-05-14,6.05
2020-05-15,5.84
2020-05-18,6.24
2020-05-19,6.37
2020-05-20,6.47
2020-05-21,6.7
2020-05-22,6.72
2020-05-25,6.89
2020-05-26,6.83
2020-05-27,6.6
2020-05-28,6.75
2020-05-29,7.22
2020-06-01,7.72
2020-06-02,7.4
2020-06-03,7.91
2020-06-04,7.9
2020-06-05,7.9
2020-06-08,7.86
2020-06-09,8.18
2020-06-10,8.75
2020-06-11,8.14
2020-06-12,7.58
2020-06-15,7.58
2020-06-16,7.76
2020-06-17,7.8
2020-06-18,7.8
2020-06-19,8.21
2020-06-22,8.38
2020-06-23,8.24
2020-06-24,7.78
2020-06-25,8.15
2020-06-26,7.93
2020-06-29,7.38
2020-06-30,6.87
2020-07-01,7.27
2020-07-02,7.26
2020-07-03,7.26
2020-07-06,7.38
2020-07-07,7.3
2020-07-08,7.29
2020-07-09,7.46
2020-07-10,7.54
2020-07-13,7.41
2020-07-14,7.38
2020-07-15,7.38
2020-07-16,7.33
2020-07-17,7.46
2020-07-20,7.6
2020-07-21,7.6
2020-07-22,7.31
2020-07-23,7.2
2020-07-24,6.7
2020-07-27,6.24
2020-07-28,6.24
2020-07-29,5.81
2020-07-30,5.83
2020-07-31,5.43
2020-08-03,5.81
2020-08-04,6.14
2020-08-05,6.13
2020-08-06,6.13
2020-08-07,6.4
2020-08-10,6.48
2020-08-11,6.48
2020-08-12,6.4
2020-08-13,6.57
2020-08-14,6.56
2020-08-17,6.46
2020-08-18,6.3
2020-08-19,6.39
2020-08-20,6.39
2020-08-21,6.69
2020-08-24,7.15
2020-08-25,7.1
2020-08-26,7.0
2020-08-27,7.17
2020-08-28,7.1
2020-08-31,6.85
2020-09-01,7.09
2020-09-03,6.9
2020-09-04,6.96
2020-09-07,7.0
2020-09-08,7.47
2020-09-09,7.66
2020-09-10,7.4
2020-09-11,7.39
2020-09-14,7.7
2020-09-15,7.45
2020-09-16,7.54
2020-09-17,7.7
2020-09-18,7.66
2020-09-21,7.56
2020-09-22,7.3
2020-09-23,7.4
2020-09-24,7.3
2020-09-25,7.19
2020-09-28,7.12
2020-09-29,6.92
2020-09-30,6.9
2020-10-01,7.1
2020-10-02,7.17
2020-10-05,7.55
2020-10-06,7.62
2020-10-07,7.74
2020-10-08,7.4
2020-10-09,7.49
2020-10-12,7.35
2020-10-13,7.3
2020-10-14,7.25
2020-10-15,7.25
2020-10-16,7.11
2020-10-19,7.14
2020-10-20,7.12
2020-10-21,7.0
2020-10-22,7.13
2020-10-23,7.17
2020-10-26,6.97
2020-10-27,6.71
2020-10-28,6.25
2020-10-29,6.26
2020-10-30,6.19
2020-11-02,6.4
2020-11-03,6.42
2020-11-04,6.83
2020-11-05,6.75
2020-11-06,6.7
2020-11-09,6.8
2020-11-10,6.73
2020-11-11,6.8
2020-11-12,6.7
2020-11-13,6.76
2020-11-16,6.7
2020-11-17,7.1
2020-11-18,7.34
2020-11-19,7.5
2020-11-20,7.59
2020-11-23,7.48
2020-11-24,7.48
2020-11-25,7.45
2020-11-26,7.31
2020-11-27,7.24
2020-11-30,6.9
2020-12-01,7.0
2020-12-02,6.94
2020-12-03,6.85
2020-12-04,6.99
2020-12-07,7.47
2020-12-08,7.5
2020-12-09,7.49
2020-12-10,7.21
2020-12-11,7.29
2020-12-14,7.8
2020-12-15,7.9
2020-12-16,7.99
2020-12-17,8.1
2020-12-18,8.39
2020-12-21,8.8
2020-12-22,9.11
2020-12-23,8.8
2020-12-24,8.32
2020-12-25,8.9
2020-12-28,9.52
2020-12-29,10.15
2020-12-30,9.98
2020-12-31,10.65
2021-01-04,11.0
2021-01-05,11.7
2021-01-06,12.1
2021-01-07,11.9
2021-01-08,11.3
2021-01-11,11.7
2021-01-12,12.35
2021-01-13,12.3
2021-01-14,12.15
2021-01-15,11.9
2021-01-18,12.3
2021-01-19,11.45
2021-01-20,11.05
2021-01-21,11.2
2021-01-22,10.45
2021-01-25,10.75
