,price
2020-01-02,58.0
2020-01-03,58.1
2020-01-06,58.0
2020-01-07,58.0
2020-01-08,57.9
2020-01-09,58.0
2020-01-10,57.9
2020-01-13,57.8
2020-01-14,57.8
2020-01-15,58.5
2020-01-16,58.5
2020-01-17,58.6
2020-01-20,58.4
2020-01-21,58.8
2020-01-22,58.8
2020-01-30,54.9
2020-01-31,55.0
2020-02-03,52.5
2020-02-04,53.8
2020-02-05,54.7
2020-02-06,54.9
2020-02-07,54.9
2020-02-10,54.6
2020-02-11,55.8
2020-02-12,55.9
2020-02-13,55.7
2020-02-14,56.5
2020-02-17,56.5
2020-02-18,56.0
2020-02-19,56.0
2020-02-20,55.9
2020-02-21,53.8
2020-02-24,51.7
2020-02-25,52.0
2020-02-26,51.5
2020-02-27,51.5
2020-02-28,50.8
2020-03-02,48.8
2020-03-03,50.0
2020-03-04,49.7
2020-03-05,50.1
2020-03-06,50.2
2020-03-09,47.0
2020-03-10,49.0
2020-03-11,48.0
2020-03-12,45.5
2020-03-13,43.75
2020-03-16,43.8
2020-03-17,43.75
2020-03-18,44.0
2020-03-19,44.0
2020-03-20,44.0
2020-03-23,41.7
2020-03-24,42.5
2020-03-25,43.0
2020-03-26,42.5
2020-03-27,42.05
2020-03-30,41.4
2020-03-31,41.65
2020-04-01,42.6
2020-04-03,43.0
2020-04-06,45.0
2020-04-07,44.7
2020-04-08,45.0
2020-04-09,44.3
2020-04-10,44.2
2020-04-13,44.0
2020-04-14,44.0
2020-04-15,44.3
2020-04-16,44.0
2020-04-17,43.95
2020-04-20,44.1
2020-04-21,43.85
2020-04-22,43.85
2020-04-23,43.8
2020-04-24,44.5
2020-04-27,44.9
2020-04-28,44.5
2020-04-29,44.8
2020-05-04,44.6
2020-05-05,44.5
2020-05-06,44.5
2020-05-07,45.5
2020-05-08,45.8
2020-05-11,46.1
2020-05-12,48.5
2020-05-13,48.3
2020-05-14,47.4
2020-05-15,47.0
2020-05-18,47.3
2020-05-19,47.6
2020-05-20,47.1
2020-05-21,47.35
2020-05-22,47.5
2020-05-25,47.4
2020-05-26,47.5
2020-05-27,47.8
2020-05-28,47.6
2020-05-29,47.3
2020-06-01,47.5
2020-06-02,47.25
2020-06-03,47.2
2020-06-04,47.3
2020-06-05,47.45
2020-06-08,47.6
2020-06-09,48.3
2020-06-10,48.1
2020-06-11,47.0
2020-06-12,46.1
2020-06-15,46.8
2020-06-16,46.4
2020-06-17,46.4
2020-06-18,46.7
2020-06-19,46.55
2020-06-22,46.9
2020-06-23,46.9
2020-06-24,46.9
2020-06-25,46.8
2020-06-26,46.5
2020-06-29,45.6
2020-06-30,45.6
2020-07-01,46.0
2020-07-02,46.0
2020-07-03,45.9
2020-07-06,46.1
2020-07-07,46.25
2020-07-08,46.2
2020-07-09,46.3
2020-07-10,46.0
2020-07-13,46.15
2020-07-14,46.1
2020-07-15,46.0
2020-07-16,45.95
2020-07-17,45.95
2020-07-20,46.0
2020-07-21,46.0
2020-07-22,45.0
2020-07-23,45.5
2020-07-24,44.5
2020-07-27,41.8
2020-07-28,42.0
2020-07-29,40.9
2020-07-30,41.55
2020-07-31,40.8
2020-08-03,41.0
2020-08-04,41.45
2020-08-05,42.05
2020-08-06,42.2
2020-08-07,42.25
2020-08-10,42.6
2020-08-11,42.5
2020-08-12,42.5
2020-08-13,42.65
2020-08-14,44.9
2020-08-17,43.9
2020-08-18,43.95
2020-08-19,43.8
2020-08-20,43.6
2020-08-21,43.4
2020-08-24,43.5
2020-08-25,43.5
2020-08-26,43.25
2020-08-27,43.2
2020-08-28,43.8
2020-08-31,43.5
2020-09-01,43.8
2020-09-03,43.85
2020-09-04,43.5
2020-09-07,43.5
2020-09-08,43.7
2020-09-09,43.8
2020-09-10,43.6
2020-09-11,43.95
2020-09-14,45.15
2020-09-15,45.15
2020-09-16,45.4
2020-09-17,45.35
2020-09-18,44.8
2020-09-21,45.0
2020-09-22,45.0
2020-09-23,44.7
2020-09-24,44.8
2020-09-25,44.7
2020-09-28,45.0
2020-09-29,45.0
2020-09-30,44.85
2020-10-01,45.2
2020-10-02,45.5
2020-10-05,46.2
2020-10-06,46.4
2020-10-07,46.0
2020-10-08,46.0
2020-10-09,46.0
2020-10-12,45.5
2020-10-13,45.3
2020-10-14,44.8
2020-10-15,45.0
2020-10-16,44.5
2020-10-19,45.0
2020-10-20,45.25
2020-10-21,44.9
2020-10-22,45.0
2020-10-23,45.0
2020-10-26,44.9
2020-10-27,44.8
2020-10-28,44.3
2020-10-29,44.5
2020-10-30,44.9
2020-11-02,44.8
2020-11-03,44.8
2020-11-04,44.9
2020-11-05,44.9
2020-11-06,44.95
2020-11-09,44.9
2020-11-10,45.1
2020-11-11,45.4
2020-11-12,45.6
2020-11-13,46.0
2020-11-16,45.8
2020-11-17,45.8
2020-11-18,45.8
2020-11-19,45.6
2020-11-20,45.7
2020-11-23,45.9
2020-11-25,46.0
2020-11-26,46.8
2020-11-27,46.85
2020-11-30,46.85
2020-12-01,46.6
2020-12-02,46.4
2020-12-03,46.5
2020-12-04,46.35
2020-12-07,46.5
2020-12-08,46.5
2020-12-09,46.8
2020-12-10,47.0
2020-12-11,47.0
2020-12-14,47.0
