,price
2020-01-02,23.1
2020-01-03,23.1
2020-01-06,24.7
2020-01-07,26.1
2020-01-08,25.0
2020-01-09,23.9
2020-01-10,22.7
2020-01-13,21.75
2020-01-14,21.0
2020-01-15,19.75
2020-01-16,18.6
2020-01-17,19.9
2020-01-20,18.7
2020-01-21,17.7
2020-01-22,16.6
2020-01-30,15.5
2020-01-31,14.45
2020-02-03,13.65
2020-02-04,12.8
2020-02-05,13.65
2020-02-06,12.75
2020-02-07,12.2
2020-02-10,11.4
2020-02-11,10.9
2020-02-12,10.3
2020-02-13,9.75
2020-02-14,9.1
2020-02-17,9.1
2020-02-18,8.61
2020-02-19,9.21
2020-02-20,8.62
2020-02-21,8.59
2020-02-24,9.19
2020-02-25,9.8
2020-02-26,10.45
2020-02-27,11.0
2020-02-28,11.05
2020-03-02,11.8
2020-03-03,11.6
2020-03-04,12.4
2020-03-05,13.25
2020-03-06,14.15
2020-03-09,14.3
2020-03-10,15.3
2020-03-11,16.0
2020-03-12,17.0
2020-03-13,18.15
2020-03-16,19.4
2020-03-17,19.4
2020-03-18,18.5
2020-03-19,19.0
2020-03-20,17.7
2020-03-23,17.7
2020-03-24,17.7
2020-03-25,17.0
2020-03-26,16.0
2020-03-27,17.0
2020-03-30,17.0
2020-03-31,18.1
2020-04-01,18.1
2020-04-03,16.85
2020-04-06,15.7
2020-04-07,14.65
2020-04-08,14.65
2020-04-09,15.65
2020-04-10,15.9
2020-04-13,16.95
2020-04-14,16.0
2020-04-15,17.0
2020-04-16,18.1
2020-04-17,18.1
2020-04-20,18.1
2020-04-21,18.1
2020-04-22,18.1
2020-04-23,18.1
2020-04-24,18.1
2020-04-27,18.1
2020-04-28,18.1
2020-04-29,18.1
2020-05-04,18.1
2020-05-05,18.1
2020-05-06,16.85
2020-05-07,18.0
2020-05-08,16.75
2020-05-11,15.6
2020-05-12,15.6
2020-05-13,16.2
2020-05-14,15.85
2020-05-15,15.85
2020-05-18,15.85
2020-05-19,14.75
2020-05-20,13.75
2020-05-21,12.8
2020-05-22,11.95
2020-05-25,11.15
2020-05-26,10.4
2020-05-27,9.68
2020-05-28,9.67
2020-05-29,9.58
2020-06-01,9.58
2020-06-02,9.58
2020-06-03,9.58
2020-06-04,9.58
2020-06-05,8.91
2020-06-08,8.4
2020-06-09,8.98
2020-06-10,9.6
2020-06-11,10.2
2020-06-12,9.49
2020-06-15,9.98
2020-06-16,9.98
2020-06-17,10.55
2020-06-18,11.05
2020-06-19,11.05
2020-06-22,11.05
2020-06-23,11.05
2020-06-24,11.05
2020-06-25,11.65
2020-06-26,10.85
2020-06-29,10.1
2020-06-30,10.1
2020-07-01,10.1
2020-07-02,9.5
2020-07-03,10.1
2020-07-06,10.1
2020-07-07,10.8
2020-07-08,11.55
2020-07-09,10.75
2020-07-10,11.4
2020-07-13,10.65
2020-07-14,10.65
2020-07-15,9.91
2020-07-16,9.9
2020-07-17,10.55
2020-07-20,10.55
2020-07-21,11.25
2020-07-22,10.5
2020-07-23,10.4
2020-07-24,11.0
2020-07-27,11.75
2020-07-28,10.95
2020-07-29,11.15
2020-07-30,11.85
2020-07-31,11.05
2020-08-03,11.05
2020-08-04,11.8
2020-08-05,12.0
2020-08-06,11.95
2020-08-07,12.0
2020-08-10,12.0
2020-08-11,12.0
2020-08-12,12.0
2020-08-13,11.9
2020-08-14,11.1
2020-08-17,11.1
2020-08-18,11.5
2020-08-19,11.5
2020-08-20,10.7
2020-08-21,11.25
2020-08-24,10.8
2020-08-25,10.8
2020-08-26,10.05
2020-08-27,10.75
2020-08-28,11.35
2020-08-31,11.35
2020-09-01,11.0
2020-09-03,10.25
2020-09-04,9.54
2020-09-07,10.2
2020-09-08,10.9
2020-09-09,10.9
2020-09-10,10.65
2020-09-11,9.91
2020-09-14,9.22
2020-09-15,9.22
2020-09-16,9.22
2020-09-17,8.59
2020-09-18,8.59
2020-09-21,8.59
2020-09-22,9.19
2020-09-23,9.0
2020-09-24,9.0
2020-09-25,9.0
2020-09-28,9.0
2020-09-29,8.8
2020-09-30,8.5
2020-10-01,8.5
2020-10-02,8.5
2020-10-05,8.4
2020-10-06,7.82
2020-10-07,7.28
2020-10-08,6.86
2020-10-09,6.41
2020-10-12,6.41
2020-10-13,6.85
2020-10-14,7.32
2020-10-15,7.83
2020-10-16,7.9
2020-10-19,7.35
2020-10-20,7.86
2020-10-21,7.31
2020-10-22,7.0
2020-10-23,7.0
2020-10-26,7.0
2020-10-27,6.51
2020-10-28,6.07
2020-10-29,6.1
2020-10-30,6.1
2020-11-02,6.52
2020-11-03,6.07
2020-11-04,6.07
2020-11-05,6.07
2020-11-06,6.07
2020-11-09,6.07
2020-11-10,6.07
2020-11-11,6.07
2020-11-12,6.07
2020-11-13,6.07
2020-11-16,6.07
2020-11-17,6.07
2020-11-18,5.65
2020-11-19,5.65
2020-11-20,5.65
2020-11-23,5.65
2020-11-24,5.65
2020-11-25,6.04
2020-11-26,6.04
2020-11-27,6.04
2020-11-30,6.04
2020-12-01,6.04
2020-12-02,6.04
2020-12-03,6.46
2020-12-04,6.01
2020-12-07,6.01
2020-12-08,6.01
2020-12-09,6.01
2020-12-10,5.59
2020-12-11,5.98
2020-12-14,6.39
2020-12-15,6.83
2020-12-16,7.3
2020-12-17,7.81
2020-12-18,8.35
2020-12-21,8.93
2020-12-22,9.55
2020-12-23,8.89
2020-12-24,8.89
2020-12-25,9.51
2020-12-28,10.0
2020-12-29,10.0
2020-12-30,10.2
2020-12-31,10.9
2021-01-04,10.7
2021-01-05,10.7
2021-01-06,10.7
2021-01-07,10.9
2021-01-08,11.0
2021-01-11,11.2
2021-01-12,11.2
2021-01-13,11.2
2021-01-14,11.5
2021-01-15,12.3
2021-01-18,12.3
2021-01-19,12.3
2021-01-20,12.3
2021-01-21,12.3
2021-01-22,12.3
2021-01-25,12.3
2021-01-26,12.3
2021-01-27,12.3
2021-01-28,12.3
2021-01-29,12.3
2021-02-01,12.3
2021-02-02,12.3
2021-02-03,12.3
2021-02-04,12.3
2021-02-05,12.3
2021-02-08,12.3
2021-02-09,12.3
2021-02-17,12.3
2021-02-18,12.3
2021-02-19,12.3
2021-02-22,12.3
2021-02-23,12.3
2021-02-24,12.3
2021-02-25,12.3
2021-02-26,12.3
2021-03-01,12.3
2021-03-02,12.3
