,price
2020-01-02,36.4
2020-01-03,36.5
2020-01-06,36.5
2020-01-07,36.35
2020-01-08,36.0
2020-01-09,36.1
2020-01-10,36.0
2020-01-13,36.0
2020-01-14,36.1
2020-01-15,36.05
2020-01-16,36.0
2020-01-17,36.05
2020-01-20,36.0
2020-01-21,36.3
2020-01-22,36.7
2020-01-30,37.0
2020-01-31,36.5
2020-02-03,36.0
2020-02-04,35.85
2020-02-05,35.6
2020-02-06,35.65
2020-02-07,35.65
2020-02-10,36.0
2020-02-11,36.1
2020-02-12,36.4
2020-02-13,36.3
2020-02-14,36.0
2020-02-17,36.0
2020-02-18,36.35
2020-02-19,36.4
2020-02-20,36.5
2020-02-21,36.6
2020-02-24,35.85
2020-02-25,35.9
2020-02-26,35.4
2020-02-27,37.8
2020-02-28,35.2
2020-03-02,35.0
2020-03-03,34.8
2020-03-04,34.95
2020-03-05,35.4
2020-03-06,35.05
2020-03-09,32.65
2020-03-10,32.7
2020-03-11,32.65
2020-03-12,31.45
2020-03-13,31.4
2020-03-16,31.95
2020-03-17,30.7
2020-03-18,31.3
2020-03-19,31.0
2020-03-20,30.95
2020-03-23,29.4
2020-03-24,29.75
2020-03-25,30.4
2020-03-26,30.7
2020-03-27,30.0
2020-03-30,29.0
2020-03-31,28.0
2020-04-01,28.3
2020-04-03,28.5
2020-04-06,30.35
2020-04-07,30.2
2020-04-08,30.1
2020-04-09,30.2
2020-04-10,30.3
2020-04-13,31.0
2020-04-14,31.0
2020-04-15,31.95
2020-04-16,31.75
2020-04-17,32.6
2020-04-20,33.2
2020-04-21,32.5
2020-04-22,32.3
2020-04-23,33.0
2020-04-24,32.9
2020-04-27,33.0
2020-04-28,33.1
2020-04-29,34.45
2020-05-04,33.7
2020-05-05,33.7
2020-05-06,35.2
2020-05-07,35.1
2020-05-08,33.95
2020-05-11,34.6
2020-05-12,34.5
2020-05-13,34.6
2020-05-14,34.6
2020-05-15,34.4
2020-05-18,34.0
2020-05-19,34.2
2020-05-20,34.1
2020-05-21,34.0
2020-05-22,34.0
2020-05-25,34.25
2020-05-26,35.2
2020-05-27,35.3
2020-05-28,35.0
2020-05-29,34.7
2020-06-01,34.65
2020-06-02,34.6
2020-06-03,34.55
2020-06-04,34.35
2020-06-05,34.6
2020-06-08,35.0
2020-06-09,34.9
2020-06-10,34.6
2020-06-11,34.35
2020-06-12,33.5
2020-06-15,33.3
2020-06-16,34.0
2020-06-17,34.0
2020-06-18,34.0
2020-06-19,34.3
2020-06-22,34.4
2020-06-23,34.4
2020-06-24,34.3
2020-06-25,34.15
2020-06-26,34.1
2020-06-29,33.6
2020-06-30,33.8
2020-07-01,34.3
2020-07-02,34.05
2020-07-03,34.3
2020-07-06,34.3
2020-07-07,36.5
2020-07-08,35.2
2020-07-09,35.3
2020-07-10,35.4
2020-07-13,35.3
2020-07-14,35.5
2020-07-15,35.5
2020-07-16,35.6
2020-07-17,35.6
2020-07-20,35.5
2020-07-21,37.15
2020-07-22,37.2
2020-07-23,37.2
2020-07-24,36.0
2020-07-27,34.6
2020-07-28,36.5
2020-07-29,35.7
2020-07-30,36.2
2020-07-31,35.8
2020-08-03,37.25
2020-08-04,37.6
2020-08-05,36.6
2020-08-06,36.4
2020-08-07,36.3
2020-08-10,35.5
2020-08-11,35.2
2020-08-12,35.4
2020-08-13,35.4
2020-08-14,35.6
2020-08-17,35.7
2020-08-18,37.4
2020-08-19,36.95
2020-08-20,37.15
2020-08-21,37.15
2020-08-24,37.4
2020-08-25,37.4
2020-08-26,37.45
2020-08-27,37.6
2020-08-28,38.3
2020-08-31,38.5
2020-09-01,38.8
2020-09-03,38.8
2020-09-04,38.3
2020-09-07,37.8
2020-09-08,37.9
2020-09-09,38.7
2020-09-10,38.5
2020-09-11,39.95
2020-09-14,40.45
2020-09-15,40.4
2020-09-16,41.5
