,price
2021-07-15,29.0
2021-07-16,30.0
2021-07-19,28.0
2021-07-20,28.0
2021-07-21,29.3
2021-07-22,30.1
2021-07-23,28.5
2021-07-26,27.5
2021-07-27,26.9
2021-07-28,26.0
2021-07-29,25.8
2021-07-30,26.7
2021-08-02,25.9
2021-08-03,25.6
2021-08-04,26.6
2021-08-05,27.2
2021-08-06,27.9
2021-08-09,29.2
2021-08-10,29.2
2021-08-11,28.4
2021-08-12,28.4
2021-08-13,28.2
2021-08-16,29.1
2021-08-17,28.4
2021-08-18,28.0
2021-08-19,28.0
2021-08-20,27.0
2021-08-23,25.7
2021-08-24,26.8
2021-08-25,27.2
2021-08-26,28.5
2021-08-27,28.5
2021-09-06,28.5
2021-09-07,28.0
2021-09-08,28.35
2021-09-09,28.05
2021-09-10,28.1
2021-09-13,28.85
2021-09-14,28.55
2021-09-15,28.55
2021-09-16,28.2
2021-09-17,29.0
2021-09-20,28.7
2021-09-21,28.5
2021-09-22,28.2
2021-09-23,28.8
2021-09-24,28.9
2021-09-27,29.0
2021-09-28,28.75
2021-09-29,28.45
2021-09-30,28.6
2021-10-01,28.3
2021-10-04,28.4
2021-10-05,28.65
2021-10-06,28.8
2021-10-07,28.9
2021-10-08,28.9
2021-10-11,30.9
2021-10-12,32.5
2021-10-13,32.45
2021-10-14,31.55
2021-10-15,31.2
2021-10-18,31.0
2021-10-19,31.5
2021-10-20,30.8
2021-10-21,30.3
2021-10-22,30.3
2021-10-25,29.6
2021-10-26,29.0
2021-10-27,30.6
2021-10-28,30.6
2021-10-29,30.4
2021-11-01,30.6
2021-11-02,31.4
2021-11-03,30.8
2021-11-04,30.9
2021-11-05,30.35
2021-11-08,30.95
2021-11-09,30.6
2021-11-10,31.1
2021-11-11,30.5
2021-11-12,30.5
2021-11-15,31.05
2021-11-16,30.7
2021-11-17,31.1
2021-11-18,32.15
2021-11-19,32.75
2021-11-22,31.9
2021-11-23,31.8
2021-11-24,32.0
2021-11-25,32.65
2021-11-26,31.2
2021-11-29,30.65
2021-11-30,32.75
2021-12-01,34.0
2021-12-02,33.9
2021-12-03,32.9
2021-12-06,32.0
2021-12-07,32.5
2021-12-08,33.85
2021-12-09,36.2
2021-12-10,36.95
2021-12-13,38.5
2021-12-14,37.2
2021-12-15,36.6
2021-12-16,38.2
2021-12-17,37.95
2021-12-20,36.75
2021-12-21,36.5
2021-12-22,37.0
2021-12-23,35.9
2021-12-24,36.5
2021-12-27,36.1
2021-12-28,36.95
2021-12-29,37.0
2021-12-30,35.65
2021-12-31,37.3
2022-01-04,37.0
2022-01-05,36.5
2022-01-06,37.0
2022-01-07,36.3
2022-01-10,36.1
2022-01-11,36.6
2022-01-12,34.65
2022-01-13,34.0
2022-01-14,35.2
2022-01-17,34.55
2022-01-18,34.0
2022-01-19,34.0
2022-01-20,33.65
2022-01-21,33.4
2022-01-24,32.4
2022-01-25,34.45
2022-01-26,32.35
2022-01-27,32.9
2022-01-28,33.0
2022-02-07,33.1
2022-02-08,34.8
2022-02-09,34.2
2022-02-10,34.8
2022-02-11,34.45
2022-02-14,34.4
2022-02-15,35.0
2022-02-16,34.85
2022-02-17,35.0
2022-02-18,35.0
2022-02-21,35.55
2022-02-22,35.2
2022-02-23,35.95
2022-02-24,37.75
2022-02-25,40.35
2022-02-28,39.95
2022-03-01,39.75
2022-03-02,39.3
2022-03-03,40.0
2022-03-04,39.3
2022-03-07,38.5
2022-03-08,37.15
2022-03-09,37.8
2022-03-10,39.95
2022-03-11,39.95
2022-03-14,39.7
2022-03-15,39.1
2022-03-16,39.5
2022-03-17,39.5
2022-03-18,38.9
2022-03-21,40.8
2022-03-22,40.6
2022-03-23,39.5
2022-03-24,39.85
2022-03-25,39.4
2022-03-28,37.05
2022-03-29,37.15
2022-03-30,36.0
2022-03-31,36.0
2022-04-01,36.7
2022-04-04,36.8
2022-04-05,36.6
2022-04-06,36.6
2022-04-07,35.6
2022-04-08,33.6
2022-04-12,33.95
2022-04-13,34.7
2022-04-14,34.15
2022-04-15,33.7
2022-04-18,32.25
2022-04-19,30.5
2022-04-20,30.0
2022-04-21,30.5
2022-04-22,30.9
2022-04-25,28.75
2022-04-26,29.85
2022-04-27,29.1
2022-04-28,30.1
2022-04-29,30.7
2022-05-04,28.65
2022-05-05,28.7
2022-05-06,27.7
2022-05-09,25.8
2022-05-10,24.2
2022-05-11,24.55
2022-05-12,22.85
2022-05-13,21.3
2022-05-16,19.85
2022-05-17,21.2
2022-05-18,22.65
2022-05-19,22.9
2022-05-20,22.8
2022-05-23,21.45
2022-05-24,21.55
2022-05-25,22.15
