,price
2020-01-02,17.7
2020-01-03,17.25
2020-01-06,17.5
2020-01-07,17.45
2020-01-08,17.3
2020-01-09,17.45
2020-01-10,18.0
2020-01-13,18.0
2020-01-14,18.0
2020-01-15,18.0
2020-01-16,17.55
2020-01-17,17.8
2020-01-20,17.8
2020-01-21,17.5
2020-01-22,17.45
2020-01-30,17.95
2020-01-31,17.85
2020-02-03,17.7
2020-02-04,17.55
2020-02-05,17.2
2020-02-06,17.7
2020-02-07,17.5
2020-02-10,17.45
2020-02-11,17.55
2020-02-12,17.45
2020-02-13,17.4
2020-02-14,17.3
2020-02-17,17.35
2020-02-18,17.4
2020-02-19,17.3
2020-02-20,17.2
2020-02-21,17.3
2020-02-24,17.2
2020-02-25,17.2
2020-02-26,17.25
2020-02-27,17.3
2020-02-28,17.2
2020-03-02,17.7
2020-03-03,17.5
2020-03-04,17.5
2020-03-05,17.3
2020-03-06,17.2
2020-03-09,17.0
2020-03-10,16.95
2020-03-11,16.8
2020-03-12,16.7
2020-03-13,16.4
2020-03-16,16.0
2020-03-17,16.1
2020-03-18,16.35
2020-03-19,15.65
2020-03-20,15.95
2020-03-23,16.0
2020-03-24,16.0
2020-03-25,16.0
2020-03-26,15.4
2020-03-27,15.7
2020-03-30,15.7
2020-03-31,14.65
2020-04-01,15.2
2020-04-03,15.2
2020-04-06,15.5
2020-04-07,15.5
2020-04-08,15.2
2020-04-09,15.2
2020-04-10,15.15
2020-04-13,15.2
2020-04-14,15.15
2020-04-15,15.15
2020-04-16,15.15
2020-04-17,15.2
2020-04-20,15.2
2020-04-21,15.15
2020-04-22,15.4
2020-04-23,15.3
2020-04-24,15.3
2020-04-27,15.1
2020-04-28,15.15
2020-04-29,15.0
2020-05-04,15.05
2020-05-05,15.0
2020-05-06,15.0
2020-05-07,15.1
2020-05-08,15.25
2020-05-11,15.4
2020-05-12,15.25
2020-05-13,15.25
2020-05-14,15.35
2020-05-15,15.5
2020-05-18,15.75
2020-05-19,16.25
2020-05-20,16.3
2020-05-21,17.4
2020-05-22,16.9
2020-05-25,16.9
2020-05-26,16.9
2020-05-27,17.2
2020-05-28,16.9
2020-05-29,17.3
2020-06-01,17.45
2020-06-02,17.6
2020-06-03,17.65
2020-06-04,17.65
2020-06-05,17.7
2020-06-08,17.75
2020-06-09,18.1
2020-06-10,18.1
2020-06-11,18.0
2020-06-12,17.9
2020-06-15,18.2
2020-06-16,17.9
2020-06-17,18.1
2020-06-18,18.1
2020-06-19,18.25
2020-06-22,18.2
2020-06-23,18.0
2020-06-24,18.0
2020-06-25,17.75
2020-06-26,17.75
2020-06-29,18.0
2020-06-30,17.8
2020-07-01,17.75
2020-07-02,17.7
2020-07-03,17.85
2020-07-06,17.8
2020-07-07,17.8
2020-07-08,17.65
2020-07-09,17.65
2020-07-10,17.6
2020-07-13,17.4
2020-07-14,17.0
2020-07-15,17.3
2020-07-16,17.6
2020-07-17,17.45
2020-07-20,17.35
2020-07-21,17.3
2020-07-22,17.35
2020-07-23,17.3
2020-07-24,16.8
2020-07-27,16.4
2020-07-28,16.5
2020-07-29,17.65
2020-07-30,17.1
2020-07-31,16.55
2020-08-03,16.6
2020-08-04,16.85
2020-08-05,17.0
2020-08-06,16.95
2020-08-07,16.9
2020-08-10,16.85
2020-08-11,17.0
2020-08-12,16.9
2020-08-13,16.7
2020-08-14,17.0
2020-08-17,17.0
2020-08-18,16.85
2020-08-19,16.85
2020-08-20,16.95
2020-08-21,16.95
2020-08-24,16.95
2020-08-25,16.95
2020-08-26,16.95
2020-08-27,16.95
2020-08-28,17.45
2020-08-31,17.25
2020-09-01,17.2
2020-09-03,17.2
2020-09-04,17.05
2020-09-07,16.9
2020-09-08,17.1
2020-09-09,16.8
2020-09-10,16.8
2020-09-11,16.7
2020-09-14,17.1
2020-09-15,16.9
2020-09-16,16.95
2020-09-17,17.0
2020-09-18,17.0
2020-09-21,17.05
2020-09-22,17.05
2020-09-23,17.1
2020-09-24,17.15
2020-09-25,17.1
2020-09-28,17.2
2020-09-29,17.0
2020-09-30,17.0
2020-10-01,17.0
2020-10-02,17.0
2020-10-05,17.35
2020-10-06,17.55
2020-10-07,17.45
2020-10-08,17.15
2020-10-09,17.15
2020-10-12,17.2
2020-10-13,17.4
2020-10-14,17.4
2020-10-15,17.6
2020-10-16,17.35
2020-10-19,17.2
2020-10-20,17.5
2020-10-21,17.25
