,price
2020-01-02,14.1
2020-01-03,14.9
2020-01-06,14.9
2020-01-07,15.7
2020-01-08,16.3
2020-01-09,16.3
2020-01-10,17.0
2020-01-13,17.0
2020-01-14,15.85
2020-01-15,15.85
2020-01-16,14.75
2020-01-17,13.75
2020-01-20,13.75
2020-01-21,13.75
2020-01-22,13.75
2020-01-30,12.85
2020-01-31,12.85
2020-02-03,12.85
2020-02-04,12.85
2020-02-05,12.85
2020-02-06,12.85
2020-02-07,12.85
2020-02-10,12.85
2020-02-11,12.85
2020-02-12,12.85
2020-02-13,12.85
2020-02-14,12.85
2020-02-17,12.85
2020-02-18,12.0
2020-02-19,12.0
2020-02-20,12.0
2020-02-21,12.0
2020-02-24,12.0
2020-02-25,12.0
2020-02-26,12.0
2020-02-27,12.0
2020-02-28,12.0
2020-03-02,12.0
2020-03-03,12.0
2020-03-04,12.0
2020-03-05,12.0
2020-03-06,12.0
2020-03-09,12.0
2020-03-10,11.25
2020-03-11,11.25
2020-03-12,11.25
2020-03-13,11.25
2020-03-16,11.25
2020-03-17,11.25
2020-03-18,12.0
2020-03-19,12.0
2020-03-20,12.0
2020-03-23,12.0
2020-03-24,12.0
2020-03-25,12.0
2020-03-26,12.0
2020-03-27,12.0
2020-03-30,12.0
2020-03-31,12.0
2020-04-01,12.0
2020-04-03,12.0
2020-04-06,12.0
2020-04-07,12.0
2020-04-08,12.0
2020-04-09,12.0
2020-04-10,12.0
2020-04-13,12.0
2020-04-14,12.0
2020-04-15,12.0
2020-04-16,11.2
2020-04-17,11.2
2020-04-20,11.2
2020-04-21,10.8
2020-04-22,10.8
2020-04-23,10.8
2020-04-24,10.8
2020-04-27,10.8
2020-04-28,10.8
2020-04-29,10.8
2020-05-04,10.8
2020-05-05,10.8
2020-05-06,10.8
2020-05-07,10.8
2020-05-08,10.8
2020-05-11,10.8
2020-05-12,10.8
2020-05-13,10.8
2020-05-14,10.8
2020-05-15,10.8
2020-05-18,10.8
2020-05-19,10.8
2020-05-20,10.8
2020-05-21,10.8
2020-05-22,10.8
2020-05-25,10.8
2020-05-26,10.8
2020-05-27,10.8
2020-05-28,10.8
2020-05-29,10.8
2020-06-01,10.8
2020-06-02,11.55
2020-06-03,12.35
2020-06-04,12.35
2020-06-05,13.2
2020-06-08,14.05
2020-06-09,13.1
2020-06-10,13.95
2020-06-11,14.85
2020-06-12,15.8
2020-06-15,16.85
2020-06-16,17.95
2020-06-17,17.95
2020-06-18,19.0
2020-06-19,19.0
2020-06-22,19.0
2020-06-23,17.7
2020-06-24,17.7
2020-06-25,18.9
2020-06-26,17.6
2020-06-29,16.4
2020-06-30,15.3
2020-07-01,15.3
2020-07-02,14.3
2020-07-03,14.3
2020-07-06,14.3
2020-07-07,14.3
2020-07-08,14.3
2020-07-09,14.3
2020-07-10,13.3
2020-07-13,13.3
2020-07-14,12.5
2020-07-15,12.5
2020-07-16,12.0
2020-07-17,12.0
2020-07-20,12.0
2020-07-21,12.0
2020-07-22,12.0
2020-07-23,11.25
2020-07-24,11.25
2020-07-27,11.25
2020-07-28,11.25
2020-07-29,10.5
2020-07-30,10.5
2020-07-31,9.77
2020-08-03,9.77
2020-08-04,9.77
2020-08-05,9.78
2020-08-06,9.78
2020-08-07,9.78
2020-08-10,9.77
2020-08-11,10.45
2020-08-12,11.15
2020-08-13,11.9
2020-08-14,12.7
2020-08-17,13.55
2020-08-18,14.45
2020-08-19,15.45
2020-08-20,15.5
2020-08-21,16.55
2020-08-24,17.7
2020-08-25,18.9
2020-08-26,17.8
2020-08-27,19.0
2020-08-28,17.7
2020-08-31,18.9
2020-09-01,17.6
2020-09-03,16.4
2020-09-04,15.4
2020-09-07,15.4
2020-09-08,15.4
2020-09-09,15.4
2020-09-10,15.4
2020-09-11,15.4
2020-09-14,15.4
2020-09-15,15.4
2020-09-16,15.4
2020-09-17,15.4
2020-09-18,16.45
2020-09-21,17.6
2020-09-22,18.8
2020-09-23,19.0
2020-09-24,17.7
2020-09-25,17.7
2020-09-28,16.5
2020-09-29,16.5
2020-09-30,16.5
2020-10-01,16.5
2020-10-02,16.5
2020-10-05,16.5
2020-10-06,16.5
2020-10-07,17.65
2020-10-08,18.85
2020-10-09,18.85
2020-10-12,18.85
2020-10-13,18.85
2020-10-14,18.85
2020-10-15,18.85
2020-10-16,18.85
2020-10-19,18.85
2020-10-20,18.85
2020-10-21,18.85
2020-10-22,18.85
2020-10-23,18.85
2020-10-26,18.85
2020-10-27,18.85
2020-10-28,18.85
2020-10-29,18.85
2020-10-30,18.85
2020-11-02,18.85
2020-11-03,18.85
2020-11-04,18.85
2020-11-05,18.85
2020-11-06,18.85
2020-11-09,18.85
2020-11-10,18.85
2020-11-11,18.85
2020-11-12,18.85
2020-11-13,18.85
2020-11-16,18.85
2020-11-17,18.85
2020-11-18,18.85
2020-11-19,18.85
2020-11-20,18.85
2020-11-23,18.85
2020-11-25,18.85
2020-11-26,18.85
2020-11-27,20.15
2020-11-30,20.15
2020-12-01,20.15
2020-12-02,20.15
2020-12-03,20.15
2020-12-04,20.15
2020-12-07,20.0
2020-12-08,20.0
2020-12-09,20.0
2020-12-10,20.0
2020-12-11,20.0
2020-12-14,20.0
2020-12-15,20.0
2020-12-16,20.0
2020-12-17,18.6
2020-12-18,18.6
2020-12-21,18.6
2020-12-22,18.6
2020-12-23,18.6
2020-12-24,17.3
2020-12-25,17.5
2020-12-28,18.2
2020-12-29,19.45
2020-12-30,19.45
2020-12-31,19.45
2021-01-04,19.45
2021-01-05,19.45
2021-01-06,19.45
2021-01-07,19.45
2021-01-08,19.45
2021-01-11,19.45
2021-01-12,19.45
2021-01-13,19.45
2021-01-14,19.45
2021-01-15,18.1
2021-01-18,16.85
2021-01-19,15.7
2021-01-20,15.7
2021-01-21,15.7
2021-01-22,15.7
2021-01-25,15.7
2021-01-26,16.0
2021-01-27,16.0
2021-01-28,16.0
2021-01-29,16.0
2021-02-01,16.0
2021-02-02,16.0
2021-02-03,16.0
2021-02-04,16.0
2021-02-05,16.0
2021-02-08,16.0
2021-02-09,16.0
2021-02-17,16.0
2021-02-18,16.0
2021-02-19,16.0
2021-02-22,16.0
2021-02-23,16.0
2021-02-24,16.0
2021-02-25,15.05
2021-02-26,15.05
2021-03-01,15.05
2021-03-02,16.05
2021-03-03,16.05
2021-03-04,16.05
2021-03-05,17.15
2021-03-08,17.15
2021-03-09,17.15
2021-03-10,18.3
2021-03-11,18.3
2021-03-12,18.3
2021-03-15,19.5
2021-03-16,19.5
2021-03-17,19.5
2021-03-18,19.5
2021-03-19,19.5
2021-03-22,19.5
2021-03-23,19.5
2021-03-24,19.5
2021-03-25,19.5
2021-03-26,20.45
2021-03-29,20.45
2021-03-30,20.45
2021-03-31,21.8
2021-04-01,21.8
2021-04-02,21.8
2021-04-05,21.8
2021-04-06,21.8
2021-04-07,23.25
2021-04-08,23.25
2021-04-09,23.25
2021-04-12,21.65
2021-04-13,21.65
2021-04-14,22.8
2021-04-15,22.8
2021-04-16,22.8
2021-04-19,22.8
2021-04-20,22.8
2021-04-22,21.25
2021-04-23,19.8
2021-04-26,18.45
2021-04-27,18.45
2021-04-28,18.45
2021-04-29,18.45
2021-05-04,18.45
2021-05-05,18.45
2021-05-06,18.45
2021-05-07,18.45
2021-05-10,18.45
2021-05-11,19.7
2021-05-12,21.05
2021-05-13,21.05
2021-05-14,21.05
2021-05-17,21.05
2021-05-18,20.0
2021-05-19,20.0
2021-05-20,20.0
2021-05-21,20.0
2021-05-24,20.0
2021-05-25,20.0
2021-05-26,20.0
2021-05-27,20.0
2021-05-28,20.0
2021-05-31,20.0
2021-06-01,20.0
2021-06-02,20.0
2021-06-03,20.0
2021-06-04,20.0
2021-06-07,20.0
2021-06-08,20.0
2021-06-09,20.0
2021-06-10,20.0
2021-06-11,20.0
2021-06-14,18.8
2021-06-15,18.8
2021-06-16,18.8
2021-06-17,18.8
2021-06-18,18.5
2021-06-21,17.4
2021-06-22,17.4
2021-06-23,17.0
2021-06-24,17.0
2021-06-25,17.0
2021-06-28,17.5
2021-06-29,17.5
2021-06-30,17.5
2021-07-01,17.5
2021-07-02,17.5
2021-07-05,17.5
2021-07-06,17.0
2021-07-07,17.0
2021-07-08,17.0
2021-07-09,17.0
2021-07-12,17.0
2021-07-13,17.0
2021-07-14,17.0
2021-07-15,17.0
2021-07-16,17.0
2021-07-19,17.0
2021-07-20,17.0
2021-07-21,17.0
2021-07-22,17.0
2021-07-23,17.0
2021-07-26,17.0
2021-07-27,17.0
2021-07-28,17.0
2021-07-29,17.0
2021-07-30,17.0
2021-08-02,17.0
2021-08-03,17.0
2021-08-04,17.0
2021-08-05,17.0
2021-08-06,17.0
2021-08-09,18.0
2021-08-10,18.0
2021-08-11,18.2
2021-08-12,19.0
2021-08-13,19.0
2021-08-16,19.0
2021-08-17,19.0
2021-08-18,20.0
2021-08-19,20.0
2021-08-20,20.0
2021-08-23,20.0
2021-08-24,20.0
2021-08-25,20.0
2021-08-26,18.6
2021-08-27,18.6
2021-08-30,18.6
2021-08-31,18.6
2021-09-01,18.6
2021-09-06,18.6
2021-09-07,18.6
2021-09-08,18.6
2021-09-09,18.6
2021-09-10,18.6
2021-09-13,18.6
2021-09-14,18.6
2021-09-15,18.6
2021-09-16,18.6
2021-09-17,18.6
2021-09-20,18.6
2021-09-21,18.6
2021-09-22,18.6
2021-09-23,18.6
2021-09-24,17.3
2021-09-27,17.3
2021-09-28,17.3
2021-09-29,17.3
2021-09-30,18.4
2021-10-01,18.4
2021-10-04,18.4
2021-10-05,18.4
2021-10-06,19.65
2021-10-07,19.65
2021-10-08,19.65
2021-10-11,18.3
2021-10-12,18.3
2021-10-13,18.3
2021-10-14,18.3
2021-10-15,18.3
2021-10-18,18.3
2021-10-19,18.3
2021-10-20,18.3
2021-10-21,18.3
2021-10-22,18.3
2021-10-25,18.3
2021-10-26,18.3
2021-10-27,17.05
2021-10-28,17.05
2021-10-29,17.05
2021-11-01,17.05
2021-11-02,17.0
2021-11-03,17.05
2021-11-04,17.05
2021-11-05,15.9
2021-11-08,17.0
2021-11-09,18.15
2021-11-10,19.35
2021-11-11,20.0
2021-11-12,21.0
2021-11-15,22.45
2021-11-16,24.0
2021-11-17,22.35
2021-11-18,20.8
2021-11-19,19.35
2021-11-22,19.2
2021-11-23,20.3
2021-11-24,20.25
2021-11-25,19.9
2021-11-26,19.6
2021-11-29,19.6
2021-11-30,19.6
2021-12-01,18.3
2021-12-02,19.1
2021-12-03,17.9
2021-12-06,16.9
2021-12-07,17.8
2021-12-08,17.8
2021-12-09,17.1
2021-12-10,17.7
2021-12-13,18.8
2021-12-14,18.65
2021-12-15,18.65
2021-12-16,18.65
2021-12-17,18.4
2021-12-20,18.4
2021-12-21,18.4
2021-12-22,19.25
2021-12-23,19.25
2021-12-24,19.25
2021-12-27,17.95
2021-12-28,19.1
2021-12-29,18.95
2021-12-30,18.5
2021-12-31,17.35
2022-01-04,17.5
2022-01-05,18.7
2022-01-06,19.45
2022-01-07,19.9
2022-01-10,21.0
2022-01-11,20.6
2022-01-12,19.2
2022-01-13,17.95
2022-01-14,19.2
2022-01-17,19.2
2022-01-18,19.15
2022-01-19,19.95
2022-01-20,18.6
2022-01-21,18.55
2022-01-24,19.8
2022-01-25,19.8
2022-01-26,18.45
2022-01-27,19.5
2022-01-28,19.8
2022-02-07,19.8
2022-02-08,20.5
2022-02-09,19.1
2022-02-10,19.8
2022-02-11,19.6
2022-02-14,18.3
2022-02-15,17.9
2022-02-16,19.15
2022-02-17,19.05
2022-02-18,19.0
2022-02-21,17.8
2022-02-22,18.0
2022-02-23,19.05
2022-02-24,18.0
2022-02-25,18.45
2022-02-28,18.95
2022-03-01,19.7
2022-03-02,18.45
2022-03-03,19.5
2022-03-04,19.5
2022-03-07,19.2
2022-03-08,20.4
2022-03-09,19.1
2022-03-10,18.85
2022-03-11,19.85
2022-03-14,21.15
2022-03-15,22.6
2022-03-16,21.05
2022-03-17,19.75
2022-03-18,21.1
2022-03-21,21.9
2022-03-22,21.9
2022-03-23,22.0
2022-03-24,21.9
2022-03-25,22.8
2022-03-28,24.2
2022-03-29,23.0
2022-03-30,22.8
2022-03-31,24.3
2022-04-01,23.75
2022-04-04,25.25
2022-04-05,24.3
2022-04-06,23.75
2022-04-07,22.85
2022-04-08,23.9
2022-04-12,23.9
2022-04-13,23.4
2022-04-14,22.6
2022-04-15,22.95
2022-04-18,22.6
2022-04-19,21.05
2022-04-20,20.85
2022-04-21,21.1
2022-04-22,21.05
2022-04-25,21.05
2022-04-26,20.05
2022-04-27,20.0
2022-04-28,20.2
2022-04-29,21.5
2022-05-04,20.75
2022-05-05,21.9
2022-05-06,20.85
2022-05-09,22.1
2022-05-10,21.1
2022-05-11,22.55
2022-05-12,24.0
2022-05-13,23.35
2022-05-16,23.2
2022-05-17,21.6
2022-05-18,23.0
2022-05-19,24.3
2022-05-20,22.6
2022-05-23,24.0
2022-05-24,23.55
2022-05-25,24.3
