,price
2020-01-02,5.4
2020-01-03,5.6
2020-01-06,5.6
2020-01-07,6.1
2020-01-08,6.0
2020-01-09,6.1
2020-01-10,6.3
2020-01-13,6.0
2020-01-14,6.2
2020-01-15,6.4
2020-01-16,6.5
2020-01-17,6.6
2020-01-20,6.8
2020-01-21,6.4
2020-01-22,6.7
2020-01-30,6.5
2020-01-31,6.7
2020-02-03,6.3
2020-02-04,6.9
2020-02-05,7.1
2020-02-06,7.0
2020-02-07,6.9
2020-02-10,7.9
2020-02-11,8.1
2020-02-12,7.9
2020-02-13,8.5
2020-02-14,8.5
2020-02-17,8.5
2020-02-18,8.6
2020-02-19,8.2
2020-02-20,8.4
2020-02-21,8.0
2020-02-24,8.2
2020-02-25,8.7
2020-02-26,8.5
2020-02-27,8.0
2020-02-28,7.7
2020-03-02,7.5
2020-03-03,7.5
2020-03-04,7.6
2020-03-05,7.6
2020-03-06,7.6
2020-03-09,7.1
2020-03-10,7.1
2020-03-11,7.1
2020-03-12,7.0
2020-03-13,7.1
2020-03-16,7.3
2020-03-17,7.3
2020-03-18,7.4
2020-03-19,7.2
2020-03-20,7.5
2020-03-23,7.2
2020-03-24,7.0
2020-03-25,7.1
2020-03-26,7.0
2020-03-27,6.7
2020-03-30,6.6
2020-03-31,6.7
2020-04-01,6.5
2020-04-03,6.7
2020-04-06,6.9
2020-04-07,6.6
2020-04-08,6.7
2020-04-09,6.6
2020-04-10,6.7
2020-04-13,6.7
2020-04-14,6.6
2020-04-15,6.6
2020-04-16,6.6
2020-04-17,6.7
2020-04-20,7.2
2020-04-21,6.8
2020-04-22,7.0
2020-04-23,7.3
2020-04-24,7.3
2020-04-27,7.2
2020-04-28,7.1
2020-04-29,7.0
2020-05-04,7.0
2020-05-05,6.9
2020-05-06,7.0
2020-05-07,7.1
2020-05-08,7.2
2020-05-11,7.4
2020-05-12,7.4
2020-05-13,7.2
2020-05-14,7.1
2020-05-15,7.1
2020-05-18,7.0
2020-05-19,7.6
2020-05-20,7.8
2020-05-21,7.6
2020-05-22,7.5
2020-05-25,7.5
2020-05-26,7.7
2020-05-27,7.5
2020-05-28,7.4
2020-05-29,7.4
2020-06-01,7.4
2020-06-02,7.5
2020-06-03,7.6
2020-06-04,7.5
2020-06-05,7.5
2020-06-08,7.7
2020-06-09,7.6
2020-06-10,8.1
2020-06-11,7.7
2020-06-12,7.5
2020-06-15,7.2
2020-06-16,7.3
2020-06-17,7.2
2020-06-18,7.2
2020-06-19,7.3
2020-06-22,7.3
2020-06-23,7.3
2020-06-24,7.2
2020-06-25,7.0
2020-06-26,6.9
2020-06-29,6.5
2020-06-30,6.4
2020-07-01,6.8
2020-07-02,6.7
2020-07-03,6.8
2020-07-06,6.7
2020-07-07,6.7
2020-07-08,6.8
2020-07-09,6.7
2020-07-10,6.7
2020-07-13,6.6
2020-07-14,6.7
2020-07-15,6.7
2020-07-16,6.6
2020-07-17,6.7
2020-07-20,6.6
2020-07-21,6.7
2020-07-22,6.7
2020-07-23,6.6
2020-07-24,6.1
2020-07-27,5.7
2020-07-28,6.1
2020-07-29,5.9
2020-07-30,6.1
2020-07-31,6.1
2020-08-03,6.0
2020-08-04,6.2
2020-08-05,6.2
2020-08-06,6.1
2020-08-07,6.2
2020-08-10,6.4
2020-08-11,6.5
2020-08-12,6.5
2020-08-13,6.6
2020-08-14,6.9
2020-08-17,7.0
2020-08-18,6.9
2020-08-19,6.7
2020-08-20,6.8
2020-08-21,6.7
2020-08-24,6.9
2020-08-25,6.9
2020-08-26,6.8
2020-08-27,6.8
2020-08-28,7.0
2020-08-31,6.8
2020-09-01,6.8
2020-09-03,6.7
2020-09-04,6.8
2020-09-07,6.7
2020-09-08,6.8
2020-09-09,6.7
2020-09-10,6.8
2020-09-11,6.8
2020-09-14,6.8
2020-09-15,6.8
2020-09-16,7.2
2020-09-17,7.1
2020-09-18,7.2
2020-09-21,7.2
2020-09-22,7.3
2020-09-23,7.3
2020-09-24,7.9
2020-09-25,7.8
2020-09-28,7.7
2020-09-29,7.4
2020-09-30,7.4
2020-10-01,7.7
2020-10-02,7.8
2020-10-05,8.0
2020-10-06,8.0
2020-10-07,8.0
2020-10-08,8.0
2020-10-09,8.2
2020-10-12,8.1
2020-10-13,8.0
2020-10-14,7.9
2020-10-15,8.0
2020-10-16,7.9
2020-10-19,7.9
2020-10-20,8.0
2020-10-21,8.0
2020-10-22,8.0
2020-10-23,7.9
2020-10-26,8.1
2020-10-27,8.4
2020-10-28,8.2
2020-10-29,8.2
2020-10-30,8.1
2020-11-02,8.1
2020-11-03,8.1
2020-11-04,8.2
2020-11-05,8.0
2020-11-06,8.1
2020-11-09,8.1
2020-11-10,8.0
2020-11-11,8.1
2020-11-12,8.0
2020-11-13,8.0
2020-11-16,8.0
2020-11-17,8.1
2020-11-18,8.1
2020-11-19,8.1
2020-11-20,8.1
2020-11-23,8.1
2020-11-24,8.1
2020-11-25,8.1
2020-11-26,8.0
2020-11-30,8.2
2020-12-01,8.7
2020-12-02,8.8
2020-12-03,9.3
2020-12-04,9.0
2020-12-07,9.0
2020-12-08,8.9
2020-12-09,9.0
2020-12-10,8.9
2020-12-11,9.0
2020-12-14,9.2
2020-12-15,9.1
2020-12-16,9.2
2020-12-17,9.1
2020-12-18,9.1
2020-12-21,9.1
2020-12-22,9.7
2020-12-23,9.5
2020-12-24,9.2
2020-12-25,9.2
2020-12-28,9.7
2020-12-29,10.0
2020-12-30,9.9
2020-12-31,9.8
2021-01-04,9.7
2021-01-05,9.5
2021-01-06,9.5
2021-01-07,9.6
2021-01-08,9.6
2021-01-11,9.7
2021-01-12,10.3
2021-01-13,10.7
2021-01-14,10.7
2021-01-15,10.7
2021-01-18,10.9
2021-01-19,10.1
2021-01-20,10.1
2021-01-21,10.3
2021-01-22,10.3
2021-01-25,10.3
2021-01-26,10.0
2021-01-27,9.2
2021-01-28,8.0
2021-01-29,8.2
2021-02-01,8.0
2021-02-02,8.2
2021-02-03,8.6
2021-02-04,8.4
2021-02-05,8.5
2021-02-17,8.6
2021-02-18,8.6
