,price
2020-01-02,6.27
2020-01-03,6.28
2020-01-06,6.27
2020-01-07,6.27
2020-01-08,6.24
2020-01-09,6.67
2020-01-10,6.3
2020-01-13,6.3
2020-01-14,6.27
2020-01-15,6.28
2020-01-16,6.07
2020-01-17,6.23
2020-01-20,6.23
2020-01-21,6.6
2020-01-22,6.99
2020-01-30,6.69
2020-01-31,6.39
2020-02-03,6.2
2020-02-04,5.9
2020-02-05,6.2
2020-02-06,6.1
2020-02-07,6.1
2020-02-10,6.15
2020-02-11,6.48
2020-02-12,6.9
2020-02-13,6.9
2020-02-14,6.42
2020-02-17,6.5
2020-02-18,6.5
2020-02-19,6.45
2020-02-20,6.45
2020-02-21,6.6
2020-02-24,6.14
2020-02-25,6.29
2020-02-26,6.29
2020-02-27,6.4
2020-02-28,6.28
2020-03-02,6.18
2020-03-03,6.35
2020-03-04,6.5
2020-03-05,6.3
2020-03-06,6.28
2020-03-09,6.28
2020-03-10,6.27
2020-03-11,6.1
2020-03-12,6.0
2020-03-13,5.7
2020-03-16,6.0
2020-03-17,6.0
2020-03-18,6.19
2020-03-19,6.1
2020-03-20,6.14
2020-03-23,5.72
2020-03-24,5.7
2020-03-25,6.0
2020-03-26,6.0
2020-03-27,5.9
2020-03-30,5.89
2020-03-31,5.48
2020-04-01,5.5
2020-04-03,5.88
2020-04-06,5.7
2020-04-07,5.9
2020-04-08,5.85
2020-04-09,5.7
2020-04-10,5.7
2020-04-13,5.8
2020-04-14,5.8
2020-04-15,5.6
2020-04-16,5.8
2020-04-17,5.6
2020-04-20,5.99
2020-04-21,6.25
2020-04-22,6.28
2020-04-23,6.71
2020-04-24,6.66
2020-04-27,6.31
2020-04-28,6.25
2020-04-29,6.46
2020-05-04,6.4
2020-05-05,6.33
2020-05-06,6.47
2020-05-07,6.3
2020-05-08,6.41
2020-05-11,6.42
2020-05-12,6.44
2020-05-13,6.35
2020-05-14,6.34
2020-05-15,6.27
2020-05-18,6.39
2020-05-19,6.24
2020-05-20,6.18
2020-05-21,6.35
2020-05-22,6.34
2020-05-25,6.33
2020-05-26,6.31
2020-05-27,6.22
2020-05-28,6.32
2020-05-29,6.7
2020-06-01,6.82
2020-06-02,6.45
2020-06-03,6.49
2020-06-04,6.38
2020-06-05,6.47
2020-06-08,6.54
2020-06-09,6.56
2020-06-10,6.75
2020-06-11,6.76
2020-06-12,6.7
2020-06-15,6.27
2020-06-16,6.34
2020-06-17,6.4
2020-06-18,6.4
2020-06-19,6.4
2020-06-22,6.4
2020-06-23,6.4
2020-06-24,6.83
2020-06-25,6.6
2020-06-26,6.6
2020-06-29,6.35
2020-06-30,6.38
2020-07-01,6.39
2020-07-02,6.39
2020-07-03,6.34
2020-07-06,6.49
2020-07-07,6.38
2020-07-08,6.5
2020-07-09,6.62
2020-07-10,6.62
2020-07-13,6.5
2020-07-14,6.5
2020-07-15,6.55
2020-07-16,6.55
2020-07-17,6.55
2020-07-20,6.5
2020-07-21,6.41
2020-07-22,6.32
2020-07-23,6.42
2020-07-24,6.37
2020-07-27,6.02
2020-07-28,6.11
2020-07-29,6.4
2020-07-30,6.44
2020-07-31,6.13
2020-08-03,6.39
2020-08-04,6.4
2020-08-05,6.4
2020-08-06,6.15
2020-08-07,6.2
2020-08-10,6.2
2020-08-11,6.0
2020-08-12,6.0
2020-08-13,6.01
2020-08-14,6.15
2020-08-17,6.02
2020-08-18,6.11
2020-08-19,6.15
2020-08-20,6.15
2020-08-21,6.18
2020-08-24,6.2
2020-08-25,6.19
2020-08-26,6.22
2020-08-27,6.28
2020-08-28,6.28
2020-08-31,6.25
2020-09-01,6.21
2020-09-03,6.1
2020-09-04,6.2
2020-09-07,6.19
2020-09-08,6.19
2020-09-09,6.15
2020-09-10,6.17
2020-09-11,6.12
2020-09-14,6.14
2020-09-15,6.1
2020-09-16,6.19
2020-09-17,6.2
2020-09-18,6.18
2020-09-21,6.18
2020-09-22,6.11
2020-09-23,6.11
2020-09-24,6.24
2020-09-25,6.15
2020-09-28,6.12
2020-09-29,6.13
2020-09-30,6.13
2020-10-01,6.13
2020-10-02,6.14
2020-10-05,6.24
2020-10-06,6.2
2020-10-07,6.17
2020-10-08,6.17
2020-10-09,6.17
2020-10-12,6.18
2020-10-13,6.18
2020-10-14,6.2
2020-10-15,6.18
2020-10-16,6.15
2020-10-19,6.17
2020-10-20,6.17
2020-10-21,6.15
2020-10-22,6.15
2020-10-23,6.13
2020-10-26,6.1
2020-10-27,6.1
2020-10-28,6.1
2020-10-29,6.1
2020-10-30,5.98
2020-11-02,5.9
2020-11-03,5.71
2020-11-04,6.0
2020-11-05,6.17
2020-11-06,5.8
2020-11-09,5.99
2020-11-10,5.8
