,price
2020-01-02,16.65
2020-01-03,16.65
2020-01-06,16.65
2020-01-07,16.65
2020-01-08,16.65
2020-01-09,15.6
2020-01-10,16.55
2020-01-13,15.4
2020-01-14,14.35
2020-01-15,13.35
2020-01-16,12.45
2020-01-17,12.45
2020-01-20,13.2
2020-01-21,12.3
2020-01-22,13.0
2020-01-30,13.8
2020-01-31,13.8
2020-02-03,13.8
2020-02-04,13.1
2020-02-05,12.2
2020-02-06,12.8
2020-02-07,12.2
2020-02-10,12.0
2020-02-11,12.0
2020-02-12,12.7
2020-02-13,12.7
2020-02-14,12.1
2020-02-17,12.7
2020-02-18,12.7
2020-02-19,12.7
2020-02-20,12.5
2020-02-21,12.5
2020-02-24,12.5
2020-02-25,12.3
2020-02-26,13.0
2020-02-27,12.7
2020-02-28,13.3
2020-03-02,12.7
2020-03-03,12.95
2020-03-04,12.95
2020-03-05,12.95
2020-03-06,12.1
2020-03-09,12.0
2020-03-10,12.0
2020-03-11,12.7
2020-03-12,12.65
2020-03-13,12.65
2020-03-16,12.0
2020-03-17,11.35
2020-03-18,10.75
2020-03-19,10.6
2020-03-20,9.86
2020-03-23,9.17
2020-03-24,9.17
2020-03-25,8.53
2020-03-26,8.53
2020-03-27,9.0
2020-03-30,8.98
2020-03-31,8.98
2020-04-01,8.36
2020-04-03,8.92
2020-04-06,9.37
2020-04-07,9.37
2020-04-08,9.37
2020-04-09,9.29
2020-04-10,9.29
2020-04-13,9.29
2020-04-14,9.24
2020-04-15,8.65
2020-04-16,9.25
2020-04-17,9.48
2020-04-20,9.9
2020-04-21,9.89
2020-04-22,9.99
2020-04-23,9.98
2020-04-24,9.29
2020-04-27,9.19
2020-04-28,9.05
2020-04-29,8.42
2020-05-04,8.43
2020-05-05,8.8
2020-05-06,9.17
2020-05-07,9.17
2020-05-08,9.6
2020-05-11,9.16
2020-05-12,9.77
2020-05-13,10.45
2020-05-14,11.15
2020-05-15,11.9
2020-05-18,12.7
2020-05-19,13.55
2020-05-20,14.45
2020-05-21,14.6
2020-05-22,13.6
2020-05-25,12.65
2020-05-26,13.5
2020-05-27,13.95
2020-05-28,13.7
2020-05-29,13.55
2020-06-01,13.05
2020-06-02,13.0
2020-06-03,13.0
2020-06-04,13.0
2020-06-05,13.0
2020-06-08,13.0
2020-06-09,12.8
2020-06-10,13.0
2020-06-11,12.1
2020-06-12,12.75
2020-06-15,11.9
2020-06-16,11.35
2020-06-17,11.7
2020-06-18,11.9
2020-06-19,12.0
2020-06-22,11.7
2020-06-23,12.45
2020-06-24,11.6
2020-06-25,12.0
2020-06-26,12.0
2020-06-29,11.95
2020-06-30,11.95
2020-07-01,12.0
2020-07-02,12.0
2020-07-03,11.5
2020-07-06,11.5
2020-07-07,10.75
2020-07-08,11.3
2020-07-09,11.5
2020-07-10,12.0
2020-07-13,12.45
2020-07-14,12.4
2020-07-15,12.3
2020-07-16,12.3
2020-07-17,12.2
2020-07-20,12.2
2020-07-21,12.5
2020-07-22,12.3
2020-07-23,12.3
2020-07-24,12.0
2020-07-27,11.2
2020-07-28,11.6
2020-07-29,11.9
2020-07-30,11.8
2020-07-31,12.0
2020-08-03,12.5
2020-08-04,12.5
2020-08-05,12.5
2020-08-06,12.55
2020-08-07,12.85
2020-08-10,13.0
2020-08-11,12.7
2020-08-12,12.9
2020-08-13,12.8
2020-08-14,12.75
2020-08-17,12.65
2020-08-18,12.1
2020-08-19,12.1
2020-08-20,11.6
2020-08-21,11.8
2020-08-24,11.95
2020-08-25,12.2
2020-08-26,12.15
2020-08-27,12.1
2020-08-28,11.7
2020-08-31,11.9
2020-09-01,11.5
2020-09-03,12.3
2020-09-04,12.8
2020-09-07,13.3
2020-09-08,13.4
2020-09-09,13.3
2020-09-10,14.0
2020-09-11,14.9
2020-09-14,14.85
2020-09-15,15.0
2020-09-16,15.25
2020-09-17,15.15
2020-09-18,14.95
2020-09-21,14.75
2020-09-22,14.7
2020-09-23,14.4
2020-09-24,14.45
2020-09-25,14.45
2020-09-28,14.3
2020-09-29,14.6
2020-09-30,14.55
2020-10-01,14.6
2020-10-02,14.6
2020-10-05,14.6
2020-10-06,14.5
2020-10-07,14.6
2020-10-08,14.6
2020-10-09,14.6
2020-10-12,14.6
2020-10-13,15.6
2020-10-14,16.5
2020-10-15,16.4
2020-10-16,15.3
2020-10-19,14.25
2020-10-20,14.05
2020-10-21,14.0
2020-10-22,14.0
2020-10-23,14.0
2020-10-26,14.5
2020-10-27,14.1
2020-10-28,13.85
2020-10-29,13.85
2020-10-30,13.5
2020-11-02,13.5
2020-11-03,13.5
2020-11-04,13.8
2020-11-05,13.65
2020-11-06,13.65
2020-11-09,13.9
2020-11-10,13.6
2020-11-11,13.6
2020-11-12,13.6
2020-11-13,14.4
2020-11-16,14.8
2020-11-17,15.0
2020-11-18,15.0
2020-11-19,15.0
2020-11-20,14.7
2020-11-23,14.5
2020-11-24,14.5
2020-11-25,14.7
2020-11-26,14.45
2020-11-30,14.2
2020-12-01,14.05
2020-12-02,13.9
2020-12-03,13.85
2020-12-04,13.85
2020-12-07,13.6
2020-12-08,13.85
2020-12-09,13.7
2020-12-10,13.55
2020-12-11,14.1
2020-12-14,14.5
2020-12-15,14.2
2020-12-16,14.2
2020-12-17,14.15
2020-12-18,14.5
2020-12-21,14.0
2020-12-22,13.9
2020-12-23,13.4
2020-12-24,13.75
2020-12-25,13.35
2020-12-28,13.35
2020-12-29,13.4
2020-12-30,13.4
2020-12-31,13.4
2021-01-04,13.95
2021-01-05,13.95
2021-01-06,13.9
2021-01-07,13.9
2021-01-08,13.9
2021-01-11,13.9
2021-01-12,13.9
2021-01-13,14.0
2021-01-14,13.9
2021-01-15,13.65
2021-01-18,13.65
2021-01-19,13.6
2021-01-20,13.9
2021-01-21,13.9
2021-01-22,13.15
2021-01-25,13.15
2021-01-26,13.15
2021-01-27,12.25
2021-01-28,11.5
2021-01-29,11.6
2021-02-01,11.9
2021-02-02,11.4
2021-02-03,11.4
2021-02-04,11.8
2021-02-05,11.9
2021-02-08,11.9
2021-02-09,12.0
2021-02-17,12.55
2021-02-18,12.35
2021-02-19,11.9
2021-02-22,12.55
2021-02-23,11.8
2021-02-24,11.8
2021-02-25,11.4
2021-02-26,12.05
2021-03-01,11.4
2021-03-02,11.95
2021-03-03,12.3
2021-03-04,12.3
2021-03-05,12.25
2021-03-08,12.2
2021-03-09,11.8
2021-03-10,12.3
2021-03-11,12.3
2021-03-12,12.0
2021-03-15,12.4
2021-03-16,12.5
2021-03-17,12.5
2021-03-18,12.4
2021-03-19,12.4
2021-03-22,12.25
2021-03-23,12.5
2021-03-24,12.45
2021-03-25,12.4
2021-03-26,12.0
2021-03-29,12.0
2021-03-30,12.5
2021-03-31,12.5
2021-04-01,12.4
2021-04-02,12.4
2021-04-05,13.0
2021-04-06,12.6
2021-04-07,12.6
2021-04-08,12.4
2021-04-09,12.5
2021-04-12,12.5
2021-04-13,12.5
2021-04-14,12.95
2021-04-15,12.95
2021-04-16,12.1
2021-04-19,12.1
2021-04-20,12.5
2021-04-22,12.5
2021-04-23,12.2
2021-04-26,12.5
2021-04-27,12.5
2021-04-28,12.5
2021-04-29,12.5
2021-05-04,12.4
2021-05-05,12.4
2021-05-06,11.75
2021-05-07,11.75
2021-05-10,11.2
2021-05-11,11.95
2021-05-12,11.4
2021-05-13,11.25
2021-05-14,11.95
2021-05-17,11.95
2021-05-18,11.95
2021-05-19,12.05
2021-05-20,12.0
2021-05-21,12.0
2021-05-24,11.4
2021-05-25,12.05
2021-05-26,12.05
2021-05-27,12.05
2021-05-28,12.05
2021-05-31,12.05
2021-06-01,12.1
2021-06-02,12.2
2021-06-03,12.2
2021-06-04,11.7
2021-06-07,12.45
2021-06-08,12.45
2021-06-09,12.45
2021-06-10,12.45
2021-06-11,12.45
2021-06-14,12.45
2021-06-15,12.5
2021-06-16,12.5
2021-06-17,12.5
2021-06-18,12.9
2021-06-21,12.5
2021-06-22,13.0
2021-06-23,13.0
2021-06-24,13.0
2021-06-25,13.3
2021-06-28,13.25
2021-06-29,13.2
2021-06-30,13.5
2021-07-01,13.5
2021-07-02,12.6
2021-07-05,13.4
2021-07-06,12.9
2021-07-07,12.6
2021-07-08,12.7
2021-07-09,11.9
2021-07-12,11.1
2021-07-13,11.25
2021-07-14,11.3
2021-07-15,11.45
2021-07-16,12.15
2021-07-19,11.6
2021-07-20,11.6
2021-07-21,10.8
2021-07-22,11.1
2021-07-23,11.15
2021-07-26,11.15
2021-07-27,11.15
2021-07-28,11.15
2021-07-29,11.15
2021-07-30,11.15
2021-08-02,10.7
2021-08-03,10.5
2021-08-04,10.5
2021-08-05,10.9
2021-08-06,11.0
2021-08-09,11.0
2021-08-10,11.05
2021-08-11,11.4
2021-08-12,12.1
2021-08-13,12.1
2021-08-16,11.7
2021-08-17,11.55
2021-08-18,11.45
2021-08-19,11.4
2021-08-20,11.3
2021-08-23,11.3
2021-08-24,11.3
2021-08-25,11.3
2021-08-26,11.3
2021-08-27,11.9
2021-08-30,11.85
2021-08-31,11.8
2021-09-01,11.8
2021-09-06,11.8
2021-09-07,11.8
2021-09-08,11.8
2021-09-09,11.2
2021-09-10,11.3
2021-09-13,12.05
2021-09-14,12.85
2021-09-15,13.7
2021-09-16,14.65
2021-09-17,13.65
2021-09-20,13.0
2021-09-21,12.6
2021-09-22,12.7
2021-09-23,13.55
2021-09-24,14.45
2021-09-27,15.4
2021-09-28,14.35
2021-09-29,13.4
2021-09-30,13.4
2021-10-01,12.7
2021-10-04,13.0
2021-10-05,13.0
2021-10-06,13.4
2021-10-07,13.45
2021-10-08,13.85
2021-10-11,14.0
2021-10-12,14.0
2021-10-13,14.1
2021-10-14,14.0
2021-10-15,14.5
2021-10-18,14.5
2021-10-19,14.1
2021-10-20,14.1
2021-10-21,14.5
2021-10-22,14.5
2021-10-25,14.5
2021-10-26,14.5
2021-10-27,14.5
2021-10-28,15.1
2021-10-29,14.7
2021-11-01,14.3
2021-11-02,14.65
2021-11-03,15.4
2021-11-04,15.2
2021-11-05,15.5
2021-11-08,15.6
2021-11-09,15.75
2021-11-10,15.35
2021-11-11,16.2
2021-11-12,15.5
2021-11-15,16.0
2021-11-16,16.6
2021-11-17,16.6
2021-11-18,16.8
2021-11-19,16.4
2021-11-22,16.6
2021-11-23,16.9
2021-11-24,16.9
2021-11-25,16.9
2021-11-26,16.2
2021-11-29,16.0
2021-11-30,16.0
2021-12-01,16.0
2021-12-02,15.8
2021-12-03,15.3
2021-12-06,15.6
2021-12-07,16.0
2021-12-08,15.4
2021-12-09,15.4
2021-12-10,15.4
2021-12-13,16.0
2021-12-14,16.2
2021-12-15,16.2
2021-12-16,16.1
2021-12-17,16.15
2021-12-20,16.1
2021-12-21,16.1
2021-12-22,15.0
2021-12-23,16.0
2021-12-24,15.95
2021-12-27,15.0
2021-12-28,16.05
2021-12-29,16.3
2021-12-30,16.4
2021-12-31,16.45
2022-01-04,16.45
2022-01-05,16.45
2022-01-06,16.1
2022-01-07,16.3
2022-01-10,16.8
2022-01-11,16.8
2022-01-12,16.8
2022-01-13,15.8
2022-01-14,15.8
2022-01-17,16.9
2022-01-18,18.05
2022-01-19,19.2
2022-01-20,20.0
2022-01-21,18.6
2022-01-24,17.3
2022-01-25,16.1
2022-01-26,16.5
2022-01-27,16.5
2022-01-28,16.5
2022-02-07,16.05
2022-02-08,16.1
2022-02-09,16.1
2022-02-10,17.0
2022-02-11,16.8
2022-02-14,17.8
2022-02-15,18.8
2022-02-16,20.1
2022-02-17,20.7
2022-02-18,20.7
2022-02-21,20.6
2022-02-22,20.4
2022-02-23,20.4
2022-02-24,20.4
2022-02-25,20.6
2022-02-28,22.0
2022-03-01,23.5
2022-03-02,25.1
2022-03-03,26.85
2022-03-04,25.3
2022-03-07,26.45
2022-03-08,24.6
2022-03-09,25.9
2022-03-10,27.55
2022-03-11,27.4
2022-03-14,27.05
2022-03-15,28.9
2022-03-16,30.9
2022-03-17,33.05
2022-03-18,35.35
2022-03-21,36.5
2022-03-22,35.5
2022-03-23,35.0
2022-03-24,35.9
2022-03-25,36.2
2022-03-28,38.65
2022-03-29,37.1
2022-03-30,37.0
2022-03-31,37.4
2022-04-01,37.0
2022-04-04,37.0
2022-04-05,36.2
2022-04-06,35.9
2022-04-07,35.5
2022-04-08,35.3
2022-04-12,32.85
2022-04-13,32.5
2022-04-14,32.3
2022-04-15,32.3
2022-04-18,32.15
2022-04-19,31.4
2022-04-20,30.95
2022-04-21,29.9
2022-04-22,30.2
2022-04-25,29.05
2022-04-26,28.0
2022-04-27,28.4
2022-04-28,28.8
2022-04-29,29.3
2022-05-04,29.25
2022-05-05,28.9
2022-05-06,26.9
2022-05-09,25.05
2022-05-10,25.05
2022-05-11,24.5
2022-05-12,24.95
2022-05-13,24.0
2022-05-16,23.7
2022-05-17,25.35
2022-05-18,25.8
2022-05-19,25.8
2022-05-20,25.5
2022-05-23,25.5
2022-05-24,25.5
2022-05-25,25.8
