,price
2020-01-02,9.83
2020-01-03,10.5
2020-01-06,10.4
2020-01-07,10.2
2020-01-08,9.52
2020-01-09,8.86
2020-01-10,9.21
2020-01-13,9.25
2020-01-14,8.7
2020-01-15,9.3
2020-01-16,9.3
2020-01-17,8.85
2020-01-20,8.83
2020-01-21,8.85
2020-01-22,9.02
2020-01-30,8.9
2020-01-31,8.65
2020-02-03,8.05
2020-02-04,7.49
2020-02-05,8.0
2020-02-06,8.0
2020-02-07,7.99
2020-02-10,7.6
2020-02-11,8.0
2020-02-12,8.5
2020-02-13,9.09
2020-02-14,9.41
2020-02-17,9.5
2020-02-18,9.6
2020-02-19,9.35
2020-02-20,9.45
2020-02-21,9.3
2020-02-24,8.65
2020-02-25,8.05
2020-02-26,7.49
2020-02-27,7.49
2020-02-28,6.97
2020-03-02,6.95
2020-03-03,7.2
2020-03-04,7.2
2020-03-05,6.75
2020-03-06,6.73
2020-03-09,6.26
2020-03-10,6.3
2020-03-11,5.9
2020-03-12,5.84
2020-03-13,6.13
2020-03-16,6.55
2020-03-17,7.0
2020-03-18,7.41
2020-03-19,6.9
2020-03-20,6.43
2020-03-23,5.98
2020-03-24,5.95
2020-03-25,5.55
2020-03-26,5.55
2020-03-27,5.35
2020-03-30,4.98
2020-03-31,4.88
2020-04-01,5.22
2020-04-03,5.5
2020-04-06,5.6
2020-04-07,5.37
2020-04-08,5.5
2020-04-09,5.6
2020-04-10,5.99
2020-04-13,6.27
2020-04-14,6.1
2020-04-15,6.05
2020-04-16,6.15
2020-04-17,6.37
2020-04-20,6.12
2020-04-21,5.9
2020-04-22,6.3
2020-04-23,6.45
2020-04-24,6.89
2020-04-27,7.0
2020-04-28,7.0
2020-04-29,6.51
2020-05-04,6.06
2020-05-05,5.72
2020-05-06,5.8
2020-05-07,5.9
2020-05-08,5.88
2020-05-11,5.98
2020-05-12,5.9
2020-05-13,5.86
2020-05-14,6.2
2020-05-15,6.2
2020-05-18,6.2
2020-05-19,6.18
2020-05-20,6.06
2020-05-21,6.03
2020-05-22,5.85
2020-05-25,5.98
2020-05-26,5.9
2020-05-27,5.9
2020-05-28,6.09
2020-05-29,6.27
2020-06-01,6.3
2020-06-02,6.1
2020-06-03,6.2
2020-06-04,6.39
2020-06-05,6.36
2020-06-08,6.7
2020-06-09,6.4
2020-06-10,6.84
2020-06-11,6.7
2020-06-12,7.16
2020-06-15,7.66
2020-06-16,8.19
2020-06-17,7.82
2020-06-18,7.82
2020-06-19,8.36
2020-06-22,8.2
2020-06-23,8.77
2020-06-24,8.77
2020-06-25,9.03
2020-06-26,8.82
2020-06-29,8.94
2020-06-30,8.95
2020-07-01,9.39
2020-07-02,9.44
2020-07-03,9.6
2020-07-06,9.4
2020-07-07,9.4
2020-07-08,9.35
2020-07-09,9.99
2020-07-10,9.99
2020-07-13,9.8
2020-07-14,9.72
2020-07-15,10.4
2020-07-16,11.1
2020-07-17,11.35
2020-07-20,11.1
2020-07-21,11.1
2020-07-22,10.95
2020-07-23,10.2
2020-07-24,9.49
2020-07-27,8.83
2020-07-28,9.0
2020-07-29,8.37
2020-07-30,8.45
2020-07-31,8.38
2020-08-03,8.68
2020-08-04,9.0
2020-08-05,9.36
2020-08-06,9.3
2020-08-07,9.19
2020-08-10,9.08
2020-08-11,9.0
2020-08-12,9.0
2020-08-13,9.63
2020-08-14,9.47
2020-08-17,9.44
2020-08-18,9.3
2020-08-19,9.37
2020-08-20,9.3
2020-08-21,9.35
2020-08-24,9.38
2020-08-25,9.68
2020-08-26,9.5
2020-08-27,9.35
2020-08-28,9.35
2020-08-31,9.35
2020-09-01,9.43
2020-09-03,9.39
2020-09-04,9.26
2020-09-07,8.7
2020-09-08,9.1
2020-09-09,9.1
2020-09-10,9.14
2020-09-11,9.14
2020-09-14,9.17
2020-09-15,9.19
2020-09-16,9.1
2020-09-17,9.08
2020-09-18,9.14
2020-09-21,9.0
2020-09-22,8.95
2020-09-23,8.89
2020-09-24,9.2
2020-09-25,9.08
2020-09-28,9.0
2020-09-29,8.9
2020-09-30,8.82
2020-10-01,8.8
2020-10-02,8.76
2020-10-05,8.94
2020-10-06,9.09
2020-10-07,9.35
2020-10-08,9.31
2020-10-09,9.13
2020-10-12,8.9
2020-10-13,8.8
2020-10-14,8.97
2020-10-15,8.82
2020-10-16,8.82
2020-10-19,8.73
2020-10-20,8.61
2020-10-21,8.5
2020-10-22,8.36
2020-10-23,8.61
2020-10-26,8.44
2020-10-27,8.25
2020-10-28,8.05
2020-10-29,8.05
2020-10-30,8.05
2020-11-02,8.46
2020-11-03,8.4
