,price
2020-01-02,26.6
2020-01-03,26.1
2020-01-06,26.3
2020-01-07,26.0
2020-01-08,25.6
2020-01-09,25.8
2020-01-10,25.95
2020-01-13,25.9
2020-01-14,25.7
2020-01-15,25.65
2020-01-16,25.65
2020-01-17,25.65
2020-01-20,25.6
2020-01-21,26.0
2020-01-22,26.1
2020-01-30,25.9
2020-01-31,25.5
2020-02-03,24.8
2020-02-04,24.8
2020-02-05,25.0
2020-02-06,24.95
2020-02-07,24.9
2020-02-10,24.75
2020-02-11,24.7
2020-02-12,24.75
2020-02-13,25.3
2020-02-14,25.2
2020-02-17,25.0
2020-02-18,24.7
2020-02-19,24.8
2020-02-20,25.1
2020-02-21,24.8
2020-02-24,24.1
2020-02-25,24.2
2020-02-26,23.8
2020-02-27,23.7
2020-02-28,23.1
2020-03-02,23.0
2020-03-03,23.05
2020-03-04,23.1
2020-03-05,23.2
2020-03-06,23.3
2020-03-09,21.7
2020-03-10,22.0
2020-03-11,21.3
2020-03-12,19.85
2020-03-13,19.0
2020-03-16,19.8
2020-03-17,19.9
2020-03-18,20.35
2020-03-19,19.4
2020-03-20,19.4
2020-03-23,18.05
2020-03-24,17.5
2020-03-25,18.4
2020-03-26,17.9
2020-03-27,17.35
2020-03-30,16.2
2020-03-31,15.95
2020-04-01,16.4
2020-04-03,17.5
2020-04-06,18.7
2020-04-07,20.0
2020-04-08,20.6
2020-04-09,20.5
2020-04-10,19.95
2020-04-13,19.95
2020-04-14,20.3
2020-04-15,21.3
2020-04-16,21.2
2020-04-17,21.9
2020-04-20,22.7
2020-04-21,21.15
2020-04-22,21.7
2020-04-23,22.0
2020-04-24,22.0
2020-04-27,22.4
2020-04-28,22.7
2020-04-29,22.85
2020-05-04,23.5
2020-05-05,23.5
2020-05-06,23.95
2020-05-07,24.25
2020-05-08,24.6
2020-05-11,25.1
2020-05-12,26.2
2020-05-13,26.75
2020-05-14,26.25
2020-05-15,25.9
2020-05-18,25.55
2020-05-19,26.4
2020-05-20,26.7
2020-05-21,26.5
2020-05-22,26.4
2020-05-25,26.8
2020-05-26,27.1
2020-05-27,27.25
2020-05-28,27.0
2020-05-29,26.7
2020-06-01,26.5
2020-06-02,26.7
2020-06-03,26.7
2020-06-04,26.8
2020-06-05,28.65
2020-06-08,29.95
2020-06-09,29.5
2020-06-10,28.95
2020-06-11,26.95
2020-06-12,26.75
2020-06-15,26.2
2020-06-16,27.5
2020-06-17,28.8
2020-06-18,28.8
2020-06-19,30.3
2020-06-22,30.8
2020-06-23,30.55
2020-06-24,30.0
2020-06-25,29.5
2020-06-26,28.85
2020-06-29,27.3
2020-06-30,25.8
2020-07-01,26.2
2020-07-02,26.35
2020-07-03,26.3
2020-07-06,26.7
2020-07-07,27.2
2020-07-08,27.05
2020-07-09,27.45
2020-07-10,27.45
2020-07-13,27.4
2020-07-14,27.2
2020-07-15,27.6
2020-07-16,27.5
2020-07-17,28.35
2020-07-20,27.3
2020-07-21,27.5
2020-07-22,27.4
2020-07-23,27.1
2020-07-24,25.9
2020-07-27,24.1
2020-07-28,25.45
2020-07-29,24.0
2020-07-30,24.8
2020-07-31,24.5
2020-08-03,25.2
2020-08-04,26.2
2020-08-05,26.4
2020-08-06,26.6
2020-08-07,27.0
2020-08-10,27.35
2020-08-11,27.3
2020-08-12,27.0
2020-08-13,27.35
2020-08-14,27.0
2020-08-17,27.7
2020-08-18,28.6
2020-08-19,28.55
2020-08-20,28.0
2020-08-21,28.2
2020-08-24,28.9
2020-08-25,28.35
2020-08-26,28.3
2020-08-27,29.6
2020-08-28,29.2
2020-08-31,29.0
2020-09-01,30.95
2020-09-03,31.65
2020-09-04,32.4
2020-09-07,31.8
2020-09-08,32.6
2020-09-09,32.9
2020-09-10,32.0
2020-09-11,33.1
2020-09-14,34.15
2020-09-15,34.0
2020-09-16,33.45
2020-09-17,32.85
2020-09-18,32.9
2020-09-21,32.8
2020-09-22,35.0
2020-09-23,34.7
2020-09-24,34.3
2020-09-25,34.2
2020-09-28,35.2
2020-09-29,34.2
2020-09-30,34.15
2020-10-01,34.15
2020-10-02,33.6
2020-10-05,34.0
2020-10-06,34.2
2020-10-07,34.2
2020-10-08,33.6
2020-10-09,33.55
2020-10-12,32.75
2020-10-13,33.3
2020-10-14,32.35
2020-10-15,31.5
2020-10-16,31.0
2020-10-19,30.5
2020-10-20,31.5
2020-10-21,31.3
2020-10-22,31.0
2020-10-23,31.3
2020-10-26,31.9
2020-10-27,31.25
2020-10-28,30.05
2020-10-29,29.95
2020-10-30,30.2
2020-11-02,30.3
2020-11-03,30.45
2020-11-04,31.4
2020-11-05,31.6
2020-11-06,31.95
2020-11-09,33.4
2020-11-10,32.7
2020-11-11,33.3
2020-11-12,33.2
2020-11-13,33.45
2020-11-16,32.8
2020-11-17,33.2
2020-11-18,33.2
2020-11-19,33.2
2020-11-20,34.5
2020-11-23,34.15
2020-11-25,33.95
2020-11-26,36.3
2020-11-27,36.2
2020-11-30,36.15
2020-12-01,37.9
2020-12-02,37.3
2020-12-03,37.55
2020-12-04,36.15
2020-12-07,35.6
2020-12-08,36.6
2020-12-09,36.25
2020-12-10,35.0
2020-12-11,35.7
2020-12-14,35.7
2020-12-15,36.55
2020-12-16,36.55
2020-12-17,35.9
2020-12-18,35.35
2020-12-21,35.4
2020-12-22,35.2
2020-12-23,35.75
2020-12-24,34.85
2020-12-25,35.4
2020-12-28,35.3
2020-12-29,35.15
2020-12-30,35.25
2020-12-31,35.9
2021-01-04,36.6
2021-01-05,36.6
2021-01-06,37.4
2021-01-07,38.45
2021-01-08,38.0
2021-01-11,37.1
2021-01-12,37.2
2021-01-13,37.2
2021-01-14,38.2
2021-01-15,37.5
2021-01-18,34.9
2021-01-19,32.55
2021-01-20,32.75
2021-01-21,33.3
2021-01-22,33.0
