,price
2020-01-02,21.8
2020-01-03,22.7
2020-01-06,22.0
2020-01-07,21.9
2020-01-08,21.3
2020-01-09,20.6
2020-01-10,19.7
2020-01-13,19.85
2020-01-14,19.3
2020-01-15,18.0
2020-01-16,18.05
2020-01-17,18.4
2020-01-20,18.4
2020-01-21,18.3
2020-01-22,18.3
2020-01-30,17.15
2020-01-31,17.15
2020-02-03,16.8
2020-02-04,16.5
2020-02-05,17.5
2020-02-06,18.65
2020-02-07,18.9
2020-02-10,18.4
2020-02-11,18.2
2020-02-12,18.1
2020-02-13,19.2
2020-02-14,19.35
2020-02-17,19.15
2020-02-18,18.95
2020-02-19,18.9
2020-02-20,20.0
2020-02-21,21.4
2020-02-24,22.3
2020-02-25,21.7
2020-02-26,22.2
2020-02-27,22.6
2020-02-28,21.05
2020-03-02,19.6
2020-03-03,19.8
2020-03-04,19.5
2020-03-05,19.8
2020-03-06,21.1
2020-03-09,19.65
2020-03-10,19.0
2020-03-11,17.7
2020-03-12,16.5
2020-03-13,15.6
2020-03-16,15.0
2020-03-17,14.8
2020-03-18,15.4
2020-03-19,14.55
2020-03-20,14.2
2020-03-23,13.25
2020-03-24,12.7
2020-03-25,12.8
2020-03-26,11.95
2020-03-27,11.15
2020-03-30,10.5
2020-03-31,11.15
2020-04-01,11.9
2020-04-03,12.7
2020-04-06,13.55
2020-04-07,14.45
2020-04-08,15.0
2020-04-09,15.85
2020-04-10,15.0
2020-04-13,15.0
2020-04-14,14.45
2020-04-15,15.45
2020-04-16,16.5
2020-04-17,17.65
2020-04-20,18.85
2020-04-21,18.9
2020-04-22,20.2
2020-04-23,21.6
2020-04-24,23.1
2020-04-27,22.7
2020-04-28,21.15
2020-04-29,21.25
2020-05-04,19.8
2020-05-05,19.8
2020-05-06,20.0
2020-05-07,20.85
2020-05-08,20.5
2020-05-11,20.35
2020-05-12,20.35
2020-05-13,21.75
2020-05-14,22.5
2020-05-15,21.6
2020-05-18,21.75
2020-05-19,21.9
2020-05-20,23.4
2020-05-21,25.0
2020-05-22,25.0
2020-05-25,26.75
2020-05-26,27.3
2020-05-27,25.4
2020-05-28,24.9
2020-05-29,26.2
2020-06-01,26.5
2020-06-02,25.55
2020-06-03,26.2
2020-06-04,25.7
2020-06-05,27.45
2020-06-08,28.0
2020-06-09,27.4
2020-06-10,27.75
2020-06-11,25.85
2020-06-12,25.7
2020-06-15,23.95
2020-06-16,24.4
2020-06-17,24.15
2020-06-18,23.8
2020-06-19,25.0
2020-06-22,25.5
2020-06-23,25.15
2020-06-24,24.1
2020-06-25,24.0
2020-06-26,23.7
2020-06-29,22.3
2020-06-30,22.0
2020-07-01,23.5
2020-07-02,23.65
2020-07-03,23.45
2020-07-06,24.25
2020-07-07,24.0
2020-07-08,24.2
2020-07-09,24.5
2020-07-10,24.2
2020-07-13,24.3
2020-07-14,24.3
2020-07-15,25.4
2020-07-16,25.8
2020-07-17,25.7
2020-07-20,24.45
2020-07-21,24.8
2020-07-22,24.9
2020-07-23,24.7
2020-07-24,23.0
2020-07-27,21.4
2020-07-28,22.45
2020-07-29,20.9
2020-07-30,21.25
2020-07-31,20.4
2020-08-03,21.0
2020-08-04,21.5
2020-08-05,21.85
2020-08-06,21.5
2020-08-07,21.6
2020-08-10,22.8
2020-08-11,22.7
2020-08-12,22.5
2020-08-13,22.75
2020-08-14,22.9
2020-08-17,22.65
2020-08-18,22.95
2020-08-19,23.1
2020-08-20,23.0
2020-08-21,23.15
2020-08-24,24.65
2020-08-25,24.5
2020-08-26,24.4
2020-08-27,23.65
2020-08-28,24.1
2020-08-31,23.8
2020-09-01,23.95
2020-09-03,23.8
2020-09-04,23.4
2020-09-07,23.0
2020-09-08,23.35
2020-09-09,23.5
2020-09-10,24.45
2020-09-11,24.1
2020-09-14,25.1
2020-09-15,24.8
2020-09-16,25.1
2020-09-17,24.9
2020-09-18,24.9
2020-09-21,25.3
2020-09-22,25.3
2020-09-23,25.3
2020-09-24,24.65
2020-09-25,24.4
2020-09-28,24.35
2020-09-29,23.8
2020-09-30,24.0
2020-10-01,24.2
2020-10-02,24.1
2020-10-05,24.05
2020-10-06,24.45
2020-10-07,25.05
2020-10-08,24.6
2020-10-09,24.45
2020-10-12,23.6
2020-10-13,23.9
2020-10-14,23.7
2020-10-15,23.3
2020-10-16,23.6
2020-10-19,23.4
2020-10-20,23.1
2020-10-21,23.05
2020-10-22,23.1
2020-10-23,23.4
2020-10-26,22.9
2020-10-27,22.1
2020-10-28,21.1
2020-10-29,21.2
2020-10-30,20.85
2020-11-02,21.0
2020-11-03,22.0
2020-11-04,22.3
2020-11-05,22.4
2020-11-06,22.25
2020-11-09,22.6
2020-11-10,22.4
2020-11-11,22.5
2020-11-12,23.15
2020-11-13,22.95
2020-11-16,22.1
2020-11-17,22.45
2020-11-18,22.2
2020-11-19,22.6
2020-11-20,22.7
2020-11-23,22.4
2020-11-25,22.2
2020-11-26,22.2
2020-11-27,22.2
2020-11-30,23.75
2020-12-01,24.3
2020-12-02,24.05
2020-12-03,25.7
2020-12-04,25.65
2020-12-07,26.0
2020-12-08,25.65
2020-12-09,25.8
2020-12-10,25.0
2020-12-11,25.45
2020-12-14,27.2
2020-12-15,26.8
2020-12-16,28.15
2020-12-17,28.5
2020-12-18,29.0
2020-12-21,29.1
2020-12-22,28.9
2020-12-23,29.2
2020-12-24,29.3
2020-12-25,31.35
2020-12-28,32.9
2020-12-29,32.6
2020-12-30,32.0
2020-12-31,32.0
2021-01-04,32.3
2021-01-05,32.7
2021-01-06,32.5
2021-01-07,34.3
2021-01-08,33.95
2021-01-11,34.15
2021-01-12,34.2
2021-01-13,34.3
2021-01-14,34.25
2021-01-15,33.9
2021-01-18,34.35
2021-01-19,31.95
2021-01-20,31.3
2021-01-21,32.9
2021-01-22,32.7
2021-01-25,32.7
2021-01-26,30.5
2021-01-27,28.4
2021-01-28,26.45
2021-01-29,26.2
2021-02-01,24.4
2021-02-02,24.2
2021-02-03,25.85
2021-02-04,26.8
2021-02-05,27.0
2021-02-08,25.9
2021-02-09,26.3
2021-02-17,27.95
2021-02-18,28.2
2021-02-19,29.15
2021-02-22,29.35
2021-02-23,29.05
2021-02-24,28.4
2021-02-25,28.05
2021-02-26,28.0
2021-03-01,28.45
2021-03-02,29.0
2021-03-03,28.7
2021-03-04,27.8
2021-03-05,27.7
2021-03-08,27.8
2021-03-09,27.6
2021-03-10,28.2
2021-03-11,28.9
2021-03-12,28.9
2021-03-15,28.55
2021-03-16,28.3
2021-03-17,30.25
2021-03-18,30.4
2021-03-19,30.4
2021-03-22,30.25
2021-03-23,30.85
2021-03-24,31.5
2021-03-25,31.15
2021-03-26,30.0
2021-03-29,30.5
2021-03-30,30.25
2021-03-31,30.45
