,price
2020-01-02,17.35
2020-01-03,18.55
2020-01-06,19.8
2020-01-07,21.15
2020-01-08,19.85
2020-01-09,21.2
2020-01-10,22.65
2020-01-13,24.2
2020-01-14,25.85
2020-01-15,27.65
2020-01-16,29.55
2020-01-17,31.6
2020-01-20,33.8
2020-01-21,36.15
2020-01-22,38.65
2020-01-30,41.35
2020-01-31,44.2
2020-02-03,47.25
2020-02-04,50.5
2020-02-05,54.0
2020-02-06,57.7
2020-02-07,61.7
2020-02-10,61.1
2020-02-11,60.1
2020-02-12,62.0
2020-02-13,65.9
2020-02-14,70.0
2020-02-17,74.7
2020-02-18,79.9
2020-02-19,83.0
2020-02-20,82.0
2020-02-21,84.9
2020-02-24,82.0
2020-02-25,87.0
2020-02-26,92.5
2020-02-27,97.0
2020-02-28,103.1
2020-03-02,102.6
2020-03-03,109.3
2020-03-04,116.5
2020-03-05,123.0
2020-03-06,122.6
2020-03-09,130.1
2020-03-10,138.0
2020-03-11,138.0
2020-03-12,137.5
2020-03-13,137.4
2020-03-16,139.6
2020-03-17,139.4
2020-03-18,143.3
2020-03-19,141.8
2020-03-20,141.6
2020-03-23,132.2
2020-03-24,123.6
2020-03-25,131.0
2020-03-26,133.5
2020-03-27,132.8
2020-03-30,127.5
2020-03-31,129.0
2020-04-01,131.0
2020-04-03,135.0
2020-04-06,137.5
2020-04-07,140.0
2020-04-08,141.5
2020-04-09,144.2
2020-04-10,145.7
2020-04-13,142.1
2020-04-14,141.6
2020-04-15,142.6
2020-04-16,143.6
2020-04-17,145.5
2020-04-20,151.9
2020-04-21,144.0
2020-04-22,144.0
2020-04-23,145.8
2020-04-24,147.7
2020-04-27,149.3
2020-04-28,148.2
2020-04-29,146.4
2020-05-04,149.8
2020-05-05,152.6
2020-05-06,156.1
2020-05-07,151.5
2020-05-08,153.2
2020-05-11,155.0
2020-05-12,151.8
2020-05-13,153.6
2020-05-14,150.0
2020-05-15,152.8
2020-05-18,151.9
2020-05-19,150.7
2020-05-20,150.7
2020-05-21,150.8
2020-05-22,150.0
2020-05-25,150.0
2020-05-26,151.0
2020-05-27,150.5
2020-05-28,151.5
2020-05-29,151.1
2020-06-01,152.5
2020-06-02,153.5
2020-06-03,154.5
2020-06-04,155.4
2020-06-05,156.0
2020-06-08,156.5
2020-06-09,156.9
2020-06-10,157.2
2020-06-11,157.5
2020-06-12,152.6
2020-06-15,153.0
2020-06-16,153.3
2020-06-17,152.8
2020-06-18,152.0
2020-06-19,152.3
2020-06-22,151.5
2020-06-23,152.8
2020-06-24,153.1
2020-06-25,151.5
2020-06-26,152.7
2020-06-29,153.9
2020-06-30,152.0
2020-07-01,152.5
2020-07-02,152.9
2020-07-03,151.6
2020-07-06,152.1
2020-07-07,151.4
2020-07-08,151.2
2020-07-09,151.7
2020-07-10,151.7
2020-07-13,152.2
2020-07-14,151.8
2020-07-15,152.4
2020-07-16,152.7
2020-07-17,152.7
2020-07-20,152.5
2020-07-21,153.0
2020-07-22,151.6
2020-07-23,151.3
2020-07-24,151.2
2020-07-27,150.8
2020-07-28,151.9
2020-07-29,151.6
2020-07-30,152.1
2020-07-31,152.5
2020-08-03,153.1
2020-08-04,153.4
2020-08-05,152.3
2020-08-06,152.3
2020-08-07,152.7
2020-08-10,153.1
2020-08-11,152.2
2020-08-12,152.2
2020-08-13,152.6
2020-08-14,152.3
2020-08-17,152.2
2020-08-18,152.5
2020-08-19,153.0
2020-08-20,152.7
2020-08-21,153.2
2020-08-24,153.6
2020-08-25,153.6
2020-08-26,153.1
2020-08-27,152.8
2020-08-28,153.2
2020-08-31,153.5
2020-09-01,153.7
2020-09-03,153.9
2020-09-04,152.3
2020-09-07,152.7
2020-09-08,152.8
2020-09-09,152.0
2020-09-10,152.4
2020-09-11,152.4
2020-09-14,152.8
2020-09-15,151.6
2020-09-16,151.9
2020-09-17,151.8
2020-09-18,152.6
2020-09-21,153.0
2020-09-22,151.9
2020-09-23,155.9
2020-09-24,155.8
2020-09-25,158.5
2020-09-28,159.6
2020-09-29,160.5
2020-09-30,160.4
2020-10-01,161.8
2020-10-02,161.6
2020-10-05,163.8
2020-10-06,163.7
2020-10-07,163.7
2020-10-08,165.8
2020-10-09,165.8
2020-10-12,165.8
2020-10-13,165.6
2020-10-14,165.6
2020-10-15,169.5
2020-10-16,174.8
2020-10-19,185.8
2020-10-20,185.5
2020-10-21,185.3
2020-10-22,186.7
2020-10-23,186.5
2020-10-26,189.3
2020-10-27,192.3
2020-10-28,192.0
2020-10-29,191.7
2020-10-30,191.7
2020-11-02,192.0
2020-11-03,191.8
2020-11-04,192.4
