,price
2020-01-02,29.3
2020-01-03,29.4
2020-01-06,29.3
2020-01-07,29.4
2020-01-08,29.7
2020-01-09,30.0
2020-01-10,30.0
2020-01-13,30.1
2020-01-14,29.6
2020-01-15,29.0
2020-01-16,29.45
2020-01-17,29.3
2020-01-20,29.9
2020-01-21,30.5
2020-01-22,31.0
2020-01-30,30.9
2020-01-31,29.1
2020-02-03,28.6
2020-02-04,28.0
2020-02-05,28.0
2020-02-06,29.0
2020-02-07,29.25
2020-02-10,28.9
2020-02-11,28.9
2020-02-12,28.9
2020-02-13,28.7
2020-02-14,28.5
2020-02-17,28.4
2020-02-18,28.3
2020-02-19,28.8
2020-02-20,28.8
2020-02-21,29.0
2020-02-24,28.2
2020-02-25,28.5
2020-02-26,28.5
2020-02-27,28.5
2020-02-28,27.8
2020-03-02,28.0
2020-03-03,28.5
2020-03-04,28.05
2020-03-05,27.85
2020-03-06,27.6
2020-03-09,27.0
2020-03-10,25.55
2020-03-12,25.5
2020-03-13,23.75
2020-03-16,24.4
2020-03-17,22.7
2020-03-18,22.8
2020-03-19,22.8
2020-03-20,22.8
2020-03-23,21.25
2020-03-24,21.2
2020-03-25,21.5
2020-03-26,21.9
2020-03-27,21.95
2020-03-30,22.4
2020-03-31,21.75
2020-04-01,22.0
2020-04-03,22.8
2020-04-06,22.9
2020-04-07,23.5
2020-04-08,23.8
2020-04-09,24.85
2020-04-10,24.2
2020-04-13,24.0
2020-04-14,24.5
2020-04-15,24.5
2020-04-16,24.8
2020-04-17,25.0
2020-04-20,25.0
2020-04-21,25.3
2020-04-22,26.45
2020-04-23,26.5
2020-04-24,26.6
2020-04-27,28.0
2020-04-28,27.9
2020-04-29,27.35
2020-05-04,27.0
2020-05-05,26.9
2020-05-06,26.8
2020-05-07,26.8
2020-05-08,27.0
2020-05-11,27.2
2020-05-12,27.2
2020-05-13,27.2
2020-05-14,27.2
2020-05-15,27.0
2020-05-18,27.0
2020-05-19,27.8
2020-05-20,27.75
2020-05-21,27.7
2020-05-22,27.4
2020-05-25,29.05
2020-05-26,29.9
2020-05-27,30.5
2020-05-28,30.0
2020-05-29,30.1
2020-06-01,30.1
2020-06-02,30.1
2020-06-03,28.8
2020-06-04,28.2
2020-06-05,28.35
2020-06-08,28.35
2020-06-09,29.0
2020-06-10,29.1
2020-06-11,28.5
2020-06-12,27.95
2020-06-15,28.15
2020-06-16,28.5
2020-06-17,29.6
2020-06-18,29.65
2020-06-19,29.8
2020-06-22,30.1
2020-06-23,30.2
2020-06-24,30.0
2020-06-25,30.0
2020-06-26,30.0
2020-06-29,29.8
2020-06-30,29.2
2020-07-01,29.55
2020-07-02,29.6
2020-07-03,30.0
2020-07-06,30.0
2020-07-07,30.0
2020-07-08,30.0
2020-07-09,30.25
2020-07-10,30.25
2020-07-13,30.25
2020-07-14,30.5
2020-07-15,30.4
2020-07-16,31.25
2020-07-17,31.95
2020-07-20,31.8
2020-07-21,31.2
2020-07-22,30.9
2020-07-23,30.4
2020-07-24,30.0
2020-07-27,28.35
2020-07-28,29.4
2020-07-29,29.45
2020-07-30,30.0
2020-07-31,29.8
2020-08-03,29.5
2020-08-04,29.9
2020-08-05,30.2
2020-08-06,30.3
2020-08-07,30.85
2020-08-10,30.1
2020-08-11,30.0
2020-08-12,29.95
2020-08-13,30.05
2020-08-14,30.05
2020-08-17,30.25
2020-08-18,30.35
2020-08-19,30.1
2020-08-20,30.25
2020-08-21,30.3
2020-08-24,30.5
2020-08-25,30.5
2020-08-26,31.0
2020-08-27,31.4
2020-08-28,31.75
2020-08-31,32.9
2020-09-01,32.9
2020-09-03,32.9
2020-09-04,32.5
2020-09-07,32.5
2020-09-08,33.5
2020-09-09,33.5
2020-09-10,34.25
2020-09-11,33.95
2020-09-14,34.3
2020-09-15,34.45
2020-09-16,34.4
2020-09-17,34.9
2020-09-18,34.9
2020-09-21,35.1
2020-09-22,35.0
2020-09-23,35.05
2020-09-24,34.9
2020-09-25,34.8
2020-09-28,35.1
2020-09-29,36.55
2020-09-30,36.35
2020-10-01,36.35
2020-10-02,36.25
2020-10-05,36.25
2020-10-06,38.4
2020-10-07,38.75
2020-10-08,38.9
2020-10-09,39.25
2020-10-12,39.5
2020-10-13,40.0
2020-10-14,40.0
2020-10-15,40.0
2020-10-16,39.9
2020-10-19,39.0
2020-10-20,38.75
2020-10-21,37.7
2020-10-22,38.0
2020-10-23,38.0
2020-10-26,38.0
2020-10-27,38.0
2020-10-28,38.0
2020-10-29,37.0
2020-10-30,36.9
2020-11-02,37.9
2020-11-03,37.6
2020-11-04,38.1
2020-11-05,38.0
2020-11-06,38.75
2020-11-09,37.8
2020-11-10,36.7
2020-11-11,36.9
2020-11-12,37.0
2020-11-13,37.5
2020-11-16,37.3
2020-11-17,37.3
2020-11-18,37.1
2020-11-19,37.0
2020-11-20,37.0
2020-11-23,37.1
2020-11-24,37.0
2020-11-25,37.0
2020-11-26,37.05
2020-11-27,38.0
2020-11-30,37.9
2020-12-01,38.0
2020-12-02,38.5
2020-12-03,38.8
2020-12-04,37.5
2020-12-07,38.4
2020-12-08,38.3
2020-12-09,38.4
2020-12-10,38.3
2020-12-11,38.75
2020-12-14,38.3
2020-12-15,38.4
2020-12-16,39.6
2020-12-17,40.4
2020-12-18,40.5
2020-12-21,40.15
2020-12-22,40.9
2020-12-23,40.1
2020-12-24,40.0
2020-12-25,40.2
2020-12-28,40.5
2020-12-29,40.4
2020-12-30,40.1
2020-12-31,41.0
2021-01-04,40.95
2021-01-05,40.0
2021-01-06,39.75
2021-01-07,38.5
2021-01-08,39.0
2021-01-11,38.55
2021-01-12,38.4
2021-01-13,39.0
2021-01-14,39.0
2021-01-15,39.3
2021-01-18,39.5
2021-01-19,39.15
2021-01-20,39.1
2021-01-21,39.4
2021-01-22,39.25
2021-01-25,39.7
2021-01-26,39.7
2021-01-27,39.65
2021-01-28,37.9
2021-01-29,37.9
2021-02-01,38.5
2021-02-02,38.5
2021-02-03,38.9
2021-02-04,38.85
2021-02-05,38.9
2021-02-08,38.7
2021-02-09,38.9
2021-02-17,40.0
2021-02-18,40.0
2021-02-19,40.0
2021-02-22,42.8
2021-02-23,45.2
2021-02-24,45.1
2021-02-25,45.0
2021-02-26,44.1
2021-03-01,44.1
2021-03-02,43.0
2021-03-03,43.0
2021-03-04,42.0
2021-03-05,43.0
2021-03-08,44.4
2021-03-09,43.5
2021-03-10,42.95
2021-03-11,42.5
2021-03-12,42.3
2021-03-15,43.95
2021-03-16,43.5
2021-03-17,43.75
2021-03-18,44.0
2021-03-19,46.0
2021-03-22,48.0
2021-03-23,48.0
2021-03-24,47.0
2021-03-25,48.0
2021-03-26,51.3
2021-03-29,54.8
2021-03-30,57.0
2021-03-31,55.3
2021-04-01,56.0
2021-04-02,56.0
2021-04-05,54.5
2021-04-06,53.2
2021-04-07,52.6
2021-04-08,54.0
2021-04-09,52.7
2021-04-12,51.9
2021-04-13,52.3
2021-04-14,54.0
2021-04-15,51.5
2021-04-16,50.2
2021-04-19,50.6
2021-04-20,51.6
2021-04-22,50.0
2021-04-23,50.5
2021-04-26,48.55
2021-04-27,49.2
2021-04-28,52.6
2021-04-29,52.5
2021-05-04,51.5
2021-05-05,51.7
2021-05-06,51.7
2021-05-07,51.0
2021-05-10,51.0
2021-05-11,51.5
2021-05-12,54.5
2021-05-13,53.2
2021-05-14,53.0
2021-05-17,53.9
2021-05-18,52.8
2021-05-19,53.0
2021-05-20,52.4
2021-05-21,53.0
2021-05-24,53.0
2021-05-25,52.8
2021-05-26,51.6
2021-05-27,50.8
2021-05-28,50.9
2021-05-31,50.3
2021-06-01,49.65
2021-06-02,48.9
2021-06-03,49.7
2021-06-04,50.3
2021-06-07,49.5
2021-06-08,49.2
2021-06-09,49.2
2021-06-10,50.4
2021-06-11,51.7
2021-06-14,51.7
2021-06-15,51.7
2021-06-16,55.3
2021-06-17,56.8
2021-06-18,58.6
2021-06-21,58.6
2021-06-22,57.1
2021-06-23,55.7
2021-06-24,55.2
2021-06-25,56.6
2021-06-28,57.8
2021-06-29,57.8
2021-06-30,58.2
2021-07-01,61.1
2021-07-02,60.5
2021-07-05,60.9
2021-07-06,58.1
2021-07-07,57.5
2021-07-08,58.9
2021-07-09,57.7
2021-07-12,53.8
2021-07-13,54.8
2021-07-14,54.6
2021-07-15,55.2
2021-07-16,54.5
2021-07-19,52.7
2021-07-20,53.9
2021-07-21,54.3
2021-07-22,54.4
2021-07-23,53.1
2021-07-26,53.5
2021-07-27,54.5
2021-07-28,55.3
2021-07-29,55.2
2021-07-30,55.3
2021-08-02,55.6
2021-08-03,58.0
2021-08-04,57.0
2021-08-05,56.8
2021-08-06,55.9
2021-08-09,56.5
2021-08-10,59.8
2021-08-11,58.5
2021-08-12,57.5
2021-08-13,56.7
2021-08-16,58.0
2021-08-17,57.5
2021-08-18,58.0
2021-08-19,58.8
2021-08-20,56.0
2021-08-23,54.6
2021-08-24,54.2
2021-08-25,54.6
2021-08-26,55.0
2021-08-27,55.5
2021-08-30,57.4
2021-08-31,58.2
2021-09-01,58.8
2021-09-06,58.1
2021-09-07,58.3
2021-09-08,57.8
2021-09-09,58.3
2021-09-10,60.5
2021-09-13,60.1
2021-09-14,59.3
2021-09-15,59.3
2021-09-16,57.4
2021-09-17,58.2
2021-09-20,57.0
2021-09-21,55.6
2021-09-22,55.5
2021-09-23,56.5
2021-09-24,56.2
2021-09-27,55.0
2021-09-28,55.0
2021-09-29,54.7
2021-09-30,57.0
2021-10-01,58.0
2021-10-04,58.0
2021-10-05,59.5
2021-10-06,59.0
2021-10-07,58.1
2021-10-08,57.7
2021-10-11,56.5
2021-10-12,57.2
2021-10-13,57.5
2021-10-14,58.0
2021-10-15,58.7
2021-10-18,58.6
2021-10-19,58.5
2021-10-20,57.8
2021-10-21,57.3
2021-10-22,57.4
2021-10-25,57.4
2021-10-26,57.1
2021-10-27,58.4
2021-10-28,59.9
2021-10-29,59.5
2021-11-01,59.8
2021-11-02,62.7
2021-11-03,62.0
2021-11-04,61.9
2021-11-05,63.4
2021-11-08,63.2
2021-11-09,63.0
2021-11-10,62.9
2021-11-11,62.5
2021-11-12,63.5
2021-11-15,63.8
2021-11-16,62.9
2021-11-17,62.0
2021-11-18,63.0
2021-11-19,62.9
2021-11-22,62.6
2021-11-23,63.4
2021-11-24,64.5
2021-11-25,64.5
2021-11-26,64.8
2021-11-29,64.7
2021-11-30,64.5
2021-12-01,64.1
2021-12-02,63.8
2021-12-03,63.3
2021-12-06,63.0
2021-12-07,62.8
2021-12-08,60.9
2021-12-09,60.9
2021-12-10,60.7
2021-12-13,59.0
2021-12-14,59.2
2021-12-15,59.0
2021-12-16,58.5
2021-12-17,58.5
2021-12-20,58.8
2021-12-21,59.8
2021-12-22,59.5
2021-12-23,59.0
2021-12-24,60.8
2021-12-27,59.3
2021-12-28,60.5
2021-12-29,62.0
