,price
2020-01-02,19.3
2020-01-03,19.2
2020-01-06,20.5
2020-01-07,19.95
2020-01-08,19.65
2020-01-09,19.65
2020-01-10,19.7
2020-01-13,19.7
2020-01-14,19.55
2020-01-15,19.65
2020-01-16,19.7
2020-01-17,19.9
2020-01-20,19.75
2020-01-21,19.8
2020-01-22,19.8
2020-01-30,19.7
2020-01-31,19.3
2020-02-03,19.2
2020-02-04,19.0
2020-02-05,19.1
2020-02-06,19.05
2020-02-07,19.0
2020-02-10,18.95
2020-02-11,18.95
2020-02-12,19.0
2020-02-13,18.75
2020-02-14,18.8
2020-02-17,18.75
2020-02-18,18.35
2020-02-19,18.75
2020-02-20,18.75
2020-02-21,18.7
2020-02-24,18.55
2020-02-25,18.7
2020-02-26,18.65
2020-02-27,18.3
2020-02-28,18.4
2020-03-02,18.15
2020-03-03,18.05
2020-03-04,17.5
2020-03-05,17.1
2020-03-06,17.5
2020-03-09,16.3
2020-03-10,15.5
2020-03-11,15.2
2020-03-12,14.15
2020-03-13,13.4
2020-03-16,13.4
2020-03-17,14.3
2020-03-18,14.6
2020-03-19,14.2
2020-03-20,14.5
2020-03-23,13.5
2020-03-24,14.05
2020-03-25,14.15
2020-03-26,14.0
2020-03-27,13.6
2020-03-30,13.5
2020-03-31,13.8
2020-04-01,13.9
2020-04-03,13.9
2020-04-06,14.5
2020-04-07,14.7
2020-04-08,14.85
2020-04-09,14.9
2020-04-10,14.9
2020-04-13,15.0
2020-04-14,15.65
2020-04-15,16.0
2020-04-16,16.0
2020-04-17,16.65
2020-04-20,16.8
2020-04-21,15.8
2020-04-22,15.9
2020-04-23,16.15
2020-04-24,16.25
2020-04-27,15.85
2020-04-28,15.5
2020-04-29,15.55
2020-05-04,15.0
2020-05-05,15.05
2020-05-06,15.2
2020-05-07,15.35
2020-05-08,15.45
2020-05-11,15.5
2020-05-12,15.35
2020-05-13,15.35
2020-05-14,16.4
2020-05-15,16.4
2020-05-18,16.75
2020-05-19,17.3
2020-05-20,16.8
2020-05-21,16.9
2020-05-22,17.1
2020-05-25,17.85
2020-05-26,17.95
2020-05-27,17.25
2020-05-28,17.25
2020-05-29,17.45
2020-06-01,17.55
2020-06-02,17.1
2020-06-03,17.05
2020-06-04,17.0
2020-06-05,17.45
2020-06-08,17.95
2020-06-09,17.55
2020-06-10,17.6
2020-06-11,17.0
2020-06-12,16.7
2020-06-15,16.2
2020-06-16,16.3
2020-06-17,16.3
2020-06-18,16.6
2020-06-19,17.0
2020-06-22,17.35
2020-06-23,17.35
2020-06-24,16.95
2020-06-25,16.95
2020-06-26,17.25
2020-06-29,16.2
2020-06-30,16.55
2020-07-01,16.8
2020-07-02,17.1
2020-07-03,17.3
2020-07-06,17.3
2020-07-07,17.35
2020-07-08,17.9
2020-07-09,19.15
2020-07-10,20.05
2020-07-13,20.6
2020-07-14,21.75
2020-07-15,21.3
2020-07-16,21.45
2020-07-17,21.55
2020-07-20,21.3
2020-07-21,21.0
2020-07-22,20.55
2020-07-23,20.2
2020-07-24,19.8
2020-07-27,18.65
2020-07-28,19.2
2020-07-29,18.9
2020-07-30,18.8
2020-07-31,18.5
2020-08-03,19.35
2020-08-04,20.1
2020-08-05,20.5
2020-08-06,20.15
2020-08-07,21.3
2020-08-10,21.4
2020-08-11,21.0
2020-08-12,20.6
2020-08-13,20.65
2020-08-14,20.95
2020-08-17,21.2
2020-08-18,21.7
2020-08-19,21.7
2020-08-20,21.15
2020-08-21,21.2
2020-08-24,21.25
2020-08-25,22.2
2020-08-26,22.25
2020-08-27,22.25
2020-08-28,22.05
2020-08-31,22.2
2020-09-01,23.6
2020-09-03,25.25
2020-09-04,25.5
2020-09-07,25.95
2020-09-08,25.9
2020-09-09,26.05
2020-09-10,25.9
2020-09-11,25.25
2020-09-14,25.3
2020-09-15,25.35
2020-09-16,25.0
2020-09-17,24.4
2020-09-18,24.1
2020-09-21,24.55
2020-09-22,24.9
2020-09-23,25.0
2020-09-24,24.4
