,price
2020-01-02,18.45
2020-01-03,18.2
2020-01-06,18.3
2020-01-07,18.5
2020-01-08,18.7
2020-01-09,18.45
2020-01-10,18.5
2020-01-13,18.55
2020-01-14,18.65
2020-01-15,18.8
2020-01-16,18.8
2020-01-17,18.75
2020-01-20,19.0
2020-01-21,19.1
2020-01-22,20.0
2020-01-30,19.45
2020-01-31,18.7
2020-02-03,18.0
2020-02-04,17.9
2020-02-05,18.4
2020-02-06,18.1
2020-02-07,18.5
2020-02-10,18.7
2020-02-11,18.75
2020-02-12,19.65
2020-02-13,20.0
2020-02-14,20.2
2020-02-17,20.0
2020-02-18,19.65
2020-02-19,19.85
2020-02-20,19.85
2020-02-21,19.85
2020-02-24,19.7
2020-02-25,19.45
2020-02-26,19.0
2020-02-27,19.45
2020-02-28,18.3
2020-03-02,17.9
2020-03-03,18.3
2020-03-04,17.85
2020-03-05,17.75
2020-03-06,17.8
2020-03-09,16.7
2020-03-10,16.6
2020-03-11,16.0
2020-03-12,15.85
2020-03-13,15.6
2020-03-16,16.1
2020-03-17,15.6
2020-03-18,15.55
2020-03-19,15.55
2020-03-20,15.0
2020-03-23,13.95
2020-03-24,13.95
2020-03-25,14.3
2020-03-26,13.95
2020-03-27,13.7
2020-03-30,12.75
2020-03-31,12.3
2020-04-01,12.8
2020-04-03,13.35
2020-04-06,13.95
2020-04-07,14.2
2020-04-08,15.0
2020-04-09,15.1
2020-04-10,15.8
2020-04-13,16.2
2020-04-14,16.0
2020-04-15,16.2
2020-04-16,16.5
2020-04-17,17.65
2020-04-20,17.65
2020-04-21,17.0
2020-04-22,16.5
2020-04-23,16.5
2020-04-24,16.4
2020-04-27,16.3
2020-04-28,16.35
2020-04-29,16.45
2020-05-04,16.0
2020-05-05,16.1
2020-05-06,16.1
2020-05-07,16.6
2020-05-08,16.6
2020-05-11,16.6
2020-05-12,17.75
2020-05-13,18.95
2020-05-14,19.5
2020-05-15,18.9
2020-05-18,18.2
2020-05-19,18.15
2020-05-20,18.5
2020-05-21,18.45
2020-05-22,18.45
2020-05-25,19.1
2020-05-26,19.1
2020-05-27,19.1
2020-05-28,19.35
2020-05-29,19.3
2020-06-01,19.2
2020-06-02,18.8
2020-06-03,18.95
2020-06-04,18.5
2020-06-05,19.2
2020-06-08,20.5
2020-06-09,21.9
2020-06-10,23.4
2020-06-11,22.0
2020-06-12,20.8
2020-06-15,19.65
2020-06-16,20.0
2020-06-17,19.65
2020-06-18,19.1
2020-06-19,19.2
2020-06-22,19.3
2020-06-23,19.8
2020-06-24,19.3
2020-06-25,18.95
2020-06-26,18.55
2020-06-29,17.3
2020-06-30,17.4
2020-07-01,17.8
2020-07-02,17.7
2020-07-03,17.8
2020-07-06,18.2
2020-07-07,19.45
2020-07-08,19.3
2020-07-09,18.9
2020-07-10,18.9
2020-07-13,18.4
2020-07-14,18.8
2020-07-15,18.8
2020-07-16,18.7
2020-07-17,18.6
2020-07-20,18.35
2020-07-21,18.0
2020-07-22,18.0
2020-07-23,18.0
2020-07-24,17.2
2020-07-27,16.0
2020-07-28,16.55
2020-07-29,16.0
2020-07-30,16.4
2020-07-31,15.9
2020-08-03,16.1
2020-08-04,16.0
2020-08-05,16.65
2020-08-06,16.8
2020-08-07,16.4
2020-08-10,16.8
2020-08-11,16.8
2020-08-12,16.9
2020-08-13,16.9
2020-08-14,16.8
2020-08-17,16.75
2020-08-18,16.9
2020-08-19,17.5
2020-08-20,17.35
2020-08-21,17.45
2020-08-24,17.75
2020-08-25,16.6
2020-08-26,16.6
2020-08-27,16.3
2020-08-28,16.3
2020-08-31,16.3
2020-09-01,16.4
2020-09-03,16.5
2020-09-04,16.6
2020-09-07,16.5
2020-09-08,16.7
2020-09-09,16.5
2020-09-10,16.6
2020-09-11,16.45
2020-09-14,16.45
2020-09-15,16.6
2020-09-16,16.75
2020-09-17,16.75
2020-09-18,16.7
2020-09-21,17.0
2020-09-22,16.7
2020-09-23,16.7
2020-09-24,16.7
2020-09-25,16.65
2020-09-28,16.45
2020-09-29,16.4
2020-09-30,16.5
2020-10-01,16.45
2020-10-02,16.0
2020-10-05,16.35
2020-10-06,16.4
2020-10-07,16.65
2020-10-08,17.0
2020-10-09,16.9
2020-10-12,16.6
2020-10-13,16.7
2020-10-14,16.7
2020-10-15,16.7
2020-10-16,16.5
2020-10-19,16.45
2020-10-20,16.4
2020-10-21,16.55
2020-10-22,16.75
2020-10-23,16.7
2020-10-26,16.5
2020-10-27,16.4
2020-10-28,16.1
2020-10-29,16.4
2020-10-30,16.3
2020-11-02,16.3
2020-11-03,16.35
2020-11-04,16.4
2020-11-05,16.1
2020-11-06,16.35
2020-11-09,16.3
2020-11-10,16.3
2020-11-11,16.3
2020-11-12,16.25
2020-11-13,15.9
2020-11-16,16.1
2020-11-17,16.15
2020-11-18,16.2
2020-11-19,16.3
2020-11-20,16.3
2020-11-23,16.3
2020-11-24,16.35
2020-11-25,16.25
2020-11-26,16.35
2020-11-27,16.25
2020-11-30,16.3
2020-12-01,17.25
2020-12-02,16.35
2020-12-03,16.85
2020-12-04,17.1
2020-12-07,17.7
2020-12-08,17.7
2020-12-09,18.2
2020-12-10,17.5
2020-12-11,17.6
2020-12-14,18.1
2020-12-15,18.1
2020-12-16,18.3
2020-12-17,18.9
2020-12-18,19.0
2020-12-21,19.9
2020-12-22,19.7
2020-12-23,19.5
2020-12-24,19.0
2020-12-25,19.0
2020-12-28,18.7
2020-12-29,18.9
2020-12-30,18.95
2020-12-31,18.9
2021-01-04,19.05
2021-01-05,19.0
2021-01-06,19.1
2021-01-07,19.5
2021-01-08,19.2
2021-01-11,20.0
2021-01-12,21.4
2021-01-13,22.85
2021-01-14,24.4
2021-01-15,24.0
2021-01-18,25.65
2021-01-19,27.4
2021-01-20,29.3
2021-01-21,31.35
2021-01-22,32.9
2021-01-25,30.6
2021-01-26,28.5
2021-01-27,26.55
2021-01-28,24.7
2021-01-29,25.8
2021-02-01,25.45
2021-02-02,26.0
2021-02-03,27.35
2021-02-04,27.3
2021-02-05,27.4
2021-02-08,29.3
2021-02-09,31.35
2021-02-17,32.8
2021-02-18,32.8
2021-02-19,32.0
2021-02-22,32.6
2021-02-23,32.95
2021-02-24,33.8
2021-02-25,33.9
2021-02-26,36.25
2021-03-01,38.6
2021-03-02,39.25
2021-03-03,36.65
2021-03-04,35.1
2021-03-05,37.0
2021-03-08,36.9
2021-03-09,38.0
2021-03-10,38.2
2021-03-11,38.4
2021-03-12,37.5
2021-03-15,36.1
2021-03-16,37.0
2021-03-17,37.5
2021-03-18,36.8
2021-03-19,37.25
2021-03-22,36.4
2021-03-23,35.4
2021-03-24,36.0
2021-03-25,36.0
2021-03-26,34.2
2021-03-29,36.0
2021-03-30,35.8
2021-03-31,34.5
2021-04-01,34.5
2021-04-02,34.1
2021-04-05,33.9
2021-04-06,33.7
2021-04-07,35.0
2021-04-08,34.9
2021-04-09,34.9
2021-04-12,33.4
2021-04-13,33.05
2021-04-14,33.9
2021-04-15,34.0
2021-04-16,32.1
2021-04-19,31.0
2021-04-20,30.0
2021-04-22,28.8
2021-04-23,28.0
2021-04-26,28.0
2021-04-27,26.1
2021-04-28,26.5
2021-04-29,26.5
2021-05-04,28.35
2021-05-05,28.55
2021-05-06,28.55
2021-05-07,28.45
2021-05-10,27.5
2021-05-11,27.5
2021-05-12,27.6
2021-05-13,27.7
2021-05-14,28.2
2021-05-17,30.15
2021-05-18,29.0
2021-05-19,29.3
2021-05-20,31.35
2021-05-21,32.0
2021-05-24,32.0
2021-05-25,34.2
2021-05-26,36.55
2021-05-27,37.5
2021-05-28,37.0
2021-05-31,38.0
2021-06-01,37.0
2021-06-02,36.6
2021-06-03,36.5
2021-06-04,34.05
2021-06-07,35.2
2021-06-08,36.5
2021-06-09,34.15
2021-06-10,35.75
2021-06-11,35.75
2021-06-14,35.6
2021-06-15,35.0
2021-06-16,35.0
2021-06-17,37.0
2021-06-18,37.0
2021-06-21,37.7
2021-06-22,37.7
2021-06-23,35.2
2021-06-24,35.15
2021-06-25,32.7
2021-06-28,32.7
2021-06-29,33.85
2021-06-30,33.0
2021-07-01,31.65
2021-07-02,32.95
2021-07-05,30.85
2021-07-06,32.8
2021-07-07,32.7
2021-07-08,32.45
2021-07-09,32.25
2021-07-12,30.0
2021-07-13,30.0
2021-07-14,29.0
2021-07-15,30.05
2021-07-16,30.05
2021-07-19,29.25
2021-07-20,28.3
2021-07-21,29.95
2021-07-22,28.25
2021-07-23,29.85
2021-07-26,29.85
2021-07-27,29.7
2021-07-28,30.3
2021-07-29,29.5
2021-07-30,30.0
2021-08-02,31.95
2021-08-03,31.5
2021-08-04,31.95
2021-08-05,30.0
2021-08-06,29.0
2021-08-09,30.0
2021-08-10,30.0
2021-08-11,29.8
2021-08-12,29.8
2021-08-13,30.0
2021-08-16,31.0
2021-08-17,32.0
2021-08-18,31.8
2021-08-19,30.8
2021-08-20,29.6
2021-08-23,28.8
2021-08-24,28.8
2021-08-25,29.0
2021-08-26,29.0
2021-08-27,30.2
2021-08-30,30.5
2021-08-31,27.75
2021-09-01,27.9
2021-09-06,29.85
2021-09-07,29.0
2021-09-08,29.0
2021-09-09,29.0
2021-09-10,29.0
2021-09-13,28.0
2021-09-14,28.0
2021-09-15,28.45
2021-09-16,29.5
2021-09-17,29.3
2021-09-20,29.9
2021-09-21,30.2
2021-09-22,28.35
2021-09-23,28.1
2021-09-24,28.0
2021-09-27,27.1
2021-09-28,28.65
2021-09-29,28.65
2021-09-30,28.05
2021-10-01,28.0
2021-10-04,27.8
2021-10-05,27.5
2021-10-06,27.5
2021-10-07,27.1
2021-10-08,27.1
2021-10-11,27.35
2021-10-12,27.35
2021-10-13,27.3
2021-10-14,27.35
2021-10-15,27.3
2021-10-18,27.4
2021-10-19,27.4
2021-10-20,27.2
2021-10-21,27.0
2021-10-22,27.0
2021-10-25,27.0
2021-10-26,26.85
2021-10-27,26.15
2021-10-28,25.5
2021-10-29,27.25
2021-11-01,27.25
2021-11-02,27.0
2021-11-03,26.3
2021-11-04,26.55
2021-11-05,27.15
2021-11-08,28.4
2021-11-09,30.35
2021-11-10,30.35
2021-11-11,31.5
2021-11-12,32.0
2021-11-15,30.7
2021-11-16,30.6
2021-11-17,29.5
2021-11-18,29.3
2021-11-19,29.0
