,price
2022-01-13,28.2
2022-01-14,26.25
2022-01-17,24.45
2022-01-18,22.75
2022-01-19,21.2
2022-01-20,19.75
2022-01-21,18.4
2022-01-24,18.5
2022-01-25,19.4
2022-01-26,18.6
2022-01-27,18.6
2022-01-28,19.0
2022-02-07,19.2
2022-02-08,19.2
2022-02-09,18.6
2022-02-10,18.8
2022-02-11,18.8
2022-02-14,18.8
2022-02-15,18.5
2022-02-16,18.3
2022-02-17,18.7
2022-02-18,18.65
2022-02-21,18.8
2022-02-22,18.85
2022-02-23,18.95
2022-02-24,18.8
2022-02-25,19.1
2022-02-28,20.4
2022-03-01,21.8
2022-03-02,21.95
2022-03-03,21.3
2022-03-04,21.75
2022-03-07,21.6
2022-03-08,21.55
2022-03-09,23.05
2022-03-10,23.8
2022-03-11,23.3
2022-03-14,22.6
2022-03-15,23.0
2022-03-16,23.6
2022-03-17,24.0
2022-03-18,23.6
2022-03-21,23.6
2022-03-22,23.9
2022-03-23,24.2
2022-03-24,22.85
2022-03-25,23.9
2022-03-28,23.95
2022-03-29,23.8
2022-03-30,23.35
2022-03-31,22.55
2022-04-01,22.5
2022-04-04,23.4
2022-04-05,22.9
2022-04-06,22.4
2022-04-07,22.1
2022-04-08,22.1
2022-04-12,21.7
2022-04-13,21.05
2022-04-14,21.4
2022-04-15,21.4
2022-04-18,20.5
2022-04-19,21.25
2022-04-20,21.2
2022-04-21,20.65
2022-04-22,20.9
2022-04-25,20.45
2022-04-26,20.65
2022-04-27,21.0
2022-04-28,21.1
2022-04-29,21.3
2022-05-04,21.3
2022-05-05,21.3
2022-05-06,21.25
2022-05-09,20.5
2022-05-10,20.55
2022-05-11,20.6
2022-05-12,20.25
2022-05-13,18.85
2022-05-16,17.55
2022-05-17,18.3
2022-05-18,17.9
2022-05-19,17.8
2022-05-20,17.7
2022-05-23,17.4
2022-05-24,16.6
2022-05-25,15.6
