,price
2020-01-02,12.4
2020-01-03,11.6
2020-01-06,12.4
2020-01-07,11.75
2020-01-08,12.4
2020-01-09,12.4
2020-01-10,11.55
2020-01-13,11.6
2020-01-14,12.2
2020-01-15,12.2
2020-01-16,11.6
2020-01-17,12.0
2020-01-20,12.35
2020-01-21,12.35
2020-01-22,12.35
2020-01-30,11.5
2020-01-31,11.9
2020-02-03,11.15
2020-02-04,11.15
2020-02-05,11.45
2020-02-06,11.45
2020-02-07,11.75
2020-02-10,11.75
2020-02-11,11.8
2020-02-12,11.8
2020-02-13,11.85
2020-02-14,11.9
2020-02-17,11.9
2020-02-18,11.5
2020-02-19,12.0
2020-02-20,12.4
2020-02-21,12.45
2020-02-24,12.5
2020-02-25,12.85
2020-02-26,12.85
2020-02-27,12.9
2020-02-28,13.15
2020-03-02,13.15
2020-03-03,13.0
2020-03-04,13.0
2020-03-05,12.2
2020-03-06,12.9
2020-03-09,12.9
2020-03-10,12.9
2020-03-11,12.9
2020-03-12,12.0
2020-03-13,12.3
2020-03-16,12.3
2020-03-17,12.1
2020-03-18,11.95
2020-03-19,11.9
2020-03-20,11.9
2020-03-23,11.5
2020-03-24,10.8
2020-03-25,10.8
2020-03-26,10.8
2020-03-27,11.45
2020-03-30,10.75
2020-03-31,10.45
2020-04-01,10.55
2020-04-03,10.95
2020-04-06,11.6
2020-04-07,11.55
2020-04-08,11.55
2020-04-09,11.55
2020-04-10,12.0
2020-04-13,11.5
2020-04-14,11.3
2020-04-15,11.0
2020-04-16,11.3
2020-04-17,11.5
2020-04-20,11.3
2020-04-21,11.3
2020-04-22,11.2
2020-04-23,11.25
2020-04-24,10.9
2020-04-27,10.9
2020-04-28,10.6
2020-04-29,10.6
2020-05-04,11.2
2020-05-05,11.3
2020-05-06,11.65
2020-05-07,11.75
2020-05-08,12.25
2020-05-11,11.6
2020-05-12,12.25
2020-05-13,12.3
2020-05-14,12.05
2020-05-15,12.3
2020-05-18,12.2
2020-05-19,12.45
2020-05-20,12.2
2020-05-21,11.3
2020-05-22,11.3
2020-05-25,10.75
2020-05-26,11.0
2020-05-27,10.9
2020-05-28,10.9
2020-05-29,10.9
2020-06-01,10.55
2020-06-02,10.9
2020-06-03,10.95
2020-06-04,10.4
2020-06-05,10.7
2020-06-08,10.75
2020-06-09,11.25
2020-06-10,11.45
2020-06-11,10.7
2020-06-12,10.5
2020-06-15,10.55
2020-06-16,10.65
2020-06-17,10.75
2020-06-18,11.45
2020-06-19,10.75
2020-06-22,10.45
2020-06-23,10.55
2020-06-24,10.85
2020-06-25,10.85
2020-06-26,10.7
2020-06-29,10.7
2020-06-30,10.7
2020-07-01,10.15
2020-07-02,10.8
2020-07-03,10.8
2020-07-06,10.3
2020-07-07,10.95
2020-07-08,10.95
2020-07-09,10.4
2020-07-10,10.9
2020-07-13,10.4
2020-07-14,10.4
2020-07-15,11.1
2020-07-16,10.65
2020-07-17,11.2
2020-07-20,11.2
2020-07-21,11.0
2020-07-22,10.85
2020-07-23,10.9
2020-07-24,10.7
2020-07-27,9.96
2020-07-28,10.5
2020-07-29,10.4
2020-07-30,10.5
2020-07-31,9.95
2020-08-03,10.55
2020-08-04,10.5
2020-08-05,10.45
2020-08-06,10.4
2020-08-07,10.4
2020-08-10,10.4
2020-08-11,10.3
2020-08-12,10.55
2020-08-13,10.6
2020-08-14,10.6
2020-08-17,10.6
2020-08-18,10.5
2020-08-19,10.7
2020-08-20,11.4
2020-08-21,10.9
2020-08-24,11.0
2020-08-25,11.35
2020-08-26,11.0
2020-08-27,11.5
2020-08-28,11.5
2020-08-31,10.8
2020-09-01,10.9
2020-09-03,11.0
2020-09-04,10.9
2020-09-07,10.9
2020-09-08,11.0
2020-09-09,11.7
2020-09-10,11.1
2020-09-11,11.1
2020-09-14,11.2
2020-09-15,11.3
2020-09-16,11.9
2020-09-17,11.35
2020-09-18,11.6
2020-09-21,11.5
2020-09-22,11.5
2020-09-23,12.3
2020-09-24,12.4
2020-09-25,12.2
2020-09-28,12.2
2020-09-29,11.4
2020-09-30,11.65
2020-10-01,11.85
2020-10-02,11.1
2020-10-05,11.65
2020-10-06,11.65
2020-10-07,11.65
2020-10-08,12.4
2020-10-09,12.0
2020-10-12,12.6
2020-10-13,12.6
2020-10-14,12.0
2020-10-15,12.0
2020-10-16,12.1
2020-10-19,12.1
2020-10-20,12.1
2020-10-21,12.0
2020-10-22,12.45
2020-10-23,12.35
2020-10-26,12.0
2020-10-27,12.0
2020-10-28,12.45
2020-10-29,12.45
2020-10-30,11.8
2020-11-02,12.0
2020-11-03,12.15
2020-11-04,11.35
2020-11-05,12.1
2020-11-06,12.4
2020-11-09,12.35
2020-11-10,11.8
2020-11-11,11.7
2020-11-12,11.7
2020-11-13,11.7
2020-11-16,11.7
2020-11-17,11.7
2020-11-18,11.7
2020-11-19,11.7
2020-11-20,11.8
2020-11-23,12.0
2020-11-24,12.4
2020-11-25,12.4
2020-11-26,12.35
2020-11-27,12.35
2020-11-30,11.8
2020-12-01,11.8
2020-12-02,11.8
2020-12-03,11.7
2020-12-04,12.1
2020-12-07,12.1
2020-12-08,12.0
2020-12-09,12.0
2020-12-10,12.0
2020-12-11,12.0
2020-12-14,12.1
2020-12-15,12.4
2020-12-16,12.1
2020-12-17,12.0
2020-12-18,12.1
2020-12-21,12.15
2020-12-22,12.15
2020-12-23,12.4
2020-12-24,12.15
2020-12-25,12.1
2020-12-28,12.5
2020-12-29,12.95
2020-12-30,13.0
2020-12-31,13.5
