,price
2020-01-02,3.01
2020-01-03,3.07
2020-01-06,2.9
2020-01-07,3.09
2020-01-08,2.88
2020-01-09,2.88
2020-01-10,2.68
2020-01-13,2.5
2020-01-14,2.45
2020-01-15,2.37
2020-01-16,2.29
2020-01-17,2.37
2020-01-20,2.44
2020-01-21,2.61
2020-01-22,2.79
2020-01-30,2.6
2020-01-31,2.42
2020-02-03,2.42
2020-02-04,2.56
2020-02-05,2.5
2020-02-06,2.54
2020-02-07,2.56
2020-02-10,2.47
2020-02-11,2.46
2020-02-12,2.63
2020-02-13,2.71
2020-02-14,2.54
2020-02-17,2.54
2020-02-18,2.6
2020-02-19,2.78
2020-02-20,2.82
2020-02-21,2.63
2020-02-24,2.45
2020-02-25,2.62
2020-02-26,2.53
2020-02-27,2.62
2020-02-28,2.54
2020-03-02,2.67
2020-03-03,2.85
2020-03-04,3.04
2020-03-05,3.24
2020-03-06,3.34
2020-03-09,3.11
2020-03-10,3.32
2020-03-11,3.55
2020-03-12,3.78
2020-03-13,4.0
2020-03-16,4.28
2020-03-17,4.57
2020-03-18,4.88
2020-03-19,4.54
2020-03-20,4.23
2020-03-23,3.94
2020-03-24,3.67
2020-03-25,3.42
2020-03-26,3.19
2020-03-27,2.97
2020-03-30,2.77
2020-03-31,2.58
2020-04-01,2.76
2020-04-03,2.95
2020-04-06,2.75
2020-04-07,2.59
2020-04-08,2.77
2020-04-09,2.74
2020-04-10,2.64
2020-04-13,2.7
2020-04-14,2.64
2020-04-15,2.8
2020-04-16,2.73
2020-04-17,2.72
2020-04-20,2.75
2020-04-21,2.75
2020-04-22,2.87
2020-04-23,2.87
2020-04-24,3.07
2020-04-27,3.05
2020-04-28,2.96
2020-04-29,2.96
2020-05-04,2.76
2020-05-05,2.85
2020-05-06,2.98
2020-05-07,2.82
2020-05-08,2.83
2020-05-11,2.85
2020-05-12,2.89
2020-05-13,2.97
2020-05-14,3.1
2020-05-15,3.02
2020-05-18,2.98
2020-05-19,2.96
2020-05-20,3.08
2020-05-21,3.01
2020-05-22,3.01
2020-05-25,3.05
2020-05-26,3.05
2020-05-27,2.99
2020-05-28,3.0
2020-05-29,3.06
2020-06-01,3.27
2020-06-02,3.08
2020-06-03,3.12
2020-06-04,3.19
2020-06-05,3.4
2020-06-08,3.6
2020-06-09,3.36
2020-06-10,3.36
2020-06-11,3.2
2020-06-12,3.26
2020-06-15,3.22
2020-06-16,3.32
2020-06-17,3.55
2020-06-18,3.6
2020-06-19,3.7
2020-06-22,3.61
2020-06-23,3.86
2020-06-24,3.7
2020-06-25,3.73
2020-06-26,3.47
2020-06-29,3.23
2020-06-30,3.01
2020-07-01,3.21
2020-07-02,3.07
2020-07-03,3.09
2020-07-06,3.15
2020-07-07,3.03
2020-07-08,3.05
2020-07-09,3.26
2020-07-10,3.09
2020-07-13,3.09
2020-07-14,3.1
2020-07-15,3.06
2020-07-16,3.04
2020-07-17,3.03
2020-07-20,2.9
2020-07-21,2.94
2020-07-22,2.87
2020-07-23,2.75
2020-07-24,2.56
2020-07-27,2.39
2020-07-28,2.55
2020-07-29,2.38
2020-07-30,2.36
2020-07-31,2.21
2020-08-03,2.36
2020-08-04,2.52
2020-08-05,2.47
2020-08-06,2.4
2020-08-07,2.48
2020-08-10,2.53
2020-08-11,2.53
2020-08-12,2.52
2020-08-13,2.56
2020-08-14,2.56
2020-08-17,2.59
2020-08-18,2.58
2020-08-19,2.58
2020-08-20,2.53
2020-08-21,2.67
2020-08-24,2.73
2020-08-25,2.7
2020-08-26,2.64
2020-08-27,2.68
2020-08-28,2.66
2020-08-31,2.66
2020-09-01,2.7
2020-09-03,2.71
2020-09-04,2.69
2020-09-07,2.65
2020-09-08,2.7
2020-09-09,2.71
2020-09-10,2.74
2020-09-11,2.82
2020-09-14,2.8
2020-09-15,2.76
2020-09-16,2.75
2020-09-17,2.73
2020-09-18,2.74
2020-09-21,2.7
2020-09-22,2.68
2020-09-23,2.68
2020-09-24,2.66
2020-09-25,2.65
2020-09-28,2.72
2020-09-29,2.69
2020-09-30,2.69
2020-10-01,2.67
2020-10-02,2.68
2020-10-05,2.72
2020-10-06,2.84
2020-10-07,2.85
2020-10-08,2.78
2020-10-09,2.72
2020-10-12,2.76
