,price
2020-01-02,3.95
2020-01-03,3.95
2020-01-06,3.68
2020-01-07,3.43
2020-01-08,3.19
2020-01-09,3.21
2020-01-10,3.09
2020-01-13,3.13
2020-01-14,3.14
2020-01-15,3.14
2020-01-16,3.05
2020-01-17,3.09
2020-01-20,3.18
2020-01-21,3.16
2020-01-22,3.24
2020-01-30,3.42
2020-01-31,3.19
2020-02-03,3.06
2020-02-04,3.06
2020-02-05,3.07
2020-02-06,3.16
2020-02-07,3.16
2020-02-10,3.16
2020-02-11,3.15
2020-02-12,3.23
2020-02-13,3.22
2020-02-14,3.21
2020-02-17,3.17
2020-02-18,3.39
2020-02-19,3.56
2020-02-20,3.44
2020-02-21,3.4
2020-02-24,3.17
2020-02-25,3.16
2020-02-26,3.15
2020-02-27,3.25
2020-02-28,3.16
2020-03-02,3.37
2020-03-03,3.37
2020-03-04,3.52
2020-03-05,3.31
2020-03-06,3.28
2020-03-09,3.06
2020-03-10,3.05
2020-03-11,3.05
2020-03-12,2.84
2020-03-13,2.75
2020-03-16,2.69
2020-03-17,2.87
2020-03-18,3.07
2020-03-19,2.9
2020-03-20,2.8
2020-03-23,2.61
2020-03-24,2.55
2020-03-25,2.6
2020-03-26,2.5
2020-03-27,2.5
2020-03-30,2.33
2020-03-31,2.17
2020-04-01,2.25
2020-04-03,2.4
2020-04-06,2.56
2020-04-07,2.57
2020-04-08,2.5
2020-04-09,2.6
2020-04-10,2.64
2020-04-13,2.66
2020-04-14,2.64
2020-04-15,2.71
2020-04-16,2.84
2020-04-17,2.84
2020-04-20,2.85
2020-04-21,2.66
2020-04-22,2.58
2020-04-23,2.62
2020-04-24,2.74
2020-04-27,2.76
2020-04-28,2.74
2020-04-29,2.76
2020-05-04,2.57
2020-05-05,2.63
2020-05-06,2.6
2020-05-07,2.62
2020-05-08,2.63
2020-05-11,2.66
2020-05-12,2.65
2020-05-13,2.7
2020-05-14,2.88
2020-05-15,2.82
2020-05-18,2.96
2020-05-19,2.88
2020-05-20,2.86
2020-05-21,2.85
2020-05-22,2.92
2020-05-25,3.0
2020-05-26,3.06
2020-05-27,3.04
2020-05-28,3.03
2020-05-29,3.07
2020-06-01,3.28
2020-06-02,3.28
2020-06-03,3.25
2020-06-04,3.27
2020-06-05,3.4
2020-06-08,3.45
2020-06-09,3.39
2020-06-10,3.4
2020-06-11,3.31
2020-06-12,3.53
2020-06-15,3.42
2020-06-16,3.35
2020-06-17,3.35
2020-06-18,3.36
2020-06-19,3.44
2020-06-22,3.55
2020-06-23,3.79
2020-06-24,3.65
2020-06-25,3.58
2020-06-26,3.46
2020-06-29,3.22
2020-06-30,3.02
2020-07-01,3.09
2020-07-02,3.14
2020-07-03,3.16
2020-07-06,3.22
2020-07-07,3.18
2020-07-08,3.17
2020-07-09,3.23
2020-07-10,3.16
2020-07-13,3.11
2020-07-14,3.14
2020-07-15,3.16
2020-07-16,3.15
2020-07-17,3.15
2020-07-20,3.06
2020-07-21,3.06
2020-07-22,3.01
2020-07-23,3.05
2020-07-24,2.84
2020-07-27,2.65
2020-07-28,2.75
2020-07-29,2.58
2020-07-30,2.63
2020-07-31,2.6
2020-08-03,2.7
2020-08-04,2.82
2020-08-05,2.8
2020-08-06,2.76
2020-08-07,2.76
2020-08-10,2.83
2020-08-11,2.9
2020-08-12,2.95
2020-08-13,2.98
2020-08-14,2.9
2020-08-17,2.87
2020-08-18,2.9
2020-08-19,2.89
2020-08-20,2.89
2020-08-21,3.09
2020-08-24,3.3
2020-08-25,3.45
2020-08-26,3.36
2020-08-27,3.23
2020-08-28,3.45
2020-08-31,3.67
2020-09-01,3.67
2020-09-03,3.63
2020-09-04,3.5
2020-09-07,3.45
2020-09-08,3.69
2020-09-09,3.85
2020-09-10,3.68
2020-09-11,3.64
2020-09-14,3.69
2020-09-15,3.68
2020-09-16,3.61
2020-09-17,3.6
2020-09-18,3.67
2020-09-21,3.67
2020-09-22,3.62
2020-09-23,3.61
2020-09-24,3.6
2020-09-25,3.6
2020-09-28,3.63
2020-09-29,3.57
2020-09-30,3.62
2020-10-01,3.87
2020-10-02,4.1
2020-10-05,4.33
2020-10-06,4.34
2020-10-07,4.27
2020-10-08,4.16
2020-10-09,4.08
2020-10-12,3.91
2020-10-13,4.12
2020-10-14,4.0
2020-10-15,4.01
2020-10-16,3.99
2020-10-19,3.99
2020-10-20,4.04
2020-10-21,3.99
2020-10-22,3.98
2020-10-23,4.07
2020-10-26,4.12
2020-10-27,4.2
2020-10-28,4.02
2020-10-29,4.05
2020-10-30,4.09
2020-11-02,4.29
2020-11-03,4.29
2020-11-04,4.34
2020-11-05,4.22
2020-11-06,4.2
2020-11-09,4.17
2020-11-10,4.16
2020-11-11,4.1
2020-11-12,4.14
2020-11-13,4.14
2020-11-16,4.14
2020-11-17,4.14
2020-11-18,4.17
2020-11-19,4.2
2020-11-20,4.24
2020-11-23,4.24
2020-11-24,4.2
2020-11-25,4.16
2020-11-26,4.07
2020-11-30,4.07
2020-12-01,4.06
2020-12-02,4.04
2020-12-03,4.3
2020-12-04,4.2
2020-12-07,4.49
2020-12-08,4.63
2020-12-09,4.66
2020-12-10,4.49
2020-12-11,4.5
2020-12-14,4.75
2020-12-15,4.65
2020-12-16,4.63
2020-12-17,4.52
2020-12-18,4.51
2020-12-21,4.51
2020-12-22,4.75
2020-12-23,4.76
2020-12-24,4.62
2020-12-25,4.75
2020-12-28,5.08
2020-12-29,5.43
2020-12-30,5.81
2020-12-31,5.77
2021-01-04,5.99
2021-01-05,6.0
2021-01-06,5.85
2021-01-07,5.99
2021-01-08,5.99
2021-01-11,6.4
2021-01-12,6.61
2021-01-13,6.3
2021-01-14,6.35
2021-01-15,6.4
2021-01-18,6.5
2021-01-19,6.1
2021-01-20,5.84
2021-01-21,5.99
2021-01-22,5.81
2021-01-25,5.93
2021-01-26,5.93
2021-01-27,5.8
2021-01-28,5.4
2021-01-29,5.34
2021-02-01,4.97
2021-02-02,4.87
2021-02-03,5.0
2021-02-04,4.9
2021-02-05,4.9
2021-02-08,4.57
2021-02-09,4.88
2021-02-17,5.05
2021-02-18,5.0
2021-02-19,5.3
2021-02-22,5.3
2021-02-23,5.2
2021-02-24,5.18
2021-02-25,5.17
2021-02-26,5.13
2021-03-01,5.15
2021-03-02,5.12
2021-03-03,5.37
2021-03-04,5.2
2021-03-05,5.11
2021-03-08,5.46
2021-03-09,5.42
2021-03-10,5.43
2021-03-11,5.43
2021-03-12,5.42
2021-03-15,5.56
2021-03-16,5.56
2021-03-17,5.74
2021-03-18,5.7
2021-03-19,5.89
2021-03-22,6.1
2021-03-23,6.16
2021-03-24,6.17
2021-03-25,6.16
2021-03-26,5.96
2021-03-29,6.09
2021-03-30,6.1
2021-03-31,6.04
2021-04-01,6.46
2021-04-02,6.3
2021-04-05,6.3
2021-04-06,6.32
2021-04-07,6.3
2021-04-08,6.35
2021-04-09,6.43
2021-04-12,6.88
2021-04-13,7.0
2021-04-14,6.9
2021-04-15,6.42
2021-04-16,6.11
2021-04-19,6.35
2021-04-20,6.2
2021-04-22,5.9
2021-04-23,5.91
2021-04-26,6.0
2021-04-27,5.72
2021-04-28,5.75
2021-04-29,5.69
2021-05-04,5.3
2021-05-05,5.57
2021-05-06,5.5
2021-05-07,5.12
2021-05-10,4.98
2021-05-11,5.09
2021-05-12,5.24
2021-05-13,5.16
2021-05-14,5.13
2021-05-17,5.09
2021-05-18,5.14
2021-05-19,5.05
2021-05-20,4.86
2021-05-21,4.92
2021-05-24,5.18
2021-05-25,5.25
2021-05-26,5.11
2021-05-27,5.07
2021-05-28,5.06
2021-05-31,5.0
2021-06-01,4.99
2021-06-02,5.17
2021-06-03,5.25
2021-06-04,5.36
2021-06-07,5.42
2021-06-08,5.52
2021-06-09,5.41
2021-06-10,5.3
2021-06-11,5.35
2021-06-14,5.26
2021-06-15,5.23
2021-06-16,5.27
2021-06-17,5.37
2021-06-18,5.56
2021-06-21,5.88
2021-06-22,5.78
2021-06-23,5.4
2021-06-24,5.32
2021-06-25,5.45
2021-06-28,5.36
2021-06-29,5.29
2021-06-30,5.25
2021-07-01,5.29
2021-07-02,5.23
2021-07-05,5.09
2021-07-06,5.0
2021-07-07,4.65
2021-07-08,4.61
2021-07-09,4.57
2021-07-12,4.3
2021-07-13,4.59
2021-07-14,4.58
2021-07-15,4.58
2021-07-16,4.5
2021-07-19,4.3
2021-07-20,4.3
