,price
2020-01-02,16.6
2020-01-03,16.6
2020-01-06,16.05
2020-01-07,15.2
2020-01-08,14.25
2020-01-09,14.65
2020-01-10,14.2
2020-01-13,14.35
2020-01-14,14.35
2020-01-15,14.3
2020-01-16,14.15
2020-01-17,14.0
2020-01-20,13.9
2020-01-21,14.3
2020-01-22,14.35
2020-01-30,13.9
2020-01-31,13.85
2020-02-03,13.6
2020-02-04,13.45
2020-02-05,13.45
2020-02-06,13.55
2020-02-07,14.05
2020-02-10,14.15
2020-02-11,14.05
2020-02-12,13.95
2020-02-13,13.85
2020-02-14,14.0
2020-02-17,13.95
2020-02-18,13.8
2020-02-19,13.65
2020-02-20,13.75
2020-02-21,13.55
2020-02-24,13.0
2020-02-25,12.9
2020-02-26,12.95
2020-02-27,12.55
2020-02-28,11.8
2020-03-02,12.0
2020-03-03,11.9
2020-03-04,11.6
2020-03-05,11.9
2020-03-06,12.7
2020-03-09,11.85
2020-03-10,12.25
2020-03-11,11.75
2020-03-12,11.0
2020-03-13,11.0
2020-03-16,10.95
2020-03-17,10.6
2020-03-18,10.65
2020-03-19,10.55
2020-03-20,10.55
2020-03-23,10.0
2020-03-24,10.1
2020-03-25,10.25
2020-03-26,10.25
2020-03-27,10.4
2020-03-30,9.88
2020-03-31,9.88
2020-04-01,10.4
2020-04-03,10.6
2020-04-06,11.3
2020-04-07,11.3
2020-04-08,11.3
2020-04-09,11.2
2020-04-10,11.0
2020-04-13,11.75
2020-04-14,12.2
2020-04-15,12.0
2020-04-16,11.95
2020-04-17,10.5
2020-04-20,10.4
2020-04-21,9.95
2020-04-22,9.9
2020-04-23,9.91
2020-04-24,10.15
2020-04-27,10.05
2020-04-28,10.2
2020-04-29,10.4
2020-05-04,10.3
2020-05-05,10.3
2020-05-06,11.0
2020-05-07,11.55
2020-05-08,11.2
2020-05-11,11.35
2020-05-12,11.25
2020-05-13,11.3
2020-05-14,11.3
2020-05-15,11.45
2020-05-18,11.6
2020-05-19,11.5
2020-05-20,11.9
2020-05-21,11.9
2020-05-22,11.75
2020-05-25,11.4
2020-05-26,11.7
2020-05-27,11.55
2020-05-28,11.6
2020-05-29,11.55
2020-06-01,11.8
2020-06-02,11.7
2020-06-03,11.6
2020-06-04,11.6
2020-06-05,11.85
2020-06-08,12.65
2020-06-09,12.4
2020-06-10,12.15
2020-06-11,11.85
2020-06-12,11.75
2020-06-15,11.75
2020-06-16,11.75
2020-06-17,11.85
2020-06-18,11.7
2020-06-19,11.85
2020-06-22,12.15
2020-06-23,11.8
2020-06-24,11.9
2020-06-25,11.7
2020-06-26,11.65
2020-06-29,11.8
2020-06-30,12.0
2020-07-01,12.8
2020-07-02,12.8
2020-07-03,13.25
2020-07-06,13.9
2020-07-07,13.9
2020-07-08,13.75
2020-07-09,13.8
2020-07-10,14.0
2020-07-13,14.1
2020-07-14,14.0
