,price
2020-01-02,27.8
2020-01-03,27.55
2020-01-06,27.0
2020-01-07,26.7
2020-01-08,26.7
2020-01-09,27.5
2020-01-10,28.1
2020-01-13,27.9
2020-01-14,28.0
2020-01-15,27.75
2020-01-16,28.65
2020-01-17,28.55
2020-01-20,28.25
2020-01-21,28.95
2020-01-22,29.0
2020-01-30,27.95
2020-01-31,27.0
2020-02-03,27.0
2020-02-04,27.55
2020-02-05,28.4
2020-02-06,29.9
2020-02-07,29.95
2020-02-10,29.5
2020-02-11,29.0
2020-02-12,29.2
2020-02-13,29.2
2020-02-14,28.6
2020-02-17,28.75
2020-02-18,28.65
2020-02-19,28.5
2020-02-20,28.4
2020-02-21,28.4
2020-02-24,27.25
2020-02-25,28.0
2020-02-26,27.7
2020-02-27,28.0
2020-02-28,27.8
2020-03-02,27.7
2020-03-03,27.7
2020-03-04,28.15
2020-03-05,28.0
2020-03-06,28.0
2020-03-09,26.05
2020-03-10,25.8
2020-03-11,24.5
2020-03-12,22.8
2020-03-13,23.0
2020-03-16,21.7
2020-03-17,21.2
2020-03-18,21.3
2020-03-19,20.9
2020-03-20,20.9
2020-03-23,19.45
2020-03-24,19.0
2020-03-25,19.9
2020-03-26,19.6
2020-03-27,18.25
2020-03-30,17.25
2020-03-31,17.8
2020-04-01,18.95
2020-04-03,19.55
2020-04-06,20.5
2020-04-07,20.75
2020-04-08,20.65
2020-04-09,20.65
2020-04-10,20.0
2020-04-13,20.2
2020-04-14,20.0
2020-04-15,20.65
2020-04-16,20.95
2020-04-17,21.5
2020-04-20,21.35
2020-04-21,20.1
2020-04-22,20.8
2020-04-23,20.6
2020-04-24,20.6
2020-04-27,20.5
2020-04-28,20.55
2020-04-29,20.65
2020-05-04,21.55
2020-05-05,21.65
2020-05-06,21.4
2020-05-07,21.3
2020-05-08,22.4
2020-05-11,22.55
2020-05-12,22.7
2020-05-13,23.7
2020-05-14,23.0
2020-05-15,22.85
2020-05-18,23.2
2020-05-19,23.55
2020-05-20,23.45
2020-05-21,25.05
2020-05-22,23.9
2020-05-25,24.1
2020-05-26,24.35
2020-05-27,23.7
2020-05-28,23.7
2020-05-29,24.2
2020-06-01,24.95
2020-06-02,26.65
2020-06-03,28.5
2020-06-04,27.8
2020-06-05,27.5
2020-06-08,27.4
2020-06-09,28.05
2020-06-10,28.0
2020-06-11,27.2
2020-06-12,26.9
2020-06-15,27.3
2020-06-16,27.3
2020-06-17,26.85
2020-06-18,26.55
2020-06-19,26.8
2020-06-22,26.5
2020-06-23,26.5
2020-06-24,26.25
2020-06-25,25.7
2020-06-26,25.35
2020-06-29,24.7
2020-06-30,24.8
2020-07-01,24.55
2020-07-02,24.7
2020-07-03,26.0
2020-07-06,26.0
2020-07-07,26.0
2020-07-08,26.05
2020-07-09,27.2
2020-07-10,26.65
2020-07-13,26.65
2020-07-14,26.7
2020-07-15,26.85
2020-07-16,27.2
2020-07-17,26.95
2020-07-20,26.75
2020-07-21,26.55
2020-07-22,26.3
2020-07-23,26.6
2020-07-24,25.3
2020-07-27,23.55
2020-07-28,24.0
2020-07-29,23.8
2020-07-30,24.1
2020-07-31,23.95
2020-08-03,24.4
2020-08-04,24.65
2020-08-05,25.5
2020-08-06,26.0
2020-08-07,26.05
2020-08-10,26.5
2020-08-11,26.7
2020-08-12,26.85
2020-08-13,27.1
2020-08-14,27.4
2020-08-17,27.6
2020-08-18,27.4
2020-08-19,27.15
2020-08-20,26.85
2020-08-21,27.2
2020-08-24,28.2
2020-08-25,28.2
2020-08-26,28.25
2020-08-27,28.15
2020-08-28,28.2
2020-08-31,28.35
2020-09-01,28.5
2020-09-03,29.8
2020-09-04,29.7
2020-09-07,29.2
2020-09-08,29.4
2020-09-09,29.1
2020-09-10,29.3
2020-09-11,30.35
2020-09-14,30.25
2020-09-15,29.9
2020-09-16,29.85
2020-09-17,29.6
2020-09-18,29.75
2020-09-21,30.7
2020-09-22,30.9
2020-09-23,31.05
2020-09-24,31.05
2020-09-25,31.15
2020-09-28,31.45
2020-09-29,31.25
2020-09-30,31.3
2020-10-01,24.8
2020-10-02,24.7
2020-10-05,24.8
2020-10-06,24.7
2020-10-07,24.7
2020-10-08,24.5
2020-10-09,24.5
2020-10-12,24.35
2020-10-13,24.0
2020-10-14,24.25
2020-10-15,24.6
2020-10-16,24.8
2020-10-19,24.75
2020-10-20,25.3
2020-10-21,25.3
2020-10-22,25.25
2020-10-23,25.45
2020-10-26,25.0
2020-10-27,24.55
2020-10-28,23.0
2020-10-29,23.6
2020-10-30,24.2
2020-11-02,24.4
2020-11-03,24.35
2020-11-04,25.2
2020-11-05,25.2
2020-11-06,25.1
2020-11-09,25.45
2020-11-10,25.5
2020-11-11,25.8
2020-11-12,25.9
2020-11-13,25.85
2020-11-16,25.2
2020-11-17,25.7
2020-11-18,25.65
2020-11-19,25.45
2020-11-20,25.8
2020-11-23,25.75
2020-11-25,25.4
2020-11-26,25.5
2020-11-27,21.45
2020-11-30,22.0
2020-12-01,22.3
2020-12-02,22.05
2020-12-03,21.8
2020-12-04,21.7
2020-12-07,21.85
2020-12-08,22.2
