,price
2020-01-02,30.0
2020-01-03,30.65
2020-01-06,30.25
2020-01-07,30.2
2020-01-08,31.0
2020-01-09,30.05
2020-01-10,29.8
2020-01-13,29.4
2020-01-14,30.25
2020-01-15,30.6
2020-01-16,30.6
2020-01-17,29.95
2020-01-20,29.7
2020-01-21,30.0
2020-01-22,29.9
2020-01-30,28.95
2020-01-31,27.5
2020-02-03,26.6
2020-02-04,26.0
2020-02-05,26.3
2020-02-06,27.25
2020-02-07,27.25
2020-02-10,26.55
2020-02-11,26.9
2020-02-12,27.65
2020-02-13,28.3
2020-02-14,28.1
2020-02-17,27.65
2020-02-18,27.65
2020-02-19,27.65
2020-02-20,28.15
2020-02-21,28.25
2020-02-24,26.5
2020-02-25,27.5
2020-02-26,26.7
2020-02-27,27.3
2020-02-28,26.8
2020-03-02,26.4
2020-03-03,26.3
2020-03-04,26.3
2020-03-05,26.3
2020-03-06,26.55
2020-03-09,24.7
2020-03-10,24.0
2020-03-11,22.35
2020-03-12,20.8
2020-03-13,20.5
2020-03-16,19.1
2020-03-17,19.8
2020-03-18,19.8
2020-03-19,19.0
2020-03-20,19.0
2020-03-23,17.7
2020-03-24,17.65
2020-03-25,18.35
2020-03-26,17.3
2020-03-27,17.4
2020-03-30,16.2
2020-03-31,16.4
2020-04-01,16.95
2020-04-03,17.75
2020-04-06,18.95
2020-04-07,20.1
2020-04-08,19.75
2020-04-09,20.15
2020-04-10,20.0
2020-04-13,20.8
2020-04-14,21.4
2020-04-15,22.85
2020-04-16,24.4
2020-04-17,25.65
2020-04-20,24.4
2020-04-21,22.7
2020-04-22,23.75
2020-04-23,23.1
2020-04-24,23.2
2020-04-27,23.75
2020-04-28,24.2
2020-04-29,24.25
2020-05-04,23.4
2020-05-05,23.45
2020-05-06,23.8
2020-05-07,24.2
2020-05-08,24.0
2020-05-11,24.8
2020-05-12,25.3
2020-05-13,25.5
2020-05-14,27.25
2020-05-15,26.7
2020-05-18,26.9
2020-05-19,26.8
